gene,gene_info
NANOG,PLURIPOTENCY
SLC22A3,PLURIPOTENCY
ARX,NEUROECTODERM
EPHA4,NEUROECTODERM
FGF2,NEUROECTODERM
GSK3B,NEUROECTODERM
OTX2,ANTERIOR NEUROECTODERM
SOX2,NEUROECTODERM
FGF10,VENTRAL NEUROECTODERM
FOXA1,VENTRAL NEUROECTODERM
FOXA2,VENTRAL NEUROECTODERM
FZD8,VENTRAL NEUROECTODERM
NKX2-1,VENTRAL NEUROECTODERM
NTN1,VENTRAL NEUROECTODERM
SHH,VENTRAL NEUROECTODERM
SHISA2,VENTRAL NEUROECTODERM
SIX3,VENTRAL NEUROECTODERM
SIX6,VENTRAL NEUROECTODERM
BOC,DORSAL NEUROECTODERM
EMX2,DORSAL NEUROECTODERM
GLI3,DORSAL NEUROECTODERM
LHX5,DORSAL NEUROECTODERM
MSX1,DORSAL NEUROECTODERM
OTX1,DORSAL NEUROECTODERM
PAX6,DORSAL NEUROECTODERM
EN1,MIDBRAIN
EN2,MIDBRAIN
HOXA1,HINDBRAIN
HOXB1,HINDBRAIN
