"sample","line","type","CRISPR","state","cyclo_dose_quant","cyclo_dose_qual","sexe","day","manip","sequencing","diff"
"L9D_1","LON71","dorsal","no","neuroectoderm",0,"none","H","day12","veranika","batch1","diff9"
"L9D_2","LON71","dorsal","no","neuroectoderm",0,"none","H","day12","veranika","batch1","diff9"
"L9D_3","LON71","dorsal","no","neuroectoderm",0,"none","H","day12","veranika","batch1","diff9"
"L9D_4","LON71","dorsal","no","neuroectoderm",0,"none","H","day12","veranika","batch1","diff9"
"L9D_5","LON71","dorsal","no","neuroectoderm",0,"none","H","day12","veranika","batch1","diff9"
"L9V_1","LON71","ventral","no","neuroectoderm",0,"none","H","day12","veranika","batch1","diff9"
"L9V_2","LON71","ventral","no","neuroectoderm",0,"none","H","day12","veranika","batch1","diff9"
"L9V_3","LON71","ventral","no","neuroectoderm",0,"none","H","day12","veranika","batch1","diff9"
"L9V_4","LON71","ventral","no","neuroectoderm",0,"none","H","day12","veranika","batch1","diff9"
"L9V_5","LON71","ventral","no","neuroectoderm",0,"none","H","day12","veranika","batch1","diff9"
"L9C1_1","LON71","cyclo","no","neuroectoderm",1,"high","H","day12","veranika","batch1","diff9"
"L9C1_2","LON71","cyclo","no","neuroectoderm",1,"high","H","day12","veranika","batch1","diff9"
"L9C1_3","LON71","cyclo","no","neuroectoderm",1,"high","H","day12","veranika","batch1","diff9"
"L9C1_4","LON71","cyclo","no","neuroectoderm",1,"high","H","day12","veranika","batch1","diff9"
"L9C1_5","LON71","cyclo","no","neuroectoderm",1,"high","H","day12","veranika","batch1","diff9"
"L9C0_5_1","LON71","cyclo","no","neuroectoderm",0.5,"high","H","day12","veranika","batch1","diff9"
"L9C0_5_2","LON71","cyclo","no","neuroectoderm",0.5,"high","H","day12","veranika","batch1","diff9"
"L9C0_5_3","LON71","cyclo","no","neuroectoderm",0.5,"high","H","day12","veranika","batch1","diff9"
"L9C0_5_4","LON71","cyclo","no","neuroectoderm",0.5,"high","H","day12","veranika","batch1","diff9"
"L9C0_5_5","LON71","cyclo","no","neuroectoderm",0.5,"high","H","day12","veranika","batch1","diff9"
"L9C0_25_1","LON71","cyclo","no","neuroectoderm",0.25,"low","H","day12","veranika","batch1","diff9"
"L9C0_25_2","LON71","cyclo","no","neuroectoderm",0.25,"low","H","day12","veranika","batch1","diff9"
"L9C0_25_3","LON71","cyclo","no","neuroectoderm",0.25,"low","H","day12","veranika","batch1","diff9"
"L9C0_25_4","LON71","cyclo","no","neuroectoderm",0.25,"low","H","day12","veranika","batch1","diff9"
"L9C0_25_5","LON71","cyclo","no","neuroectoderm",0.25,"low","H","day12","veranika","batch1","diff9"
"L9C0_125_1","LON71","cyclo","no","neuroectoderm",0.125,"low","H","day12","veranika","batch1","diff9"
"L9C0_125_2","LON71","cyclo","no","neuroectoderm",0.125,"low","H","day12","veranika","batch1","diff9"
"L9C0_125_3","LON71","cyclo","no","neuroectoderm",0.125,"low","H","day12","veranika","batch1","diff9"
"L9C0_125_4","LON71","cyclo","no","neuroectoderm",0.125,"low","H","day12","veranika","batch1","diff9"
"L9C0_125_5","LON71","cyclo","no","neuroectoderm",0.125,"low","H","day12","veranika","batch1","diff9"
"W6C12D_1","WTC","dorsal","control","neuroectoderm",0,"none","H","day12","veranika","batch2","diff12"
"W6C12D_2","WTC","dorsal","control","neuroectoderm",0,"none","H","day12","veranika","batch2","diff12"
"W6C12D_3","WTC","dorsal","control","neuroectoderm",0,"none","H","day12","veranika","batch2","diff12"
"W6C12D_4","WTC","dorsal","control","neuroectoderm",0,"none","H","day12","veranika","batch2","diff12"
"W6C12D_5","WTC","dorsal","control","neuroectoderm",0,"none","H","day12","veranika","batch2","diff12"
"W6C12D_6","WTC","dorsal","control","neuroectoderm",0,"none","H","day12","veranika","batch2","diff12"
"W6C12V_1","WTC","ventral","control","neuroectoderm",0,"none","H","day12","veranika","batch2","diff12"
"W6C12V_2","WTC","ventral","control","neuroectoderm",0,"none","H","day12","veranika","batch2","diff12"
"W6C12V_3","WTC","ventral","control","neuroectoderm",0,"none","H","day12","veranika","batch2","diff12"
"W6C12V_4","WTC","ventral","control","neuroectoderm",0,"none","H","day12","veranika","batch2","diff12"
"W6C12V_5","WTC","ventral","control","neuroectoderm",0,"none","H","day12","veranika","batch2","diff12"
"W6C12V_6","WTC","ventral","control","neuroectoderm",0,"none","H","day12","veranika","batch2","diff12"
"W6C12C1_1","WTC","cyclo","control","neuroectoderm",1,"high","H","day12","veranika","batch2","diff12"
"W6C12C1_2","WTC","cyclo","control","neuroectoderm",1,"high","H","day12","veranika","batch2","diff12"
"W6C12C1_3","WTC","cyclo","control","neuroectoderm",1,"high","H","day12","veranika","batch2","diff12"
"W6C12C1_4","WTC","cyclo","control","neuroectoderm",1,"high","H","day12","veranika","batch2","diff12"
"W6C12C1_5","WTC","cyclo","control","neuroectoderm",1,"high","H","day12","veranika","batch2","diff12"
"W6C12C1_6","WTC","cyclo","control","neuroectoderm",1,"high","H","day12","veranika","batch2","diff12"
"W6C12C0_5_1","WTC","cyclo","control","neuroectoderm",0.5,"high","H","day12","veranika","batch2","diff12"
"W6C12C0_5_2","WTC","cyclo","control","neuroectoderm",0.5,"high","H","day12","veranika","batch2","diff12"
"W6C12C0_5_3","WTC","cyclo","control","neuroectoderm",0.5,"high","H","day12","veranika","batch2","diff12"
"W6C12C0_5_4","WTC","cyclo","control","neuroectoderm",0.5,"high","H","day12","veranika","batch2","diff12"
"W6C12C0_5_5","WTC","cyclo","control","neuroectoderm",0.5,"high","H","day12","veranika","batch2","diff12"
"W6C12C0_5_6","WTC","cyclo","control","neuroectoderm",0.5,"high","H","day12","veranika","batch2","diff12"
"W6C12C0_25_1","WTC","cyclo","control","neuroectoderm",0.25,"low","H","day12","veranika","batch2","diff12"
