genes,cluster,symbol,refseq
ENSG00000000003,1,TSPAN6,NM_001278740
ENSG00000001626,2,CFTR,NM_000492
ENSG00000003096,3,KLHL13,NM_001168299
ENSG00000003400,4,CASP10,NM_001206524
ENSG00000003402,5,CFLAR,NM_001127183
ENSG00000003436,6,TFPI,NM_001032281
ENSG00000003509,4,NDUFAF7,NM_001083946
ENSG00000004139,6,SARM1,NM_015077
ENSG00000004399,7,PLXND1,NM_015103
ENSG00000004478,4,FKBP4,NM_002014
ENSG00000004799,2,PDK4,NM_002612
ENSG00000004838,6,ZMYND10,NM_001308379
ENSG00000004848,8,ARX,NM_139058
ENSG00000005020,1,SKAP2,NM_001303468
ENSG00000005059,9,MCUB,NM_017918
ENSG00000005108,7,THSD7A,NM_015204
ENSG00000005379,5,TSPOAP1,NM_001261835
ENSG00000005513,10,SOX8,NM_014587
ENSG00000006042,9,TMEM98,NM_001033504
ENSG00000006047,4,YBX2,NM_015982
ENSG00000006210,8,CX3CL1,NM_001304392
ENSG00000006453,4,BAIAP2L1,NM_018842
ENSG00000007062,7,PROM1,NM_001145847
ENSG00000007944,11,MYLIP,NM_013262
ENSG00000007968,10,E2F2,NM_004091
ENSG00000008130,12,NADK,NM_001198993
ENSG00000008226,5,DLEC1,NM_001321153
ENSG00000008283,11,CYB561,NM_001017916
ENSG00000008323,4,PLEKHG6,NM_001144856
ENSG00000008513,6,ST3GAL1,NM_003033
ENSG00000008516,4,MMP25,NM_004142
ENSG00000008735,11,MAPK8IP2,NM_012324
ENSG00000009694,13,TENM1,NM_001163278
ENSG00000009950,14,MLXIPL,NM_032951
ENSG00000010278,12,CD9,NM_001330312
ENSG00000010310,5,GIPR,NM_000164
ENSG00000011028,6,MRC2,NM_006039
ENSG00000011347,15,SYT7,NM_001252065
ENSG00000013288,6,MAN2B2,NM_001292038
ENSG00000013364,2,MVP,NM_001293204
ENSG00000013588,11,GPRC5A,NM_003979
ENSG00000015153,8,YAF2,NM_001012424
ENSG00000015413,13,DPEP1,NM_001128141
ENSG00000016082,1,ISL1,NM_002202
ENSG00000018236,15,CNTN1,NM_001256063
ENSG00000018625,4,ATP1A2,NM_000702
ENSG00000019549,6,SNAI2,NM_003068
ENSG00000019582,17,CD74,NM_001025158
ENSG00000019991,11,HGF,NM_000601
ENSG00000020577,6,SAMD4A,NM_001161576
ENSG00000021300,17,PLEKHB1,NM_001130033
ENSG00000021645,4,NRXN3,NM_001105250
ENSG00000022267,6,FHL1,NM_001159699
ENSG00000023902,6,PLEKHO1,NM_001304722
ENSG00000024422,15,EHD2,NM_014601
