genes,merge,value,sample,line,type,CRISPR,state,cyclo_dose_quant,cyclo_dose_qual,sexe,day,manip,sequencing,diff,colored,cluster,cutoff0.001,cutoff0.011,cutoff0.018,cutoff0.03,cutoff0.051,cutoff0.065,cutoff0.071,cutoff0.096,cutoff0.16,cutoff0.201,cutoff0.284,cutoff0.343,cutoff0.444,cutoff0.64,cutoff0.743,cutoff0.871,cutoff1.138,cutoff1.295,cutoff1.44,cutoff1.778,cutoff2.151,cutoff2.56,cutoff3.004,cutoff3.484,cutoff4,symbol
ENSG00000000003,one_groupday10,-0.127774953962505,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TSPAN6
ENSG00000003096,one_groupday10,0.212633070212239,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,KLHL13
ENSG00000003400,one_groupday10,-0.215961229003373,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,CASP10
ENSG00000003402,one_groupday10,0.840354691110162,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,1,CFLAR
ENSG00000003436,one_groupday10,1.37606945674187,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,2,2,2,1,TFPI
ENSG00000003509,one_groupday10,-0.768468488744038,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,1,NDUFAF7
ENSG00000004139,one_groupday10,0.213819196734551,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,2,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,4,4,2,2,2,2,2,2,2,2,1,SARM1
ENSG00000004399,one_groupday10,1.05457506073155,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,2,8,8,8,8,8,8,8,8,8,8,8,7,7,7,4,4,2,2,2,2,2,2,2,2,1,PLXND1
ENSG00000004478,one_groupday10,-0.563226534673402,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,3,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,8,8,8,7,7,6,6,6,6,6,3,3,3,1,FKBP4
ENSG00000004838,one_groupday10,0.964517760861597,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,2,10,10,7,7,7,7,7,7,7,7,7,7,7,7,4,4,2,2,2,2,2,2,2,2,1,ZMYND10
ENSG00000004848,one_groupday10,0.649517038824299,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,1,ARX
ENSG00000005059,one_groupday10,0.285803168317849,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,10,10,9,8,8,7,7,7,7,7,5,5,1,1,MCUB
ENSG00000005379,one_groupday10,0.480617377723986,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,1,TSPOAP1
ENSG00000005513,one_groupday10,1.30341892962979,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,4,14,14,13,13,13,13,13,13,13,13,13,5,5,5,5,5,4,4,4,4,4,2,2,2,1,SOX8
ENSG00000006042,one_groupday10,-0.391721696242018,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,12,12,11,10,10,1,1,1,1,1,1,1,1,1,TMEM98
ENSG00000006047,one_groupday10,-0.555618543244783,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,5,16,16,15,15,15,15,15,15,15,15,15,13,13,12,11,11,5,5,5,5,5,4,4,4,1,YBX2
ENSG00000006210,one_groupday10,0.510004161920998,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,1,CX3CL1
ENSG00000006453,one_groupday10,-0.5065599374256,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,5,17,17,15,15,15,15,15,15,15,15,15,13,13,12,11,11,5,5,5,5,5,4,4,4,1,BAIAP2L1
ENSG00000007372,one_groupday10,-0.112240228211739,LON71_V10_1,LON71,ventral,no,neuroectoderm,0,none,H,day10,veranika,batch3,diff13,one_group,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,15,15,14,13,13,9,9,9,9,9,6,6,4,1,PAX6
