"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","type"
"ENSG00000188290",214.73157985566,2.51864542363196,0.36005845317423,6.99510149373775,2.6506697159568e-12,3.21200693128988e-11,"HES4","dorsal"
"ENSG00000187608",3315.19501821706,1.05722345347736,0.162630903106653,6.50075375148125,7.99185595020536e-11,8.1385702868741e-10,"ISG15","dorsal"
"ENSG00000188157",23.9991466137214,1.13612624602186,0.249417434502911,4.5551196061581,5.23557795204028e-06,2.70027096338441e-05,"AGRN","dorsal"
"ENSG00000205116",19.2836534909675,-1.66605732399923,0.307051471006619,-5.42598711068646,5.76351182720869e-08,4.07568453220105e-07,"TMEM88B","dorsal"
"ENSG00000228594",17.7143970971897,-1.82493652246056,0.260809545917893,-6.99719987639974,2.61128636183736e-12,3.16620453223388e-11,"FNDC10","dorsal"
"ENSG00000182873",4.2480390805379,1.99111133774891,0.589532611524525,3.37744053310285,0.000731637710544155,0.00250915422970406,"PRKCZ-AS1","dorsal"
"ENSG00000177133",6.01369217207365,2.90388411068676,0.57607617785932,5.04079880802831,4.63592652623987e-07,2.85386722345901e-06,"PRDM16-DT","dorsal"
"ENSG00000142611",58.4488769462109,3.23753017658362,0.26559258036656,12.1898366743353,3.52126393111776e-34,2.26837550659425e-32,"PRDM16","dorsal"
"ENSG00000162591",95.1041237210523,1.15966327048901,0.135335272770248,8.56881762419549,1.04552964463245e-17,2.16814402941953e-16,"MEGF6","dorsal"
"ENSG00000187017",12.2626058770176,-1.25609411260864,0.352650046657304,-3.56187139209222,0.000368220759360984,0.00134924193842915,"ESPN","dorsal"
"ENSG00000207056",3.19821612551114,3.10371118225184,0.863569370153204,3.59404963807507,0.000325577768235817,0.00120626865151563,"RNU1-8P","dorsal"
"ENSG00000049249",5.47475532406445,2.83391982948072,0.657791896875161,4.30823158956998,1.64565025322395e-05,7.83213430812255e-05,"TNFRSF9","dorsal"
"ENSG00000116285",92.3533200599226,1.26966486162197,0.125182807292675,10.1424859298252,3.57874423399867e-24,1.24507878663682e-22,"ERRFI1","dorsal"
"ENSG00000180758",20.74826938917,1.2732830850014,0.285536198256944,4.45927028788,8.22391597630852e-06,4.09759486144913e-05,"GPR157","dorsal"
"ENSG00000234546",29.9155828985829,2.08208816519159,0.241161370662145,8.63358903407663,5.94563375805959e-18,1.25644768411058e-16,"LNCTAM34A","dorsal"
"ENSG00000171608",38.8532068971719,-2.06433063654068,0.222587212812205,-9.27425529283362,1.78864127875917e-20,4.61487937168224e-19,"PIK3CD","dorsal"
"ENSG00000231789",18.4118235324901,-2.13197569072541,0.278161742378622,-7.66451803362465,1.79503986008138e-14,2.72393206731194e-13,"PIK3CD-AS2","dorsal"
"ENSG00000204624",7.71558331938797,-1.18500109390234,0.400466072889061,-2.95905489659449,0.00308584124737562,0.00904642538316076,"DISP3","dorsal"
"ENSG00000116661",66.7527284740884,-1.50827712102909,0.224375846780241,-6.72210107581825,1.79122622331904e-11,1.96327045442817e-10,"FBXO2","dorsal"
"ENSG00000116670",134.219801916836,-1.01873792839368,0.183367968819213,-5.55570274870677,2.76497061714322e-08,2.03600528113385e-07,"MAD2L2","dorsal"
"ENSG00000162490",75.4231208721027,-1.93189754116819,0.202460354908577,-9.54210290721146,1.39964884016137e-21,3.92570046882339e-20,"DRAXIN","dorsal"
"ENSG00000011021",71.2406081033801,1.00463471419952,0.161874365911372,6.20626192753441,5.42597162846051e-10,5.01883526726986e-09,"CLCN6","dorsal"
"ENSG00000120937",10.7647366427065,3.14054640632465,0.543923005282578,5.77388044966598,7.74664097117318e-09,6.17320112507296e-08,"NPPB","dorsal"
"ENSG00000162496",61.4936684234279,-2.29835494259994,0.211661559239767,-10.8586318217395,1.81447284597267e-27,7.53326875968279e-26,"DHRS3","dorsal"
"ENSG00000189337",82.3522201707176,1.67710123508722,0.199411685095026,8.4102455394629,4.09153287153925e-17,8.01844076983697e-16,"KAZN","dorsal"
"ENSG00000175147",4.4679498174895,-2.28266787280473,0.564770893790166,-4.04175905292461,5.30517296842666e-05,0.000231143413901814,"TMEM51-AS1","dorsal"
"ENSG00000116771",4.23128263257351,-2.16368924095331,0.463361566453506,-4.66954835618722,3.01862641185111e-06,1.62222738010405e-05,"AGMAT","dorsal"
"ENSG00000142627",282.251339760098,3.35453944546915,0.177281316390677,18.9221262215626,7.49682865266919e-80,2.87907054218853e-77,"EPHA2","dorsal"
"ENSG00000142632",6.20543079273679,-1.74459647028421,0.419231754829907,-4.16141298979615,3.16284505897623e-05,0.000143257010269347,"ARHGEF19","dorsal"
"ENSG00000179023",6.49915398788936,-2.26656386799708,0.445161359386413,-5.09155572514468,3.55137463117876e-07,2.22811660020861e-06,"KLHDC7A","dorsal"
"ENSG00000159423",17.4815549280404,-1.00904112114942,0.278214940204701,-3.62684017043441,0.000286910763237154,0.00107598271208375,"ALDH4A1","dorsal"
"ENSG00000169991",36.6389801261218,1.89912391308445,0.225003634751627,8.44041437455365,3.1621462671028e-17,6.2460990063346e-16,"IFFO2","dorsal"
