"","Dim.1","Dim.2","Dim.3",""
"ENSG00000125798","2.68719039234472","-1.31384940352712","-0.63993156296782","FOXA2"
"ENSG00000136352","2.47537099268591","-1.29898672469389","-0.513080625833143","NKX2-1"
"ENSG00000214548","-1.05728084030708","-2.39544505678085","-0.406000386935786","MEG3"
"ENSG00000163251","2.12747200455423","-1.12767002666396","-0.755797690401517","FZD5"
"ENSG00000007171","-2.37696404478286","0.557499056223186","0.519191954287806","NOS2"
"ENSG00000164690","1.72108580789476","-1.54032386387803","-0.446781406205024","SHH"
"ENSG00000138083","2.06750123923963","-0.572766748065053","-0.951166811812008","SIX3"
"ENSG00000259439","2.13745374247279","-0.679581103763571","-0.62127530179281","LINC01833"
"ENSG00000129514","1.86390557780661","-1.37640276517443","0.065959966833136","FOXA1"
"ENSG00000170370","-1.64793451102929","1.39913395999463","0.784506383224643","EMX2"
"ENSG00000135903","-1.85776574862511","1.158480213174","0.433444987403768","PAX3"
"ENSG00000152977","-1.69846293377403","1.30851161801302","0.583071087441624","ZIC1"
"ENSG00000259974","1.93581397049001","-0.961029718181341","-0.436357373351145","LINC00261"
"ENSG00000134245","-1.89845991751397","0.80637253493617","0.285609584532333","WNT2B"
"ENSG00000106153","0.897173692800082","1.79502124512261","0.0938908168643993","CHCHD2"
"ENSG00000163132","-1.77175509567696","0.861421937338078","0.273222299667649","MSX1"
"ENSG00000225746","-0.905203722983801","-1.72442452419135","-0.342761190824744",NA
"ENSG00000262655","1.62083994649734","-1.10647865024733","-0.131684082152392","SPON1"
"ENSG00000187210","-1.74764010791328","0.812747128021693","0.262294943277467","GCNT1"
"ENSG00000132437","1.50007566672406","-1.13100100405563","0.0386609564089822","DDC"
"ENSG00000143869","-1.62373967390655","0.605856189407767","0.535023858389582","GDF7"
"ENSG00000077274","1.67262171875706","-0.351698860936294","-0.591991744614572","CAPN6"
"ENSG00000077942","1.27042200893417","-1.17776531805513","-0.506194610476282","FBLN1"
"ENSG00000269993","0.599321852939762","-1.27148746729498","-1.13624286620981",NA
"ENSG00000065320","1.22383001061022","-1.30066744238686","0.0689681883080367","NTN1"
"ENSG00000134115","1.08578746177495","1.2850788946529","-0.504644890937988","CNTN6"
"ENSG00000108231","-1.7707418610848","0.0460701669292513","0.122702210752466","LGI1"
"ENSG00000184302","1.52395175029244","-0.266965328176473","-0.785567934462506","SIX6"
"ENSG00000179542","0.909861789616818","1.46467146604446","-0.147300461012037","SLITRK4"
"ENSG00000278041","1.39694953817252","0.432542780733233","-0.899563517741485",NA
"ENSG00000007372","-1.20173999267143","1.10577866416831","0.422494725395194","PAX6"
"ENSG00000118271","1.06483197748407","-1.24448015087391","0.409523622441039","TTR"
"ENSG00000134438","1.4543808743229","0.0659769951384556","-0.819864951307858","RAX"
"ENSG00000053438","0.00793542817265618","-1.66423876881634","-0.0638653863492503","NNAT"
"ENSG00000185559","0.770058579611148","-0.305199060312946","-1.42669981847351","DLK1"
"ENSG00000184486","-1.61446152425147","0.176057702163367","0.317076746531435","POU3F2"
"ENSG00000128564","-1.54601445853843","-0.00412520274410463","-0.490550904789879","VGF"
"ENSG00000186732","1.43691029600193","-0.694877496182148","-0.228341305156338","MPPED1"
"ENSG00000043355","-1.46763115457257","0.569409948202211","0.27778222332465","ZIC2"
"ENSG00000125820","1.382067520252","-0.0222828036965329","-0.781012826936498","NKX2-2"
"ENSG00000124762","-1.48888842658165","-0.197998867385022","-0.553485977275093","CDKN1A"
"ENSG00000135046","-1.57723880990709","-0.00135231927047359","0.235969782984902","ANXA1"
"ENSG00000189127","-1.14358192827492","0.833313149371986","0.685865620152989","ANKRD34B"
"ENSG00000151789","0.945159262537519","-1.16551401204849","0.400342457738246","ZNF385D"
"ENSG00000132386","0.989092603855692","-1.19580221091611","0.0222524150762033","SERPINF1"
"ENSG00000168542","-0.992354346161873","-1.14711940408935","0.0136434263294421","COL3A1"
"ENSG00000213931","-1.36466316653462","-0.497754807023412","-0.436567032791847","HBE1"
"ENSG00000128422","-1.28524487077167","0.639351011897673","0.470435068183214","KRT17"
"ENSG00000115507","-1.07856529410362","0.532003914715241","0.917446768235803","OTX1"
"ENSG00000118257","-1.46887419826466","-0.197168887327745","0.290845242152089","NRP2"
"ENSG00000280660","-1.50231350282117","0.0686728244196947","-0.093729080604932",NA
"ENSG00000188064","-1.19881510206622","0.748880612029775","0.486382789681786","WNT7B"
"ENSG00000146674","1.18833373465003","0.0250051546337953","-0.863245017793299","IGFBP3"
"ENSG00000219438","-0.789309806439909","-1.25271704516924","-0.0393464173434163","TAFA5"
"ENSG00000130513","-1.33754927935779","-0.18881888389107","-0.599283069567661","GDF15"
"ENSG00000185920","1.19805996973934","-0.355052898984585","-0.784397226879101","PTCH1"
"ENSG00000105825","-1.3384270361429","0.237028373866737","-0.533198791770634","TFPI2"
"ENSG00000171724","-1.30990991143828","0.61798252883477","0.207487238312075","VAT1L"
"ENSG00000120885","-1.30634887381674","0.648280415031601","0.0312818657688139","CLU"
"ENSG00000269834","0.75776192910895","1.23030007534391","-0.141180778092851","ZNF528-AS1"
"ENSG00000166770","0.696274617216052","1.26640215687391","-0.025011001462385","ZNF667-AS1"
"ENSG00000122691","0.636936300029373","-1.21730211324006","0.378693993036673","TWIST1"
"ENSG00000099725","0.583349445792741","1.30474125953825","0.155105018267641","PRKY"
"ENSG00000189182","0.666783064184754","-1.10595444874684","0.603306295323838","KRT77"
