"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001578","GO:0001578","microtubule bundle formation","25/529","124/20772",8.0554370111316e-16,3.41792192382314e-12,2.70408301352618e-12,"ENSG00000004838/ENSG00000039139/ENSG00000077274/ENSG00000077327/ENSG00000092850/ENSG00000101222/ENSG00000111834/ENSG00000118997/ENSG00000120051/ENSG00000123977/ENSG00000129295/ENSG00000152582/ENSG00000154099/ENSG00000157423/ENSG00000157856/ENSG00000160188/ENSG00000160345/ENSG00000162643/ENSG00000163885/ENSG00000170703/ENSG00000171368/ENSG00000171811/ENSG00000181378/ENSG00000197748/ENSG00000206530",25
"GO:0035082","GO:0035082","axoneme assembly","22/529","95/20772",2.02940329733849e-15,4.30537909530361e-12,3.40619321853287e-12,"ENSG00000004838/ENSG00000039139/ENSG00000077327/ENSG00000092850/ENSG00000101222/ENSG00000111834/ENSG00000118997/ENSG00000120051/ENSG00000123977/ENSG00000129295/ENSG00000152582/ENSG00000154099/ENSG00000157423/ENSG00000157856/ENSG00000160188/ENSG00000160345/ENSG00000162643/ENSG00000163885/ENSG00000171811/ENSG00000181378/ENSG00000197748/ENSG00000206530",22
"GO:0072001","GO:0072001","renal system development","39/529","341/20772",4.36144514508186e-15,6.16853725019411e-12,4.88022756760212e-12,"ENSG00000054598/ENSG00000070193/ENSG00000081189/ENSG00000092969/ENSG00000099250/ENSG00000101665/ENSG00000103449/ENSG00000104313/ENSG00000104332/ENSG00000107831/ENSG00000112246/ENSG00000114251/ENSG00000114315/ENSG00000116962/ENSG00000117318/ENSG00000119888/ENSG00000121361/ENSG00000122870/ENSG00000124766/ENSG00000125378/ENSG00000132386/ENSG00000134853/ENSG00000137868/ENSG00000138193/ENSG00000141052/ENSG00000145147/ENSG00000147257/ENSG00000150893/ENSG00000151490/ENSG00000151617/ENSG00000151892/ENSG00000162599/ENSG00000164120/ENSG00000164690/ENSG00000170962/ENSG00000185920/ENSG00000188906/ENSG00000196562/ENSG00000197410",39
"GO:0003341","GO:0003341","cilium movement","30/529","202/20772",6.52096810531053e-15,6.91711691770814e-12,5.47246507574613e-12,"ENSG00000004838/ENSG00000039139/ENSG00000077327/ENSG00000092850/ENSG00000101222/ENSG00000111834/ENSG00000112981/ENSG00000118997/ENSG00000120051/ENSG00000123977/ENSG00000129295/ENSG00000145491/ENSG00000151023/ENSG00000152582/ENSG00000154099/ENSG00000157423/ENSG00000157856/ENSG00000158023/ENSG00000160345/ENSG00000162643/ENSG00000163885/ENSG00000166596/ENSG00000167858/ENSG00000170703/ENSG00000171811/ENSG00000181378/ENSG00000188316/ENSG00000188596/ENSG00000197748/ENSG00000206530",30
"GO:0001822","GO:0001822","kidney development","37/529","331/20772",4.62648994725352e-14,3.58333544290734e-11,2.8349496328148e-11,"ENSG00000054598/ENSG00000070193/ENSG00000081189/ENSG00000092969/ENSG00000099250/ENSG00000101665/ENSG00000103449/ENSG00000104313/ENSG00000104332/ENSG00000107831/ENSG00000112246/ENSG00000114251/ENSG00000114315/ENSG00000116962/ENSG00000117318/ENSG00000119888/ENSG00000121361/ENSG00000122870/ENSG00000124766/ENSG00000125378/ENSG00000132386/ENSG00000134853/ENSG00000137868/ENSG00000138193/ENSG00000145147/ENSG00000147257/ENSG00000150893/ENSG00000151490/ENSG00000151617/ENSG00000151892/ENSG00000164120/ENSG00000164690/ENSG00000170962/ENSG00000185920/ENSG00000188906/ENSG00000196562/ENSG00000197410",37
"GO:0035270","GO:0035270","endocrine system development","25/529","147/20772",5.06717243870942e-14,3.58333544290734e-11,2.8349496328148e-11,"ENSG00000010310/ENSG00000039068/ENSG00000070193/ENSG00000103449/ENSG00000107831/ENSG00000111087/ENSG00000114251/ENSG00000114315/ENSG00000118137/ENSG00000124766/ENSG00000125378/ENSG00000125798/ENSG00000125820/ENSG00000134853/ENSG00000136352/ENSG00000137868/ENSG00000138083/ENSG00000139352/ENSG00000151617/ENSG00000163666/ENSG00000164093/ENSG00000164690/ENSG00000171540/ENSG00000178919/ENSG00000184058",25
"GO:0021536","GO:0021536","diencephalon development","19/529","81/20772",1.31695934536806e-13,7.98265500342383e-11,6.31546368778759e-11,"ENSG00000039068/ENSG00000070193/ENSG00000099250/ENSG00000103449/ENSG00000107831/ENSG00000111087/ENSG00000112902/ENSG00000114251/ENSG00000114315/ENSG00000125378/ENSG00000134438/ENSG00000136352/ENSG00000138083/ENSG00000163666/ENSG00000164093/ENSG00000164690/ENSG00000168505/ENSG00000170381/ENSG00000171540",19
"GO:0007389","GO:0007389","pattern specification process","43/529","495/20772",2.51528429215406e-12,1.33404390645121e-09,1.05542652732622e-09,"ENSG00000039139/ENSG00000054598/ENSG00000070193/ENSG00000081189/ENSG00000090539/ENSG00000099250/ENSG00000100060/ENSG00000104313/ENSG00000104332/ENSG00000106689/ENSG00000107831/ENSG00000111087/ENSG00000114251/ENSG00000114315/ENSG00000122870/ENSG00000123977/ENSG00000125378/ENSG00000125798/ENSG00000125820/ENSG00000129295/ENSG00000129514/ENSG00000133816/ENSG00000134438/ENSG00000136352/ENSG00000138083/ENSG00000139352/ENSG00000139445/ENSG00000147257/ENSG00000151023/ENSG00000154099/ENSG00000157856/ENSG00000160345/ENSG00000163251/ENSG00000164093/ENSG00000164161/ENSG00000164690/ENSG00000166596/ENSG00000168505/ENSG00000176165/ENSG00000179981/ENSG00000184058/ENSG00000185920/ENSG00000204103",43
"GO:0003002","GO:0003002","regionalization","40/529","450/20772",7.37921324010227e-12,3.4788890864171e-09,2.75231707867674e-09,"ENSG00000039139/ENSG00000054598/ENSG00000070193/ENSG00000081189/ENSG00000090539/ENSG00000099250/ENSG00000104332/ENSG00000106689/ENSG00000107831/ENSG00000111087/ENSG00000114251/ENSG00000114315/ENSG00000122870/ENSG00000123977/ENSG00000125378/ENSG00000125798/ENSG00000125820/ENSG00000129295/ENSG00000129514/ENSG00000133816/ENSG00000136352/ENSG00000138083/ENSG00000139352/ENSG00000139445/ENSG00000147257/ENSG00000151023/ENSG00000154099/ENSG00000157856/ENSG00000160345/ENSG00000163251/ENSG00000164093/ENSG00000164161/ENSG00000164690/ENSG00000166596/ENSG00000168505/ENSG00000176165/ENSG00000179981/ENSG00000184058/ENSG00000185920/ENSG00000204103",40
"GO:0048568","GO:0048568","embryonic organ development","42/529","497/20772",1.11475219800837e-11,4.72989357614951e-09,3.74204711520915e-09,"ENSG00000054598/ENSG00000065320/ENSG00000070193/ENSG00000081189/ENSG00000092969/ENSG00000103449/ENSG00000104313/ENSG00000107831/ENSG00000111087/ENSG00000114251/ENSG00000114315/ENSG00000115380/ENSG00000117318/ENSG00000122691/ENSG00000124813/ENSG00000125378/ENSG00000133216/ENSG00000133816/ENSG00000134853/ENSG00000137561/ENSG00000137868/ENSG00000138083/ENSG00000139445/ENSG00000151617/ENSG00000154099/ENSG00000157227/ENSG00000157404/ENSG00000162878/ENSG00000162998/ENSG00000163251/ENSG00000163666/ENSG00000164093/ENSG00000164690/ENSG00000168505/ENSG00000176165/ENSG00000178919/ENSG00000179981/ENSG00000180340/ENSG00000184058/ENSG00000185920/ENSG00000204103/ENSG00000248329",42
