"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000188290",206.07871348261,1.56412985812082,0.299616400864548,5.22044138307348,1.78497198376187e-07,2.67411711898871e-06,"HES4"
"ENSG00000187608",3026.03776701652,1.30979204229342,0.256606900856546,5.10427442879117,3.32066098995571e-07,4.69444832465648e-06,"ISG15"
"ENSG00000162576",35.6530815897569,-1.30221075272188,0.254417555958991,-5.11839974176853,3.08138965377124e-07,4.40809180342475e-06,"MXRA8"
"ENSG00000235098",45.9899265070795,-1.29161979898342,0.255677464108136,-5.05175457480737,4.37769969501718e-07,6.05137781032433e-06,"ANKRD65"
"ENSG00000228594",15.734505256671,-1.0699330056229,0.198420914128923,-5.39223907076508,6.95851019512447e-08,1.12143430364187e-06,"FNDC10"
"ENSG00000177133",6.44163163433023,1.17699429329061,0.319402403177053,3.68498884661859,0.000228712655689584,0.00163871740387307,"PRDM16-DT"
"ENSG00000142611",62.1956728094821,1.30354858733401,0.375715029348866,3.46951408782644,0.000521400722584415,0.003324614470553,"PRDM16"
"ENSG00000069812",17.8063825110791,1.90793664394502,0.377496525313166,5.05418332622325,4.32236279115374e-07,5.97980698506425e-06,"HES2"
"ENSG00000049249",4.73215143791835,2.61144962754897,0.520195656101234,5.02012963184137,5.16366206729712e-07,7.03371115795764e-06,"TNFRSF9"
"ENSG00000116285",83.5086245483506,1.3373752884549,0.200114207188251,6.6830601747172,2.3400342966611e-11,6.81692140252625e-10,"ERRFI1"
"ENSG00000228526",54.2713536251879,1.05278082607314,0.337130817454087,3.12276650952122,0.00179159817980814,0.00936410877002336,"MIR34AHG"
"ENSG00000116661",33.7652422260903,1.25445995627379,0.177677797870804,7.06030787924304,1.66134095054688e-12,5.59628858471794e-11,"FBXO2"
"ENSG00000120949",22.5957059585643,1.03043435475185,0.30309888030631,3.39966400968061,0.000674687031897903,0.00412393247969885,"TNFRSF8"
"ENSG00000162494",3.72489345119126,2.61921374875962,0.557172446576727,4.70090322099036,2.59013257906711e-06,3.00881399595986e-05,"LRRC38"
"ENSG00000142632",6.79874508963179,-1.3287791630927,0.364210375265949,-3.64838360829897,0.000263895408419646,0.00184953479159165,"ARHGEF19"
"ENSG00000162543",8.54058439720509,-1.70542976358544,0.449533693482144,-3.79377516816364,0.000148374033510731,0.00112507463334146,"UBXN10"
"ENSG00000158816",6.93245815199013,-4.69367452804898,0.757394347815275,-6.19713434829295,5.75004185261138e-10,1.34426221836641e-08,"VWA5B1"
"ENSG00000158825",4.43944089850618,2.51082637562871,0.607547296828987,4.13272577910171,3.58486333596489e-05,0.000322062895853735,"CDA"
"ENSG00000162551",52.6604543297946,1.18358767289021,0.373001071584574,3.17314818389697,0.00150795537706533,0.00811630545407978,"ALPL"
"ENSG00000133216",261.915685597413,-1.62802942934776,0.218018094979297,-7.46740507709857,8.17916872095962e-14,3.24253884506156e-12,"EPHB2"
"ENSG00000179546",28.3087756187847,-4.08199605762501,0.428635264674024,-9.52323897271813,1.67863774051364e-21,1.62162194139619e-19,"HTR1D"
"ENSG00000117318",479.19237477747,-1.13890513696451,0.194845183737349,-5.84517982492064,5.06021328604831e-09,1.00067206029631e-07,"ID3"
"ENSG00000236782",2.4466985051003,4.27028697992304,0.710621254449752,6.0092305896896,1.86405842678462e-09,3.98131614940567e-08,"ZNF593OS"
"ENSG00000169442",2.34306956836478,3.00204762828086,0.62930578799907,4.77041159565069,1.83849860992997e-06,2.20895805105882e-05,"CD52"
"ENSG00000175793",32.5721056572042,2.52101379663885,0.344507809464488,7.31772612225418,2.52207930265582e-13,9.3999181814505e-12,"SFN"
"ENSG00000158246",38.6496044864841,1.81749891663995,0.19299720478055,9.4172292220841,4.6314828998176e-21,4.27750527818868e-19,"TENT5B"
"ENSG00000142765",38.6304600519936,1.59284306055113,0.269391266385052,5.91274944405366,3.36443771308405e-09,6.8548889114218e-08,"SYTL1"
"ENSG00000116329",7.78970148857182,-1.76661822982245,0.379690327836831,-4.65278702222208,3.27478439695976e-06,3.73192209684723e-05,"OPRD1"
"ENSG00000142910",26.2433311688651,3.46584567083162,0.402044713827345,8.62054779389538,6.66345641311979e-18,4.1949827283944e-16,"TINAGL1"
"ENSG00000171812",2.16530122829756,-2.43711630058552,0.71174253781217,-3.42415434108658,0.000616715844076501,0.00382524864906788,"COL8A2"
"ENSG00000119535",6.3137961223654,3.09824355964853,0.629087421516602,4.92498093854633,8.43685780744285e-07,1.10104924600394e-05,"CSF3R"
"ENSG00000163873",21.6813334825308,-4.78683538188332,0.793340762907299,-6.03376960530977,1.60178395605385e-09,3.44301617868403e-08,"GRIK3"
"ENSG00000169218",2.71414994399627,2.40919476470879,0.650313069688185,3.70466914629898,0.000211666826494661,0.00152699900710247,"RSPO1"
"ENSG00000185668",362.539045904678,-3.02508366409977,0.438905695263611,-6.89233176225447,5.48851850824874e-12,1.75392600009797e-10,"POU3F1"
"ENSG00000177181",25.577164993755,-2.55908434714874,0.26134052958293,-9.79214495062343,1.2168659178674e-22,1.36361994756221e-20,"RIMKLA"
"ENSG00000164007",21.5754821571932,-1.26013970869353,0.253995741426617,-4.96126313620736,7.00362379107303e-07,9.2909043290973e-06,"CLDN19"
"ENSG00000186973",42.5918156707424,-1.0874663417536,0.159562857376228,-6.81528495813719,9.40771001271669e-12,2.90687863242197e-10,"CFAP144"
"ENSG00000117425",5.09174622825606,-1.58801732909252,0.36468075956706,-4.35454102645221,1.33346006537231e-05,0.00013294264673098,"PTCH2"
"ENSG00000186564",3.07101279815416,-3.60094110165236,0.781165515891758,-4.60970310183447,4.0324442406099e-06,4.49776743466568e-05,"FOXD2"
"ENSG00000269113",34.0291021275153,-2.58485703328658,0.444520824077063,-5.8149290050773,6.06596250591253e-09,1.18012458057736e-07,"TRABD2B"
"ENSG00000121310",77.8254850241459,-1.06323657949855,0.223951340318722,-4.74762320236787,2.05821017329007e-06,2.44325245782718e-05,"ECHDC2"
"ENSG00000169174",27.6806249837615,1.49478952398318,0.295937679960746,5.05102805489809,4.3943851659654e-07,6.06945113021466e-06,"PCSK9"
"ENSG00000162599",19.4606738227976,-2.96018680687847,0.298936569756771,-9.90239102993325,4.06439608686997e-23,5.09839058389533e-21,"NFIA"
"ENSG00000132854",51.5413308079902,1.7400097873079,0.515793626849933,3.37346119984951,0.000742295071137948,0.00447854912087501,"KANK4"
"ENSG00000185483",55.2935262126563,1.24257452576095,0.131101156536813,9.477982945269,2.59245645405264e-21,2.44812362562757e-19,"ROR1"
"ENSG00000158966",124.822492658637,2.96255752357983,0.183048830071713,16.1845203950181,6.48532383781181e-59,1.55731154842541e-55,"CACHD1"
