"","Figure1E"
"ENSG00000003147","vAN"
"ENSG00000003436","dAN"
"ENSG00000003989","vAN"
"ENSG00000004468","dAN"
"ENSG00000004799","vAN"
"ENSG00000004838","vAN"
"ENSG00000005020","vAN"
"ENSG00000005102","dAN"
"ENSG00000005108","vAN"
"ENSG00000005469","dAN"
"ENSG00000005513","vAN"
"ENSG00000006128","dAN"
"ENSG00000006327","dAN"
"ENSG00000006453","dAN"
"ENSG00000007171","dAN"
"ENSG00000007350","dAN"
"ENSG00000007372","dAN"
"ENSG00000007968","vAN"
"ENSG00000008196","dAN"
"ENSG00000008226","vAN"
"ENSG00000008277","vAN"
"ENSG00000008323","dAN"
"ENSG00000008516","dAN"
"ENSG00000009694","vAN"
"ENSG00000010030","dAN"
"ENSG00000010278","dAN"
"ENSG00000010310","vAN"
"ENSG00000010610","dAN"
"ENSG00000011201","dAN"
"ENSG00000011478","dAN"
"ENSG00000011590","dAN"
"ENSG00000014914","dAN"
"ENSG00000015592","dAN"
"ENSG00000017483","dAN"
"ENSG00000018625","dAN"
"ENSG00000019549","dAN"
"ENSG00000020633","dAN"
"ENSG00000021300","vAN"
"ENSG00000023171","dAN"
"ENSG00000026103","dAN"
"ENSG00000026508","dAN"
"ENSG00000029534","dAN"
"ENSG00000033122","dAN"
"ENSG00000033327","dAN"
"ENSG00000035403","dAN"
"ENSG00000036672","vAN"
"ENSG00000039068","vAN"
"ENSG00000039139","vAN"
"ENSG00000041515","vAN"
"ENSG00000041982","dAN"
"ENSG00000042980","dAN"
"ENSG00000043355","dAN"
"ENSG00000044524","vAN"
"ENSG00000046653","vAN"
"ENSG00000048392","dAN"
"ENSG00000048540","vAN"
"ENSG00000049249","dAN"
"ENSG00000049323","vAN"
"ENSG00000050820","dAN"
"ENSG00000052126","vAN"
"ENSG00000053328","dAN"
"ENSG00000053438","vAN"
"ENSG00000053524","dAN"
"ENSG00000054598","vAN"
"ENSG00000057593","vAN"
"ENSG00000057657","dAN"
"ENSG00000058866","dAN"
"ENSG00000059804","dAN"
"ENSG00000060709","dAN"
"ENSG00000060718","dAN"
"ENSG00000060971","vAN"
"ENSG00000061918","dAN"
"ENSG00000064218","dAN"
"ENSG00000064270","vAN"
"ENSG00000064309","dAN"
"ENSG00000064655","vAN"
"ENSG00000064692","vAN"
"ENSG00000064989","dAN"
"ENSG00000065320","vAN"
"ENSG00000065717","vAN"
"ENSG00000066032","dAN"
"ENSG00000066382","vAN"
"ENSG00000066468","dAN"
"ENSG00000066735","vAN"
"ENSG00000067182","dAN"
"ENSG00000067798","dAN"
"ENSG00000068366","dAN"
"ENSG00000068976","vAN"
"ENSG00000069535","dAN"
"ENSG00000069667","vAN"
"ENSG00000069696","dAN"
"ENSG00000070193","vAN"
"ENSG00000070808","dAN"
"ENSG00000070961","dAN"
"ENSG00000071205","dAN"
"ENSG00000071282","dAN"
"ENSG00000071794","vAN"
"ENSG00000072041","dAN"
"ENSG00000072110","dAN"
"ENSG00000072133","vAN"
"ENSG00000072954","vAN"
"ENSG00000074047","dAN"
"ENSG00000074416","vAN"
"ENSG00000074590","dAN"
"ENSG00000075213","dAN"
"ENSG00000075290","dAN"
"ENSG00000075426","dAN"
"ENSG00000075461","dAN"
"ENSG00000075884","dAN"
"ENSG00000076770","dAN"
"ENSG00000077150","dAN"
"ENSG00000077274","vAN"
"ENSG00000077327","vAN"
"ENSG00000077616","vAN"
"ENSG00000077942","vAN"
"ENSG00000077943","dAN"
"ENSG00000078018","dAN"
"ENSG00000078081","dAN"
"ENSG00000078114","dAN"
"ENSG00000078295","dAN"
"ENSG00000078328","dAN"
"ENSG00000078596","vAN"
"ENSG00000079102","vAN"
"ENSG00000079112","dAN"
"ENSG00000079156","dAN"
"ENSG00000079337","dAN"
"ENSG00000079689","vAN"
"ENSG00000079691","dAN"
"ENSG00000079841","dAN"
"ENSG00000079931","vAN"
"ENSG00000080493","vAN"
"ENSG00000080546","dAN"
"ENSG00000080573","dAN"
"ENSG00000080709","dAN"
"ENSG00000080823","vAN"
"ENSG00000081138","vAN"
"ENSG00000081189","vAN"
"ENSG00000082397","vAN"
"ENSG00000082438","dAN"
"ENSG00000082497","dAN"
"ENSG00000083067","dAN"
"ENSG00000084628","vAN"
"ENSG00000085117","dAN"
"ENSG00000085276","dAN"
"ENSG00000085563","dAN"
"ENSG00000085741","dAN"
"ENSG00000085831","dAN"
"ENSG00000085871","dAN"
"ENSG00000086696","dAN"
"ENSG00000087074","dAN"
"ENSG00000087495","vAN"
"ENSG00000087510","dAN"
"ENSG00000088280","vAN"
"ENSG00000088836","vAN"
"ENSG00000088970","vAN"
"ENSG00000088992","vAN"
"ENSG00000089116","dAN"
"ENSG00000089327","dAN"
"ENSG00000089820","vAN"
"ENSG00000090104","vAN"
"ENSG00000090530","dAN"
"ENSG00000090539","vAN"
"ENSG00000091129","vAN"
"ENSG00000091428","vAN"
"ENSG00000091513","vAN"
"ENSG00000091656","dAN"
"ENSG00000091664","dAN"
"ENSG00000091879","dAN"
"ENSG00000091986","dAN"
"ENSG00000092068","dAN"
"ENSG00000092421","vAN"
"ENSG00000092445","vAN"
"ENSG00000092850","vAN"
"ENSG00000092969","vAN"
"ENSG00000095203","vAN"
"ENSG00000095596","dAN"
"ENSG00000095637","dAN"
"ENSG00000095713","vAN"
"ENSG00000095739","dAN"
"ENSG00000095932","vAN"
"ENSG00000096060","dAN"
"ENSG00000096433","vAN"
"ENSG00000096696","dAN"
"ENSG00000099204","dAN"
"ENSG00000099250","vAN"
"ENSG00000099282","dAN"
"ENSG00000099715","dAN"
"ENSG00000099866","vAN"
"ENSG00000100003","dAN"
"ENSG00000100060","vAN"
"ENSG00000100097","dAN"
"ENSG00000100100","vAN"
"ENSG00000100167","vAN"
"ENSG00000100228","vAN"
"ENSG00000100276","dAN"
"ENSG00000100314","dAN"
"ENSG00000100344","vAN"
"ENSG00000100427","vAN"
"ENSG00000100505","vAN"
"ENSG00000100678","dAN"
"ENSG00000100867","dAN"
"ENSG00000101000","dAN"
"ENSG00000101017","dAN"
"ENSG00000101096","dAN"
"ENSG00000101134","dAN"
"ENSG00000101194","vAN"
"ENSG00000101222","vAN"
"ENSG00000101311","vAN"
"ENSG00000101333","dAN"
"ENSG00000101336","dAN"
"ENSG00000101349","vAN"
"ENSG00000101384","dAN"
"ENSG00000101463","vAN"
"ENSG00000101542","dAN"
"ENSG00000101605","vAN"
"ENSG00000101665","vAN"
"ENSG00000101695","vAN"
"ENSG00000101825","dAN"
"ENSG00000101871","dAN"
"ENSG00000101986","vAN"
"ENSG00000102109","vAN"
"ENSG00000102271","dAN"
"ENSG00000102383","vAN"
"ENSG00000102445","dAN"
"ENSG00000102452","vAN"
"ENSG00000102554","dAN"
