genes,cluster,symbol
ENSG00000000003,1,TSPAN6
ENSG00000006042,1,TMEM98
ENSG00000077274,1,CAPN6
ENSG00000077279,1,DCX
ENSG00000080298,1,RFX3
ENSG00000086848,1,ALG9
ENSG00000086991,1,NOX4
ENSG00000088836,1,SLC4A11
ENSG00000091129,1,NRCAM
ENSG00000091656,1,ZFHX4
ENSG00000102678,1,FGF9
ENSG00000105854,1,PON2
ENSG00000105894,1,PTN
ENSG00000107249,1,GLIS3
ENSG00000107984,1,DKK1
ENSG00000108984,1,MAP2K6
ENSG00000109339,1,MAPK10
ENSG00000109738,1,GLRB
ENSG00000109814,1,UGDH
ENSG00000110786,1,PTPN5
ENSG00000112981,1,NME5
ENSG00000115423,1,DNAH6
ENSG00000115758,1,ODC1
ENSG00000117461,1,PIK3R3
ENSG00000120738,1,EGR1
ENSG00000123933,1,MXD4
ENSG00000124766,1,SOX4
ENSG00000125675,1,GRIA3
ENSG00000125945,1,ZNF436
ENSG00000126016,1,AMOT
ENSG00000129116,1,PALLD
ENSG00000130940,1,CASZ1
ENSG00000134250,1,NOTCH2
ENSG00000134532,1,SOX5
ENSG00000135838,1,NPL
ENSG00000136327,1,NKX2-8
ENSG00000136541,1,ERMN
ENSG00000136546,1,SCN7A
ENSG00000138606,1,SHF
ENSG00000138792,1,ENPEP
ENSG00000138795,1,LEF1
ENSG00000138829,1,FBN2
ENSG00000139263,1,LRIG3
ENSG00000140527,1,WDR93
ENSG00000143344,1,RGL1
ENSG00000144847,1,IGSF11
ENSG00000145365,1,TIFA
ENSG00000145675,1,PIK3R1
ENSG00000149289,1,ZC3H12C
ENSG00000150281,1,CTF1
ENSG00000150687,1,PRSS23
ENSG00000151778,1,SERP2
ENSG00000153132,1,CLGN
ENSG00000153266,1,FEZF2
ENSG00000153896,1,ZNF599
ENSG00000156298,1,TSPAN7
ENSG00000162373,1,BEND5
ENSG00000162998,1,FRZB
ENSG00000162999,1,DUSP19
ENSG00000165194,1,PCDH19
ENSG00000165626,1,BEND7
ENSG00000166147,1,FBN1
ENSG00000166922,1,SCG5
ENSG00000168077,1,SCARA3
ENSG00000168309,1,FAM107A
ENSG00000169193,1,CCDC126
ENSG00000169245,1,CXCL10
ENSG00000173114,1,LRRN3
ENSG00000174721,1,FGFBP3
ENSG00000175155,1,YPEL2
ENSG00000175611,1,ERCC6L2-AS1
ENSG00000177694,1,NAALADL2
ENSG00000179241,1,LDLRAD3
ENSG00000179397,1,CATSPERE
ENSG00000179542,1,SLITRK4
ENSG00000180592,1,SKIDA1
ENSG00000182985,1,CADM1
ENSG00000183496,1,MEX3B
ENSG00000184564,1,SLITRK6
ENSG00000185565,1,LSAMP
ENSG00000185737,1,NRG3
ENSG00000186469,1,GNG2
ENSG00000196659,1,IFT70B
ENSG00000196814,1,MVB12B
ENSG00000196935,1,SRGAP1
ENSG00000197054,1,ZNF763
ENSG00000197487,1,GALP
ENSG00000197557,1,IFT70A
ENSG00000197977,1,ELOVL2
ENSG00000198648,1,STK39
ENSG00000198795,1,ZNF521
ENSG00000203952,1,CCDC160
ENSG00000206530,1,CFAP44
ENSG00000212747,1,RTL8B
ENSG00000214870,1,LINC02981
ENSG00000219626,1,FAM228B
ENSG00000225614,1,ZNF469
ENSG00000227115,1,LINC01630
ENSG00000232160,1,RAP2C-AS1
ENSG00000235865,1,GSN-AS1
ENSG00000238113,1,LINC01410
ENSG00000242808,1,SOX2-OT
ENSG00000245105,1,A2M-AS1
ENSG00000246859,1,STARD4-AS1
ENSG00000248441,1,LETR1
ENSG00000248445,1,SEMA6A-AS1
ENSG00000248487,1,ABHD14A
ENSG00000254389,1,RHPN1-AS1
ENSG00000257354,1,MIRLET7IHG
ENSG00000259974,1,LINC00261
ENSG00000261472,1,LOC124903729
ENSG00000003096,6,KLHL13
ENSG00000003402,6,CFLAR
ENSG00000004139,6,SARM1
ENSG00000004399,6,PLXND1
ENSG00000004838,6,ZMYND10
ENSG00000004848,6,ARX
ENSG00000005379,6,TSPOAP1
ENSG00000006210,6,CX3CL1
ENSG00000008226,6,DLEC1
ENSG00000008513,6,ST3GAL1
ENSG00000013288,6,MAN2B2
ENSG00000015153,6,YAF2
ENSG00000019549,6,SNAI2
ENSG00000022267,6,FHL1
ENSG00000023902,6,PLEKHO1
ENSG00000026025,6,VIM
ENSG00000033800,6,PIAS1
ENSG00000034239,6,CLXN
ENSG00000036672,6,USP2
ENSG00000040731,6,CDH10
ENSG00000046653,6,GPM6B
ENSG00000047634,6,SCML1
ENSG00000048540,6,LMO3
ENSG00000049130,6,KITLG
ENSG00000050165,6,DKK3
