#node	identifier	node_degree
AMOT	9606.ENSP00000361027	0
BTG1	9606.ENSP00000256015	0
C1QTNF6	9606.ENSP00000338812	0
CASZ1	9606.ENSP00000366221	0
CCDC136	9606.ENSP00000297788	0
CUBN	9606.ENSP00000367064	0
DGKI	9606.ENSP00000288490	0
DUSP19	9606.ENSP00000346160	0
FNDC5	9606.ENSP00000362570	0
GREB1L	9606.ENSP00000464162	0
ID3	9606.ENSP00000363689	0
LIX1	9606.ENSP00000274382	0
MCUB	9606.ENSP00000378145	0
MPPED1	9606.ENSP00000388137	0
NKX2-8	9606.ENSP00000258829	0
PCDH9	9606.ENSP00000367096	0
PCDHB14	9606.ENSP00000239449	0
PKP2	9606.ENSP00000070846	0
PLAGL1	9606.ENSP00000353734	0
PLEKHA6	9606.ENSP00000272203	0
QPCT	9606.ENSP00000344829	0
RETREG1	9606.ENSP00000304642	0
S1PR3	9606.ENSP00000365006	0
SCG5	9606.ENSP00000300175	0
SHC3	9606.ENSP00000364995	0
SHISA2	9606.ENSP00000313079	0
SKIDA1	9606.ENSP00000410041	0
SMAGP	9606.ENSP00000475068	0
SORCS2	9606.ENSP00000422185	0
SPATA1	9606.ENSP00000492019	0
STK39	9606.ENSP00000348278	0
STOM	9606.ENSP00000286713	0
SYT17	9606.ENSP00000347538	0
TINCR	9606.ENSP00000490584	0
TLE4	9606.ENSP00000365720	0
TMEM98	9606.ENSP00000463245	0
UBL3	9606.ENSP00000370055	0
UGDH	9606.ENSP00000319501	0
ZBTB7C	9606.ENSP00000468782	0
