#node	identifier	node_degree
AFF3	9606.ENSP00000386834	0
ALPK3	9606.ENSP00000258888	0
AMIGO1	9606.ENSP00000358880	0
ANKRD6	9606.ENSP00000345767	0
ANTXR2	9606.ENSP00000306185	0
ARL4C	9606.ENSP00000339754	0
ATP13A4	9606.ENSP00000339182	0
ATP8B4	9606.ENSP00000284509	0
ATP9A	9606.ENSP00000342481	0
BCAR3	9606.ENSP00000260502	0
BEND5	9606.ENSP00000360899	0
C14orf39	9606.ENSP00000324920	0
C17orf113	9606.ENSP00000490245	0
CACNA1A	9606.ENSP00000489829	0
CCDC160	9606.ENSP00000427951	0
CCNG2	9606.ENSP00000315743	0
CHST3	9606.ENSP00000362207	0
CLCF1	9606.ENSP00000309338	0
COL21A1	9606.ENSP00000244728	0
CPEB3	9606.ENSP00000265997	0
CRISPLD1	9606.ENSP00000262207	0
CYTL1	9606.ENSP00000303550	0
DCLK2	9606.ENSP00000303887	0
DDAH2	9606.ENSP00000364949	0
DNAJC22	9606.ENSP00000446830	0
ELAC1	9606.ENSP00000269466	0
ERMN	9606.ENSP00000380453	0
FAM13C	9606.ENSP00000481854	0
FAM241B	9606.ENSP00000362376	0
FBN2	9606.ENSP00000424571	0
FKBP7	9606.ENSP00000413152	0
FREM1	9606.ENSP00000412940	0
FRMD4B	9606.ENSP00000381549	0
FRY	9606.ENSP00000445043	0
GLRB	9606.ENSP00000264428	0
GLT1D1	9606.ENSP00000281703	0
GSDME	9606.ENSP00000339587	0
IFITM2	9606.ENSP00000484689	0
ILDR2	9606.ENSP00000271417	0
KCNK10	9606.ENSP00000312811	0
LDLRAD3	9606.ENSP00000318607	0
LRRN3	9606.ENSP00000397312	0
MACROH2A2	9606.ENSP00000362352	0
ME3	9606.ENSP00000440246	0
MEX3B	9606.ENSP00000329918	0
MXD4	9606.ENSP00000337889	0
NBPF14	9606.ENSP00000479693	0
NPL	9606.ENSP00000258317	0
ODC1	9606.ENSP00000234111	0
P2RX3	9606.ENSP00000263314	0
PCDH11Y	9606.ENSP00000355419	0
PCDH19	9606.ENSP00000362125	0
PCSK5	9606.ENSP00000446280	0
PHYHIPL	9606.ENSP00000362987	0
PRSS23	9606.ENSP00000280258	0
PRXL2A	9606.ENSP00000482445	0
RASGEF1B	9606.ENSP00000264400	0
RFTN1	9606.ENSP00000334153	0
RGL1	9606.ENSP00000303192	0
RGS4	9606.ENSP00000397181	0
RNF182	9606.ENSP00000420465	0
SCN3B	9606.ENSP00000376523	0
SERP2	9606.ENSP00000368477	0
SERPINB6	9606.ENSP00000484343	0
SESTD1	9606.ENSP00000415332	0
SH3RF1	9606.ENSP00000284637	0
SOBP	9606.ENSP00000318900	0
SPON1	9606.ENSP00000460236	0
STOX1	9606.ENSP00000298596	0
TCEAL5	9606.ENSP00000361765	0
TENM4	9606.ENSP00000278550	0
TIFA	9606.ENSP00000354911	0
TMC7	9606.ENSP00000455041	0
TMEM178B	9606.ENSP00000456594	0
TSPAN18	9606.ENSP00000429993	0
TSPAN6	9606.ENSP00000362111	0
TSPAN7	9606.ENSP00000367743	0
TTC28	9606.ENSP00000381003	0
WASF3	9606.ENSP00000335055	0
YPEL2	9606.ENSP00000312272	0
ZC3H12C	9606.ENSP00000278590	0
ZNF436	9606.ENSP00000313582	0
ZNF503	9606.ENSP00000361602	0
ZNF763	9606.ENSP00000369774	0
ZSWIM6	9606.ENSP00000252744	0
