"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","classic_threshold","volcano_treshold"
"ENSG00000000003",315.028464791284,-0.242192437460863,0.0981683628042929,-2.46711293274489,0.0136207391869234,0.146451808929591,"TSPAN6","no","no"
"ENSG00000000419",186.088159750777,-0.117686726005834,0.111439340232897,-1.056060864681,0.290940408591705,0.691539479766492,"DPM1","no","no"
"ENSG00000000457",15.8326557756093,-0.0167883249871835,0.354806681239601,-0.0473168231458592,0.962260720168343,0.990024380691071,"SCYL3","no","no"
"ENSG00000000460",5.72495403504133,-0.104380522810864,0.544316368667255,-0.191764438512914,0.847926727891046,0.959451290467729,"FIRRM","no","no"
"ENSG00000001036",191.140405664751,0.179966752357683,0.103585809261139,1.7373687925147,0.0823220960267593,0.397423893757659,"FUCA2","no","no"
"ENSG00000001084",48.6327345495054,-0.0225624922573235,0.18268849323341,-0.123502536246203,0.901709166033935,0.975036446187491,"GCLC","no","no"
"ENSG00000001167",112.196476680904,-0.329779935066532,0.134848977563229,-2.44555013338461,0.0144631339259523,0.151802995698859,"NFYA","no","no"
"ENSG00000001460",22.9777482154696,-0.171689533936359,0.264330237015236,-0.649526652247743,0.515998025123085,0.834757476191901,"STPG1","no","no"
"ENSG00000001461",41.4506172750057,-0.402992355532785,0.216927876731271,-1.85772507252265,0.0632080661246154,0.351217394410883,"NIPAL3","no","no"
"ENSG00000001497",169.277787256589,-0.140678324238237,0.135564717640109,-1.03772077784799,0.29940006871274,0.696902115690321,"LAS1L","no","no"
"ENSG00000001561",29.09380150871,-0.15664810975147,0.21114298521803,-0.741905347173681,0.458144685859169,0.806504036250757,"ENPP4","no","no"
"ENSG00000001617",9.70158062315452,-0.227471090024513,0.457486770823587,-0.497218946058288,0.619034662368427,0.884186005047845,"SEMA3F","no","no"
"ENSG00000001629",200.107989590114,-0.128692185325274,0.122243402641972,-1.05275362550394,0.292453924158786,0.692512693040678,"ANKIB1","no","no"
"ENSG00000001630",395.025691516318,0.306095778931098,0.149644914089341,2.04548066864707,0.0408074931403597,0.27588799304285,"CYP51A1","no","no"
"ENSG00000001631",34.8673821529666,0.102182166982751,0.213635649090906,0.478301104790197,0.632435910158012,0.888164209494051,"KRIT1","no","no"
"ENSG00000002016",64.940429004685,-0.0565449074101406,0.261374897806403,-0.21633641135662,0.828725528840056,0.954906816331234,"RAD52","no","no"
"ENSG00000002330",45.5173574347957,0.459095159352376,0.236002140144256,1.94530083105075,0.0517387821725825,0.313054301789025,"BAD","no","no"
"ENSG00000002549",137.6543975424,-0.145185337527415,0.121086049188895,-1.19902613471949,0.23051778358594,0.630002850099232,"LAP3","no","no"
"ENSG00000002834",74.2581977438497,-0.0130503796237587,0.219165291113899,-0.0595458320860509,0.952517361488695,0.987650935550721,"LASP1","no","no"
"ENSG00000002919",35.7790909395554,-0.304584768969187,0.202339934747482,-1.5053121834269,0.132243834330365,0.495601975041031,"SNX11","no","no"
"ENSG00000002933",8.45442835087335,1.2799162658077,0.389080462537605,3.28959274248831,0.0010033248585527,0.0258220566636975,"TMEM176A","no","no"
"ENSG00000003056",16.3565467029874,-0.078239770915309,0.290256891482448,-0.269553534166613,0.787503751767019,0.941096260120915,"M6PR","no","no"
"ENSG00000003096",51.63136998138,0.128847528043099,0.223139565518345,0.577430218364864,0.563648865647863,0.859794689048553,"KLHL13","no","no"
"ENSG00000003147",15.8709970556599,-0.444095703382625,0.361931287364999,-1.22701661582179,0.21981634586744,0.61674824692931,"ICA1","no","no"
"ENSG00000003249",3.76908782435084,0.712963676652616,0.711875775230345,1.00152821806855,0.316571504906794,0.708754006030118,"DBNDD1","no","no"
"ENSG00000003393",129.321254483675,0.107788816869046,0.139285677740161,0.773868631849766,0.439008481149986,0.797226843718853,"ALS2","no","no"
"ENSG00000003400",3.90652339230216,-1.36989802304268,0.796084816255708,-1.72079405996692,0.0852882006980255,0.404573415559796,"CASP10","no","no"
"ENSG00000003402",69.7707201353478,-0.0330674851412045,0.179172428722803,-0.184556772361238,0.853576694049833,0.961692226727064,"CFLAR","no","no"
"ENSG00000003436",204.060226417351,0.0465477017652394,0.450633630907703,0.103293892361028,0.917729722881247,0.978628494219058,"TFPI","no","no"
"ENSG00000003509",89.1147917735895,0.0558980308588444,0.183348770019172,0.304872679827628,0.760463124149025,0.931074350569231,"NDUFAF7","no","no"
"ENSG00000003756",455.782819585026,-0.122956042334557,0.140581543255436,-0.8746243602629,0.38177832862986,0.760276969057463,"RBM5","no","no"
"ENSG00000003987",7.42473636729265,-0.518414047322079,0.514214098770921,-1.00816770399955,0.31337395937791,0.706766198587724,"MTMR7","no","no"
"ENSG00000003989",28.8622150348183,-0.377552897287613,0.326174511233164,-1.15751809011748,0.247060752751365,0.647679404465286,"SLC7A2","no","no"
"ENSG00000004059",195.471538329852,0.013929622992801,0.0998498054172953,0.139505760022124,0.889050504609974,0.970576092319029,"ARF5","no","no"
"ENSG00000004139",5.79804122609737,0.805668144962181,0.494902875835811,1.62793183127404,0.10353934102554,0.444077487246977,"SARM1","no","no"
"ENSG00000004142",178.69880373585,-0.0415567006799579,0.122988649550195,-0.337890535687178,0.735445679976252,0.923382808415177,"POLDIP2","no","no"
"ENSG00000004399",60.2283203990327,0.251389395928078,0.246976360850042,1.01786824885931,0.308740572559935,0.703660637774595,"PLXND1","no","no"
"ENSG00000004455",106.555494549863,0.0640486092991054,0.201521727836354,0.317824832025637,0.750617813374214,0.927677888105899,"AK2","no","no"
"ENSG00000004468",7.37089692739133,-0.623902267595353,0.675546203263983,-0.923552326370711,0.355719444788628,0.740162727281606,"CD38","no","no"
"ENSG00000004478",171.955818927401,-0.393301605646485,0.15026579414039,-2.61737282191469,0.00886095010970224,0.114143922899571,"FKBP4","no","no"
"ENSG00000004487",557.804314606169,-0.0912002527710231,0.11013666653957,-0.82806440068037,0.407634029013011,0.777532201149434,"KDM1A","no","no"
"ENSG00000004534",511.80545639879,-0.109285993257312,0.132298751411253,-0.826054608161758,0.408773115227134,0.778623804757456,"RBM6","no","no"
"ENSG00000004660",13.1195326934953,-0.236003630495754,0.357033956792072,-0.661011721731548,0.508604796402686,0.831017984208756,"CAMKK1","no","no"
"ENSG00000004700",31.7589104053135,0.422387136328708,0.232030798543279,1.82039254693995,0.0686992466243947,0.36343809776711,"RECQL","no","no"
"ENSG00000004766",38.4791215033078,0.182598441713073,0.195287316459922,0.935024583383773,0.349775630460039,0.735222936229326,"VPS50","no","no"
"ENSG00000004777",15.44545599427,-0.124371369100571,0.31772511596225,-0.391443303825399,0.695469588854236,0.912439958076562,"ARHGAP33","no","no"
"ENSG00000004779",493.110347957929,0.0256283943091515,0.0821665457406987,0.311907894850899,0.755110522397205,0.929194501442946,"NDUFAB1","no","no"
"ENSG00000004848",220.237600196166,1.29198873575307,0.265106939047285,4.87346253702787,1.09659070475026e-06,0.000116836755087937,"ARX","yes","no"
"ENSG00000004864",141.321348570165,-0.461598689615701,0.148878674784623,-3.10050240763816,0.0019319264317814,0.0401019497474406,"SLC25A13","no","no"
"ENSG00000004866",19.9496843035957,0.447578769198203,0.296605403409269,1.5090040978809,0.131297735567842,0.494452543603093,"ST7","no","no"
"ENSG00000004897",201.956731084532,-0.0537416228859123,0.0891387599726074,-0.602898479880439,0.546576227302827,0.851322367530757,"CDC27","no","no"
"ENSG00000004961",57.6169296077403,0.115384058982702,0.161163794546724,0.715942804072227,0.474026666599005,0.817218948213388,"HCCS","no","no"
"ENSG00000004975",133.886735653669,0.0299260795141629,0.129528002358425,0.231039458412649,0.817284147793439,0.951984038919308,"DVL2","no","no"
"ENSG00000005007",82.8660230498024,0.0919632649135373,0.153993586453421,0.597188928652907,0.550381250093869,0.853114666690748,"UPF1","no","no"
"ENSG00000005020",9.95122099161412,-0.576841183247354,0.464418551685775,-1.24207179311313,0.214210074609747,0.610806126426323,"SKAP2","no","no"
"ENSG00000005022",769.143229416538,-0.164112529945952,0.0932497523324242,-1.75992456645794,0.0784205973864408,0.387367029551527,"SLC25A5","no","no"
"ENSG00000005059",92.8873073330947,0.414399965050121,0.177743989596026,2.33144291400212,0.019730016905796,0.183073408999213,"MCUB","no","no"
"ENSG00000005075",151.516096612885,0.163191596277734,0.136613422598275,1.19455023652847,0.232262801937498,0.631965020081813,"POLR2J","no","no"
"ENSG00000005100",207.141120713511,-0.144854488706483,0.140820582424305,-1.02864571508463,0.303646187608322,0.69984329261895,"DHX33","no","no"
"ENSG00000005102",20.9247539984319,-0.733115323814718,0.342076495793966,-2.14313269934885,0.0321024444484052,0.242712400803969,"MEOX1","no","no"
"ENSG00000005108",29.0115154029936,0.799140432433193,0.431986747839298,1.84991886077598,0.0643252450449467,0.353174570632363,"THSD7A","no","no"
"ENSG00000005156",99.7082529710552,0.0666651138959099,0.138053875519029,0.482892013319258,0.629172412939404,0.887343320774631,"LIG3","no","no"
"ENSG00000005175",114.214337500169,0.249679709905434,0.130624140576326,1.91143619245129,0.0559485493462013,0.327984647109936,"RPAP3","no","no"
"ENSG00000005189",15.0212643227258,0.122822792328557,0.338703161331698,0.362626648790781,0.716883800547049,0.918216836197646,"REXO5","no","no"
"ENSG00000005194",157.021133724358,0.0652530402922412,0.132780591300474,0.491435078373598,0.623118759179902,0.885707808292832,"CIAPIN1","no","no"
"ENSG00000005206",70.5890482449081,-0.330485696162264,0.175571136638976,-1.88234639524967,0.0597889990174403,0.339865680708758,"SPPL2B","no","no"
"ENSG00000005238",50.1456485682864,0.44614075165816,0.202029013088814,2.20830040615023,0.0272233390439033,0.22156773166288,"ATOSB","no","no"
"ENSG00000005249",62.4347900693756,0.334187385040219,0.224842417927348,1.486318231768,0.137194966519869,0.503834925792899,"PRKAR2B","no","no"
"ENSG00000005302",58.6003455534964,0.0543056611760432,0.169870239146247,0.319689084144336,0.749204035475594,0.927475916818208,"MSL3","no","no"
"ENSG00000005339",187.073762247736,-0.233634565042575,0.108412208071866,-2.15505771165272,0.0311573183702597,0.239680907705388,"CREBBP","no","no"
"ENSG00000005379",20.6604367542507,0.11565658500798,0.357187193874133,0.323798240786695,0.746090788156737,0.926894915880304,"TSPOAP1","no","no"
"ENSG00000005436",104.214355920172,0.210579621467365,0.140464405947271,1.49916713808917,0.133830277874875,0.4983494301237,"GCFC2","no","no"
"ENSG00000005448",185.093009620416,-0.256825281023504,0.150809261791033,-1.70298082474119,0.0885716569290495,0.412432079758862,"WDR54","no","no"
"ENSG00000005469",92.6453015650939,1.13975403526523,0.173495143035594,6.56937142633093,5.0528102514392e-11,2.33286718154326e-08,"CROT","yes","no"
"ENSG00000005471",4.38361004339932,1.62431789794423,0.712703382778558,2.27909385193549,0.0226614869141962,0.197792378004073,"ABCB4","no","no"
"ENSG00000005483",574.37585738657,-0.00955332261846337,0.151383787067216,-0.0631066430794309,0.949681584432905,0.987264507397635,"KMT2E","no","no"
"ENSG00000005486",126.449854334488,0.747423505333728,0.145881812339402,5.12348656318313,2.99937029785585e-07,4.12854316333025e-05,"RHBDD2","no","no"
"ENSG00000005513",3.58926048586693,0.146325056789526,0.893747010702251,0.163720890853165,0.869950870935651,0.965243364379844,"SOX8","no","no"
"ENSG00000005700",107.08648555855,0.0331965288480333,0.155448864830161,0.213552726063987,0.83089586799998,0.955219908311151,"IBTK","no","no"
"ENSG00000005801",122.27008038278,-0.00356852409728882,0.125156587558999,-0.028512475187186,0.9772534183145,0.994551671995173,"ZNF195","no","no"
"ENSG00000005810",237.742487548429,-0.161860244830331,0.137275146082583,-1.17909359013145,0.238360910708003,0.637470043101129,"MYCBP2","no","no"
"ENSG00000005812",48.1849351602581,0.224551560207178,0.17692474153053,1.26919252934689,0.204372404894404,0.599395006482413,"FBXL3","no","no"
"ENSG00000005884",42.7299251899888,0.462181367929927,0.266258263724214,1.73583858568479,0.0825923793747486,0.398256821981218,"ITGA3","no","no"
"ENSG00000005889",46.9398160882287,-0.324714436770127,0.191709701041358,-1.69378197872248,0.0903067197871745,0.416561352193149,"ZFX","no","no"
"ENSG00000005893",107.020694294382,0.360697886435736,0.136533323738845,2.64183040856504,0.00824593338012701,0.109342942541005,"LAMP2","no","no"
"ENSG00000005961",8.25791301853385,0.682936516497208,0.47991311768776,1.42304198682383,0.154723984078498,0.532064001592019,"ITGA2B","no","no"
"ENSG00000006007",118.101812766483,0.0677009684262509,0.154098180066707,0.439336586564126,0.660417667713959,0.89776263252051,"GDE1","no","no"
"ENSG00000006015",93.7676365659582,-0.25510525410443,0.146380233798951,-1.74275752595675,0.0813759784447709,0.395001688664852,"REX1BD","no","no"
"ENSG00000006016",3.90406764981404,-0.580973942268773,0.748788322929527,-0.775885419788326,0.437816642148734,0.795873984501518,"CRLF1","no","no"
"ENSG00000006025",20.6301218471564,-0.194328260456657,0.301002783305826,-0.645602868925021,0.518536578893111,0.83629557685968,"OSBPL7","no","no"
