"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","classic_threshold","high_threshold"
"ENSG00000000003",519.148492298092,-0.261705245173305,0.148765382648177,-1.75918107099032,0.0785467583152228,0.241602157344329,"TSPAN6","no","no"
"ENSG00000000419",193.030099681656,-0.220234777130325,0.113820558713772,-1.93492967895331,0.0529989256036657,0.184794689454418,"DPM1","no","no"
"ENSG00000000457",25.2657738593174,0.148810274073942,0.309841932040566,0.480278034331581,0.631029705728774,0.819386306637818,"SCYL3","no","no"
"ENSG00000000460",4.92577617779282,-0.26535283766592,0.627607169824044,-0.42280083852502,0.672440575824477,0.843400866510969,"FIRRM","no","no"
"ENSG00000001036",197.154126703806,0.365479339635399,0.112292268899992,3.25471506823765,0.00113506181474359,0.0100884711908575,"FUCA2","no","no"
"ENSG00000001084",68.1209258862737,-0.157250268815231,0.160936847843145,-0.977093008361222,0.328523108797923,0.58231122831915,"GCLC","no","no"
"ENSG00000001167",128.844634938292,0.296361439504297,0.118825409101547,2.49409147206074,0.0126279997128808,0.0657101990447269,"NFYA","no","no"
"ENSG00000001460",29.6343928113889,0.0905131444628904,0.228188174671026,0.396660101222955,0.6916181261259,0.856437664480866,"STPG1","no","no"
"ENSG00000001461",49.6048141047584,-0.00376524454912845,0.21520022807745,-0.0174964709971095,0.986040548152855,0.994159146236432,"NIPAL3","no","no"
"ENSG00000001497",161.89117987822,-0.373229614274228,0.105450247652673,-3.53939059018195,0.000401051976473407,0.00439614666518926,"LAS1L","no","no"
"ENSG00000001561",45.2159949645532,-0.0960329544035675,0.247644646468841,-0.387785303550466,0.698174922223991,0.859432912473559,"ENPP4","no","no"
"ENSG00000001617",6.4858225288412,0.522156034131003,0.524403089635149,0.995715022377711,0.319388628961446,0.574243792732468,"SEMA3F","no","no"
"ENSG00000001626",3.21841030326781,3.17569263643475,0.964310281045238,3.293226981872,0.000990444806802417,0.00906256998224211,"CFTR","yes","yes"
"ENSG00000001629",231.015813550476,-0.453082192261463,0.102153344624976,-4.43531432010195,9.19380458856792e-06,0.000177989190169547,"ANKIB1","no","no"
"ENSG00000001630",332.239661020382,0.993300459497641,0.125795070016047,7.8961795511615,2.87582323658453e-15,4.80732567000213e-13,"CYP51A1","no","no"
"ENSG00000001631",36.4351717284267,-0.486278229084247,0.248143994994231,-1.95966148242093,0.0500353699986783,0.177342488772074,"KRIT1","no","no"
"ENSG00000002016",59.6064944073271,-0.0121182153963003,0.22333301913405,-0.0542607422909849,0.956727426564316,0.983427322817988,"RAD52","no","no"
"ENSG00000002330",45.5776148063647,0.509329178356489,0.190291568840702,2.67657249062286,0.00743794736842675,0.0439227972147076,"BAD","no","no"
"ENSG00000002549",149.809037343743,-0.175425612900538,0.122255006210006,-1.43491557801075,0.151311156007755,0.367805431654757,"LAP3","no","no"
"ENSG00000002834",78.0269887436232,-0.286184866855578,0.17109225623634,-1.67269327759787,0.0943876933036247,0.273169643429918,"LASP1","no","no"
