"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","classic_threshold","high_threshold"
"ENSG00000000003",449.770076065588,0.0465634065968715,0.127568832069186,0.365006137013295,0.71510682517321,0.903123534102592,"TSPAN6","no","no"
"ENSG00000000419",227.375559748307,-0.174915268234701,0.117246109014624,-1.49186416252743,0.135734759276537,0.449800050469968,"DPM1","no","no"
"ENSG00000000457",24.9984225625039,-0.290370212873005,0.324238138084395,-0.895546139601338,0.370495212771052,0.711195092381856,"SCYL3","no","no"
"ENSG00000000460",8.23172068553403,-0.461137301786299,0.552311839359837,-0.834921993200047,0.403761630794393,0.735060791126565,"FIRRM","no","no"
"ENSG00000001036",191.740494492363,-0.0433045255903113,0.130169532462339,-0.332677891447757,0.739377439922514,0.911893067517438,"FUCA2","no","no"
"ENSG00000001084",67.804993895772,0.148490487742697,0.202230195109521,0.734264671318146,0.462787445137772,0.776848151134915,"GCLC","no","no"
"ENSG00000001167",127.613309002296,0.0202998160663519,0.145093219269424,0.139908785321367,0.888732059883419,0.966689138298483,"NFYA","no","no"
"ENSG00000001460",30.4602638203497,0.501911907582081,0.287467610314192,1.74597724951868,0.0808149051638314,0.3403495961885,"STPG1","no","no"
"ENSG00000001461",43.9788484853569,-0.166733875161117,0.241328527782899,-0.690899980590409,0.489628398340219,0.79320999566215,"NIPAL3","no","no"
"ENSG00000001497",213.845501633971,-0.207409426111273,0.121914153661901,-1.70127437940039,0.0888914766383299,0.358815117311552,"LAS1L","no","no"
"ENSG00000001561",38.8575264840018,0.304775883867461,0.26236215275094,1.16166101197067,0.245373188478043,0.596998200449188,"ENPP4","no","no"
"ENSG00000001617",7.14022380497619,0.0922030750350867,0.595878862231327,0.154734596038234,0.877030554760181,0.963273798696866,"SEMA3F","no","no"
"ENSG00000001629",242.39569800737,0.206585418116036,0.112256993584712,1.84028995895156,0.0657256787481256,0.305979981473131,"ANKIB1","no","no"
"ENSG00000001630",260.936211549279,-0.187501244665917,0.110101500325681,-1.70298537359878,0.0885708056292734,0.35808525543322,"CYP51A1","no","no"
"ENSG00000001631",44.5626082592896,-0.116250979504523,0.240239332018172,-0.483896531546006,0.6284593020503,0.865559532874017,"KRIT1","no","no"
"ENSG00000002016",57.4492930444847,0.342252596058483,0.22926316434495,1.4928372686313,0.13547978912359,0.449683611604239,"RAD52","no","no"
"ENSG00000002330",38.2356810250984,-0.35320082664207,0.263007958006886,-1.34292828748863,0.179295195785996,0.51679241174957,"BAD","no","no"
"ENSG00000002549",167.108181025329,-0.222336454896312,0.129574750509,-1.71589336674716,0.0861815610153291,0.353186540405981,"LAP3","no","no"
"ENSG00000002834",78.8284896473137,-0.123971782039874,0.196008060939983,-0.632483079753714,0.527071261401814,0.815812439792056,"LASP1","no","no"
"ENSG00000002919",44.6638263577159,-0.117553459733435,0.246992774517721,-0.475938860814737,0.634117935676783,0.868153783996348,"SNX11","no","no"
"ENSG00000003056",19.8234758920167,-0.157340104339356,0.353001539223818,-0.445720731658329,0.655798987195157,0.876416952731148,"M6PR","no","no"
"ENSG00000003096",76.5579777038438,-0.0735772458960802,0.195593768012946,-0.376173774060175,0.706787711220731,0.899456339355025,"KLHL13","no","no"
"ENSG00000003147",25.0833201663636,0.432507277148378,0.312673397293751,1.38325575789886,0.166586458471841,0.497497431741488,"ICA1","no","no"
