"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","classic_threshold","volcano_treshold"
"ENSG00000000003",533.277965179526,0.819025844059878,0.173098736273966,4.73155299506979,2.22808630898192e-06,5.82815033898146e-05,"TSPAN6","no","no"
"ENSG00000000419",221.98469639993,0.0439811158790538,0.13784501257143,0.319062076012821,0.74967944080325,0.943454406317237,"DPM1","no","no"
"ENSG00000000457",21.3951354246315,0.616998389131766,0.365579363509371,1.68772762009568,0.0914635272654738,0.376258807836869,"SCYL3","no","no"
"ENSG00000000460",5.25779153692113,-0.214830686122007,0.694143229911556,-0.309490429157366,0.756948491475222,0.945251158940605,"FIRRM","no","no"
"ENSG00000001036",216.216601502281,-0.219475762399438,0.14148084978613,-1.55127540392364,0.120835698567531,0.44570029478428,"FUCA2","no","no"
"ENSG00000001084",65.4469492378111,0.465049841497094,0.211138379271939,2.20258317365468,0.0276241409491575,0.170686732903812,"GCLC","no","no"
"ENSG00000001167",120.176201324636,0.17797442235677,0.164383246571325,1.08267981116645,0.278950568151598,0.683009174681372,"NFYA","no","no"
"ENSG00000001460",31.094853087081,0.136057014549779,0.314416690641262,0.432728346171086,0.665212134176227,0.917467089778378,"STPG1","no","no"
"ENSG00000001461",49.8408864866625,0.343226321836457,0.281928372611776,1.21742383945546,0.223442997298402,0.621461694651156,"NIPAL3","no","no"
"ENSG00000001497",182.84274473815,-0.211850255094068,0.14493564008686,-1.46168502769302,0.143827541982519,0.493039765143234,"LAS1L","no","no"
"ENSG00000001561",47.520103163283,0.528036234305271,0.251232615305715,2.10178218167544,0.0355723606940295,0.203662595529687,"ENPP4","no","no"
"ENSG00000001617",7.55321027477827,-0.391150344985464,0.587963038645747,-0.665263493239981,0.505881976141879,0.850541085259801,"SEMA3F","no","no"
"ENSG00000001629",217.068641091185,0.207153354962351,0.140807276956872,1.47118358823031,0.141241474314522,0.487930335027348,"ANKIB1","no","no"
"ENSG00000001630",389.500816918676,-0.396315741372939,0.11168040335285,-3.5486596526769,0.000387197193425554,0.00553763395106428,"CYP51A1","no","no"
"ENSG00000001631",43.6027431040802,-0.0333476413517892,0.267138052133675,-0.124832988357279,0.900655770723997,0.97949503789305,"KRIT1","no","no"
