,gene,day_04_02,day_06_04,day_08_06,day_10_08,day_12_10,day_12_06,day_06_02
1,TFPI,UP,no,no,no,no,no,UP
2,NDUFAF7,DOWN,no,no,no,no,no,DOWN
3,CD38,DOWN,no,no,no,no,no,DOWN
4,ARX,UP,UP,UP,no,no,UP,UP
5,MEOX1,UP,UP,no,no,no,no,UP
6,THSD7A,DOWN,no,no,no,no,UP,DOWN
7,NOS2,UP,UP,no,no,no,no,UP
8,PAX6,UP,UP,no,no,no,no,UP
9,MYLIP,DOWN,no,no,no,no,no,DOWN
10,TFAP2B,UP,no,no,no,no,no,UP
11,PLEKHG6,DOWN,no,no,no,no,no,DOWN
12,TENM1,DOWN,no,no,no,no,no,DOWN
13,MLXIPL,DOWN,DOWN,no,no,no,UP,DOWN
14,CD9,DOWN,DOWN,no,no,no,no,DOWN
15,SYT7,DOWN,no,no,no,no,UP,DOWN
16,GPRC5A,DOWN,no,no,no,no,no,DOWN
17,MAMLD1,DOWN,no,no,no,no,no,DOWN
18,CAPN1,DOWN,no,no,no,no,no,DOWN
19,DPEP1,DOWN,no,no,no,no,no,DOWN
20,CNTN1,DOWN,no,no,no,no,no,DOWN
21,ATP1A2,DOWN,no,no,no,no,DOWN,DOWN
22,SNAI2,UP,UP,no,no,no,no,UP
23,VIM,UP,no,no,no,no,UP,UP
24,ANK1,DOWN,no,no,UP,no,UP,DOWN
25,CDH1,DOWN,DOWN,no,no,no,no,DOWN
26,TNC,UP,no,no,no,no,no,UP
27,CAPG,DOWN,no,no,no,no,no,DOWN
28,JADE2,DOWN,no,no,no,no,no,DOWN
29,SCML1,UP,no,no,no,no,UP,UP
30,USP28,DOWN,no,no,no,no,no,DOWN
31,GUCA1A,DOWN,no,no,no,no,no,DOWN
32,DKK3,DOWN,no,UP,no,no,UP,DOWN
33,LAMC3,DOWN,no,no,no,no,no,no
34,ENTPD2,DOWN,no,no,no,no,no,DOWN
35,HHAT,UP,no,no,no,no,no,UP
36,ATP9A,UP,no,no,no,no,no,UP
37,MCOLN3,DOWN,no,no,no,no,no,DOWN
38,LAMC2,DOWN,no,no,no,no,no,DOWN
39,CDH3,DOWN,no,no,no,no,no,DOWN
40,SLC6A16,UP,no,no,no,no,no,UP
41,EYA2,DOWN,no,no,no,no,no,DOWN
42,ERBB3,DOWN,no,no,no,no,no,DOWN
43,MYLK,UP,no,no,no,no,no,UP
44,KIF26A,DOWN,no,no,no,no,no,DOWN
45,STAG3,DOWN,no,no,no,no,no,DOWN
46,NAV3,UP,no,no,no,no,UP,UP
47,RASGRP2,DOWN,no,no,no,no,no,DOWN
48,PYGM,DOWN,no,no,no,no,no,DOWN
49,GAL,DOWN,no,no,no,no,no,DOWN
50,ATP2B1,UP,no,no,no,no,no,UP
51,NCK2,DOWN,no,no,no,no,no,no
52,LMCD1,DOWN,no,no,no,no,UP,no
53,CYP2W1,DOWN,no,no,no,no,UP,DOWN
54,PPP2R2C,DOWN,no,no,no,no,no,DOWN
55,SNCB,DOWN,no,no,no,no,no,DOWN
56,SLC12A1,DOWN,no,no,no,no,no,no
57,WSCD2,DOWN,no,DOWN,no,no,DOWN,DOWN
58,SEMA3A,UP,no,no,no,no,no,UP
59,ARHGAP15,UP,no,no,no,no,no,UP
60,MBNL3,DOWN,no,no,no,no,no,DOWN
61,NMRK2,DOWN,DOWN,no,no,no,UP,DOWN
62,CAPN6,UP,no,no,no,no,no,no
63,DCX,DOWN,no,UP,no,no,UP,no
64,EDN1,DOWN,UP,no,no,no,no,no
65,ITM2A,DOWN,no,no,no,no,no,DOWN
66,BRINP1,DOWN,no,no,no,no,no,DOWN
67,RUNX1T1,DOWN,no,no,no,no,no,DOWN
68,SMARCA2,DOWN,no,no,no,no,no,DOWN
69,KCNN2,DOWN,no,no,no,no,no,DOWN
70,LRP2,UP,no,no,no,no,no,UP
71,GRHL2,DOWN,no,no,no,no,no,DOWN
72,P2RX5,DOWN,no,no,no,no,no,DOWN
73,COL16A1,DOWN,no,no,no,no,no,DOWN
74,BCORL1,UP,no,no,no,no,no,UP
75,MECOM,UP,no,no,no,no,no,UP
76,GNAO1,DOWN,no,no,no,no,no,DOWN
77,TFAP2C,DOWN,no,no,no,no,no,DOWN
78,DNMT3B,DOWN,DOWN,no,no,no,DOWN,DOWN
79,ARHGAP28,UP,no,no,no,no,DOWN,UP
80,EBF4,DOWN,no,no,no,no,UP,DOWN
81,LZTS3,DOWN,no,no,no,no,UP,DOWN
82,P3H2,DOWN,no,no,no,no,UP,no
83,ZFHX4,UP,no,no,no,no,no,UP
84,CCDC80,UP,no,UP,no,no,UP,UP
85,DAZL,DOWN,no,no,no,no,no,DOWN
86,EZR,DOWN,no,no,no,no,no,DOWN
87,UNC13D,DOWN,no,no,no,no,no,DOWN
88,TGFB2,DOWN,no,no,no,no,no,no
89,EPB41L4B,DOWN,no,no,no,no,no,DOWN
90,CYP26A1,DOWN,no,no,no,no,no,DOWN
91,ITPR3,DOWN,no,no,no,no,no,DOWN
92,MACROH2A2,UP,no,no,no,no,no,UP
93,KCNK6,DOWN,no,no,no,no,no,DOWN
94,TTC28,UP,no,no,no,no,no,UP
95,CABP7,DOWN,no,UP,no,no,UP,DOWN
96,PNPLA3,DOWN,no,no,UP,no,UP,DOWN
97,KCNK10,UP,no,no,no,no,no,UP
98,PCK2,DOWN,no,no,no,no,no,DOWN
99,PROCR,DOWN,no,no,no,no,UP,DOWN
100,BMP7,DOWN,no,UP,no,no,UP,no
101,SLC17A9,DOWN,no,no,no,no,UP,DOWN
102,NKAIN4,DOWN,no,no,no,no,no,DOWN
103,FERMT1,DOWN,no,no,no,no,DOWN,DOWN
104,HCK,DOWN,no,no,no,no,no,DOWN
105,SAMHD1,DOWN,no,no,no,no,no,DOWN
106,WFDC2,DOWN,no,no,no,no,no,DOWN
107,MAP1LC3A,DOWN,UP,UP,no,no,UP,no
108,SYNDIG1,DOWN,no,no,no,no,no,DOWN
109,PLS3,DOWN,no,no,no,no,no,no
110,PIM2,DOWN,no,no,no,no,no,DOWN
111,CD99L2,UP,no,no,no,no,no,UP
112,FGF9,UP,no,no,no,no,no,UP
113,FLT1,DOWN,no,no,no,no,no,DOWN
114,ESRP2,DOWN,no,no,no,no,no,DOWN
115,CRYM,DOWN,no,no,no,no,no,DOWN
116,PYCARD,DOWN,no,no,no,no,no,DOWN
117,LACTB,DOWN,no,no,no,no,no,DOWN
118,SCG3,DOWN,DOWN,no,no,no,UP,DOWN
119,RHOV,DOWN,no,no,no,no,no,DOWN
120,SGK3,DOWN,no,no,no,no,no,DOWN
121,CALB1,DOWN,DOWN,no,no,no,no,DOWN
122,ESRP1,DOWN,DOWN,no,no,no,DOWN,DOWN
123,TRPS1,DOWN,no,no,no,no,UP,DOWN
124,NCALD,UP,UP,no,no,no,no,UP
125,TNFRSF10A,DOWN,no,no,no,no,UP,DOWN
126,NEFM,DOWN,no,no,no,no,UP,DOWN
127,PPP1R13L,DOWN,no,no,no,no,no,DOWN
128,IL27RA,DOWN,no,no,no,no,UP,DOWN
129,OLFM2,DOWN,no,no,no,no,no,DOWN
130,APLP1,UP,no,no,no,no,no,UP
131,KCNN1,DOWN,no,no,no,no,no,DOWN
132,HPN,DOWN,no,no,no,no,no,DOWN
133,PTN,UP,no,no,no,no,no,UP
134,MET,DOWN,no,no,no,no,no,no
