"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
"GO:0002181","GO:0002181","cytoplasmic translation",0.0855855855855856,"180/20772",6.40078224989151e-27,2.68384799737951e-23,2.49832637711555e-23,"ENSG00000112306/ENSG00000142541/ENSG00000197958/ENSG00000106263/ENSG00000130741/ENSG00000213741/ENSG00000108107/ENSG00000171858/ENSG00000089157/ENSG00000166441/ENSG00000178982/ENSG00000147604/ENSG00000070756/ENSG00000107581/ENSG00000137154/ENSG00000174444/ENSG00000168028/ENSG00000204628/ENSG00000149273/ENSG00000161016/ENSG00000105640/ENSG00000197728/ENSG00000188846/ENSG00000083845/ENSG00000105193/ENSG00000137818/ENSG00000140988/ENSG00000162244/ENSG00000231500/ENSG00000104408/ENSG00000122406/ENSG00000172809/ENSG00000171863/ENSG00000197756/ENSG00000177600/ENSG00000142676/ENSG00000143947/ENSG00000114391",38,1
"GO:0042254","GO:0042254","ribosome biogenesis",0.0788288288288288,"331/20772",6.78818246273035e-15,1.42314245331142e-11,1.32476739851601e-11,"ENSG00000089048/ENSG00000178718/ENSG00000114767/ENSG00000171858/ENSG00000089157/ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000120800/ENSG00000137154/ENSG00000181163/ENSG00000107833/ENSG00000105202/ENSG00000168028/ENSG00000067533/ENSG00000188846/ENSG00000083845/ENSG00000198498/ENSG00000105193/ENSG00000101361/ENSG00000261236/ENSG00000105373/ENSG00000165732/ENSG00000104872/ENSG00000077348/ENSG00000122406/ENSG00000156928/ENSG00000172809/ENSG00000073536/ENSG00000171863/ENSG00000178105/ENSG00000113460/ENSG00000142676/ENSG00000142207/ENSG00000131653",35,2
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis",0.0405405405405405,"74/20772",1.49184184937609e-14,2.08509762481132e-11,1.94096476403037e-11,"ENSG00000089157/ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000181163/ENSG00000067533/ENSG00000188846/ENSG00000198498/ENSG00000261236/ENSG00000105373/ENSG00000122406/ENSG00000156928/ENSG00000172809/ENSG00000073536/ENSG00000113460/ENSG00000142676/ENSG00000142207/ENSG00000131653",18,15
"GO:0006364","GO:0006364","rRNA processing",0.0585585585585586,"237/20772",9.57956979131212e-12,1.00417840337429e-08,9.34764336478562e-09,"ENSG00000089048/ENSG00000178718/ENSG00000114767/ENSG00000171858/ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000120800/ENSG00000137154/ENSG00000107833/ENSG00000105202/ENSG00000067533/ENSG00000188846/ENSG00000105193/ENSG00000101361/ENSG00000261236/ENSG00000105373/ENSG00000165732/ENSG00000104872/ENSG00000077348/ENSG00000122406/ENSG00000171863/ENSG00000178105/ENSG00000113460/ENSG00000142676/ENSG00000142207",26,4
"GO:0000027","GO:0000027","ribosomal large subunit assembly",0.0225225225225225,"27/20772",1.09721263064562e-10,9.20122512059416e-08,8.56518828301885e-08,"ENSG00000089157/ENSG00000197498/ENSG00000261236/ENSG00000105373/ENSG00000122406/ENSG00000172809/ENSG00000073536/ENSG00000113460/ENSG00000142676/ENSG00000131653",10,173
"GO:0034470","GO:0034470","ncRNA processing",0.0788288288288288,"475/20772",2.23962244935515e-10,1.56512282169102e-07,1.4569333407384e-07,"ENSG00000134323/ENSG00000174720/ENSG00000089048/ENSG00000178718/ENSG00000114767/ENSG00000171858/ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000120800/ENSG00000137154/ENSG00000107833/ENSG00000105202/ENSG00000091127/ENSG00000067533/ENSG00000188846/ENSG00000105193/ENSG00000101361/ENSG00000177192/ENSG00000261236/ENSG00000113569/ENSG00000105373/ENSG00000037474/ENSG00000064102/ENSG00000165732/ENSG00000104872/ENSG00000077348/ENSG00000122406/ENSG00000171863/ENSG00000178105/ENSG00000113460/ENSG00000142676/ENSG00000142207/ENSG00000187772/ENSG00000109911",35,3
"GO:0016072","GO:0016072","rRNA metabolic process",0.0585585585585586,"279/20772",3.640294556706e-10,2.1805364394669e-07,2.02980634831066e-07,"ENSG00000089048/ENSG00000178718/ENSG00000114767/ENSG00000171858/ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000120800/ENSG00000137154/ENSG00000107833/ENSG00000105202/ENSG00000067533/ENSG00000188846/ENSG00000105193/ENSG00000101361/ENSG00000261236/ENSG00000105373/ENSG00000165732/ENSG00000104872/ENSG00000077348/ENSG00000122406/ENSG00000171863/ENSG00000178105/ENSG00000113460/ENSG00000142676/ENSG00000142207",26,5
"GO:0042255","GO:0042255","ribosome assembly",0.0292792792792793,"62/20772",5.23854261288856e-10,2.74565114698021e-07,2.55585736955142e-07,"ENSG00000089157/ENSG00000197498/ENSG00000181163/ENSG00000168028/ENSG00000083845/ENSG00000261236/ENSG00000105373/ENSG00000122406/ENSG00000172809/ENSG00000073536/ENSG00000113460/ENSG00000142676/ENSG00000131653",13,57
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly",0.0518018018018018,"265/20772",1.48318683878825e-08,6.9100026833768e-06,6.43234713242903e-06,"ENSG00000142541/ENSG00000106263/ENSG00000130741/ENSG00000089157/ENSG00000164985/ENSG00000197498/ENSG00000178982/ENSG00000107581/ENSG00000168028/ENSG00000151131/ENSG00000083845/ENSG00000145833/ENSG00000261236/ENSG00000105373/ENSG00000104872/ENSG00000104408/ENSG00000122406/ENSG00000172809/ENSG00000073536/ENSG00000113460/ENSG00000142676/ENSG00000137574/ENSG00000131653",23,7
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization",0.0518018018018018,"273/20772",2.58745740636957e-08,1.08492089049076e-05,1.00992548029667e-05,"ENSG00000142541/ENSG00000106263/ENSG00000130741/ENSG00000089157/ENSG00000164985/ENSG00000197498/ENSG00000178982/ENSG00000107581/ENSG00000168028/ENSG00000151131/ENSG00000083845/ENSG00000145833/ENSG00000261236/ENSG00000105373/ENSG00000104872/ENSG00000104408/ENSG00000122406/ENSG00000172809/ENSG00000073536/ENSG00000113460/ENSG00000142676/ENSG00000137574/ENSG00000131653",23,8
"GO:1990830","GO:1990830","cellular response to leukemia inhibitory factor",0.027027027027027,"106/20772",2.81155712125678e-06,0.0010717144554027,0.000997631943121543,"ENSG00000163710/ENSG00000172819/ENSG00000121207/ENSG00000005022/ENSG00000119411/ENSG00000096717/ENSG00000120659/ENSG00000008083/ENSG00000105193/ENSG00000163002/ENSG00000080345/ENSG00000117139",12,73
"GO:1990823","GO:1990823","response to leukemia inhibitory factor",0.027027027027027,"107/20772",3.10637409988049e-06,0.00108541888339991,0.00101038904932955,"ENSG00000163710/ENSG00000172819/ENSG00000121207/ENSG00000005022/ENSG00000119411/ENSG00000096717/ENSG00000120659/ENSG00000008083/ENSG00000105193/ENSG00000163002/ENSG00000080345/ENSG00000117139",12,74
"GO:0000470","GO:0000470","maturation of LSU-rRNA",0.0135135135135135,"24/20772",8.95046381469414e-06,0.00284885440533935,0.00265192667854904,"ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000067533/ENSG00000261236/ENSG00000142207",6,530
"GO:0086065","GO:0086065","cell communication involved in cardiac conduction",0.0202702702702703,"65/20772",9.51203474236845e-06,0.00284885440533935,0.00265192667854904,"ENSG00000177098/ENSG00000080709/ENSG00000018625/ENSG00000119782/ENSG00000046604/ENSG00000113569/ENSG00000198626/ENSG00000154639/ENSG00000096696",9,243
"GO:0006413","GO:0006413","translational initiation",0.027027027027027,"135/20772",3.3849014805971e-05,0.00946192793876243,0.00880786995793267,"ENSG00000142541/ENSG00000106263/ENSG00000092345/ENSG00000130741/ENSG00000178982/ENSG00000085760/ENSG00000107581/ENSG00000181163/ENSG00000149273/ENSG00000083845/ENSG00000104408/ENSG00000155506",12,75
"GO:0035148","GO:0035148","tube formation",0.0292792792792793,"170/20772",7.77318211926447e-05,0.0203133135274839,0.0189091509809357,"ENSG00000170561/ENSG00000166145/ENSG00000172819/ENSG00000104332/ENSG00000165731/ENSG00000153094/ENSG00000121897/ENSG00000125850/ENSG00000138182/ENSG00000147862/ENSG00000149418/ENSG00000106078/ENSG00000171863",13,58
"GO:0051444","GO:0051444","negative regulation of ubiquitin-protein transferase activity",0.0112612612612613,"22/20772",8.50599468358965e-05,0.0203133135274839,0.0189091509809357,"ENSG00000154473/ENSG00000116670/ENSG00000122406/ENSG00000171863/ENSG00000142676",5,684
"GO:1904667","GO:1904667","negative regulation of ubiquitin protein ligase activity",0.00900900900900901,"12/20772",8.89643916958925e-05,0.0203133135274839,0.0189091509809357,"ENSG00000116670/ENSG00000122406/ENSG00000171863/ENSG00000142676",4,880
"GO:0061337","GO:0061337","cardiac conduction",0.0225225225225225,"106/20772",9.20469728171222e-05,0.0203133135274839,0.0189091509809357,"ENSG00000177098/ENSG00000080709/ENSG00000018625/ENSG00000119782/ENSG00000046604/ENSG00000113569/ENSG00000118160/ENSG00000198626/ENSG00000154639/ENSG00000096696",10,174
"GO:0048732","GO:0048732","gland development",0.0540540540540541,"483/20772",0.00012654317851374,0.0265297773754055,0.0246959003120498,"ENSG00000039068/ENSG00000130707/ENSG00000198931/ENSG00000172819/ENSG00000241186/ENSG00000004478/ENSG00000156925/ENSG00000104332/ENSG00000103067/ENSG00000215021/ENSG00000105707/ENSG00000120659/ENSG00000153094/ENSG00000128951/ENSG00000008083/ENSG00000117595/ENSG00000147862/ENSG00000172216/ENSG00000115738/ENSG00000106078/ENSG00000145545/ENSG00000100889/ENSG00000074047/ENSG00000117139",24,6
"GO:0000460","GO:0000460","maturation of 5.8S rRNA",0.0135135135135135,"38/20772",0.000142523088305362,0.0284571099649705,0.0264900055857785,"ENSG00000171858/ENSG00000198042/ENSG00000120800/ENSG00000067533/ENSG00000261236/ENSG00000142207",6,531
"GO:0045216","GO:0045216","cell-cell junction organization",0.0337837837837838,"233/20772",0.000157744399844093,0.0300646485702855,0.0279864227091816,"ENSG00000158769/ENSG00000184697/ENSG00000039068/ENSG00000174607/ENSG00000181885/ENSG00000010278/ENSG00000134873/ENSG00000164251/ENSG00000140832/ENSG00000105289/ENSG00000046604/ENSG00000189143/ENSG00000204936/ENSG00000154639/ENSG00000096696",15,32
"GO:0002183","GO:0002183","cytoplasmic translational initiation",0.0135135135135135,"40/20772",0.000191143408897899,0.0345957094745994,0.0322042729691878,"ENSG00000142541/ENSG00000106263/ENSG00000130741/ENSG00000178982/ENSG00000107581/ENSG00000104408",6,532
"GO:2000647","GO:2000647","negative regulation of stem cell proliferation",0.0112612612612613,"26/20772",0.000198019801428663,0.0345957094745994,0.0322042729691878,"ENSG00000175707/ENSG00000172819/ENSG00000117595/ENSG00000125850/ENSG00000147862",5,685
"GO:0001838","GO:0001838","embryonic epithelial tube formation",0.0247747747747748,"141/20772",0.000229244608863431,0.0357583987974436,0.0332865911207704,"ENSG00000170561/ENSG00000166145/ENSG00000172819/ENSG00000104332/ENSG00000165731/ENSG00000121897/ENSG00000125850/ENSG00000138182/ENSG00000149418/ENSG00000106078/ENSG00000171863",11,118
"GO:2001235","GO:2001235","positive regulation of apoptotic signaling pathway",0.027027027027027,"165/20772",0.00023267103191473,0.0357583987974436,0.0332865911207704,"ENSG00000182866/ENSG00000136943/ENSG00000096717/ENSG00000109861/ENSG00000104332/ENSG00000165731/ENSG00000204628/ENSG00000149273/ENSG00000153094/ENSG00000171863/ENSG00000142676/ENSG00000131653",12,76
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis",0.0202702702702703,"97/20772",0.000233034036094908,0.0357583987974436,0.0332865911207704,"ENSG00000171858/ENSG00000120800/ENSG00000137154/ENSG00000181163/ENSG00000168028/ENSG00000083845/ENSG00000105193/ENSG00000172809/ENSG00000171863",9,244
"GO:0033598","GO:0033598","mammary gland epithelial cell proliferation",0.0112612612612613,"27/20772",0.000238787304156552,0.0357583987974436,0.0332865911207704,"ENSG00000215021/ENSG00000120659/ENSG00000172216/ENSG00000115738/ENSG00000117139",5,686
