"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
"GO:0010975","GO:0010975","regulation of neuron projection development",0.0743589743589744,"480/20772",3.73695203673011e-08,0.000148543843460022,0.000125089552387387,"ENSG00000171533/ENSG00000138760/ENSG00000157851/ENSG00000165323/ENSG00000170558/ENSG00000163110/ENSG00000152377/ENSG00000026025/ENSG00000082701/ENSG00000107130/ENSG00000150764/ENSG00000185924/ENSG00000125266/ENSG00000203879/ENSG00000153266/ENSG00000187323/ENSG00000180370/ENSG00000006210/ENSG00000107485/ENSG00000103260/ENSG00000145147/ENSG00000094631/ENSG00000162374/ENSG00000115694/ENSG00000196576/ENSG00000135333/ENSG00000117385/ENSG00000138443/ENSG00000169760",29,1
"GO:0007409","GO:0007409","axonogenesis",0.0692307692307692,"456/20772",1.67511381565801e-07,0.00033292887086203,0.00028036115441013,"ENSG00000171533/ENSG00000173482/ENSG00000157851/ENSG00000105290/ENSG00000170558/ENSG00000004848/ENSG00000171791/ENSG00000082701/ENSG00000129116/ENSG00000150764/ENSG00000125266/ENSG00000203879/ENSG00000153266/ENSG00000187323/ENSG00000180370/ENSG00000138696/ENSG00000107485/ENSG00000166313/ENSG00000103260/ENSG00000145147/ENSG00000094631/ENSG00000166963/ENSG00000115694/ENSG00000182197/ENSG00000196576/ENSG00000073921/ENSG00000135333",27,2
"GO:0034329","GO:0034329","cell junction assembly",0.0692307692307692,"483/20772",5.21136496887055e-07,0.000690505858375348,0.00058147861757924,"ENSG00000150471/ENSG00000129474/ENSG00000075618/ENSG00000137575/ENSG00000113361/ENSG00000170558/ENSG00000163110/ENSG00000151422/ENSG00000171791/ENSG00000166949/ENSG00000169057/ENSG00000125266/ENSG00000107186/ENSG00000180370/ENSG00000155366/ENSG00000128594/ENSG00000158258/ENSG00000134318/ENSG00000150625/ENSG00000196576/ENSG00000137076/ENSG00000108861/ENSG00000140557/ENSG00000135333/ENSG00000137801/ENSG00000146242/ENSG00000169760",27,3
"GO:0007178","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway",0.0641025641025641,"432/20772",7.38683292419721e-07,0.000734066521842098,0.00061816128155124,"ENSG00000072415/ENSG00000148204/ENSG00000148516/ENSG00000142871/ENSG00000150593/ENSG00000137575/ENSG00000150457/ENSG00000125378/ENSG00000026025/ENSG00000166949/ENSG00000166147/ENSG00000081479/ENSG00000150938/ENSG00000138696/ENSG00000138829/ENSG00000069702/ENSG00000176973/ENSG00000064393/ENSG00000147257/ENSG00000182197/ENSG00000168874/ENSG00000137801/ENSG00000018408/ENSG00000142611/ENSG00000144730",25,4
"GO:0071559","GO:0071559","response to transforming growth factor beta",0.0512820512820513,"300/20772",1.12980778809787e-06,0.000740300616346759,0.000623411045344639,"ENSG00000072415/ENSG00000110693/ENSG00000148516/ENSG00000137575/ENSG00000150457/ENSG00000140836/ENSG00000166949/ENSG00000166147/ENSG00000148677/ENSG00000180370/ENSG00000138829/ENSG00000069702/ENSG00000176973/ENSG00000134318/ENSG00000064393/ENSG00000115226/ENSG00000137801/ENSG00000134532/ENSG00000142611/ENSG00000144730",20,21
"GO:0001822","GO:0001822","kidney development",0.0538461538461538,"331/20772",1.35558540721376e-06,0.000740300616346759,0.000623411045344639,"ENSG00000171456/ENSG00000109906/ENSG00000171016/ENSG00000150347/ENSG00000125378/ENSG00000171791/ENSG00000166949/ENSG00000166147/ENSG00000138792/ENSG00000125266/ENSG00000081479/ENSG00000113721/ENSG00000153936/ENSG00000107485/ENSG00000145147/ENSG00000147257/ENSG00000182197/ENSG00000135333/ENSG00000138193/ENSG00000018408/ENSG00000117707",21,16
"GO:0003281","GO:0003281","ventricular septum development",0.0256410256410256,"77/20772",1.73767683424442e-06,0.000740300616346759,0.000623411045344639,"ENSG00000142871/ENSG00000125378/ENSG00000081479/ENSG00000166847/ENSG00000092148/ENSG00000069702/ENSG00000107485/ENSG00000145147/ENSG00000166225/ENSG00000117707",10,210
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization",0.0615384615384615,"426/20772",1.97291185652338e-06,0.000740300616346759,0.000623411045344639,"ENSG00000118523/ENSG00000172638/ENSG00000101871/ENSG00000165410/ENSG00000151422/ENSG00000197694/ENSG00000166949/ENSG00000169057/ENSG00000106624/ENSG00000130779/ENSG00000180370/ENSG00000006210/ENSG00000155366/ENSG00000145147/ENSG00000094631/ENSG00000134318/ENSG00000151491/ENSG00000166963/ENSG00000087274/ENSG00000139687/ENSG00000109171/ENSG00000138443/ENSG00000117707/ENSG00000183853",24,5
"GO:0035329","GO:0035329","hippo signaling",0.0205128205128205,"46/20772",2.00995269338063e-06,0.000740300616346759,0.000623411045344639,"ENSG00000129474/ENSG00000114019/ENSG00000187079/ENSG00000150457/ENSG00000142279/ENSG00000144560/ENSG00000114978/ENSG00000018408",8,319
"GO:0072001","GO:0072001","renal system development",0.0538461538461538,"341/20772",2.1760514103629e-06,0.000740300616346759,0.000623411045344639,"ENSG00000171456/ENSG00000109906/ENSG00000171016/ENSG00000150347/ENSG00000125378/ENSG00000171791/ENSG00000166949/ENSG00000166147/ENSG00000138792/ENSG00000125266/ENSG00000081479/ENSG00000113721/ENSG00000153936/ENSG00000107485/ENSG00000145147/ENSG00000147257/ENSG00000182197/ENSG00000135333/ENSG00000138193/ENSG00000018408/ENSG00000117707",21,17
