"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
"GO:0060271","GO:0060271","cilium assembly",0.0776699029126214,"381/20772",7.05483350878381e-12,2.06938561897613e-08,1.72744815844496e-08,"ENSG00000122417/ENSG00000105792/ENSG00000170264/ENSG00000160188/ENSG00000118965/ENSG00000162543/ENSG00000135315/ENSG00000068885/ENSG00000181378/ENSG00000206530/ENSG00000127328/ENSG00000171811/ENSG00000110318/ENSG00000204104/ENSG00000118997/ENSG00000125354/ENSG00000152582/ENSG00000111834/ENSG00000187240/ENSG00000158716/ENSG00000197748/ENSG00000112981/ENSG00000183833/ENSG00000196659/ENSG00000183644/ENSG00000204852/ENSG00000188596/ENSG00000129295/ENSG00000141013/ENSG00000165506/ENSG00000154099/ENSG00000137343",32,4
"GO:0044782","GO:0044782","cilium organization",0.0800970873786408,"410/20772",1.03832695382646e-11,2.06938561897613e-08,1.72744815844496e-08,"ENSG00000122417/ENSG00000105792/ENSG00000170264/ENSG00000160188/ENSG00000118965/ENSG00000162543/ENSG00000135315/ENSG00000188316/ENSG00000068885/ENSG00000181378/ENSG00000206530/ENSG00000127328/ENSG00000171811/ENSG00000110318/ENSG00000204104/ENSG00000118997/ENSG00000125354/ENSG00000152582/ENSG00000111834/ENSG00000187240/ENSG00000158716/ENSG00000197748/ENSG00000112981/ENSG00000183833/ENSG00000196659/ENSG00000183644/ENSG00000204852/ENSG00000188596/ENSG00000129295/ENSG00000141013/ENSG00000165506/ENSG00000154099/ENSG00000137343",33,1
"GO:0001578","GO:0001578","microtubule bundle formation",0.0436893203883495,"124/20772",4.68011693243648e-11,6.2183153642306e-08,5.19082442927429e-08,"ENSG00000105792/ENSG00000160188/ENSG00000077274/ENSG00000181378/ENSG00000167566/ENSG00000206530/ENSG00000170703/ENSG00000171811/ENSG00000118997/ENSG00000152582/ENSG00000111834/ENSG00000197748/ENSG00000183833/ENSG00000183644/ENSG00000129295/ENSG00000141013/ENSG00000165506/ENSG00000154099",18,40
"GO:0035082","GO:0035082","axoneme assembly",0.0364077669902913,"95/20772",5.84091510432256e-10,5.32249015874588e-07,4.44302199587919e-07,"ENSG00000105792/ENSG00000160188/ENSG00000181378/ENSG00000206530/ENSG00000171811/ENSG00000118997/ENSG00000152582/ENSG00000111834/ENSG00000197748/ENSG00000183833/ENSG00000183644/ENSG00000129295/ENSG00000141013/ENSG00000165506/ENSG00000154099",15,80
"GO:0003341","GO:0003341","cilium movement",0.0509708737864078,"202/20772",6.82766888630016e-10,5.32249015874588e-07,4.44302199587919e-07,"ENSG00000105792/ENSG00000188316/ENSG00000181378/ENSG00000206530/ENSG00000170703/ENSG00000171811/ENSG00000118997/ENSG00000152582/ENSG00000111834/ENSG00000088727/ENSG00000197748/ENSG00000112981/ENSG00000151023/ENSG00000183833/ENSG00000183644/ENSG00000188596/ENSG00000131044/ENSG00000129295/ENSG00000141013/ENSG00000165506/ENSG00000154099",21,27
"GO:0016055","GO:0016055","Wnt signaling pathway",0.0800970873786408,"485/20772",8.42164846796038e-10,5.32249015874588e-07,4.44302199587919e-07,"ENSG00000205213/ENSG00000065717/ENSG00000104953/ENSG00000163251/ENSG00000148737/ENSG00000111087/ENSG00000187098/ENSG00000164690/ENSG00000103449/ENSG00000188906/ENSG00000146678/ENSG00000106723/ENSG00000070193/ENSG00000173218/ENSG00000068885/ENSG00000177283/ENSG00000182704/ENSG00000104964/ENSG00000187123/ENSG00000101311/ENSG00000180730/ENSG00000133937/ENSG00000162998/ENSG00000114251/ENSG00000124766/ENSG00000110492/ENSG00000187147/ENSG00000269113/ENSG00000107104/ENSG00000151617/ENSG00000152284/ENSG00000102119/ENSG00000075275",33,2
"GO:0198738","GO:0198738","cell-cell signaling by wnt",0.0800970873786408,"487/20772",9.34707253166612e-10,5.32249015874588e-07,4.44302199587919e-07,"ENSG00000205213/ENSG00000065717/ENSG00000104953/ENSG00000163251/ENSG00000148737/ENSG00000111087/ENSG00000187098/ENSG00000164690/ENSG00000103449/ENSG00000188906/ENSG00000146678/ENSG00000106723/ENSG00000070193/ENSG00000173218/ENSG00000068885/ENSG00000177283/ENSG00000182704/ENSG00000104964/ENSG00000187123/ENSG00000101311/ENSG00000180730/ENSG00000133937/ENSG00000162998/ENSG00000114251/ENSG00000124766/ENSG00000110492/ENSG00000187147/ENSG00000269113/ENSG00000107104/ENSG00000151617/ENSG00000152284/ENSG00000102119/ENSG00000075275",33,3
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway",0.0655339805825243,"351/20772",2.24428221416962e-09,1.11821361321001e-06,9.33444220919758e-07,"ENSG00000205213/ENSG00000065717/ENSG00000104953/ENSG00000148737/ENSG00000111087/ENSG00000164690/ENSG00000103449/ENSG00000188906/ENSG00000146678/ENSG00000106723/ENSG00000070193/ENSG00000068885/ENSG00000182704/ENSG00000104964/ENSG00000187123/ENSG00000101311/ENSG00000180730/ENSG00000133937/ENSG00000162998/ENSG00000114251/ENSG00000124766/ENSG00000110492/ENSG00000187147/ENSG00000269113/ENSG00000107104/ENSG00000152284/ENSG00000102119",27,10
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility",0.0436893203883495,"164/20772",4.82681978403295e-09,1.92397036591553e-06,1.60606077235033e-06,"ENSG00000105792/ENSG00000188316/ENSG00000181378/ENSG00000206530/ENSG00000170703/ENSG00000171811/ENSG00000118997/ENSG00000152582/ENSG00000111834/ENSG00000088727/ENSG00000197748/ENSG00000151023/ENSG00000183644/ENSG00000188596/ENSG00000131044/ENSG00000129295/ENSG00000141013/ENSG00000165506",18,41
"GO:0060285","GO:0060285","cilium-dependent cell motility",0.0436893203883495,"164/20772",4.82681978403295e-09,1.92397036591553e-06,1.60606077235033e-06,"ENSG00000105792/ENSG00000188316/ENSG00000181378/ENSG00000206530/ENSG00000170703/ENSG00000171811/ENSG00000118997/ENSG00000152582/ENSG00000111834/ENSG00000088727/ENSG00000197748/ENSG00000151023/ENSG00000183644/ENSG00000188596/ENSG00000131044/ENSG00000129295/ENSG00000141013/ENSG00000165506",18,42
