,gene,day02,day04,day06,day08,day10,day12
1,FOXA2,YES,YES,YES,YES,YES,YES
2,FGF19,YES,no,no,no,no,no
3,FREM1,YES,YES,YES,YES,YES,YES
4,HTR1D,YES,YES,YES,YES,YES,YES
5,PTCH1,YES,YES,YES,YES,YES,YES
6,C11orf96,YES,no,no,no,no,no
7,DNAH5,no,YES,YES,no,no,no
8,TLE2,no,YES,YES,YES,YES,YES
9,FGF10,no,YES,YES,YES,no,YES
10,CAPN6,no,YES,YES,YES,YES,YES
11,DCX,no,YES,YES,no,no,no
12,EDN1,no,YES,no,no,no,no
13,CHRD,no,YES,YES,YES,no,no
14,ITPR3,no,YES,YES,YES,no,no
15,PNPLA3,no,YES,YES,YES,no,no
16,ELF4,no,YES,YES,YES,no,YES
17,SYT17,no,YES,no,no,no,no
18,TLE6,no,YES,YES,YES,YES,YES
19,MET,no,YES,no,no,no,no
20,GLI1,no,YES,YES,YES,YES,YES
21,ST8SIA4,no,YES,YES,no,no,no
22,QPCT,no,YES,YES,no,no,no
23,SOHLH2,no,YES,YES,YES,YES,YES
24,TWIST1,no,YES,YES,no,no,YES
25,RUNX2,no,YES,YES,YES,YES,YES
26,NKX2-2,no,YES,YES,YES,YES,no
27,AMOT,no,YES,YES,YES,no,no
28,FOXA1,no,YES,YES,YES,YES,YES
29,CDKN1C,no,YES,YES,no,no,no
30,ATP8B3,no,YES,no,no,no,no
31,GSC,no,YES,YES,YES,YES,YES
32,RAX,no,YES,YES,YES,YES,no
33,SOX3,no,YES,YES,no,no,no
34,NPL,no,YES,YES,YES,YES,YES
35,NKX2-8,no,YES,YES,YES,YES,no
36,NKX2-1,no,YES,YES,YES,YES,YES
37,ERMN,no,YES,YES,YES,YES,no
38,SIX3,no,YES,YES,YES,YES,YES
39,GPC3,no,YES,YES,no,no,no
40,STOM,no,YES,YES,YES,YES,YES
41,NKX6-2,no,YES,no,no,no,no
42,BMP3,no,YES,YES,YES,YES,YES
43,FEZF2,no,YES,no,no,no,no
44,RETREG1,no,YES,YES,no,no,no
45,DGKI,no,YES,YES,YES,YES,YES
46,TFF3,no,YES,YES,YES,YES,YES
47,HHIP,no,YES,YES,YES,YES,YES
48,SHH,no,YES,YES,YES,YES,YES
49,SCARA5,no,YES,no,no,no,YES
50,CXCL10,no,YES,YES,YES,YES,YES
51,HOPX,no,YES,YES,no,no,no
52,OVOS2,no,YES,YES,YES,YES,no
53,EPHB3,no,YES,YES,YES,no,no
54,SIX6,no,YES,YES,no,no,no
55,ROBO2,no,YES,no,no,no,no
56,MPPED1,no,YES,YES,YES,YES,YES
57,FYB2,no,YES,no,no,no,no
58,MBP,no,YES,no,YES,no,no
59,ITPRIPL2,no,YES,no,no,no,no
60,S1PR3,no,YES,YES,YES,no,no
61,MIR205HG,no,YES,no,no,no,no
62,LOC124901861,no,YES,no,no,no,no
63,CCDC169,no,YES,YES,YES,no,no
64,LINC01833,no,YES,YES,YES,YES,YES
