"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
"GO:0030900","GO:0030900","forebrain development",0.0794871794871795,"434/20772",2.25715212217059e-10,9.40555289308485e-07,8.10198814379128e-07,"ENSG00000188064/ENSG00000182968/ENSG00000170370/ENSG00000007372/ENSG00000106571/ENSG00000184486/ENSG00000115507/ENSG00000066468/ENSG00000154342/ENSG00000075213/ENSG00000163132/ENSG00000134245/ENSG00000173376/ENSG00000064309/ENSG00000110880/ENSG00000138623/ENSG00000162992/ENSG00000137285/ENSG00000152977/ENSG00000184845/ENSG00000112333/ENSG00000117394/ENSG00000180616/ENSG00000137267/ENSG00000138772/ENSG00000074181/ENSG00000118193/ENSG00000184144/ENSG00000171450/ENSG00000138795/ENSG00000184254",31,1
"GO:0007389","GO:0007389","pattern specification process",0.0794871794871795,"495/20772",5.38529878522868e-09,9.63379929469454e-06,8.29860068329061e-06,"ENSG00000188064/ENSG00000182968/ENSG00000164651/ENSG00000170370/ENSG00000007372/ENSG00000198435/ENSG00000106571/ENSG00000167081/ENSG00000115507/ENSG00000066468/ENSG00000154342/ENSG00000075290/ENSG00000163132/ENSG00000134245/ENSG00000064309/ENSG00000112175/ENSG00000064218/ENSG00000162992/ENSG00000188290/ENSG00000152977/ENSG00000164056/ENSG00000120149/ENSG00000106003/ENSG00000180875/ENSG00000115596/ENSG00000162738/ENSG00000163909/ENSG00000138795/ENSG00000126778/ENSG00000005102/ENSG00000159263",31,2
"GO:0045664","GO:0045664","regulation of neuron differentiation",0.0487179487179487,"198/20772",6.93578062972969e-09,9.63379929469454e-06,8.29860068329061e-06,"ENSG00000101384/ENSG00000158555/ENSG00000007372/ENSG00000106571/ENSG00000250366/ENSG00000114346/ENSG00000154342/ENSG00000064309/ENSG00000162992/ENSG00000125398/ENSG00000112333/ENSG00000074181/ENSG00000113916/ENSG00000183036/ENSG00000156299/ENSG00000163909/ENSG00000184144/ENSG00000126778/ENSG00000120833",19,19
"GO:0045165","GO:0045165","cell fate commitment",0.0615384615384615,"323/20772",1.21108576694067e-08,1.26164859771045e-05,1.08679012243887e-05,"ENSG00000101384/ENSG00000188064/ENSG00000172020/ENSG00000182968/ENSG00000007372/ENSG00000106571/ENSG00000184486/ENSG00000066468/ENSG00000180447/ENSG00000154342/ENSG00000123307/ENSG00000075290/ENSG00000134245/ENSG00000064309/ENSG00000064218/ENSG00000119547/ENSG00000162992/ENSG00000125398/ENSG00000112333/ENSG00000074181/ENSG00000115596/ENSG00000221818/ENSG00000126778/ENSG00000198795",24,8
"GO:0021761","GO:0021761","limbic system development",0.0384615384615385,"130/20772",2.311283282832e-08,1.92622348791219e-05,1.65925810409624e-05,"ENSG00000170370/ENSG00000106571/ENSG00000184486/ENSG00000066468/ENSG00000154342/ENSG00000173376/ENSG00000162992/ENSG00000152977/ENSG00000184845/ENSG00000112333/ENSG00000138772/ENSG00000118193/ENSG00000171450/ENSG00000138795/ENSG00000184254",15,54
"GO:0007409","GO:0007409","axonogenesis",0.0717948717948718,"456/20772",4.6020698552401e-08,3.19613751446425e-05,2.75316810638048e-05,"ENSG00000144857/ENSG00000172020/ENSG00000007372/ENSG00000106571/ENSG00000184486/ENSG00000187094/ENSG00000066468/ENSG00000124171/ENSG00000154342/ENSG00000075213/ENSG00000106278/ENSG00000078018/ENSG00000108231/ENSG00000104290/ENSG00000118263/ENSG00000035403/ENSG00000138623/ENSG00000137285/ENSG00000154134/ENSG00000112333/ENSG00000074181/ENSG00000067141/ENSG00000147894/ENSG00000111962/ENSG00000156299/ENSG00000184144/ENSG00000143355/ENSG00000168280",28,3
"GO:0001764","GO:0001764","neuron migration",0.0435897435897436,"183/20772",7.00046300645765e-08,3.66780406774625e-05,3.15946392608963e-05,"ENSG00000182968/ENSG00000125492/ENSG00000170370/ENSG00000007372/ENSG00000187094/ENSG00000075213/ENSG00000123307/ENSG00000134369/ENSG00000173376/ENSG00000104290/ENSG00000137285/ENSG00000184845/ENSG00000070808/ENSG00000067141/ENSG00000261678/ENSG00000184144/ENSG00000171450",17,30
"GO:0021537","GO:0021537","telencephalon development",0.0564102564102564,"302/20772",7.04162048043437e-08,3.66780406774625e-05,3.15946392608963e-05,"ENSG00000170370/ENSG00000007372/ENSG00000106571/ENSG00000184486/ENSG00000154342/ENSG00000075213/ENSG00000064309/ENSG00000110880/ENSG00000138623/ENSG00000162992/ENSG00000137285/ENSG00000152977/ENSG00000184845/ENSG00000112333/ENSG00000117394/ENSG00000137267/ENSG00000138772/ENSG00000118193/ENSG00000184144/ENSG00000171450/ENSG00000138795/ENSG00000184254",22,14
"GO:0003002","GO:0003002","regionalization",0.0692307692307692,"450/20772",1.28458335778502e-07,5.94762094654462e-05,5.12330906438234e-05,"ENSG00000188064/ENSG00000182968/ENSG00000164651/ENSG00000170370/ENSG00000007372/ENSG00000198435/ENSG00000106571/ENSG00000167081/ENSG00000115507/ENSG00000066468/ENSG00000154342/ENSG00000075290/ENSG00000163132/ENSG00000134245/ENSG00000064309/ENSG00000064218/ENSG00000162992/ENSG00000188290/ENSG00000164056/ENSG00000120149/ENSG00000106003/ENSG00000180875/ENSG00000162738/ENSG00000163909/ENSG00000138795/ENSG00000126778/ENSG00000005102",27,4
"GO:0072001","GO:0072001","renal system development",0.058974358974359,"341/20772",1.43408938544492e-07,5.97585046914897e-05,5.14762610986017e-05,"ENSG00000101384/ENSG00000188064/ENSG00000187210/ENSG00000170370/ENSG00000106571/ENSG00000008196/ENSG00000066468/ENSG00000134245/ENSG00000120156/ENSG00000137203/ENSG00000164056/ENSG00000125398/ENSG00000074181/ENSG00000115596/ENSG00000162738/ENSG00000115884/ENSG00000077943/ENSG00000075711/ENSG00000105696/ENSG00000163909/ENSG00000126778/ENSG00000091879/ENSG00000169174",23,12
