"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
"GO:0002181","GO:0002181","cytoplasmic translation",0.0835117773019272,"180/20772",3.12866804185641e-27,1.33406405304757e-23,1.23994054500941e-23,"ENSG00000112306/ENSG00000142541/ENSG00000197958/ENSG00000106263/ENSG00000130741/ENSG00000213741/ENSG00000108107/ENSG00000171858/ENSG00000089157/ENSG00000166441/ENSG00000178982/ENSG00000147604/ENSG00000070756/ENSG00000107581/ENSG00000137154/ENSG00000174444/ENSG00000168028/ENSG00000204628/ENSG00000149273/ENSG00000161016/ENSG00000105640/ENSG00000197728/ENSG00000188846/ENSG00000083845/ENSG00000105193/ENSG00000137818/ENSG00000140988/ENSG00000162244/ENSG00000231500/ENSG00000104408/ENSG00000122406/ENSG00000172809/ENSG00000131914/ENSG00000171863/ENSG00000197756/ENSG00000177600/ENSG00000142676/ENSG00000143947/ENSG00000114391",39,1
"GO:0042254","GO:0042254","ribosome biogenesis",0.0792291220556745,"331/20772",9.25308026852369e-16,1.97275671324925e-12,1.83357090584167e-12,"ENSG00000089048/ENSG00000178718/ENSG00000114767/ENSG00000171858/ENSG00000089157/ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000120800/ENSG00000137154/ENSG00000181163/ENSG00000107833/ENSG00000105202/ENSG00000168028/ENSG00000067533/ENSG00000188846/ENSG00000083845/ENSG00000198498/ENSG00000105193/ENSG00000138442/ENSG00000101361/ENSG00000261236/ENSG00000105373/ENSG00000165732/ENSG00000104872/ENSG00000077348/ENSG00000122406/ENSG00000156928/ENSG00000172809/ENSG00000073536/ENSG00000171863/ENSG00000178105/ENSG00000113460/ENSG00000142676/ENSG00000142207/ENSG00000120158/ENSG00000131653",37,2
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis",0.0406852248394004,"74/20772",2.3082603652896e-15,3.28080739919828e-12,3.0493334299352e-12,"ENSG00000089157/ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000181163/ENSG00000067533/ENSG00000188846/ENSG00000198498/ENSG00000138442/ENSG00000261236/ENSG00000105373/ENSG00000122406/ENSG00000156928/ENSG00000172809/ENSG00000073536/ENSG00000113460/ENSG00000142676/ENSG00000142207/ENSG00000131653",19,12
"GO:0006364","GO:0006364","rRNA processing",0.0599571734475375,"237/20772",8.14356284197979e-13,8.68103798955045e-10,8.06855634211945e-10,"ENSG00000089048/ENSG00000178718/ENSG00000114767/ENSG00000171858/ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000120800/ENSG00000137154/ENSG00000107833/ENSG00000105202/ENSG00000067533/ENSG00000188846/ENSG00000105193/ENSG00000138442/ENSG00000101361/ENSG00000261236/ENSG00000105373/ENSG00000165732/ENSG00000104872/ENSG00000077348/ENSG00000122406/ENSG00000171863/ENSG00000178105/ENSG00000113460/ENSG00000142676/ENSG00000142207/ENSG00000120158",28,4
"GO:0016072","GO:0016072","rRNA metabolic process",0.0599571734475375,"279/20772",4.25715955098156e-11,3.63050566507708e-08,3.37435909672539e-08,"ENSG00000089048/ENSG00000178718/ENSG00000114767/ENSG00000171858/ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000120800/ENSG00000137154/ENSG00000107833/ENSG00000105202/ENSG00000067533/ENSG00000188846/ENSG00000105193/ENSG00000138442/ENSG00000101361/ENSG00000261236/ENSG00000105373/ENSG00000165732/ENSG00000104872/ENSG00000077348/ENSG00000122406/ENSG00000171863/ENSG00000178105/ENSG00000113460/ENSG00000142676/ENSG00000142207/ENSG00000120158",28,5
"GO:0000027","GO:0000027","ribosomal large subunit assembly",0.0214132762312634,"27/20772",1.7958223913253e-10,1.27623111276851e-07,1.18618794795434e-07,"ENSG00000089157/ENSG00000197498/ENSG00000261236/ENSG00000105373/ENSG00000122406/ENSG00000172809/ENSG00000073536/ENSG00000113460/ENSG00000142676/ENSG00000131653",10,202
"GO:0034470","GO:0034470","ncRNA processing",0.0770877944325482,"475/20772",2.27697027166609e-10,1.38700017691203e-07,1.28914181546208e-07,"ENSG00000134323/ENSG00000174720/ENSG00000089048/ENSG00000178718/ENSG00000114767/ENSG00000171858/ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000120800/ENSG00000137154/ENSG00000107833/ENSG00000105202/ENSG00000091127/ENSG00000067533/ENSG00000188846/ENSG00000105193/ENSG00000138442/ENSG00000101361/ENSG00000177192/ENSG00000261236/ENSG00000113569/ENSG00000105373/ENSG00000037474/ENSG00000064102/ENSG00000165732/ENSG00000104872/ENSG00000077348/ENSG00000122406/ENSG00000131914/ENSG00000171863/ENSG00000178105/ENSG00000113460/ENSG00000142676/ENSG00000142207/ENSG00000120158",36,3
"GO:0042255","GO:0042255","ribosome assembly",0.0278372591006424,"62/20772",9.68142106983821e-10,5.16019743022377e-07,4.79612504315012e-07,"ENSG00000089157/ENSG00000197498/ENSG00000181163/ENSG00000168028/ENSG00000083845/ENSG00000261236/ENSG00000105373/ENSG00000122406/ENSG00000172809/ENSG00000073536/ENSG00000113460/ENSG00000142676/ENSG00000131653",13,62
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly",0.0492505353319058,"265/20772",3.75786683913663e-08,1.78039380023095e-05,1.65477995898824e-05,"ENSG00000142541/ENSG00000106263/ENSG00000130741/ENSG00000089157/ENSG00000164985/ENSG00000197498/ENSG00000178982/ENSG00000107581/ENSG00000168028/ENSG00000151131/ENSG00000083845/ENSG00000145833/ENSG00000261236/ENSG00000105373/ENSG00000104872/ENSG00000104408/ENSG00000122406/ENSG00000172809/ENSG00000073536/ENSG00000113460/ENSG00000142676/ENSG00000137574/ENSG00000131653",23,7
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization",0.0492505353319058,"273/20772",6.49983338172094e-08,2.77152895396581e-05,2.57598659812414e-05,"ENSG00000142541/ENSG00000106263/ENSG00000130741/ENSG00000089157/ENSG00000164985/ENSG00000197498/ENSG00000178982/ENSG00000107581/ENSG00000168028/ENSG00000151131/ENSG00000083845/ENSG00000145833/ENSG00000261236/ENSG00000105373/ENSG00000104872/ENSG00000104408/ENSG00000122406/ENSG00000172809/ENSG00000073536/ENSG00000113460/ENSG00000142676/ENSG00000137574/ENSG00000131653",23,8
