"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
"GO:0010975","GO:0010975","regulation of neuron projection development",0.0826666666666667,"480/20772",1.0096103606104e-09,2.30319504081465e-06,1.92051279645375e-06,"ENSG00000171533/ENSG00000138760/ENSG00000157851/ENSG00000170558/ENSG00000163110/ENSG00000152377/ENSG00000026025/ENSG00000082701/ENSG00000107130/ENSG00000150764/ENSG00000185924/ENSG00000125266/ENSG00000203879/ENSG00000153266/ENSG00000187323/ENSG00000180370/ENSG00000153707/ENSG00000075223/ENSG00000006210/ENSG00000107485/ENSG00000103260/ENSG00000094631/ENSG00000162374/ENSG00000115694/ENSG00000196576/ENSG00000108947/ENSG00000135333/ENSG00000117385/ENSG00000138443/ENSG00000169760/ENSG00000091129",31,1
"GO:0034329","GO:0034329","cell junction assembly",0.0826666666666667,"483/20772",1.17330363770486e-09,2.30319504081465e-06,1.92051279645375e-06,"ENSG00000150471/ENSG00000129474/ENSG00000075618/ENSG00000137575/ENSG00000113361/ENSG00000170558/ENSG00000163110/ENSG00000151422/ENSG00000171791/ENSG00000166949/ENSG00000169057/ENSG00000125266/ENSG00000107186/ENSG00000180370/ENSG00000153707/ENSG00000155366/ENSG00000128594/ENSG00000158258/ENSG00000134318/ENSG00000150625/ENSG00000196576/ENSG00000137076/ENSG00000108947/ENSG00000108861/ENSG00000140557/ENSG00000135333/ENSG00000137801/ENSG00000146242/ENSG00000169760/ENSG00000164741/ENSG00000091129",31,2
"GO:0007409","GO:0007409","axonogenesis",0.0773333333333333,"456/20772",5.05368603644687e-09,6.6135904596968e-06,5.51472406082448e-06,"ENSG00000171533/ENSG00000173482/ENSG00000157851/ENSG00000105290/ENSG00000170558/ENSG00000004848/ENSG00000171791/ENSG00000082701/ENSG00000129116/ENSG00000150764/ENSG00000125266/ENSG00000203879/ENSG00000153266/ENSG00000187323/ENSG00000180370/ENSG00000138696/ENSG00000075223/ENSG00000107485/ENSG00000166313/ENSG00000103260/ENSG00000094631/ENSG00000166963/ENSG00000115694/ENSG00000182197/ENSG00000196576/ENSG00000108947/ENSG00000073921/ENSG00000135333/ENSG00000091129",29,3
"GO:0031589","GO:0031589","cell-substrate adhesion",0.0666666666666667,"401/20772",8.74461102427612e-08,8.58283572032702e-05,7.15677375934178e-05,"ENSG00000197702/ENSG00000129474/ENSG00000118523/ENSG00000142871/ENSG00000167601/ENSG00000151422/ENSG00000152377/ENSG00000171791/ENSG00000166949/ENSG00000127990/ENSG00000137103/ENSG00000082701/ENSG00000132669/ENSG00000111859/ENSG00000169231/ENSG00000006210/ENSG00000134318/ENSG00000137076/ENSG00000108861/ENSG00000160963/ENSG00000083457/ENSG00000074527/ENSG00000137801/ENSG00000164741/ENSG00000091986",25,4
"GO:0035329","GO:0035329","hippo signaling",0.024,"46/20772",1.13082222857346e-07,8.87921613875878e-05,7.40390974918621e-05,"ENSG00000129474/ENSG00000114019/ENSG00000187079/ENSG00000150457/ENSG00000142279/ENSG00000007866/ENSG00000144560/ENSG00000114978/ENSG00000018408",9,257
"GO:0007416","GO:0007416","synapse assembly",0.0453333333333333,"207/20772",2.38677062444694e-07,0.000156174357859645,0.000130225555123333,"ENSG00000150471/ENSG00000137575/ENSG00000170558/ENSG00000163110/ENSG00000169057/ENSG00000125266/ENSG00000153707/ENSG00000128594/ENSG00000158258/ENSG00000150625/ENSG00000196576/ENSG00000108947/ENSG00000140557/ENSG00000135333/ENSG00000146242/ENSG00000169760/ENSG00000091129",17,39
"GO:0061036","GO:0061036","positive regulation of cartilage development",0.0186666666666667,"33/20772",1.68456486209895e-06,0.000944800235514355,0.000787819055808683,"ENSG00000110693/ENSG00000109906/ENSG00000142871/ENSG00000125378/ENSG00000166949/ENSG00000138696/ENSG00000134532",7,413
"GO:0050770","GO:0050770","regulation of axonogenesis",0.0373333333333333,"167/20772",2.17254290040861e-06,0.00106617542837552,0.000889027423719838,"ENSG00000171533/ENSG00000170558/ENSG00000082701/ENSG00000150764/ENSG00000203879/ENSG00000187323/ENSG00000180370/ENSG00000075223/ENSG00000103260/ENSG00000094631/ENSG00000115694/ENSG00000196576/ENSG00000108947/ENSG00000135333",14,84
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization",0.0373333333333333,"177/20772",4.30604557162471e-06,0.00152247060997899,0.00126950789528237,"ENSG00000171533/ENSG00000101871/ENSG00000185340/ENSG00000082701/ENSG00000150764/ENSG00000169057/ENSG00000130779/ENSG00000107186/ENSG00000182628/ENSG00000094631/ENSG00000166963/ENSG00000109171/ENSG00000115561/ENSG00000152503",14,85
"GO:0030900","GO:0030900","forebrain development",0.0613333333333333,"434/20772",4.64156361700072e-06,0.00152247060997899,0.00126950789528237,"ENSG00000072415/ENSG00000148516/ENSG00000167552/ENSG00000105290/ENSG00000146648/ENSG00000111783/ENSG00000125378/ENSG00000170558/ENSG00000004848/ENSG00000167601/ENSG00000082701/ENSG00000150764/ENSG00000185924/ENSG00000153266/ENSG00000081479/ENSG00000096093/ENSG00000162374/ENSG00000185551/ENSG00000182197/ENSG00000166225/ENSG00000147526/ENSG00000164741/ENSG00000117707",23,5
"GO:0072178","GO:0072178","nephric duct morphogenesis",0.0133333333333333,"15/20772",4.83117576030769e-06,0.00152247060997899,0.00126950789528237,"ENSG00000125378/ENSG00000125266/ENSG00000107485/ENSG00000147257/ENSG00000135333",5,656
"GO:0016358","GO:0016358","dendrite development",0.0453333333333333,"259/20772",5.28505378587798e-06,0.00152247060997899,0.00126950789528237,"ENSG00000171533/ENSG00000157851/ENSG00000163110/ENSG00000082701/ENSG00000169057/ENSG00000153266/ENSG00000187323/ENSG00000180370/ENSG00000153707/ENSG00000094631/ENSG00000162374/ENSG00000166963/ENSG00000073921/ENSG00000135905/ENSG00000138443/ENSG00000146242/ENSG00000169760",17,40
"GO:0003279","GO:0003279","cardiac septum development",0.0293333333333333,"111/20772",5.40922091130235e-06,0.00152247060997899,0.00126950789528237,"ENSG00000197702/ENSG00000142871/ENSG00000125378/ENSG00000081479/ENSG00000166847/ENSG00000092148/ENSG00000069702/ENSG00000075223/ENSG00000107485/ENSG00000166225/ENSG00000117707",11,160
"GO:0002064","GO:0002064","epithelial cell development",0.0426666666666667,"233/20772",5.64155447520367e-06,0.00152247060997899,0.00126950789528237,"ENSG00000171456/ENSG00000080298/ENSG00000134352/ENSG00000188026/ENSG00000125378/ENSG00000170558/ENSG00000151422/ENSG00000026025/ENSG00000136451/ENSG00000082701/ENSG00000129116/ENSG00000134318/ENSG00000166225/ENSG00000087274/ENSG00000138443/ENSG00000117707",16,50
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.048,"289/20772",5.8168770121459e-06,0.00152247060997899,0.00126950789528237,"ENSG00000150471/ENSG00000173482/ENSG00000129474/ENSG00000148204/ENSG00000130202/ENSG00000113361/ENSG00000170558/ENSG00000244486/ENSG00000105767/ENSG00000129116/ENSG00000153707/ENSG00000006210/ENSG00000165194/ENSG00000128594/ENSG00000158258/ENSG00000196576/ENSG00000099715/ENSG00000169760",18,30
"GO:0007411","GO:0007411","axon guidance",0.0426666666666667,"236/20772",6.63754958174655e-06,0.00153288350929041,0.00127819066249113,"ENSG00000173482/ENSG00000157851/ENSG00000004848/ENSG00000129116/ENSG00000125266/ENSG00000153266/ENSG00000187323/ENSG00000138696/ENSG00000075223/ENSG00000107485/ENSG00000094631/ENSG00000182197/ENSG00000196576/ENSG00000108947/ENSG00000135333/ENSG00000091129",16,51
"GO:0097485","GO:0097485","neuron projection guidance",0.0426666666666667,"236/20772",6.63754958174655e-06,0.00153288350929041,0.00127819066249113,"ENSG00000173482/ENSG00000157851/ENSG00000004848/ENSG00000129116/ENSG00000125266/ENSG00000153266/ENSG00000187323/ENSG00000138696/ENSG00000075223/ENSG00000107485/ENSG00000094631/ENSG00000182197/ENSG00000196576/ENSG00000108947/ENSG00000135333/ENSG00000091129",16,52
"GO:0003281","GO:0003281","ventricular septum development",0.024,"77/20772",1.01203319564584e-05,0.00213729054335551,0.00178217379141369,"ENSG00000142871/ENSG00000125378/ENSG00000081479/ENSG00000166847/ENSG00000092148/ENSG00000069702/ENSG00000107485/ENSG00000166225/ENSG00000117707",9,258
"GO:0001822","GO:0001822","kidney development",0.0506666666666667,"331/20772",1.03434845450216e-05,0.00213729054335551,0.00178217379141369,"ENSG00000171456/ENSG00000109906/ENSG00000171016/ENSG00000150347/ENSG00000125378/ENSG00000171791/ENSG00000166949/ENSG00000166147/ENSG00000138792/ENSG00000125266/ENSG00000081479/ENSG00000113721/ENSG00000153936/ENSG00000107485/ENSG00000147257/ENSG00000182197/ENSG00000135333/ENSG00000018408/ENSG00000117707",19,21
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization",0.0586666666666667,"426/20772",1.1218924407342e-05,0.00220227486116124,0.00183636078457019,"ENSG00000118523/ENSG00000101871/ENSG00000165410/ENSG00000151422/ENSG00000197694/ENSG00000166949/ENSG00000169057/ENSG00000106624/ENSG00000130779/ENSG00000180370/ENSG00000006210/ENSG00000155366/ENSG00000094631/ENSG00000134318/ENSG00000151491/ENSG00000166963/ENSG00000087274/ENSG00000139687/ENSG00000109171/ENSG00000138443/ENSG00000164741/ENSG00000117707",22,6
"GO:0007178","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway",0.0586666666666667,"432/20772",1.3936930477805e-05,0.00260554233599345,0.00217262424992348,"ENSG00000072415/ENSG00000148204/ENSG00000148516/ENSG00000142871/ENSG00000150593/ENSG00000137575/ENSG00000150457/ENSG00000125378/ENSG00000026025/ENSG00000166949/ENSG00000166147/ENSG00000081479/ENSG00000150938/ENSG00000138696/ENSG00000138829/ENSG00000069702/ENSG00000176973/ENSG00000147257/ENSG00000182197/ENSG00000168874/ENSG00000137801/ENSG00000018408",22,7
"GO:0072001","GO:0072001","renal system development",0.0506666666666667,"341/20772",1.57017536156947e-05,0.00280204930432807,0.00233648104042156,"ENSG00000171456/ENSG00000109906/ENSG00000171016/ENSG00000150347/ENSG00000125378/ENSG00000171791/ENSG00000166949/ENSG00000166147/ENSG00000138792/ENSG00000125266/ENSG00000081479/ENSG00000113721/ENSG00000153936/ENSG00000107485/ENSG00000147257/ENSG00000182197/ENSG00000135333/ENSG00000018408/ENSG00000117707",19,22
"GO:0072176","GO:0072176","nephric duct development",0.0133333333333333,"19/20772",1.76252896564148e-05,0.00300856031265584,0.00250867967191991,"ENSG00000125378/ENSG00000125266/ENSG00000107485/ENSG00000147257/ENSG00000135333",5,657
"GO:0048813","GO:0048813","dendrite morphogenesis",0.032,"150/20772",1.8553859804621e-05,0.00303510223303925,0.00253081157861277,"ENSG00000171533/ENSG00000157851/ENSG00000163110/ENSG00000082701/ENSG00000153707/ENSG00000094631/ENSG00000162374/ENSG00000073921/ENSG00000135905/ENSG00000138443/ENSG00000146242/ENSG00000169760",12,133
"GO:0061351","GO:0061351","neural precursor cell proliferation",0.032,"153/20772",2.26251421468018e-05,0.00336667824072884,0.00280729531293849,"ENSG00000170558/ENSG00000004848/ENSG00000150764/ENSG00000081479/ENSG00000007866/ENSG00000006210/ENSG00000066629/ENSG00000166225/ENSG00000196576/ENSG00000132688/ENSG00000134532/ENSG00000117707",12,134
"GO:0031346","GO:0031346","positive regulation of cell projection organization",0.0533333333333333,"382/20772",2.31228836799352e-05,0.00336667824072884,0.00280729531293849,"ENSG00000171533/ENSG00000075618/ENSG00000138760/ENSG00000082701/ENSG00000150764/ENSG00000203879/ENSG00000111859/ENSG00000153707/ENSG00000006210/ENSG00000103260/ENSG00000094631/ENSG00000162374/ENSG00000151491/ENSG00000115694/ENSG00000150625/ENSG00000196576/ENSG00000117385/ENSG00000138443/ENSG00000169760/ENSG00000161202",20,12
"GO:0001502","GO:0001502","cartilage condensation",0.0133333333333333,"20/20772",2.31534163269686e-05,0.00336667824072884,0.00280729531293849,"ENSG00000139219/ENSG00000110693/ENSG00000118523/ENSG00000138696/ENSG00000134532",5,658
"GO:0001764","GO:0001764","neuron migration",0.0346666666666667,"183/20772",2.97500826513293e-05,0.00393772823289934,0.00328346376499905,"ENSG00000150471/ENSG00000167552/ENSG00000004848/ENSG00000167601/ENSG00000152377/ENSG00000153266/ENSG00000187323/ENSG00000006210/ENSG00000107485/ENSG00000185551/ENSG00000150625/ENSG00000196576/ENSG00000091129",13,108
"GO:0032332","GO:0032332","positive regulation of chondrocyte differentiation",0.0133333333333333,"21/20772",2.99403692591694e-05,0.00393772823289934,0.00328346376499905,"ENSG00000110693/ENSG00000109906/ENSG00000166949/ENSG00000138696/ENSG00000134532",5,659
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity",0.04,"238/20772",3.03055093315379e-05,0.00393772823289934,0.00328346376499905,"ENSG00000197702/ENSG00000114019/ENSG00000072415/ENSG00000148204/ENSG00000075618/ENSG00000112186/ENSG00000160360/ENSG00000082701/ENSG00000100345/ENSG00000072422/ENSG00000107485/ENSG00000176973/ENSG00000134318/ENSG00000115694/ENSG00000107099",15,68
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion",0.04,"239/20772",3.1813385202833e-05,0.00393772823289934,0.00328346376499905,"ENSG00000142871/ENSG00000152377/ENSG00000171791/ENSG00000166949/ENSG00000082701/ENSG00000132669/ENSG00000111859/ENSG00000006210/ENSG00000134318/ENSG00000137076/ENSG00000108861/ENSG00000160963/ENSG00000137801/ENSG00000164741/ENSG00000091986",15,69
"GO:0003007","GO:0003007","heart morphogenesis",0.0426666666666667,"268/20772",3.20955943588332e-05,0.00393772823289934,0.00328346376499905,"ENSG00000197702/ENSG00000139219/ENSG00000171456/ENSG00000142871/ENSG00000163093/ENSG00000150593/ENSG00000125378/ENSG00000166949/ENSG00000148677/ENSG00000081479/ENSG00000069702/ENSG00000075223/ENSG00000107485/ENSG00000182197/ENSG00000164741/ENSG00000117707",16,53
"GO:0071559","GO:0071559","response to transforming growth factor beta",0.0453333333333333,"300/20772",3.54461042001844e-05,0.00421701227545225,0.0035163439892368,"ENSG00000072415/ENSG00000110693/ENSG00000148516/ENSG00000137575/ENSG00000150457/ENSG00000140836/ENSG00000166949/ENSG00000166147/ENSG00000148677/ENSG00000180370/ENSG00000138829/ENSG00000069702/ENSG00000176973/ENSG00000134318/ENSG00000115226/ENSG00000137801/ENSG00000134532",17,41
"GO:0007160","GO:0007160","cell-matrix adhesion",0.0426666666666667,"274/20772",4.19054101276707e-05,0.00483884235768339,0.00403485527854663,"ENSG00000129474/ENSG00000118523/ENSG00000171791/ENSG00000166949/ENSG00000127990/ENSG00000137103/ENSG00000082701/ENSG00000132669/ENSG00000169231/ENSG00000006210/ENSG00000134318/ENSG00000137076/ENSG00000108861/ENSG00000083457/ENSG00000137801/ENSG00000164741",16,54
"GO:0002062","GO:0002062","chondrocyte differentiation",0.0266666666666667,"116/20772",4.8735745128104e-05,0.00534432965169833,0.00445635445660021,"ENSG00000139219/ENSG00000110693/ENSG00000118523/ENSG00000109906/ENSG00000125378/ENSG00000166949/ENSG00000138696/ENSG00000182197/ENSG00000139687/ENSG00000134532",10,199
"GO:0050680","GO:0050680","negative regulation of epithelial cell proliferation",0.0346666666666667,"192/20772",4.90294859160511e-05,0.00534432965169833,0.00445635445660021,"ENSG00000173482/ENSG00000148516/ENSG00000071246/ENSG00000125378/ENSG00000125266/ENSG00000069702/ENSG00000107485/ENSG00000113140/ENSG00000185551/ENSG00000147257/ENSG00000139687/ENSG00000168874/ENSG00000137801",13,109
"GO:0071772","GO:0071772","response to BMP",0.0346666666666667,"193/20772",5.17281015701825e-05,0.00534432965169833,0.00445635445660021,"ENSG00000139219/ENSG00000148204/ENSG00000142871/ENSG00000150593/ENSG00000125378/ENSG00000166147/ENSG00000081479/ENSG00000150938/ENSG00000138696/ENSG00000069702/ENSG00000107485/ENSG00000147257/ENSG00000182197",13,110
"GO:0071773","GO:0071773","cellular response to BMP stimulus",0.0346666666666667,"193/20772",5.17281015701825e-05,0.00534432965169833,0.00445635445660021,"ENSG00000139219/ENSG00000148204/ENSG00000142871/ENSG00000150593/ENSG00000125378/ENSG00000166147/ENSG00000081479/ENSG00000150938/ENSG00000138696/ENSG00000069702/ENSG00000107485/ENSG00000147257/ENSG00000182197",13,111
"GO:0032886","GO:0032886","regulation of microtubule-based process",0.0426666666666667,"281/20772",5.66199130382129e-05,0.00569973791251343,0.00475271064909156,"ENSG00000171533/ENSG00000101871/ENSG00000185340/ENSG00000082701/ENSG00000150764/ENSG00000169057/ENSG00000130779/ENSG00000107186/ENSG00000182628/ENSG00000094631/ENSG00000134318/ENSG00000114166/ENSG00000166963/ENSG00000109171/ENSG00000115561/ENSG00000152503",16,55
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation",0.056,"442/20772",5.97677518165627e-05,0.00572736366699114,0.00477574630783774,"ENSG00000173482/ENSG00000148516/ENSG00000071246/ENSG00000146648/ENSG00000125378/ENSG00000004848/ENSG00000166949/ENSG00000125266/ENSG00000069702/ENSG00000111728/ENSG00000107485/ENSG00000094631/ENSG00000113140/ENSG00000185551/ENSG00000147257/ENSG00000166225/ENSG00000139687/ENSG00000168874/ENSG00000124181/ENSG00000137801/ENSG00000117707",21,10
"GO:0098743","GO:0098743","cell aggregation",0.0133333333333333,"24/20772",5.98119995788682e-05,0.00572736366699114,0.00477574630783774,"ENSG00000139219/ENSG00000110693/ENSG00000118523/ENSG00000138696/ENSG00000134532",5,660
"GO:0061035","GO:0061035","regulation of cartilage development",0.0213333333333333,"76/20772",6.77358540917965e-05,0.00633168959915221,0.00527966181016258,"ENSG00000110693/ENSG00000118523/ENSG00000109906/ENSG00000142871/ENSG00000125378/ENSG00000166949/ENSG00000138696/ENSG00000134532",8,318
"GO:0032330","GO:0032330","regulation of chondrocyte differentiation",0.0186666666666667,"57/20772",7.18718110222653e-05,0.00652023492617104,0.00543687980813254,"ENSG00000110693/ENSG00000118523/ENSG00000109906/ENSG00000125378/ENSG00000166949/ENSG00000138696/ENSG00000134532",7,414
"GO:0051146","GO:0051146","striated muscle cell differentiation",0.0453333333333333,"318/20772",7.30744617298843e-05,0.00652023492617104,0.00543687980813254,"ENSG00000110693/ENSG00000162909/ENSG00000125378/ENSG00000165410/ENSG00000023902/ENSG00000170558/ENSG00000163110/ENSG00000171791/ENSG00000148677/ENSG00000125266/ENSG00000100345/ENSG00000113721/ENSG00000108946/ENSG00000166225/ENSG00000139687/ENSG00000154721/ENSG00000117707",17,42
"GO:0050767","GO:0050767","regulation of neurogenesis",0.0533333333333333,"416/20772",7.60186776437054e-05,0.00663220729842639,0.00553024766016196,"ENSG00000171533/ENSG00000134352/ENSG00000157851/ENSG00000150764/ENSG00000169057/ENSG00000203879/ENSG00000153266/ENSG00000081479/ENSG00000187323/ENSG00000153707/ENSG00000075223/ENSG00000006210/ENSG00000103260/ENSG00000094631/ENSG00000115694/ENSG00000139687/ENSG00000196576/ENSG00000108947/ENSG00000135333/ENSG00000117707",20,13
"GO:0001654","GO:0001654","eye development",0.0533333333333333,"419/20772",8.38417070523154e-05,0.00715570743233457,0.00596676679479865,"ENSG00000173482/ENSG00000148204/ENSG00000148516/ENSG00000146648/ENSG00000125378/ENSG00000026025/ENSG00000171791/ENSG00000166949/ENSG00000166147/ENSG00000113721/ENSG00000138696/ENSG00000138829/ENSG00000107485/ENSG00000150625/ENSG00000166225/ENSG00000138443/ENSG00000205084/ENSG00000132688/ENSG00000204262/ENSG00000117707",20,14
"GO:0070307","GO:0070307","lens fiber cell development",0.0106666666666667,"14/20772",9.0666849046096e-05,0.00744690231765206,0.00620957884223876,"ENSG00000026025/ENSG00000166225/ENSG00000138443/ENSG00000117707",4,880
"GO:0010977","GO:0010977","negative regulation of neuron projection development",0.0293333333333333,"150/20772",9.10472010308963e-05,0.00744690231765206,0.00620957884223876,"ENSG00000152377/ENSG00000026025/ENSG00000185924/ENSG00000125266/ENSG00000203879/ENSG00000187323/ENSG00000075223/ENSG00000094631/ENSG00000108947/ENSG00000135333/ENSG00000169760",11,161
"GO:0060070","GO:0060070","canonical Wnt signaling pathway",0.0453333333333333,"325/20772",9.52983603447019e-05,0.00748925387963708,0.00624489357473023,"ENSG00000205269/ENSG00000171016/ENSG00000150457/ENSG00000146648/ENSG00000170558/ENSG00000159461/ENSG00000166949/ENSG00000082701/ENSG00000150764/ENSG00000058091/ENSG00000116729/ENSG00000107485/ENSG00000147257/ENSG00000182197/ENSG00000146242/ENSG00000018408/ENSG00000161202",17,43
"GO:0150063","GO:0150063","visual system development",0.0533333333333333,"423/20772",9.53802073310887e-05,0.00748925387963708,0.00624489357473023,"ENSG00000173482/ENSG00000148204/ENSG00000148516/ENSG00000146648/ENSG00000125378/ENSG00000026025/ENSG00000171791/ENSG00000166949/ENSG00000166147/ENSG00000113721/ENSG00000138696/ENSG00000138829/ENSG00000107485/ENSG00000150625/ENSG00000166225/ENSG00000138443/ENSG00000205084/ENSG00000132688/ENSG00000204262/ENSG00000117707",20,15
"GO:0045601","GO:0045601","regulation of endothelial cell differentiation",0.0186666666666667,"60/20772",0.00010023410084411,0.00758778123924513,0.00632705034025588,"ENSG00000148516/ENSG00000125378/ENSG00000136451/ENSG00000065970/ENSG00000134318/ENSG00000087274/ENSG00000168874",7,415
"GO:1902905","GO:1902905","positive regulation of supramolecular fiber organization",0.0346666666666667,"206/20772",0.000100500413764836,0.00758778123924513,0.00632705034025588,"ENSG00000118523/ENSG00000165410/ENSG00000151422/ENSG00000166949/ENSG00000169057/ENSG00000130779/ENSG00000006210/ENSG00000155366/ENSG00000134318/ENSG00000139687/ENSG00000109171/ENSG00000138443/ENSG00000117707",13,112
