"ENSEMBL","gene","cluster"
"ENSG00000106484","MEST","Forebrain"
"ENSG00000066382","MPPED2","Forebrain"
"ENSG00000160360","GPSM1","Forebrain"
"ENSG00000136451","VEZF1","Forebrain"
"ENSG00000138036","DYNC2LI1","Forebrain"
"ENSG00000140455","USP3","Forebrain"
"ENSG00000134532","SOX5","Forebrain"
"ENSG00000130224","LRCH2","Forebrain"
"ENSG00000117385","P3H1","Forebrain"
"ENSG00000138829","FBN2","Forebrain"
"ENSG00000181722","ZBTB20","Forebrain"
"ENSG00000081479","LRP2","Forebrain"
"ENSG00000156531","PHF6","Forebrain"
"ENSG00000170871","KIAA0232","Forebrain"
"ENSG00000198168","SVIP","Forebrain"
"ENSG00000213965","NUDT19","Forebrain"
"ENSG00000085788","DDHD2","Forebrain"
"ENSG00000153266","FEZF2","Forebrain"
"ENSG00000147257","GPC3","Forebrain"
"ENSG00000214174",NA,"Forebrain"
"ENSG00000108557","RAI1","Forebrain"
"ENSG00000100154","TTC28","Forebrain"
"ENSG00000128268","MGAT3","Forebrain"
"ENSG00000011028","MRC2","Forebrain"
"ENSG00000181904","C5orf24","Forebrain"
"ENSG00000180891","CUEDC1","Forebrain"
"ENSG00000110693","SOX6","Forebrain"
"ENSG00000172638","EFEMP2","Forebrain"
"ENSG00000151893","CACUL1","Forebrain"
"ENSG00000269044",NA,"Forebrain"
"ENSG00000105767","CADM4","Forebrain"
"ENSG00000137103","TMEM8B","Forebrain"
"ENSG00000091039","OSBPL8","Forebrain"
"ENSG00000182670","TTC3","Forebrain"
"ENSG00000184500","PROS1","Forebrain"
"ENSG00000198604","BAZ1A","Forebrain"
"ENSG00000123570","RAB9B","Forebrain"
"ENSG00000198873","GRK5","Forebrain"
"ENSG00000179833","SERTAD2","Forebrain"
"ENSG00000110237","ARHGEF17","Forebrain"
"ENSG00000172733","PURG","Forebrain"
"ENSG00000124181","PLCG1","Forebrain"
"ENSG00000143669","LYST","Forebrain"
"ENSG00000184939","ZFP90","Forebrain"
"ENSG00000259495",NA,"Forebrain"
"ENSG00000112320","SOBP","Forebrain"
"ENSG00000116731","PRDM2","Forebrain"
"ENSG00000086848","ALG9","Forebrain"
"ENSG00000187323","DCC","Forebrain"
"ENSG00000163053","SLC16A14","Forebrain"
"ENSG00000250510","GPR162","Forebrain"
"ENSG00000161202","DVL3","Forebrain"
"ENSG00000272886","DCP1A","Forebrain"
"ENSG00000131375","CAPN7","Forebrain"
"ENSG00000235609",NA,"Forebrain"
"ENSG00000106624","AEBP1","Forebrain"
"ENSG00000177189","RPS6KA3","Forebrain"
"ENSG00000187079","TEAD1","Forebrain"
"ENSG00000166455","C16orf46","Forebrain"
"ENSG00000156860","FBRS","Forebrain"
"ENSG00000139631","CSAD","Forebrain"
"ENSG00000050130","JKAMP","Forebrain"
"ENSG00000197566","ZNF624","Forebrain"
"ENSG00000119899","SLC17A5","Forebrain"
"ENSG00000131019","ULBP3","Forebrain"
"ENSG00000166949","SMAD3","Forebrain"
"ENSG00000132688","NES","Forebrain"
"ENSG00000075975","MKRN2","Forebrain"
"ENSG00000065600","PACC1","Forebrain"
"ENSG00000198729","PPP1R14C","Forebrain"
"ENSG00000145147","SLIT2","Forebrain"
"ENSG00000150593","PDCD4","Forebrain"
"ENSG00000152154","TMEM178A","Forebrain"
"ENSG00000198853","RUSC2","Forebrain"
"ENSG00000064547","LPAR2","Forebrain"
"ENSG00000258476","LINC02207","Forebrain"
"ENSG00000107130","NCS1","Forebrain"
"ENSG00000124920","MYRF","Forebrain"
"ENSG00000137575","SDCBP","Forebrain"
"ENSG00000125378","BMP4","Forebrain"
"ENSG00000185924","RTN4RL1","Forebrain"
"ENSG00000169255","B3GALNT1","Forebrain"
"ENSG00000113742","CPEB4","Forebrain"
"ENSG00000072415","PALS1","Forebrain"
"ENSG00000023902","PLEKHO1","Forebrain"
"ENSG00000138696","BMPR1B","Forebrain"
"ENSG00000083457","ITGAE","Forebrain"
"ENSG00000096092","TMEM14A","Forebrain"
"ENSG00000196914","ARHGEF12","Forebrain"
"ENSG00000241852","C8orf58","Forebrain"
"ENSG00000176907","TCIM","Forebrain"
"ENSG00000133131","MORC4","Forebrain"
"ENSG00000171791","BCL2","Forebrain"
"ENSG00000154721","JAM2","Forebrain"
"ENSG00000150625","GPM6A","Forebrain"
"ENSG00000153904","DDAH1","Forebrain"
"ENSG00000039560","RAI14","Forebrain"
"ENSG00000119408","NEK6","Forebrain"
"ENSG00000108861","DUSP3","Forebrain"
"ENSG00000165410","CFL2","Forebrain"
"ENSG00000150938","CRIM1","Forebrain"
"ENSG00000151135","TMEM263","Forebrain"
"ENSG00000072422","RHOBTB1","Forebrain"
"ENSG00000171533","MAP6","Forebrain"
"ENSG00000135924","DNAJB2","Forebrain"
"ENSG00000130956","HABP4","Forebrain"
"ENSG00000203879","GDI1","Forebrain"
"ENSG00000141424","SLC39A6","Forebrain"
"ENSG00000139793","MBNL2","Forebrain"
"ENSG00000071246","VASH1","Forebrain"
"ENSG00000138760","SCARB2","Forebrain"
"ENSG00000064393","HIPK2","Forebrain"
"ENSG00000185250","PPIL6","Forebrain"
"ENSG00000139116","KIF21A","Forebrain"
"ENSG00000165323","FAT3","Forebrain"
"ENSG00000138193","PLCE1","Forebrain"
"ENSG00000109171","SLAIN2","Forebrain"
"ENSG00000120913","PDLIM2","Forebrain"
"ENSG00000008405","CRY1","Forebrain"
"ENSG00000113240","CLK4","Forebrain"
"ENSG00000151491","EPS8","Forebrain"
"ENSG00000165434","PGM2L1","Forebrain"
"ENSG00000147526","TACC1","Forebrain"
"ENSG00000213190","MLLT11","Forebrain"
"ENSG00000119396","RAB14","Forebrain"
"ENSG00000034713","GABARAPL2","Forebrain"
"ENSG00000184384","MAML2","Forebrain"
"ENSG00000096093","EFHC1","Forebrain"
"ENSG00000135905","DOCK10","Forebrain"
"ENSG00000145431","PDGFC","Forebrain"
"ENSG00000111859","NEDD9","Forebrain"
"ENSG00000138758","SEPTIN11","Forebrain"
"ENSG00000100221","JOSD1","Forebrain"
"ENSG00000069702","TGFBR3","Forebrain"
"ENSG00000171385","KCND3","Forebrain"
"ENSG00000183283","DAZAP2","Forebrain"
"ENSG00000187601","MAGEH1","Forebrain"
"ENSG00000166275","BORCS7","Forebrain"
"ENSG00000183255","PTTG1IP","Forebrain"
"ENSG00000121005","CRISPLD1","Forebrain"
"ENSG00000169047","IRS1","Forebrain"
"ENSG00000018408","WWTR1","Forebrain"
"ENSG00000146648","EGFR","Forebrain"
"ENSG00000138119","MYOF","Forebrain"
"ENSG00000118495","PLAGL1","Forebrain"
"ENSG00000115468","EFHD1","Forebrain"
"ENSG00000169760","NLGN1","Forebrain"
