"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
"GO:0060271","GO:0060271","cilium assembly",0.0767386091127098,"381/20772",9.69668315942909e-12,2.84067720008656e-08,2.34997217153667e-08,"ENSG00000122417/ENSG00000105792/ENSG00000170264/ENSG00000160188/ENSG00000118965/ENSG00000162543/ENSG00000135315/ENSG00000068885/ENSG00000181378/ENSG00000206530/ENSG00000127328/ENSG00000171811/ENSG00000110318/ENSG00000204104/ENSG00000118997/ENSG00000125354/ENSG00000152582/ENSG00000111834/ENSG00000187240/ENSG00000158716/ENSG00000197748/ENSG00000112981/ENSG00000183833/ENSG00000196659/ENSG00000183644/ENSG00000204852/ENSG00000188596/ENSG00000129295/ENSG00000141013/ENSG00000165506/ENSG00000154099/ENSG00000137343",32,4
"GO:0044782","GO:0044782","cilium organization",0.079136690647482,"410/20772",1.43613609711151e-11,2.84067720008656e-08,2.34997217153667e-08,"ENSG00000122417/ENSG00000105792/ENSG00000170264/ENSG00000160188/ENSG00000118965/ENSG00000162543/ENSG00000135315/ENSG00000188316/ENSG00000068885/ENSG00000181378/ENSG00000206530/ENSG00000127328/ENSG00000171811/ENSG00000110318/ENSG00000204104/ENSG00000118997/ENSG00000125354/ENSG00000152582/ENSG00000111834/ENSG00000187240/ENSG00000158716/ENSG00000197748/ENSG00000112981/ENSG00000183833/ENSG00000196659/ENSG00000183644/ENSG00000204852/ENSG00000188596/ENSG00000129295/ENSG00000141013/ENSG00000165506/ENSG00000154099/ENSG00000137343",33,1
"GO:0001578","GO:0001578","microtubule bundle formation",0.0431654676258993,"124/20772",5.70011509631669e-11,7.51655177367627e-08,6.21812555594687e-08,"ENSG00000105792/ENSG00000160188/ENSG00000077274/ENSG00000181378/ENSG00000167566/ENSG00000206530/ENSG00000170703/ENSG00000171811/ENSG00000118997/ENSG00000152582/ENSG00000111834/ENSG00000197748/ENSG00000183833/ENSG00000183644/ENSG00000129295/ENSG00000141013/ENSG00000165506/ENSG00000154099",18,42
"GO:0035082","GO:0035082","axoneme assembly",0.0359712230215827,"95/20772",6.89394682973132e-10,6.71396204660384e-07,5.55417700039682e-07,"ENSG00000105792/ENSG00000160188/ENSG00000181378/ENSG00000206530/ENSG00000171811/ENSG00000118997/ENSG00000152582/ENSG00000111834/ENSG00000197748/ENSG00000183833/ENSG00000183644/ENSG00000129295/ENSG00000141013/ENSG00000165506/ENSG00000154099",15,84
"GO:0003341","GO:0003341","cilium movement",0.0503597122302158,"202/20772",8.48579631775005e-10,6.71396204660384e-07,5.55417700039682e-07,"ENSG00000105792/ENSG00000188316/ENSG00000181378/ENSG00000206530/ENSG00000170703/ENSG00000171811/ENSG00000118997/ENSG00000152582/ENSG00000111834/ENSG00000088727/ENSG00000197748/ENSG00000112981/ENSG00000151023/ENSG00000183833/ENSG00000183644/ENSG00000188596/ENSG00000131044/ENSG00000129295/ENSG00000141013/ENSG00000165506/ENSG00000154099",21,26
"GO:0016055","GO:0016055","Wnt signaling pathway",0.079136690647482,"485/20772",1.1441845723667e-09,7.17341582153361e-07,5.93426368717684e-07,"ENSG00000065717/ENSG00000104953/ENSG00000163251/ENSG00000148737/ENSG00000111087/ENSG00000187098/ENSG00000164690/ENSG00000103449/ENSG00000188906/ENSG00000146678/ENSG00000106723/ENSG00000070193/ENSG00000173218/ENSG00000068885/ENSG00000177283/ENSG00000182704/ENSG00000104964/ENSG00000187123/ENSG00000101311/ENSG00000180730/ENSG00000133937/ENSG00000162998/ENSG00000114251/ENSG00000124766/ENSG00000110492/ENSG00000187147/ENSG00000269113/ENSG00000107104/ENSG00000151617/ENSG00000144791/ENSG00000152284/ENSG00000102119/ENSG00000075275",33,2
"GO:0198738","GO:0198738","cell-cell signaling by wnt",0.079136690647482,"487/20772",1.2693101807567e-09,7.17341582153361e-07,5.93426368717684e-07,"ENSG00000065717/ENSG00000104953/ENSG00000163251/ENSG00000148737/ENSG00000111087/ENSG00000187098/ENSG00000164690/ENSG00000103449/ENSG00000188906/ENSG00000146678/ENSG00000106723/ENSG00000070193/ENSG00000173218/ENSG00000068885/ENSG00000177283/ENSG00000182704/ENSG00000104964/ENSG00000187123/ENSG00000101311/ENSG00000180730/ENSG00000133937/ENSG00000162998/ENSG00000114251/ENSG00000124766/ENSG00000110492/ENSG00000187147/ENSG00000269113/ENSG00000107104/ENSG00000151617/ENSG00000144791/ENSG00000152284/ENSG00000102119/ENSG00000075275",33,3
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway",0.0647482014388489,"351/20772",2.91022523139597e-09,1.43910637692531e-06,1.19051187426448e-06,"ENSG00000065717/ENSG00000104953/ENSG00000148737/ENSG00000111087/ENSG00000164690/ENSG00000103449/ENSG00000188906/ENSG00000146678/ENSG00000106723/ENSG00000070193/ENSG00000068885/ENSG00000182704/ENSG00000104964/ENSG00000187123/ENSG00000101311/ENSG00000180730/ENSG00000133937/ENSG00000162998/ENSG00000114251/ENSG00000124766/ENSG00000110492/ENSG00000187147/ENSG00000269113/ENSG00000107104/ENSG00000144791/ENSG00000152284/ENSG00000102119",27,8
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility",0.0431654676258993,"164/20772",5.82491555157469e-09,2.30433659220295e-06,1.9062802578785e-06,"ENSG00000105792/ENSG00000188316/ENSG00000181378/ENSG00000206530/ENSG00000170703/ENSG00000171811/ENSG00000118997/ENSG00000152582/ENSG00000111834/ENSG00000088727/ENSG00000197748/ENSG00000151023/ENSG00000183644/ENSG00000188596/ENSG00000131044/ENSG00000129295/ENSG00000141013/ENSG00000165506",18,43
"GO:0060285","GO:0060285","cilium-dependent cell motility",0.0431654676258993,"164/20772",5.82491555157469e-09,2.30433659220295e-06,1.9062802578785e-06,"ENSG00000105792/ENSG00000188316/ENSG00000181378/ENSG00000206530/ENSG00000170703/ENSG00000171811/ENSG00000118997/ENSG00000152582/ENSG00000111834/ENSG00000088727/ENSG00000197748/ENSG00000151023/ENSG00000183644/ENSG00000188596/ENSG00000131044/ENSG00000129295/ENSG00000141013/ENSG00000165506",18,44
"GO:0030178","GO:0030178","negative regulation of Wnt signaling pathway",0.0431654676258993,"181/20772",2.76536393650119e-08,9.94525430254429e-06,8.22728849625092e-06,"ENSG00000065717/ENSG00000104953/ENSG00000148737/ENSG00000111087/ENSG00000164690/ENSG00000146678/ENSG00000068885/ENSG00000182704/ENSG00000104964/ENSG00000101311/ENSG00000180730/ENSG00000133937/ENSG00000162998/ENSG00000114251/ENSG00000110492/ENSG00000269113/ENSG00000144791/ENSG00000102119",18,45
