"","Figure2C"
"ENSG00000139687","Forebrain"
"ENSG00000152503","Forebrain"
"ENSG00000197565","Forebrain"
"ENSG00000003436","Forebrain"
"ENSG00000091986","Forebrain"
"ENSG00000120798","Forebrain"
"ENSG00000130779","Forebrain"
"ENSG00000272886","Forebrain"
"ENSG00000197217","Forebrain"
"ENSG00000152492","Forebrain"
"ENSG00000143195","Forebrain"
"ENSG00000165194","Forebrain"
"ENSG00000143079","Forebrain"
"ENSG00000026025","Forebrain"
"ENSG00000129116","Forebrain"
"ENSG00000168672","Forebrain"
"ENSG00000187079","Forebrain"
"ENSG00000129474","Forebrain"
"ENSG00000114019","Forebrain"
"ENSG00000075618","Forebrain"
"ENSG00000167601","Forebrain"
"ENSG00000047634","Forebrain"
"ENSG00000198060","Forebrain"
"ENSG00000155366","Forebrain"
"ENSG00000180773","Forebrain"
"ENSG00000164733","Forebrain"
"ENSG00000264596","Forebrain"
"ENSG00000005238","Forebrain"
"ENSG00000151135","Forebrain"
"ENSG00000114166","Forebrain"
"ENSG00000131375","Forebrain"
"ENSG00000117707","Forebrain"
"ENSG00000162909","Forebrain"
"ENSG00000188026","Forebrain"
"ENSG00000169231","Forebrain"
"ENSG00000153707","Forebrain"
"ENSG00000139793","Forebrain"
"ENSG00000130956","Forebrain"
"ENSG00000148677","Forebrain"
"ENSG00000109436","Forebrain"
"ENSG00000196576","Forebrain"
"ENSG00000183283","Forebrain"
"ENSG00000135924","Forebrain"
"ENSG00000242247","Forebrain"
"ENSG00000214174","Forebrain"
"ENSG00000065970","Forebrain"
"ENSG00000127990","Forebrain"
"ENSG00000137166","Forebrain"
"ENSG00000104490","Forebrain"
"ENSG00000113648","Forebrain"
"ENSG00000276644","Forebrain"
"ENSG00000146242","Forebrain"
"ENSG00000109906","Forebrain"
"ENSG00000170558","Forebrain"
"ENSG00000271601","Forebrain"
"ENSG00000015153","Forebrain"
"ENSG00000155304","Forebrain"
"ENSG00000112186","Forebrain"
"ENSG00000105290","Forebrain"
"ENSG00000286190","Forebrain"
"ENSG00000145284","Forebrain"
"ENSG00000148516","Forebrain"
"ENSG00000184557","Forebrain"
"ENSG00000171456","Forebrain"
"ENSG00000022267","Forebrain"
"ENSG00000166147","Forebrain"
"ENSG00000243279","Forebrain"
"ENSG00000116157","Forebrain"
"ENSG00000115226","Forebrain"
"ENSG00000136811","Forebrain"
"ENSG00000143622","Forebrain"
"ENSG00000183955","Forebrain"
"ENSG00000166313","Forebrain"
"ENSG00000070778","Forebrain"
"ENSG00000095794","Forebrain"
"ENSG00000056586","Forebrain"
"ENSG00000129055","Forebrain"
"ENSG00000168874","Forebrain"
"ENSG00000104695","Forebrain"
"ENSG00000008405","Forebrain"
"ENSG00000122068","Forebrain"
"ENSG00000156531","Forebrain"
"ENSG00000106524","Forebrain"
"ENSG00000188042","Forebrain"
"ENSG00000135333","Forebrain"
"ENSG00000163053","Forebrain"
"ENSG00000180370","Forebrain"
"ENSG00000185551","Forebrain"
"ENSG00000025156","Forebrain"
"ENSG00000138443","Forebrain"
"ENSG00000113742","Forebrain"
"ENSG00000151893","Forebrain"
"ENSG00000244486","Forebrain"
"ENSG00000150625","Forebrain"
"ENSG00000282057","Forebrain"
"ENSG00000137801","Forebrain"
"ENSG00000119899","Forebrain"
"ENSG00000138119","Forebrain"
"ENSG00000100345","Forebrain"
"ENSG00000137962","Forebrain"
"ENSG00000150938","Forebrain"
"ENSG00000106624","Forebrain"
"ENSG00000286627","Forebrain"
"ENSG00000273108","Forebrain"
"ENSG00000115295","Forebrain"
"ENSG00000265413","Forebrain"
"ENSG00000198604","Forebrain"
"ENSG00000112539","Forebrain"
"ENSG00000004848","Forebrain"
"ENSG00000173482","Forebrain"
"ENSG00000119522","Forebrain"
"ENSG00000197724","Forebrain"
"ENSG00000151422","Forebrain"
"ENSG00000011028","Forebrain"
"ENSG00000150347","Forebrain"
"ENSG00000119408","Forebrain"
"ENSG00000153904","Forebrain"
"ENSG00000175662","Forebrain"
"ENSG00000094631","Forebrain"
"ENSG00000107485","Forebrain"
"ENSG00000154721","Forebrain"
"ENSG00000138771","Forebrain"
"ENSG00000113240","Forebrain"
"ENSG00000111783","Forebrain"
"ENSG00000257711","Forebrain"
"ENSG00000162889","Forebrain"
"ENSG00000110881","Forebrain"
"ENSG00000162374","Forebrain"
"ENSG00000007866","Forebrain"
"ENSG00000187260","Forebrain"
"ENSG00000182095","Forebrain"
"ENSG00000080298","Forebrain"
"ENSG00000177189","Forebrain"
"ENSG00000164610","Forebrain"
"ENSG00000225400","Forebrain"
"ENSG00000150457","Forebrain"
"ENSG00000138696","Forebrain"
"ENSG00000101439","Forebrain"
"ENSG00000130202","Forebrain"
"ENSG00000115963","Forebrain"
"ENSG00000223482","Forebrain"
"ENSG00000227705","Forebrain"
"ENSG00000250305","Forebrain"
"ENSG00000174282","Forebrain"
"ENSG00000111540","Forebrain"
"ENSG00000172932","Forebrain"
"ENSG00000133131","Forebrain"
"ENSG00000182463","Forebrain"
"ENSG00000197694","Forebrain"
"ENSG00000130224","Forebrain"
"ENSG00000134318","Forebrain"
"ENSG00000203879","Forebrain"
"ENSG00000113361","Forebrain"
"ENSG00000176907","Forebrain"
"ENSG00000171791","Forebrain"
"ENSG00000183722","Forebrain"
"ENSG00000118523","Forebrain"
"ENSG00000142871","Forebrain"
"ENSG00000111859","Forebrain"
"ENSG00000034713","Forebrain"
"ENSG00000187601","Forebrain"
"ENSG00000065600","Forebrain"
"ENSG00000073921","Forebrain"
"ENSG00000113721","Forebrain"
"ENSG00000164741","Forebrain"
"ENSG00000162734","Forebrain"
"ENSG00000020577","Forebrain"
"ENSG00000165072","Forebrain"
"ENSG00000018408","Forebrain"
"ENSG00000108861","Forebrain"
"ENSG00000204262","Forebrain"
"ENSG00000196914","Forebrain"
"ENSG00000165410","Forebrain"
"ENSG00000180530","Forebrain"
"ENSG00000235609","Forebrain"
"ENSG00000179456","Forebrain"
"ENSG00000062725","Forebrain"
"ENSG00000160310","Forebrain"
"ENSG00000120913","Forebrain"
"ENSG00000103855","Forebrain"
"ENSG00000165669","Forebrain"
"ENSG00000151491","Forebrain"
"ENSG00000166275","Forebrain"
"ENSG00000166448","Forebrain"
"ENSG00000107099","Forebrain"
"ENSG00000071246","Forebrain"
"ENSG00000196182","Forebrain"
"ENSG00000137076","Forebrain"
"ENSG00000113300","Forebrain"
"ENSG00000163110","Forebrain"
"ENSG00000158258","Forebrain"
"ENSG00000112541","Forebrain"
"ENSG00000122863","Forebrain"
"ENSG00000142279","Forebrain"
"ENSG00000103260","Forebrain"
"ENSG00000137103","Forebrain"
"ENSG00000085788","Forebrain"
"ENSG00000170456","Forebrain"
"ENSG00000116731","Forebrain"
"ENSG00000172466","Forebrain"
"ENSG00000171016","Forebrain"
"ENSG00000172733","Forebrain"
"ENSG00000106484","Forebrain"
"ENSG00000106086","Forebrain"
"ENSG00000241852","Forebrain"
"ENSG00000159692","Forebrain"
"ENSG00000169057","Forebrain"
"ENSG00000075975","Forebrain"
"ENSG00000115468","Forebrain"
"ENSG00000259291","Forebrain"
"ENSG00000099715","Forebrain"
"ENSG00000118495","Forebrain"
"ENSG00000160963","Forebrain"
"ENSG00000169760","Forebrain"
"ENSG00000171004","Forebrain"
"ENSG00000134198","Forebrain"
"ENSG00000213965","Forebrain"
"ENSG00000078269","Forebrain"
"ENSG00000129946","Forebrain"
"ENSG00000258441","Forebrain"
"ENSG00000111728","Forebrain"
"ENSG00000006210","Forebrain"
"ENSG00000173960","Forebrain"
"ENSG00000154240","Forebrain"
"ENSG00000140577","Forebrain"
"ENSG00000258476","Forebrain"
"ENSG00000197183","Forebrain"
"ENSG00000039523","Forebrain"
"ENSG00000140836","Forebrain"
"ENSG00000164830","Forebrain"
"ENSG00000203618","Forebrain"
"ENSG00000091039","Forebrain"
"ENSG00000269044","Forebrain"
"ENSG00000074527","Forebrain"
"ENSG00000143669","Forebrain"
"ENSG00000182670","Forebrain"
"ENSG00000133612","Forebrain"
"ENSG00000144677","Forebrain"
"ENSG00000124181","Forebrain"
"ENSG00000156639","Forebrain"
"ENSG00000161202","Forebrain"
"ENSG00000148204","Forebrain"
"ENSG00000185340","Forebrain"
"ENSG00000226137","Forebrain"
"ENSG00000153130","Forebrain"
"ENSG00000147526","Forebrain"
"ENSG00000113140","Forebrain"
"ENSG00000134824","Forebrain"
"ENSG00000108946","Forebrain"
"ENSG00000177697","Forebrain"
"ENSG00000183255","Forebrain"
"ENSG00000184384","Forebrain"
"ENSG00000203727","Forebrain"
"ENSG00000039560","Forebrain"
"ENSG00000125378","Forebrain"
"ENSG00000138434","Forebrain"
"ENSG00000100401","Forebrain"
"ENSG00000265477","Forebrain"
"ENSG00000079819","Forebrain"
"ENSG00000158270","Forebrain"
"ENSG00000075223","Forebrain"
"ENSG00000234456","Forebrain"
"ENSG00000138758","Forebrain"
"ENSG00000083457","Forebrain"
"ENSG00000136026","Forebrain"
"ENSG00000132688","Forebrain"
"ENSG00000072958","Forebrain"
"ENSG00000096092","Forebrain"
"ENSG00000119396","Forebrain"
"ENSG00000182628","Forebrain"
"ENSG00000166963","Forebrain"
"ENSG00000153936","Forebrain"
"ENSG00000100221","Forebrain"
"ENSG00000138792","Forebrain"
"ENSG00000146648","Forebrain"
"ENSG00000108947","Forebrain"
"ENSG00000115694","Forebrain"
"ENSG00000182197","Forebrain"
"ENSG00000160991","Forebrain"
"ENSG00000185909","Forebrain"
"ENSG00000197702","Forebrain"
"ENSG00000116729","Forebrain"
"ENSG00000174099","Forebrain"
"ENSG00000139219","Forebrain"
"ENSG00000167552","Forebrain"
"ENSG00000117385","Forebrain"
"ENSG00000109171","Forebrain"
"ENSG00000165949","Forebrain"
"ENSG00000197566","Forebrain"
"ENSG00000166741","Forebrain"
"ENSG00000198729","Forebrain"
"ENSG00000091129","Forebrain"
"ENSG00000245694","Forebrain"
"ENSG00000023902","Forebrain"
"ENSG00000172379","Forebrain"
"ENSG00000140455","Forebrain"
"ENSG00000143499","Forebrain"
"ENSG00000213190","Forebrain"
"ENSG00000175414","Forebrain"
"ENSG00000132669","Forebrain"
"ENSG00000166949","Forebrain"
"ENSG00000128268","Forebrain"
"ENSG00000134291","Forebrain"
"ENSG00000050130","Forebrain"
"ENSG00000187189","Forebrain"
"ENSG00000033800","Forebrain"
"ENSG00000082701","Forebrain"
"ENSG00000114978","Forebrain"
"ENSG00000141424","Forebrain"
"ENSG00000136451","Forebrain"
"ENSG00000100154","Forebrain"
"ENSG00000125266","Forebrain"
"ENSG00000112320","Forebrain"
"ENSG00000054793","Forebrain"
"ENSG00000111785","Forebrain"
"ENSG00000213722","Forebrain"
"ENSG00000167470","Forebrain"
"ENSG00000081479","Forebrain"
"ENSG00000179195","Forebrain"
"ENSG00000182054","Forebrain"
"ENSG00000178531","Forebrain"
"ENSG00000086848","Forebrain"
"ENSG00000180891","Forebrain"
"ENSG00000163093","Forebrain"
"ENSG00000108557","Forebrain"
"ENSG00000181904","Forebrain"
"ENSG00000138036","Forebrain"
"ENSG00000156858","Forebrain"
"ENSG00000170871","Forebrain"
"ENSG00000157657","Forebrain"
"ENSG00000165102","Forebrain"
"ENSG00000134532","Forebrain"
"ENSG00000157851","Forebrain"
"ENSG00000140391","Forebrain"
"ENSG00000170035","Forebrain"
"ENSG00000198420","Forebrain"
"ENSG00000144152","Forebrain"
"ENSG00000143147","Forebrain"
"ENSG00000128594","Forebrain"
"ENSG00000107249","Forebrain"
"ENSG00000138829","Forebrain"
"ENSG00000153266","Forebrain"
"ENSG00000147257","Forebrain"
"ENSG00000235437","Forebrain"
"ENSG00000139631","Forebrain"
"ENSG00000143479","Forebrain"
"ENSG00000150593","Forebrain"
"ENSG00000110237","Forebrain"
"ENSG00000156860","Forebrain"
"ENSG00000107186","Forebrain"
"ENSG00000250510","Forebrain"
"ENSG00000168283","Forebrain"
"ENSG00000198646","Forebrain"
"ENSG00000100422","Forebrain"
"ENSG00000102181","Forebrain"
"ENSG00000087274","Forebrain"
"ENSG00000115561","Forebrain"
"ENSG00000166847","Forebrain"
"ENSG00000280099","Forebrain"
"ENSG00000152377","Forebrain"
"ENSG00000185924","Forebrain"
"ENSG00000072422","Forebrain"
"ENSG00000187323","Forebrain"
"ENSG00000139116","Forebrain"
"ENSG00000138722","Forebrain"
"ENSG00000188315","Forebrain"
"ENSG00000096093","Forebrain"
"ENSG00000069702","Forebrain"
"ENSG00000121005","Forebrain"
"ENSG00000169047","Forebrain"
"ENSG00000107130","Forebrain"
"ENSG00000137575","Forebrain"
"ENSG00000101871","Forebrain"
"ENSG00000171385","Forebrain"
"ENSG00000135905","Forebrain"
"ENSG00000160216","Forebrain"
"ENSG00000163596","Forebrain"
"ENSG00000108582","Forebrain"
"ENSG00000185250","Forebrain"
"ENSG00000205084","Forebrain"
"ENSG00000187231","Forebrain"
"ENSG00000101353","Forebrain"
"ENSG00000166455","Forebrain"
"ENSG00000141570","Forebrain"
"ENSG00000104765","Forebrain"
"ENSG00000150764","Forebrain"
"ENSG00000259495","Forebrain"
"ENSG00000166225","Forebrain"
"ENSG00000005486","Forebrain"
"ENSG00000198168","Forebrain"
"ENSG00000159461","Forebrain"
"ENSG00000144560","Forebrain"
"ENSG00000105767","Forebrain"
"ENSG00000184939","Forebrain"
"ENSG00000110693","Forebrain"
"ENSG00000162929","Forebrain"
"ENSG00000150471","Forebrain"
"ENSG00000179833","Forebrain"
"ENSG00000160360","Forebrain"
"ENSG00000058091","Forebrain"
"ENSG00000066629","Forebrain"
"ENSG00000152904","Forebrain"
"ENSG00000257698","Forebrain"
"ENSG00000106477","Forebrain"
"ENSG00000140557","Forebrain"
"ENSG00000172458","Forebrain"
"ENSG00000104960","Forebrain"
"ENSG00000171130","Forebrain"
"ENSG00000176973","Forebrain"
"ENSG00000123810","Forebrain"
"ENSG00000121067","Forebrain"
"ENSG00000279591","Forebrain"
"ENSG00000198853","Forebrain"
"ENSG00000134352","Forebrain"
"ENSG00000165156","Forebrain"
"ENSG00000122642","Forebrain"
"ENSG00000141431","Forebrain"
"ENSG00000072415","Forebrain"
"ENSG00000205269","Forebrain"
"ENSG00000171533","Forebrain"
"ENSG00000146966","Forebrain"
"ENSG00000138760","Forebrain"
"ENSG00000092148","Forebrain"
"ENSG00000105443","Forebrain"
"ENSG00000198873","Forebrain"
"ENSG00000065054","Forebrain"
"ENSG00000127483","Forebrain"
"ENSG00000064547","Forebrain"
"ENSG00000113810","Dorsal forebrain"
"ENSG00000131747","Dorsal forebrain"
"ENSG00000143153","Dorsal forebrain"
"ENSG00000142945","Dorsal forebrain"
"ENSG00000118193","Dorsal forebrain"
"ENSG00000012232","Dorsal forebrain"
"ENSG00000163909","Dorsal forebrain"
"ENSG00000069275","Dorsal forebrain"
"ENSG00000173207","Dorsal forebrain"
"ENSG00000075884","Dorsal forebrain"
"ENSG00000175183","Dorsal forebrain"
"ENSG00000109911","Dorsal forebrain"
"ENSG00000077152","Dorsal forebrain"
"ENSG00000196376","Dorsal forebrain"
"ENSG00000123091","Dorsal forebrain"
"ENSG00000182968","Dorsal forebrain"
"ENSG00000164651","Dorsal forebrain"
"ENSG00000082497","Dorsal forebrain"
"ENSG00000144857","Dorsal forebrain"
"ENSG00000168785","Dorsal forebrain"
"ENSG00000078304","Dorsal forebrain"
"ENSG00000118733","Dorsal forebrain"
"ENSG00000237732","Dorsal forebrain"
"ENSG00000175352","Dorsal forebrain"
"ENSG00000288658","Dorsal forebrain"
"ENSG00000075213","Dorsal forebrain"
"ENSG00000231609","Dorsal forebrain"
"ENSG00000158985","Dorsal forebrain"
"ENSG00000285535","Dorsal forebrain"
"ENSG00000168077","Dorsal forebrain"
"ENSG00000096746","Dorsal forebrain"
"ENSG00000078018","Dorsal forebrain"
"ENSG00000122756","Dorsal forebrain"
"ENSG00000169129","Dorsal forebrain"
"ENSG00000141696","Dorsal forebrain"
"ENSG00000109184","Dorsal forebrain"
"ENSG00000070961","Dorsal forebrain"
"ENSG00000184144","Dorsal forebrain"
"ENSG00000087470","Dorsal forebrain"
"ENSG00000203760","Dorsal forebrain"
"ENSG00000133048","Dorsal forebrain"
"ENSG00000145990","Dorsal forebrain"
"ENSG00000204899","Dorsal forebrain"
"ENSG00000198948","Dorsal forebrain"
"ENSG00000137266","Dorsal forebrain"
"ENSG00000250208","Dorsal forebrain"
"ENSG00000125869","Dorsal forebrain"
"ENSG00000179314","Dorsal forebrain"
"ENSG00000136504","Dorsal forebrain"
"ENSG00000153815","Dorsal forebrain"
"ENSG00000179796","Dorsal forebrain"
"ENSG00000111432","Dorsal forebrain"
"ENSG00000125398","Dorsal forebrain"
"ENSG00000184515","Dorsal forebrain"
"ENSG00000178074","Dorsal forebrain"
"ENSG00000154134","Dorsal forebrain"
"ENSG00000180616","Dorsal forebrain"
"ENSG00000262001","Dorsal forebrain"
"ENSG00000114346","Dorsal forebrain"
"ENSG00000156299","Dorsal forebrain"
"ENSG00000085117","Dorsal forebrain"
"ENSG00000187772","Dorsal forebrain"
"ENSG00000147251","Dorsal forebrain"
"ENSG00000120885","Dorsal forebrain"
"ENSG00000172020","Dorsal forebrain"
"ENSG00000189120","Dorsal forebrain"
"ENSG00000135045","Dorsal forebrain"
"ENSG00000006432","Dorsal forebrain"
"ENSG00000156136","Dorsal forebrain"
"ENSG00000173276","Dorsal forebrain"
"ENSG00000168811","Dorsal forebrain"
"ENSG00000105696","Dorsal forebrain"
"ENSG00000181773","Dorsal forebrain"
"ENSG00000060237","Dorsal forebrain"
"ENSG00000133069","Dorsal forebrain"
"ENSG00000124212","Dorsal forebrain"
"ENSG00000281406","Dorsal forebrain"
"ENSG00000117394","Dorsal forebrain"
"ENSG00000186007","Dorsal forebrain"
"ENSG00000158711","Dorsal forebrain"
"ENSG00000139496","Dorsal forebrain"
"ENSG00000099875","Dorsal forebrain"
"ENSG00000110076","Dorsal forebrain"
"ENSG00000167654","Dorsal forebrain"
"ENSG00000160209","Dorsal forebrain"
"ENSG00000120318","Dorsal forebrain"
"ENSG00000110651","Dorsal forebrain"
"ENSG00000136159","Dorsal forebrain"
"ENSG00000164611","Dorsal forebrain"
"ENSG00000123983","Dorsal forebrain"
"ENSG00000097021","Dorsal forebrain"
"ENSG00000152413","Dorsal forebrain"
"ENSG00000163923","Dorsal forebrain"
"ENSG00000105281","Dorsal forebrain"
"ENSG00000100767","Dorsal forebrain"
"ENSG00000139364","Dorsal forebrain"
"ENSG00000154639","Dorsal forebrain"
"ENSG00000043355","Dorsal forebrain"
"ENSG00000158966","Dorsal forebrain"
"ENSG00000115596","Dorsal forebrain"
"ENSG00000111962","Dorsal forebrain"
"ENSG00000128165","Dorsal forebrain"
"ENSG00000254377","Dorsal forebrain"
"ENSG00000153012","Dorsal forebrain"
"ENSG00000198435","Dorsal forebrain"
"ENSG00000106278","Dorsal forebrain"
"ENSG00000106003","Dorsal forebrain"
"ENSG00000134369","Dorsal forebrain"
"ENSG00000184867","Dorsal forebrain"
"ENSG00000177337","Dorsal forebrain"
"ENSG00000177426","Dorsal forebrain"
"ENSG00000148700","Dorsal forebrain"
"ENSG00000147065","Dorsal forebrain"
"ENSG00000182247","Dorsal forebrain"
"ENSG00000167460","Dorsal forebrain"
"ENSG00000168003","Dorsal forebrain"
"ENSG00000173812","Dorsal forebrain"
"ENSG00000120254","Dorsal forebrain"
"ENSG00000162188","Dorsal forebrain"
"ENSG00000111913","Dorsal forebrain"
"ENSG00000204442","Dorsal forebrain"
"ENSG00000115884","Dorsal forebrain"
"ENSG00000006634","Dorsal forebrain"
"ENSG00000138495","Dorsal forebrain"
"ENSG00000167081","Dorsal forebrain"
"ENSG00000066468","Dorsal forebrain"
"ENSG00000163485","Dorsal forebrain"
"ENSG00000250366","Dorsal forebrain"
"ENSG00000059804","Dorsal forebrain"
"ENSG00000101384","Dorsal forebrain"
"ENSG00000173157","Dorsal forebrain"
"ENSG00000069849","Dorsal forebrain"
"ENSG00000173848","Dorsal forebrain"
"ENSG00000120265","Dorsal forebrain"
"ENSG00000138061","Dorsal forebrain"
"ENSG00000171724","Dorsal forebrain"
"ENSG00000106772","Dorsal forebrain"
"ENSG00000002933","Dorsal forebrain"
"ENSG00000224243","Dorsal forebrain"
"ENSG00000257842","Dorsal forebrain"
"ENSG00000100003","Dorsal forebrain"
"ENSG00000186577","Dorsal forebrain"
"ENSG00000138658","Dorsal forebrain"
"ENSG00000099204","Dorsal forebrain"
"ENSG00000164056","Dorsal forebrain"
"ENSG00000164466","Dorsal forebrain"
"ENSG00000167196","Dorsal forebrain"
"ENSG00000111674","Dorsal forebrain"
"ENSG00000170275","Dorsal forebrain"
"ENSG00000144583","Dorsal forebrain"
"ENSG00000168280","Dorsal forebrain"
"ENSG00000101333","Dorsal forebrain"
"ENSG00000153944","Dorsal forebrain"
"ENSG00000278926","Dorsal forebrain"
"ENSG00000161513","Dorsal forebrain"
"ENSG00000154553","Dorsal forebrain"
"ENSG00000177106","Dorsal forebrain"
"ENSG00000228526","Dorsal forebrain"
"ENSG00000249859","Dorsal forebrain"
"ENSG00000118263","Dorsal forebrain"
"ENSG00000173530","Dorsal forebrain"
"ENSG00000109189","Dorsal forebrain"
"ENSG00000111145","Dorsal forebrain"
"ENSG00000128487","Dorsal forebrain"
"ENSG00000120539","Dorsal forebrain"
"ENSG00000188522","Dorsal forebrain"
"ENSG00000120899","Dorsal forebrain"
"ENSG00000249992","Dorsal forebrain"
"ENSG00000096696","Dorsal forebrain"
"ENSG00000006128","Dorsal forebrain"
"ENSG00000154917","Dorsal forebrain"
"ENSG00000141753","Dorsal forebrain"
"ENSG00000260338","Dorsal forebrain"
"ENSG00000142089","Dorsal forebrain"
"ENSG00000035403","Dorsal forebrain"
"ENSG00000120549","Dorsal forebrain"
"ENSG00000072110","Dorsal forebrain"
"ENSG00000183876","Dorsal forebrain"
"ENSG00000123240","Dorsal forebrain"
"ENSG00000164051","Dorsal forebrain"
"ENSG00000113916","Dorsal forebrain"
"ENSG00000068366","Dorsal forebrain"
"ENSG00000257501","Dorsal forebrain"
"ENSG00000187094","Dorsal forebrain"
"ENSG00000162772","Dorsal forebrain"
"ENSG00000151474","Dorsal forebrain"
"ENSG00000119862","Dorsal forebrain"
"ENSG00000183036","Dorsal forebrain"
"ENSG00000131080","Dorsal forebrain"
"ENSG00000154640","Dorsal forebrain"
"ENSG00000134574","Dorsal forebrain"
"ENSG00000198355","Dorsal forebrain"
"ENSG00000056487","Dorsal forebrain"
"ENSG00000186166","Dorsal forebrain"
"ENSG00000172965","Dorsal forebrain"
"ENSG00000134215","Dorsal forebrain"
"ENSG00000091664","Dorsal forebrain"
"ENSG00000165092","Dorsal forebrain"
"ENSG00000140873","Dorsal forebrain"
"ENSG00000138772","Dorsal forebrain"
"ENSG00000047849","Dorsal forebrain"
"ENSG00000189077","Dorsal forebrain"
"ENSG00000103145","Dorsal forebrain"
"ENSG00000184254","Dorsal forebrain"
"ENSG00000236801","Dorsal forebrain"
"ENSG00000105327","Dorsal forebrain"
"ENSG00000185088","Dorsal forebrain"
"ENSG00000136048","Dorsal forebrain"
"ENSG00000119547","Dorsal forebrain"
"ENSG00000080546","Dorsal forebrain"
"ENSG00000138018","Dorsal forebrain"
"ENSG00000148798","Dorsal forebrain"
"ENSG00000196361","Dorsal forebrain"
"ENSG00000201289","Dorsal forebrain"
"ENSG00000187210","Dorsal forebrain"
"ENSG00000108551","Dorsal forebrain"
"ENSG00000130176","Dorsal forebrain"
"ENSG00000280451","Dorsal forebrain"
"ENSG00000100592","Dorsal forebrain"
"ENSG00000196937","Dorsal forebrain"
"ENSG00000275216","Dorsal forebrain"
"ENSG00000006327","Dorsal forebrain"
"ENSG00000173334","Dorsal forebrain"
"ENSG00000160888","Dorsal forebrain"
"ENSG00000136250","Dorsal forebrain"
"ENSG00000008196","Dorsal forebrain"
"ENSG00000169862","Dorsal forebrain"
"ENSG00000061918","Dorsal forebrain"
"ENSG00000042980","Dorsal forebrain"
"ENSG00000075290","Dorsal forebrain"
"ENSG00000152977","Dorsal forebrain"
"ENSG00000137501","Dorsal forebrain"
"ENSG00000260125","Dorsal forebrain"
"ENSG00000273540","Dorsal forebrain"
"ENSG00000144369","Dorsal forebrain"
"ENSG00000154342","Dorsal forebrain"
"ENSG00000174963","Dorsal forebrain"
"ENSG00000155052","Dorsal forebrain"
"ENSG00000067798","Dorsal forebrain"
"ENSG00000077943","Dorsal forebrain"
"ENSG00000140522","Dorsal forebrain"
