"","Figure2H"
"ENSG00000000003",1
"ENSG00000054793",1
"ENSG00000066084",1
"ENSG00000070193",1
"ENSG00000073910",1
"ENSG00000077092",1
"ENSG00000077274",1
"ENSG00000077279",1
"ENSG00000079150",1
"ENSG00000087245",1
"ENSG00000099139",1
"ENSG00000099284",1
"ENSG00000099715",1
"ENSG00000100154",1
"ENSG00000100433",1
"ENSG00000104043",1
"ENSG00000105894",1
"ENSG00000105928",1
"ENSG00000105982",1
"ENSG00000107864",1
"ENSG00000108984",1
"ENSG00000109339",1
"ENSG00000109472",1
"ENSG00000109738",1
"ENSG00000109991",1
"ENSG00000110786",1
"ENSG00000112149",1
"ENSG00000112320",1
"ENSG00000114315",1
"ENSG00000114541",1
"ENSG00000114854",1
"ENSG00000115758",1
"ENSG00000116132",1
"ENSG00000116329",1
"ENSG00000116990",1
"ENSG00000117152",1
"ENSG00000117461",1
"ENSG00000119508",1
"ENSG00000121005",1
"ENSG00000122378",1
"ENSG00000122585",1
"ENSG00000122644",1
"ENSG00000122863",1
"ENSG00000123933",1
"ENSG00000124570",1
"ENSG00000124749",1
"ENSG00000124766",1
"ENSG00000125266",1
"ENSG00000125845",1
"ENSG00000125945",1
"ENSG00000127249",1
"ENSG00000127418",1
"ENSG00000129474",1
"ENSG00000130449",1
"ENSG00000131378",1
"ENSG00000132970",1
"ENSG00000134250",1
"ENSG00000135144",1
"ENSG00000135299",1
"ENSG00000135333",1
"ENSG00000135838",1
"ENSG00000136040",1
"ENSG00000136352",1
"ENSG00000136383",1
"ENSG00000136541",1
"ENSG00000137834",1
"ENSG00000137936",1
"ENSG00000138083",1
"ENSG00000138670",1
"ENSG00000138764",1
"ENSG00000138795",1
"ENSG00000138829",1
"ENSG00000139263",1
"ENSG00000140416",1
"ENSG00000141642",1
"ENSG00000141837",1
"ENSG00000143195",1
"ENSG00000143344",1
"ENSG00000143507",1
"ENSG00000143768",1
"ENSG00000144218",1
"ENSG00000145365",1
"ENSG00000145555",1
"ENSG00000145730",1
"ENSG00000147257",1
"ENSG00000147655",1
"ENSG00000147889",1
"ENSG00000148180",1
"ENSG00000148541",1
"ENSG00000149256",1
"ENSG00000149289",1
"ENSG00000150687",1
"ENSG00000151332",1
"ENSG00000151376",1
"ENSG00000151778",1
"ENSG00000151948",1
"ENSG00000152092",1
"ENSG00000153266",1
"ENSG00000154265",1
"ENSG00000154447",1
"ENSG00000156298",1
"ENSG00000157570",1
"ENSG00000162373",1
"ENSG00000163297",1
"ENSG00000163629",1
"ENSG00000163661",1
"ENSG00000164690",1
"ENSG00000164946",1
"ENSG00000165194",1
"ENSG00000165240",1
"ENSG00000165443",1
"ENSG00000165655",1
"ENSG00000165730",1
"ENSG00000166257",1
"ENSG00000168874",1
"ENSG00000169047",1
"ENSG00000169245",1
"ENSG00000169554",1
"ENSG00000170381",1
"ENSG00000170390",1
"ENSG00000170537",1
"ENSG00000170891",1
"ENSG00000171224",1
"ENSG00000173114",1
"ENSG00000175155",1
"ENSG00000175505",1
"ENSG00000176428",1
"ENSG00000178401",1
"ENSG00000179008",1
"ENSG00000179241",1
"ENSG00000180537",1
"ENSG00000181754",1
"ENSG00000182175",1
"ENSG00000182256",1
"ENSG00000183496",1
"ENSG00000184058",1
"ENSG00000185201",1
"ENSG00000185737",1
"ENSG00000187079",1
"ENSG00000187091",1
"ENSG00000187098",1
"ENSG00000187231",1
"ENSG00000188042",1
"ENSG00000196814",1
"ENSG00000197054",1
"ENSG00000198795",1
"ENSG00000198932",1
"ENSG00000203952",1
"ENSG00000204065",1
"ENSG00000211649",1
"ENSG00000213722",1
"ENSG00000234031",1
"ENSG00000237149",1
"ENSG00000241163",1
"ENSG00000246859",1
"ENSG00000261115",1
"ENSG00000262655",1
"ENSG00000266970",1
"ENSG00000267221",1
"ENSG00000270629",1
"ENSG00000005059",2
"ENSG00000006042",2
"ENSG00000054392",2
"ENSG00000057294",2
"ENSG00000088836",2
"ENSG00000102678",2
"ENSG00000103528",2
"ENSG00000106829",2
"ENSG00000107249",2
"ENSG00000107611",2
"ENSG00000107984",2
"ENSG00000109814",2
"ENSG00000115828",2
"ENSG00000117318",2
"ENSG00000118495",2
"ENSG00000120327",2
"ENSG00000122042",2
"ENSG00000122432",2
"ENSG00000125798",2
"ENSG00000125820",2
"ENSG00000126016",2
"ENSG00000128596",2
"ENSG00000130940",2
"ENSG00000133466",2
"ENSG00000133639",2
"ENSG00000133937",2
"ENSG00000134595",2
"ENSG00000136327",2
"ENSG00000138675",2
"ENSG00000139318",2
"ENSG00000141449",2
"ENSG00000143850",2
"ENSG00000145721",2
"ENSG00000148082",2
"ENSG00000148175",2
"ENSG00000154153",2
"ENSG00000157680",2
"ENSG00000160097",2
"ENSG00000162998",2
"ENSG00000162999",2
"ENSG00000163251",2
"ENSG00000166922",2
"ENSG00000170545",2
"ENSG00000175611",2
"ENSG00000180340",2
"ENSG00000180592",2
"ENSG00000180730",2
"ENSG00000184226",2
"ENSG00000184828",2
"ENSG00000184985",2
"ENSG00000185565",2
"ENSG00000185920",2
"ENSG00000186732",2
"ENSG00000196338",2
"ENSG00000198648",2
"ENSG00000213694",2
"ENSG00000223573",2
"ENSG00000225614",2
"ENSG00000228784",2
"ENSG00000236154",2
"ENSG00000239697",2
"ENSG00000254389",2
"ENSG00000259439",2
"ENSG00000259974",2
"ENSG00000263874",2
"ENSG00000272970",2
"ENSG00000286096",2
