"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","cluster","subcluster","cluster_LON","subclusterLON","cluster_WTC","subcluster_WTC"
"ENSG00000223764",1.06178547309788,1.67107980868744,0.505253472249505,3.30740885608842,0.000941633483316307,0.00559162337688613,"LINC02593",1,1,1,1,1,1
"ENSG00000188290",140.303220545695,-1.8190367070103,0.298909682009907,-6.08557305597753,1.16075380368602e-09,3.25701077200723e-08,"HES4",2,1,2,1,2,1
"ENSG00000235098",30.0958080409709,1.61892005998475,0.202202903986848,8.00641349883903,1.18102151962909e-15,9.2911400364598e-14,"ANKRD65",1,2,1,2,3,1
"ENSG00000177133",5.19073306862814,-1.32530369886125,0.307477570343361,-4.31024512578685,1.63073682609316e-05,0.000171138739738363,"PRDM16-DT",3,1,2,1,4,1
"ENSG00000142611",41.3937555421073,-2.18438281344108,0.348226087091646,-6.2728867664248,3.54414664085746e-10,1.061794341304e-08,"PRDM16",3,1,2,1,4,1
"ENSG00000069812",3.13625394122857,-1.21596353691537,0.347153527801888,-3.50266795390105,0.000460623282718426,0.00304326567596333,"HES2",3,2,3,1,2,2
"ENSG00000049249",2.26342281465498,-2.18301714213176,0.53589353614482,-4.07360230137543,4.62915036284649e-05,0.000422915195084827,"TNFRSF9",3,1,2,1,2,3
"ENSG00000162426",2.40848577291209,-1.32263078641182,0.301258862313281,-4.39034648227681,1.13170189812131e-05,0.000124358406714923,"SLC45A1",2,2,2,2,2,3
"ENSG00000228526",39.4862477177581,-1.11556547374266,0.250962022078283,-4.44515654003886,8.78278918330062e-06,9.93371805338064e-05,"MIR34AHG",2,1,2,1,2,2
"ENSG00000142621",12.8996774837957,1.00768447409254,0.302917013504592,3.32660243290449,0.000879117021313701,0.00527048395419823,"FHAD1",1,3,4,1,3,1
"ENSG00000215704",1.49812648788774,1.5036986682129,0.390898689200133,3.84677337058819,0.0001196835795375,0.000957874496215539,"CELA2B",1,4,1,3,1,2
"ENSG00000142627",217.386651681053,-1.15480898381337,0.301698122477691,-3.82769695193833,0.000129347874092462,0.00101871642328438,"EPHA2",2,1,2,1,2,1
"ENSG00000162542",3.82684983756755,1.21949422689794,0.298120998237879,4.09060158159295,4.30255709273102e-05,0.000396660656279079,"TMCO4",1,1,4,1,1,2
"ENSG00000162543",8.28216709892217,1.34175200871729,0.246396993587567,5.44548855560789,5.16633851880324e-08,1.0451256807419e-06,"UBXN10",1,3,4,2,3,1
"ENSG00000158816",4.31561203041899,3.07360317949072,0.529397044808688,5.8058563220757,6.40378595534703e-09,1.55989469584319e-07,"VWA5B1",1,3,4,1,3,1
"ENSG00000133216",275.522785033593,1.24308994349123,0.185215988663268,6.71156930059224,1.9254231030263e-11,7.51799855356279e-10,"EPHB2",1,3,4,3,3,1
"ENSG00000179546",72.5718201349789,2.99794368872084,0.33790691080465,8.87209936482776,7.17796892235581e-19,8.71241359312913e-17,"HTR1D",4,1,1,1,1,3
"ENSG00000204219",5.87923805389299,1.01060527778881,0.261440611717404,3.86552521871082,0.000110850393674797,0.000895151545106914,"TCEA3",1,2,4,1,3,2
"ENSG00000117318",449.232835169474,1.53049374434013,0.189626307760141,8.07110449187281,6.96650627557336e-16,5.73548681393232e-14,"ID3",1,4,1,2,3,3
"ENSG00000158055",14.7628203284517,-1.38571840105495,0.325868120884242,-4.25239019175857,2.11500930923625e-05,0.000214848937051588,"GRHL3",5,1,5,1,4,2
"ENSG00000236782",2.02599116719141,-4.54142185822737,0.624479596378743,-7.27233024835774,3.53338463933319e-13,1.83055178351406e-11,"ZNF593OS",2,3,2,1,2,1
"ENSG00000188782",1.43759409559696,1.80206413899095,0.422523365740093,4.26500469585736,1.9989799750741e-05,0.00020512238478526,"CATSPER4",4,2,1,4,5,1
"ENSG00000181773",9.70348667035351,-1.11051767301505,0.262876001581681,-4.22449240833417,2.39479923949436e-05,0.000239604006811586,"GPR3",2,1,2,1,2,1
"ENSG00000116329",9.27294065982856,1.97174541434937,0.23616877464141,8.34888277395348,6.89116903150373e-17,6.53461256241834e-15,"OPRD1",4,3,4,3,1,3
"ENSG00000092850",4.94138666949735,1.32614493469495,0.403239143171452,3.28873066306235,0.00100640280921392,0.00592160722174874,"TEKT2",1,3,4,1,3,1
"ENSG00000171812",1.72144694220785,2.11383803803664,0.521746572306771,4.05146511780774,5.08979150285285e-05,0.000458296995812198,"COL8A2",1,3,4,1,1,2
"ENSG00000163873",11.7609155870848,2.50219200863909,0.417055695265809,5.99965912716845,1.97732173556401e-09,5.30977130026741e-08,"GRIK3",1,4,1,3,1,1
"ENSG00000163909",12.3317035447201,-1.76833038144957,0.266789897248007,-6.62817595302623,3.39860221938897e-11,1.28451440822137e-09,"HEYL",2,3,5,1,4,1
