genes,cluster,symbol
ENSG00000000003,1,TSPAN6
ENSG00000054793,1,ATP9A
ENSG00000066084,1,DIP2B
ENSG00000070193,1,FGF10
ENSG00000073910,1,FRY
ENSG00000077092,1,RARB
ENSG00000077274,1,CAPN6
ENSG00000077279,1,DCX
ENSG00000079150,1,FKBP7
ENSG00000087245,1,MMP2
ENSG00000099139,1,PCSK5
ENSG00000099284,1,MACROH2A2
ENSG00000099715,1,PCDH11Y
ENSG00000100154,1,TTC28
ENSG00000100433,1,KCNK10
ENSG00000104043,1,ATP8B4
ENSG00000105894,1,PTN
ENSG00000105928,1,GSDME
ENSG00000105982,1,RNF32
ENSG00000107864,1,CPEB3
ENSG00000108984,1,MAP2K6
ENSG00000109339,1,MAPK10
ENSG00000109472,1,CPE
ENSG00000109738,1,GLRB
ENSG00000109991,1,P2RX3
ENSG00000110786,1,PTPN5
ENSG00000112149,1,CD83
ENSG00000112320,1,SOBP
ENSG00000114315,1,HES1
ENSG00000114541,1,FRMD4B
ENSG00000114854,1,TNNC1
ENSG00000115758,1,ODC1
ENSG00000116132,1,PRRX1
ENSG00000116329,1,OPRD1
ENSG00000116990,1,MYCL
ENSG00000117152,1,RGS4
ENSG00000117461,1,PIK3R3
ENSG00000119508,1,NR4A3
ENSG00000121005,1,CRISPLD1
ENSG00000122378,1,PRXL2A
ENSG00000122585,1,NPY
ENSG00000122644,1,ARL4A
ENSG00000122863,1,CHST3
ENSG00000123933,1,MXD4
ENSG00000124570,1,SERPINB6
ENSG00000124749,1,COL21A1
ENSG00000124766,1,SOX4
ENSG00000125266,1,EFNB2
ENSG00000125845,1,BMP2
ENSG00000125945,1,ZNF436
ENSG00000127249,1,ATP13A4
ENSG00000127418,1,FGFRL1
ENSG00000129474,1,AJUBA
ENSG00000130449,1,ZSWIM6
ENSG00000131378,1,RFTN1
ENSG00000132970,1,WASF3
ENSG00000134250,1,NOTCH2
ENSG00000135144,1,DTX1
ENSG00000135299,1,ANKRD6
ENSG00000135333,1,EPHA7
ENSG00000135838,1,NPL
ENSG00000136040,1,PLXNC1
ENSG00000136352,1,NKX2-1
ENSG00000136383,1,ALPK3
ENSG00000136541,1,ERMN
ENSG00000137834,1,SMAD6
ENSG00000137936,1,BCAR3
ENSG00000138083,1,SIX3
ENSG00000138670,1,RASGEF1B
ENSG00000138764,1,CCNG2
ENSG00000138795,1,LEF1
ENSG00000138829,1,FBN2
ENSG00000139263,1,LRIG3
ENSG00000140416,1,TPM1
ENSG00000141642,1,ELAC1
ENSG00000141837,1,CACNA1A
ENSG00000143195,1,ILDR2
ENSG00000143344,1,RGL1
ENSG00000143507,1,DUSP10
ENSG00000143768,1,LEFTY2
ENSG00000144218,1,AFF3
ENSG00000145365,1,TIFA
ENSG00000145555,1,MYO10
ENSG00000145730,1,PAM
ENSG00000147257,1,GPC3
ENSG00000147655,1,RSPO2
ENSG00000147889,1,CDKN2A
ENSG00000148180,1,GSN
ENSG00000148541,1,FAM13C
ENSG00000149256,1,TENM4
ENSG00000149289,1,ZC3H12C
ENSG00000150687,1,PRSS23
ENSG00000151332,1,MBIP
ENSG00000151376,1,ME3
ENSG00000151778,1,SERP2
ENSG00000151948,1,GLT1D1
ENSG00000152092,1,ASTN1
ENSG00000153266,1,FEZF2
ENSG00000154265,1,ABCA5
ENSG00000154447,1,SH3RF1
ENSG00000156298,1,TSPAN7
ENSG00000157570,1,TSPAN18
ENSG00000162373,1,BEND5
ENSG00000163297,1,ANTXR2
ENSG00000163629,1,PTPN13
ENSG00000163661,1,PTX3
ENSG00000164690,1,SHH
ENSG00000164946,1,FREM1
ENSG00000165194,1,PCDH19
ENSG00000165240,1,ATP7A
ENSG00000165443,1,PHYHIPL
ENSG00000165655,1,ZNF503
ENSG00000165730,1,STOX1
ENSG00000166257,1,SCN3B
ENSG00000168874,1,ATOH8
ENSG00000169047,1,IRS1
ENSG00000169245,1,CXCL10
ENSG00000169554,1,ZEB2
ENSG00000170381,1,SEMA3E
ENSG00000170390,1,DCLK2
ENSG00000170537,1,TMC7
ENSG00000170891,1,CYTL1
ENSG00000171224,1,FAM241B
ENSG00000173114,1,LRRN3
ENSG00000175155,1,YPEL2
ENSG00000175505,1,CLCF1
ENSG00000176428,1,VPS37D
ENSG00000178401,1,DNAJC22
ENSG00000179008,1,C14orf39
ENSG00000179241,1,LDLRAD3
ENSG00000180537,1,RNF182
ENSG00000181754,1,AMIGO1
ENSG00000182175,1,RGMA
ENSG00000182256,1,GABRG3
ENSG00000183496,1,MEX3B
ENSG00000184058,1,TBX1
ENSG00000185201,1,IFITM2
ENSG00000185737,1,NRG3
ENSG00000187079,1,TEAD1
ENSG00000187091,1,PLCD1
ENSG00000187098,1,MITF
ENSG00000187231,1,SESTD1
ENSG00000188042,1,ARL4C
ENSG00000196814,1,MVB12B
ENSG00000197054,1,ZNF763
ENSG00000198795,1,ZNF521
ENSG00000198932,1,GPRASP1
ENSG00000203952,1,CCDC160
ENSG00000204065,1,TCEAL5
ENSG00000211649,1,IGLV7-46
ENSG00000213722,1,DDAH2
ENSG00000234031,1,RPS3AP44
ENSG00000237149,1,ZNF503-AS2
ENSG00000241163,1,LINC00877
ENSG00000246859,1,STARD4-AS1
ENSG00000261115,1,TMEM178B
ENSG00000262655,1,SPON1
ENSG00000266970,1,SOCS3-DT
ENSG00000267221,1,C17orf113
ENSG00000270629,1,NBPF14
ENSG00000001626,2,CFTR
ENSG00000004799,2,PDK4
ENSG00000005513,2,SOX8
ENSG00000007968,2,E2F2
ENSG00000013364,2,MVP
ENSG00000040731,2,CDH10
ENSG00000069020,2,MAST4
ENSG00000073067,2,CYP2W1
ENSG00000102886,2,GDPD3
ENSG00000106367,2,AP1S1
ENSG00000112139,2,MDGA1
ENSG00000115257,2,PCSK4
ENSG00000118137,2,APOA1
ENSG00000124302,2,CHST8
ENSG00000127124,2,HIVEP3
ENSG00000131409,2,LRRC4B
ENSG00000133136,2,GNG5B
ENSG00000138606,2,SHF
ENSG00000138650,2,PCDH10
ENSG00000143590,2,EFNA3
ENSG00000145536,2,ADAMTS16
ENSG00000152760,2,DYNLT5
ENSG00000156218,2,ADAMTSL3
ENSG00000160094,2,ZNF362
ENSG00000164683,2,HEY1
ENSG00000167772,2,ANGPTL4
ENSG00000167778,2,SPRYD3
ENSG00000168079,2,SCARA5
ENSG00000168481,2,LGI3
ENSG00000170049,2,KCNAB3
ENSG00000182132,2,KCNIP1
ENSG00000182580,2,EPHB3
ENSG00000184486,2,POU3F2
ENSG00000185585,2,OLFML2A
ENSG00000186638,2,KIF24
ENSG00000197696,2,NMB
ENSG00000197956,2,S100A6
ENSG00000212864,2,RNF208
ENSG00000224020,2,MIR181A2HG
ENSG00000227051,2,C14orf132
ENSG00000227560,2,RPS15AP30
ENSG00000231607,2,DLEU2
ENSG00000242808,2,SOX2-OT
ENSG00000244694,2,PTCHD4
ENSG00000256713,2,PGA5
ENSG00000003096,3,KLHL13
ENSG00000065717,3,TLE2
ENSG00000085185,3,BCORL1
ENSG00000100311,3,PDGFB
ENSG00000104967,3,NOVA2
ENSG00000109762,3,SNX25
ENSG00000109771,3,LRP2BP
ENSG00000114656,3,CFAP92
ENSG00000114841,3,DNAH1
ENSG00000116106,3,EPHA4
ENSG00000117069,3,ST6GALNAC5
ENSG00000119632,3,IFI27L2
ENSG00000120937,3,NPPB
ENSG00000127415,3,IDUA
ENSG00000129757,3,CDKN1C
ENSG00000132326,3,PER2
ENSG00000132718,3,SYT11
ENSG00000136451,3,VEZF1
ENSG00000139438,3,FAM222A
ENSG00000141526,3,SLC16A3
ENSG00000141622,3,ARK2C
ENSG00000142197,3,DOP1B
ENSG00000144834,3,TAGLN3
ENSG00000150281,3,CTF1
ENSG00000154856,3,APCDD1
ENSG00000154928,3,EPHB1
ENSG00000162873,3,KLHDC8A
ENSG00000164916,3,FOXK1
ENSG00000165804,3,ZNF219
ENSG00000167123,3,CERCAM
ENSG00000168297,3,PXK
ENSG00000169105,3,CHST14
ENSG00000173320,3,STOX2
ENSG00000176887,3,SOX11
ENSG00000177359,3,OVOS2
ENSG00000179195,3,ZNF664
ENSG00000182890,3,GLUD2
ENSG00000185022,3,MAFF
ENSG00000188738,3,FSIP2
ENSG00000196660,3,SLC30A10
ENSG00000198939,3,ZFP2
ENSG00000226508,3,LINC01918
ENSG00000231738,3,TSPAN19
ENSG00000235098,3,ANKRD65
ENSG00000245534,3,RORA-AS1
ENSG00000248487,3,ABHD14A
ENSG00000259030,3,FPGT-TNNI3K
ENSG00000259291,3,ZNF710-AS1
ENSG00000272870,3,SAP30-DT
ENSG00000288018,3,LOC101929174
ENSG00000003400,4,CASP10
ENSG00000003509,4,NDUFAF7
ENSG00000004478,4,FKBP4
ENSG00000006047,4,YBX2
ENSG00000006453,4,BAIAP2L1
ENSG00000008323,4,PLEKHG6
ENSG00000008516,4,MMP25
ENSG00000009950,4,MLXIPL
ENSG00000018625,4,ATP1A2
ENSG00000021645,4,NRXN3
ENSG00000033170,4,FUT8
ENSG00000039068,4,CDH1
ENSG00000042062,4,RIPOR3
ENSG00000042493,4,CAPG
ENSG00000043143,4,JADE2
ENSG00000043355,4,ZIC2
ENSG00000054179,4,ENTPD2
ENSG00000058085,4,LAMC2
ENSG00000061337,4,LZTS1
ENSG00000061492,4,WNT8A
ENSG00000062038,4,CDH3
ENSG00000063015,4,SEZ6
ENSG00000063180,4,CA11
ENSG00000064763,4,FAR2
ENSG00000065361,4,ERBB3
ENSG00000065618,4,COL17A1
ENSG00000065675,4,PRKCQ
ENSG00000066735,4,KIF26A
ENSG00000066923,4,STAG3
ENSG00000068831,4,RASGRP2
ENSG00000068976,4,PYGM
ENSG00000070886,4,EPHA8
ENSG00000072071,4,ADGRL1
ENSG00000073536,4,NLE1
ENSG00000073849,4,ST6GAL1
ENSG00000074047,4,GLI2
ENSG00000074211,4,PPP2R2C
ENSG00000075035,4,WSCD2
ENSG00000075043,4,KCNQ2
ENSG00000075340,4,ADD2
ENSG00000075643,4,MOCOS
ENSG00000076043,4,REXO2
ENSG00000076716,4,GPC4
ENSG00000077009,4,NMRK2
ENSG00000077782,4,FGFR1
ENSG00000079385,4,CEACAM1
ENSG00000080709,4,KCNN2
ENSG00000080854,4,IGSF9B
ENSG00000081803,4,CADPS2
