"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044782","GO:0044782","cilium organization","30/375","410/20772",9.63531898887319e-11,3.58337513196194e-07,3.16545584887087e-07,"ENSG00000122417/ENSG00000170264/ENSG00000068885/ENSG00000135315/ENSG00000160188/ENSG00000118965/ENSG00000105792/ENSG00000162543/ENSG00000181378/ENSG00000171811/ENSG00000206530/ENSG00000110318/ENSG00000127328/ENSG00000188316/ENSG00000152582/ENSG00000196659/ENSG00000158716/ENSG00000204104/ENSG00000112981/ENSG00000032742/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000156050/ENSG00000204852/ENSG00000118997/ENSG00000125354/ENSG00000183833/ENSG00000188596/ENSG00000164953",30
"GO:0060271","GO:0060271","cilium assembly","28/375","381/20772",3.76454486318005e-10,7.0001711730833e-07,6.18376027262365e-07,"ENSG00000122417/ENSG00000170264/ENSG00000068885/ENSG00000135315/ENSG00000160188/ENSG00000118965/ENSG00000105792/ENSG00000162543/ENSG00000181378/ENSG00000171811/ENSG00000206530/ENSG00000110318/ENSG00000127328/ENSG00000152582/ENSG00000196659/ENSG00000158716/ENSG00000204104/ENSG00000112981/ENSG00000032742/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000204852/ENSG00000118997/ENSG00000125354/ENSG00000183833/ENSG00000188596/ENSG00000164953",28
"GO:0016055","GO:0016055","Wnt signaling pathway","29/375","485/20772",1.98346191948287e-08,2.01793502828556e-05,1.78258876134763e-05,"ENSG00000205213/ENSG00000065717/ENSG00000104953/ENSG00000163251/ENSG00000148737/ENSG00000103449/ENSG00000111087/ENSG00000187098/ENSG00000068885/ENSG00000164690/ENSG00000188906/ENSG00000106723/ENSG00000177283/ENSG00000182704/ENSG00000173218/ENSG00000104964/ENSG00000187123/ENSG00000146678/ENSG00000070193/ENSG00000180730/ENSG00000075275/ENSG00000162998/ENSG00000269113/ENSG00000110492/ENSG00000152284/ENSG00000101311/ENSG00000124766/ENSG00000107104/ENSG00000164953",29
"GO:0198738","GO:0198738","cell-cell signaling by wnt","29/375","487/20772",2.17040605354726e-08,2.01793502828556e-05,1.78258876134763e-05,"ENSG00000205213/ENSG00000065717/ENSG00000104953/ENSG00000163251/ENSG00000148737/ENSG00000103449/ENSG00000111087/ENSG00000187098/ENSG00000068885/ENSG00000164690/ENSG00000188906/ENSG00000106723/ENSG00000177283/ENSG00000182704/ENSG00000173218/ENSG00000104964/ENSG00000187123/ENSG00000146678/ENSG00000070193/ENSG00000180730/ENSG00000075275/ENSG00000162998/ENSG00000269113/ENSG00000110492/ENSG00000152284/ENSG00000101311/ENSG00000124766/ENSG00000107104/ENSG00000164953",29
"GO:0001578","GO:0001578","microtubule bundle formation","14/375","124/20772",5.53603770242223e-08,4.11770484306165e-05,3.6374681408968e-05,"ENSG00000160188/ENSG00000105792/ENSG00000077274/ENSG00000181378/ENSG00000171811/ENSG00000206530/ENSG00000170703/ENSG00000152582/ENSG00000167566/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000118997/ENSG00000183833",14
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway","23/375","351/20772",1.19351569315256e-07,7.39780810472398e-05,6.53502189180553e-05,"ENSG00000205213/ENSG00000065717/ENSG00000104953/ENSG00000148737/ENSG00000103449/ENSG00000111087/ENSG00000068885/ENSG00000164690/ENSG00000188906/ENSG00000106723/ENSG00000182704/ENSG00000104964/ENSG00000187123/ENSG00000146678/ENSG00000070193/ENSG00000180730/ENSG00000162998/ENSG00000269113/ENSG00000110492/ENSG00000152284/ENSG00000101311/ENSG00000124766/ENSG00000107104",23
"GO:0003341","GO:0003341","cilium movement","17/375","202/20772",1.68028825156961e-07,8.92713143941056e-05,7.88598441075002e-05,"ENSG00000105792/ENSG00000181378/ENSG00000171811/ENSG00000206530/ENSG00000170703/ENSG00000188316/ENSG00000152582/ENSG00000112981/ENSG00000151023/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000088727/ENSG00000118997/ENSG00000183833/ENSG00000188596/ENSG00000179397",17
"GO:0035270","GO:0035270","endocrine system development","14/375","147/20772",4.66141602208744e-07,0.00021669757732679,0.000191424729012301,"ENSG00000125798/ENSG00000103449/ENSG00000111087/ENSG00000178919/ENSG00000164690/ENSG00000164093/ENSG00000070193/ENSG00000010310/ENSG00000136352/ENSG00000110492/ENSG00000124766/ENSG00000114315/ENSG00000134853/ENSG00000138083",14
"GO:0035082","GO:0035082","axoneme assembly","11/375","95/20772",1.15434782168432e-06,0.000468250825167928,0.000413640006608767,"ENSG00000160188/ENSG00000105792/ENSG00000181378/ENSG00000171811/ENSG00000206530/ENSG00000152582/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000118997/ENSG00000183833",11
"GO:0001763","GO:0001763","morphogenesis of a branching structure","17/375","233/20772",1.25907723895651e-06,0.000468250825167928,0.000413640006608767,"ENSG00000075223/ENSG00000205213/ENSG00000163251/ENSG00000129514/ENSG00000170381/ENSG00000164161/ENSG00000103449/ENSG00000104313/ENSG00000164690/ENSG00000188906/ENSG00000136541/ENSG00000185920/ENSG00000070193/ENSG00000115310/ENSG00000075275/ENSG00000136352/ENSG00000110492",17
