"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044782","GO:0044782","cilium organization","34/390","410/20772",4.58483778845808e-13,1.66154521453721e-09,1.5043094091183e-09,"ENSG00000205084/ENSG00000122417/ENSG00000135315/ENSG00000170264/ENSG00000068885/ENSG00000160188/ENSG00000162543/ENSG00000118965/ENSG00000181378/ENSG00000171811/ENSG00000105792/ENSG00000206530/ENSG00000196659/ENSG00000152582/ENSG00000112981/ENSG00000204104/ENSG00000032742/ENSG00000158716/ENSG00000188316/ENSG00000110318/ENSG00000204852/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000156050/ENSG00000183833/ENSG00000127328/ENSG00000188596/ENSG00000164953/ENSG00000118997/ENSG00000129295/ENSG00000125354/ENSG00000163482/ENSG00000197557",34
"GO:0060271","GO:0060271","cilium assembly","31/390","381/20772",8.41325031299031e-12,1.52448095671384e-08,1.38021585397846e-08,"ENSG00000205084/ENSG00000122417/ENSG00000135315/ENSG00000170264/ENSG00000068885/ENSG00000160188/ENSG00000162543/ENSG00000118965/ENSG00000181378/ENSG00000171811/ENSG00000105792/ENSG00000206530/ENSG00000196659/ENSG00000152582/ENSG00000112981/ENSG00000204104/ENSG00000032742/ENSG00000158716/ENSG00000110318/ENSG00000204852/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000183833/ENSG00000127328/ENSG00000188596/ENSG00000164953/ENSG00000118997/ENSG00000129295/ENSG00000125354/ENSG00000163482",31
"GO:0001578","GO:0001578","microtubule bundle formation","16/390","124/20772",1.50713421835339e-09,1.45280368977001e-06,1.31532156994688e-06,"ENSG00000160188/ENSG00000181378/ENSG00000171811/ENSG00000077274/ENSG00000105792/ENSG00000206530/ENSG00000152582/ENSG00000170703/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000183833/ENSG00000167566/ENSG00000118997/ENSG00000129295/ENSG00000163482",16
"GO:0003341","GO:0003341","cilium movement","20/390","202/20772",1.60353608142386e-09,1.45280368977001e-06,1.31532156994688e-06,"ENSG00000181378/ENSG00000171811/ENSG00000105792/ENSG00000206530/ENSG00000152582/ENSG00000112981/ENSG00000151023/ENSG00000170703/ENSG00000188316/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000183833/ENSG00000179397/ENSG00000088727/ENSG00000188596/ENSG00000118997/ENSG00000129295/ENSG00000163491/ENSG00000163482",20
"GO:0007018","GO:0007018","microtubule-based movement","29/390","437/20772",4.70518573433931e-09,3.41031862024913e-06,3.08759240714434e-06,"ENSG00000068885/ENSG00000118965/ENSG00000181378/ENSG00000171811/ENSG00000105792/ENSG00000206530/ENSG00000196659/ENSG00000152582/ENSG00000112981/ENSG00000204104/ENSG00000032742/ENSG00000151023/ENSG00000170703/ENSG00000188316/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000183833/ENSG00000179397/ENSG00000088727/ENSG00000188596/ENSG00000118997/ENSG00000129295/ENSG00000168589/ENSG00000125337/ENSG00000163491/ENSG00000163482/ENSG00000197557/ENSG00000115423",29
"GO:0035082","GO:0035082","axoneme assembly","13/390","95/20772",2.5631404278621e-08,1.54813681842871e-05,1.40163310765722e-05,"ENSG00000160188/ENSG00000181378/ENSG00000171811/ENSG00000105792/ENSG00000206530/ENSG00000152582/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000183833/ENSG00000118997/ENSG00000129295/ENSG00000163482",13
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility","15/390","164/20772",5.06018789817884e-07,0.000229226511787501,0.000207534285245045,"ENSG00000181378/ENSG00000171811/ENSG00000105792/ENSG00000206530/ENSG00000152582/ENSG00000151023/ENSG00000170703/ENSG00000188316/ENSG00000197748/ENSG00000111834/ENSG00000179397/ENSG00000088727/ENSG00000188596/ENSG00000118997/ENSG00000129295",15
"GO:0060285","GO:0060285","cilium-dependent cell motility","15/390","164/20772",5.06018789817884e-07,0.000229226511787501,0.000207534285245045,"ENSG00000181378/ENSG00000171811/ENSG00000105792/ENSG00000206530/ENSG00000152582/ENSG00000151023/ENSG00000170703/ENSG00000188316/ENSG00000197748/ENSG00000111834/ENSG00000179397/ENSG00000088727/ENSG00000188596/ENSG00000118997/ENSG00000129295",15
"GO:0003351","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","8/390","41/20772",7.9884504649651e-07,0.000321668272055928,0.000291228071336798,"ENSG00000152582/ENSG00000112981/ENSG00000197748/ENSG00000154099/ENSG00000188596/ENSG00000129295/ENSG00000163491/ENSG00000163482",8
"GO:0008589","GO:0008589","regulation of smoothened signaling pathway","11/390","91/20772",1.09520552160606e-06,0.000367820543742782,0.000333012848508845,"ENSG00000129514/ENSG00000164161/ENSG00000164690/ENSG00000111087/ENSG00000124813/ENSG00000109113/ENSG00000204852/ENSG00000070193/ENSG00000185920/ENSG00000116132/ENSG00000163482",11
