"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060271","GO:0060271","cilium assembly","32/399","381/20772",3.0116766590339e-12,8.54021713136151e-09,7.10461672206175e-09,"ENSG00000122417/ENSG00000105792/ENSG00000170264/ENSG00000160188/ENSG00000118965/ENSG00000162543/ENSG00000135315/ENSG00000068885/ENSG00000181378/ENSG00000206530/ENSG00000127328/ENSG00000171811/ENSG00000110318/ENSG00000204104/ENSG00000118997/ENSG00000125354/ENSG00000152582/ENSG00000111834/ENSG00000187240/ENSG00000158716/ENSG00000197748/ENSG00000112981/ENSG00000183833/ENSG00000196659/ENSG00000183644/ENSG00000204852/ENSG00000188596/ENSG00000129295/ENSG00000141013/ENSG00000165506/ENSG00000154099/ENSG00000137343",32
"GO:0044782","GO:0044782","cilium organization","33/399","410/20772",4.35725363844975e-12,8.54021713136151e-09,7.10461672206175e-09,"ENSG00000122417/ENSG00000105792/ENSG00000170264/ENSG00000160188/ENSG00000118965/ENSG00000162543/ENSG00000135315/ENSG00000188316/ENSG00000068885/ENSG00000181378/ENSG00000206530/ENSG00000127328/ENSG00000171811/ENSG00000110318/ENSG00000204104/ENSG00000118997/ENSG00000125354/ENSG00000152582/ENSG00000111834/ENSG00000187240/ENSG00000158716/ENSG00000197748/ENSG00000112981/ENSG00000183833/ENSG00000196659/ENSG00000183644/ENSG00000204852/ENSG00000188596/ENSG00000129295/ENSG00000141013/ENSG00000165506/ENSG00000154099/ENSG00000137343",33
"GO:0001578","GO:0001578","microtubule bundle formation","18/399","124/20772",2.76644684773169e-11,3.61482388103608e-08,3.00717625763957e-08,"ENSG00000105792/ENSG00000160188/ENSG00000077274/ENSG00000181378/ENSG00000167566/ENSG00000206530/ENSG00000170703/ENSG00000171811/ENSG00000118997/ENSG00000152582/ENSG00000111834/ENSG00000197748/ENSG00000183833/ENSG00000183644/ENSG00000129295/ENSG00000141013/ENSG00000165506/ENSG00000154099",18
"GO:0016055","GO:0016055","Wnt signaling pathway","33/399","485/20772",3.70222516627455e-10,2.30391945698442e-07,1.91663331840434e-07,"ENSG00000065717/ENSG00000104953/ENSG00000163251/ENSG00000148737/ENSG00000111087/ENSG00000187098/ENSG00000164690/ENSG00000103449/ENSG00000188906/ENSG00000146678/ENSG00000106723/ENSG00000070193/ENSG00000173218/ENSG00000068885/ENSG00000177283/ENSG00000182704/ENSG00000104964/ENSG00000187123/ENSG00000101311/ENSG00000180730/ENSG00000133937/ENSG00000162998/ENSG00000114251/ENSG00000124766/ENSG00000110492/ENSG00000187147/ENSG00000269113/ENSG00000107104/ENSG00000151617/ENSG00000144791/ENSG00000152284/ENSG00000102119/ENSG00000075275",33
"GO:0035082","GO:0035082","axoneme assembly","15/399","95/20772",3.75489540783986e-10,2.30391945698442e-07,1.91663331840434e-07,"ENSG00000105792/ENSG00000160188/ENSG00000181378/ENSG00000206530/ENSG00000171811/ENSG00000118997/ENSG00000152582/ENSG00000111834/ENSG00000197748/ENSG00000183833/ENSG00000183644/ENSG00000129295/ENSG00000141013/ENSG00000165506/ENSG00000154099",15
"GO:0003341","GO:0003341","cilium movement","21/399","202/20772",3.82008104132517e-10,2.30391945698442e-07,1.91663331840434e-07,"ENSG00000105792/ENSG00000188316/ENSG00000181378/ENSG00000206530/ENSG00000170703/ENSG00000171811/ENSG00000118997/ENSG00000152582/ENSG00000111834/ENSG00000088727/ENSG00000197748/ENSG00000112981/ENSG00000151023/ENSG00000183833/ENSG00000183644/ENSG00000188596/ENSG00000131044/ENSG00000129295/ENSG00000141013/ENSG00000165506/ENSG00000154099",21
"GO:0198738","GO:0198738","cell-cell signaling by wnt","33/399","487/20772",4.11414188747219e-10,2.30391945698442e-07,1.91663331840434e-07,"ENSG00000065717/ENSG00000104953/ENSG00000163251/ENSG00000148737/ENSG00000111087/ENSG00000187098/ENSG00000164690/ENSG00000103449/ENSG00000188906/ENSG00000146678/ENSG00000106723/ENSG00000070193/ENSG00000173218/ENSG00000068885/ENSG00000177283/ENSG00000182704/ENSG00000104964/ENSG00000187123/ENSG00000101311/ENSG00000180730/ENSG00000133937/ENSG00000162998/ENSG00000114251/ENSG00000124766/ENSG00000110492/ENSG00000187147/ENSG00000269113/ENSG00000107104/ENSG00000151617/ENSG00000144791/ENSG00000152284/ENSG00000102119/ENSG00000075275",33
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway","27/399","351/20772",1.11920821941303e-09,5.48412027512384e-07,4.56224613650206e-07,"ENSG00000065717/ENSG00000104953/ENSG00000148737/ENSG00000111087/ENSG00000164690/ENSG00000103449/ENSG00000188906/ENSG00000146678/ENSG00000106723/ENSG00000070193/ENSG00000068885/ENSG00000182704/ENSG00000104964/ENSG00000187123/ENSG00000101311/ENSG00000180730/ENSG00000133937/ENSG00000162998/ENSG00000114251/ENSG00000124766/ENSG00000110492/ENSG00000187147/ENSG00000269113/ENSG00000107104/ENSG00000144791/ENSG00000152284/ENSG00000102119",27
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility","18/399","164/20772",2.92228525827609e-09,1.14553582124423e-06,9.5297260317256e-07,"ENSG00000105792/ENSG00000188316/ENSG00000181378/ENSG00000206530/ENSG00000170703/ENSG00000171811/ENSG00000118997/ENSG00000152582/ENSG00000111834/ENSG00000088727/ENSG00000197748/ENSG00000151023/ENSG00000183644/ENSG00000188596/ENSG00000131044/ENSG00000129295/ENSG00000141013/ENSG00000165506",18
"GO:0060285","GO:0060285","cilium-dependent cell motility","18/399","164/20772",2.92228525827609e-09,1.14553582124423e-06,9.5297260317256e-07,"ENSG00000105792/ENSG00000188316/ENSG00000181378/ENSG00000206530/ENSG00000170703/ENSG00000171811/ENSG00000118997/ENSG00000152582/ENSG00000111834/ENSG00000088727/ENSG00000197748/ENSG00000151023/ENSG00000183644/ENSG00000188596/ENSG00000131044/ENSG00000129295/ENSG00000141013/ENSG00000165506",18
