"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030900","GO:0030900","forebrain development","32/403","434/20772",1.17568364873868e-10,4.95433089578479e-07,4.24112406760784e-07,"ENSG00000164741/ENSG00000188064/ENSG00000182968/ENSG00000170370/ENSG00000007372/ENSG00000106571/ENSG00000184486/ENSG00000115507/ENSG00000066468/ENSG00000154342/ENSG00000075213/ENSG00000163132/ENSG00000134245/ENSG00000173376/ENSG00000064309/ENSG00000110880/ENSG00000138623/ENSG00000162992/ENSG00000137285/ENSG00000152977/ENSG00000184845/ENSG00000112333/ENSG00000117394/ENSG00000180616/ENSG00000137267/ENSG00000138772/ENSG00000074181/ENSG00000118193/ENSG00000184144/ENSG00000171450/ENSG00000138795/ENSG00000184254",32
"GO:0045165","GO:0045165","cell fate commitment","25/403","323/20772",5.06430756553449e-09,1.06704960405812e-05,9.13441159320352e-06,"ENSG00000007866/ENSG00000101384/ENSG00000188064/ENSG00000172020/ENSG00000182968/ENSG00000007372/ENSG00000106571/ENSG00000184486/ENSG00000066468/ENSG00000180447/ENSG00000154342/ENSG00000123307/ENSG00000075290/ENSG00000134245/ENSG00000064309/ENSG00000064218/ENSG00000119547/ENSG00000162992/ENSG00000125398/ENSG00000112333/ENSG00000074181/ENSG00000115596/ENSG00000221818/ENSG00000126778/ENSG00000198795",25
"GO:0007389","GO:0007389","pattern specification process","31/403","495/20772",1.16346195417605e-08,1.63427622496596e-05,1.39901197086362e-05,"ENSG00000188064/ENSG00000182968/ENSG00000164651/ENSG00000170370/ENSG00000007372/ENSG00000198435/ENSG00000106571/ENSG00000167081/ENSG00000115507/ENSG00000066468/ENSG00000154342/ENSG00000075290/ENSG00000163132/ENSG00000134245/ENSG00000064309/ENSG00000112175/ENSG00000064218/ENSG00000162992/ENSG00000188290/ENSG00000152977/ENSG00000164056/ENSG00000120149/ENSG00000106003/ENSG00000180875/ENSG00000115596/ENSG00000162738/ENSG00000163909/ENSG00000138795/ENSG00000126778/ENSG00000005102/ENSG00000159263",31
"GO:0001764","GO:0001764","neuron migration","18/403","183/20772",1.94854539313398e-08,2.05279257166665e-05,1.75728027954477e-05,"ENSG00000182968/ENSG00000125492/ENSG00000170370/ENSG00000007372/ENSG00000187094/ENSG00000075213/ENSG00000123307/ENSG00000134369/ENSG00000173376/ENSG00000104290/ENSG00000137285/ENSG00000184845/ENSG00000070808/ENSG00000067141/ENSG00000261678/ENSG00000184144/ENSG00000171450/ENSG00000066032",18
"GO:0021761","GO:0021761","limbic system development","15/403","130/20772",3.56185525403842e-08,3.00193160810358e-05,2.56978483275572e-05,"ENSG00000170370/ENSG00000106571/ENSG00000184486/ENSG00000066468/ENSG00000154342/ENSG00000173376/ENSG00000162992/ENSG00000152977/ENSG00000184845/ENSG00000112333/ENSG00000138772/ENSG00000118193/ENSG00000171450/ENSG00000138795/ENSG00000184254",15
"GO:0045664","GO:0045664","regulation of neuron differentiation","18/403","198/20772",6.60139501940235e-08,4.63637976862692e-05,3.96894398798103e-05,"ENSG00000101384/ENSG00000158555/ENSG00000007372/ENSG00000106571/ENSG00000250366/ENSG00000114346/ENSG00000154342/ENSG00000064309/ENSG00000162992/ENSG00000125398/ENSG00000112333/ENSG00000074181/ENSG00000113916/ENSG00000183036/ENSG00000163909/ENSG00000184144/ENSG00000126778/ENSG00000120833",18
"GO:0007409","GO:0007409","axonogenesis","28/403","456/20772",9.15622055488447e-08,5.51204477404045e-05,4.71855155512618e-05,"ENSG00000144857/ENSG00000172020/ENSG00000007372/ENSG00000106571/ENSG00000184486/ENSG00000187094/ENSG00000066468/ENSG00000124171/ENSG00000154342/ENSG00000075213/ENSG00000106278/ENSG00000078018/ENSG00000108231/ENSG00000104290/ENSG00000118263/ENSG00000035403/ENSG00000138623/ENSG00000137285/ENSG00000154134/ENSG00000112333/ENSG00000074181/ENSG00000067141/ENSG00000147894/ENSG00000184144/ENSG00000197555/ENSG00000143355/ENSG00000168280/ENSG00000066032",28
"GO:0021537","GO:0021537","telencephalon development","22/403","302/20772",1.2468428318921e-07,6.56774461699166e-05,5.62227682222926e-05,"ENSG00000170370/ENSG00000007372/ENSG00000106571/ENSG00000184486/ENSG00000154342/ENSG00000075213/ENSG00000064309/ENSG00000110880/ENSG00000138623/ENSG00000162992/ENSG00000137285/ENSG00000152977/ENSG00000184845/ENSG00000112333/ENSG00000117394/ENSG00000137267/ENSG00000138772/ENSG00000118193/ENSG00000184144/ENSG00000171450/ENSG00000138795/ENSG00000184254",22
"GO:0003002","GO:0003002","regionalization","27/403","450/20772",2.47646979895749e-07,0.000108219725037023,9.26408207483524e-05,"ENSG00000188064/ENSG00000182968/ENSG00000164651/ENSG00000170370/ENSG00000007372/ENSG00000198435/ENSG00000106571/ENSG00000167081/ENSG00000115507/ENSG00000066468/ENSG00000154342/ENSG00000075290/ENSG00000163132/ENSG00000134245/ENSG00000064309/ENSG00000064218/ENSG00000162992/ENSG00000188290/ENSG00000164056/ENSG00000120149/ENSG00000106003/ENSG00000180875/ENSG00000162738/ENSG00000163909/ENSG00000138795/ENSG00000126778/ENSG00000005102",27
"GO:0072001","GO:0072001","renal system development","23/403","341/20772",2.56809978730478e-07,0.000108219725037023,9.26408207483524e-05,"ENSG00000101384/ENSG00000188064/ENSG00000187210/ENSG00000170370/ENSG00000106571/ENSG00000008196/ENSG00000066468/ENSG00000134245/ENSG00000120156/ENSG00000137203/ENSG00000164056/ENSG00000125398/ENSG00000074181/ENSG00000115596/ENSG00000162738/ENSG00000115884/ENSG00000077943/ENSG00000075711/ENSG00000105696/ENSG00000163909/ENSG00000126778/ENSG00000091879/ENSG00000169174",23
"GO:0061351","GO:0061351","neural precursor cell proliferation","15/403","153/20772",3.11704616478937e-07,0.000119411204894749,0.000102221217289313,"ENSG00000007866/ENSG00000170370/ENSG00000007372/ENSG00000106571/ENSG00000184486/ENSG00000066468/ENSG00000154342/ENSG00000123307/ENSG00000106278/ENSG00000064309/ENSG00000138798/ENSG00000104290/ENSG00000112333/ENSG00000118193/ENSG00000138795",15
