"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","38/444","180/20772",6.40078224989151e-27,2.68384799737951e-23,2.49832637711555e-23,"ENSG00000112306/ENSG00000142541/ENSG00000197958/ENSG00000106263/ENSG00000130741/ENSG00000213741/ENSG00000108107/ENSG00000171858/ENSG00000089157/ENSG00000166441/ENSG00000178982/ENSG00000147604/ENSG00000070756/ENSG00000107581/ENSG00000137154/ENSG00000174444/ENSG00000168028/ENSG00000204628/ENSG00000149273/ENSG00000161016/ENSG00000105640/ENSG00000197728/ENSG00000188846/ENSG00000083845/ENSG00000105193/ENSG00000137818/ENSG00000140988/ENSG00000162244/ENSG00000231500/ENSG00000104408/ENSG00000122406/ENSG00000172809/ENSG00000171863/ENSG00000197756/ENSG00000177600/ENSG00000142676/ENSG00000143947/ENSG00000114391",38
"GO:0042254","GO:0042254","ribosome biogenesis","35/444","331/20772",6.78818246273035e-15,1.42314245331142e-11,1.32476739851601e-11,"ENSG00000089048/ENSG00000178718/ENSG00000114767/ENSG00000171858/ENSG00000089157/ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000120800/ENSG00000137154/ENSG00000181163/ENSG00000107833/ENSG00000105202/ENSG00000168028/ENSG00000067533/ENSG00000188846/ENSG00000083845/ENSG00000198498/ENSG00000105193/ENSG00000101361/ENSG00000261236/ENSG00000105373/ENSG00000165732/ENSG00000104872/ENSG00000077348/ENSG00000122406/ENSG00000156928/ENSG00000172809/ENSG00000073536/ENSG00000171863/ENSG00000178105/ENSG00000113460/ENSG00000142676/ENSG00000142207/ENSG00000131653",35
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","18/444","74/20772",1.49184184937609e-14,2.08509762481132e-11,1.94096476403037e-11,"ENSG00000089157/ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000181163/ENSG00000067533/ENSG00000188846/ENSG00000198498/ENSG00000261236/ENSG00000105373/ENSG00000122406/ENSG00000156928/ENSG00000172809/ENSG00000073536/ENSG00000113460/ENSG00000142676/ENSG00000142207/ENSG00000131653",18
"GO:0006364","GO:0006364","rRNA processing","26/444","237/20772",9.57956979131212e-12,1.00417840337429e-08,9.34764336478562e-09,"ENSG00000089048/ENSG00000178718/ENSG00000114767/ENSG00000171858/ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000120800/ENSG00000137154/ENSG00000107833/ENSG00000105202/ENSG00000067533/ENSG00000188846/ENSG00000105193/ENSG00000101361/ENSG00000261236/ENSG00000105373/ENSG00000165732/ENSG00000104872/ENSG00000077348/ENSG00000122406/ENSG00000171863/ENSG00000178105/ENSG00000113460/ENSG00000142676/ENSG00000142207",26
"GO:0000027","GO:0000027","ribosomal large subunit assembly","10/444","27/20772",1.09721263064562e-10,9.20122512059416e-08,8.56518828301885e-08,"ENSG00000089157/ENSG00000197498/ENSG00000261236/ENSG00000105373/ENSG00000122406/ENSG00000172809/ENSG00000073536/ENSG00000113460/ENSG00000142676/ENSG00000131653",10
"GO:0034470","GO:0034470","ncRNA processing","35/444","475/20772",2.23962244935515e-10,1.56512282169102e-07,1.4569333407384e-07,"ENSG00000134323/ENSG00000174720/ENSG00000089048/ENSG00000178718/ENSG00000114767/ENSG00000171858/ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000120800/ENSG00000137154/ENSG00000107833/ENSG00000105202/ENSG00000091127/ENSG00000067533/ENSG00000188846/ENSG00000105193/ENSG00000101361/ENSG00000177192/ENSG00000261236/ENSG00000113569/ENSG00000105373/ENSG00000037474/ENSG00000064102/ENSG00000165732/ENSG00000104872/ENSG00000077348/ENSG00000122406/ENSG00000171863/ENSG00000178105/ENSG00000113460/ENSG00000142676/ENSG00000142207/ENSG00000187772/ENSG00000109911",35
"GO:0016072","GO:0016072","rRNA metabolic process","26/444","279/20772",3.640294556706e-10,2.1805364394669e-07,2.02980634831066e-07,"ENSG00000089048/ENSG00000178718/ENSG00000114767/ENSG00000171858/ENSG00000197498/ENSG00000147604/ENSG00000198042/ENSG00000120800/ENSG00000137154/ENSG00000107833/ENSG00000105202/ENSG00000067533/ENSG00000188846/ENSG00000105193/ENSG00000101361/ENSG00000261236/ENSG00000105373/ENSG00000165732/ENSG00000104872/ENSG00000077348/ENSG00000122406/ENSG00000171863/ENSG00000178105/ENSG00000113460/ENSG00000142676/ENSG00000142207",26
"GO:0042255","GO:0042255","ribosome assembly","13/444","62/20772",5.23854261288856e-10,2.74565114698021e-07,2.55585736955142e-07,"ENSG00000089157/ENSG00000197498/ENSG00000181163/ENSG00000168028/ENSG00000083845/ENSG00000261236/ENSG00000105373/ENSG00000122406/ENSG00000172809/ENSG00000073536/ENSG00000113460/ENSG00000142676/ENSG00000131653",13
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","23/444","265/20772",1.48318683878825e-08,6.9100026833768e-06,6.43234713242903e-06,"ENSG00000142541/ENSG00000106263/ENSG00000130741/ENSG00000089157/ENSG00000164985/ENSG00000197498/ENSG00000178982/ENSG00000107581/ENSG00000168028/ENSG00000151131/ENSG00000083845/ENSG00000145833/ENSG00000261236/ENSG00000105373/ENSG00000104872/ENSG00000104408/ENSG00000122406/ENSG00000172809/ENSG00000073536/ENSG00000113460/ENSG00000142676/ENSG00000137574/ENSG00000131653",23
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","23/444","273/20772",2.58745740636957e-08,1.08492089049076e-05,1.00992548029667e-05,"ENSG00000142541/ENSG00000106263/ENSG00000130741/ENSG00000089157/ENSG00000164985/ENSG00000197498/ENSG00000178982/ENSG00000107581/ENSG00000168028/ENSG00000151131/ENSG00000083845/ENSG00000145833/ENSG00000261236/ENSG00000105373/ENSG00000104872/ENSG00000104408/ENSG00000122406/ENSG00000172809/ENSG00000073536/ENSG00000113460/ENSG00000142676/ENSG00000137574/ENSG00000131653",23
