"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030900","GO:0030900","forebrain development","32/416","434/20772",2.63636785595374e-10,1.11597451342522e-06,9.59360387161272e-07,"ENSG00000188064/ENSG00000182968/ENSG00000170370/ENSG00000007372/ENSG00000106571/ENSG00000184486/ENSG00000115507/ENSG00000066468/ENSG00000154342/ENSG00000075213/ENSG00000163132/ENSG00000134245/ENSG00000173376/ENSG00000064309/ENSG00000074047/ENSG00000110880/ENSG00000138623/ENSG00000162992/ENSG00000137285/ENSG00000152977/ENSG00000184845/ENSG00000112333/ENSG00000117394/ENSG00000180616/ENSG00000137267/ENSG00000138772/ENSG00000074181/ENSG00000118193/ENSG00000184144/ENSG00000171450/ENSG00000138795/ENSG00000184254",32
"GO:0007409","GO:0007409","axonogenesis","31/416","456/20772",3.5836838944387e-09,7.58486696257951e-06,6.52041853846031e-06,"ENSG00000144857/ENSG00000172020/ENSG00000007372/ENSG00000106571/ENSG00000184486/ENSG00000187094/ENSG00000066468/ENSG00000124171/ENSG00000154342/ENSG00000075213/ENSG00000106278/ENSG00000078018/ENSG00000074047/ENSG00000108231/ENSG00000104290/ENSG00000118263/ENSG00000035403/ENSG00000138623/ENSG00000137285/ENSG00000154134/ENSG00000112333/ENSG00000074181/ENSG00000067141/ENSG00000147894/ENSG00000111962/ENSG00000156299/ENSG00000184144/ENSG00000197555/ENSG00000143355/ENSG00000168280/ENSG00000066032",31
"GO:0007389","GO:0007389","pattern specification process","32/416","495/20772",6.72397689062656e-09,9.48753139267407e-06,8.15606600382316e-06,"ENSG00000188064/ENSG00000182968/ENSG00000164651/ENSG00000170370/ENSG00000007372/ENSG00000198435/ENSG00000106571/ENSG00000167081/ENSG00000115507/ENSG00000066468/ENSG00000154342/ENSG00000075290/ENSG00000163132/ENSG00000134245/ENSG00000064309/ENSG00000112175/ENSG00000074047/ENSG00000064218/ENSG00000162992/ENSG00000188290/ENSG00000152977/ENSG00000164056/ENSG00000120149/ENSG00000106003/ENSG00000180875/ENSG00000115596/ENSG00000162738/ENSG00000163909/ENSG00000138795/ENSG00000126778/ENSG00000005102/ENSG00000159263",32
"GO:0045165","GO:0045165","cell fate commitment","25/416","323/20772",9.5634014597776e-09,1.01204695948096e-05,8.70017864380294e-06,"ENSG00000101384/ENSG00000188064/ENSG00000172020/ENSG00000182968/ENSG00000007372/ENSG00000106571/ENSG00000184486/ENSG00000066468/ENSG00000180447/ENSG00000154342/ENSG00000123307/ENSG00000075290/ENSG00000134245/ENSG00000064309/ENSG00000074047/ENSG00000064218/ENSG00000119547/ENSG00000162992/ENSG00000125398/ENSG00000112333/ENSG00000074181/ENSG00000115596/ENSG00000221818/ENSG00000126778/ENSG00000198795",25
"GO:0045664","GO:0045664","regulation of neuron differentiation","19/416","198/20772",1.95995659533794e-08,1.6592992536131e-05,1.4264357789649e-05,"ENSG00000101384/ENSG00000158555/ENSG00000007372/ENSG00000106571/ENSG00000250366/ENSG00000114346/ENSG00000154342/ENSG00000064309/ENSG00000162992/ENSG00000125398/ENSG00000112333/ENSG00000074181/ENSG00000113916/ENSG00000183036/ENSG00000156299/ENSG00000163909/ENSG00000184144/ENSG00000126778/ENSG00000120833",19
"GO:0001764","GO:0001764","neuron migration","18/416","183/20772",3.16349890500541e-08,2.23184847748132e-05,1.91863433589539e-05,"ENSG00000182968/ENSG00000125492/ENSG00000170370/ENSG00000007372/ENSG00000187094/ENSG00000075213/ENSG00000123307/ENSG00000134369/ENSG00000173376/ENSG00000104290/ENSG00000137285/ENSG00000184845/ENSG00000070808/ENSG00000067141/ENSG00000261678/ENSG00000184144/ENSG00000171450/ENSG00000066032",18
"GO:0021761","GO:0021761","limbic system development","15/416","130/20772",5.40088893138251e-08,3.26599469236317e-05,2.80765008056983e-05,"ENSG00000170370/ENSG00000106571/ENSG00000184486/ENSG00000066468/ENSG00000154342/ENSG00000173376/ENSG00000162992/ENSG00000152977/ENSG00000184845/ENSG00000112333/ENSG00000138772/ENSG00000118193/ENSG00000171450/ENSG00000138795/ENSG00000184254",15
"GO:0072001","GO:0072001","renal system development","24/416","341/20772",1.14766374166113e-07,6.07257577306443e-05,5.22035994068752e-05,"ENSG00000101384/ENSG00000188064/ENSG00000187210/ENSG00000170370/ENSG00000106571/ENSG00000008196/ENSG00000066468/ENSG00000134245/ENSG00000120156/ENSG00000074047/ENSG00000137203/ENSG00000164056/ENSG00000125398/ENSG00000074181/ENSG00000115596/ENSG00000162738/ENSG00000115884/ENSG00000077943/ENSG00000075711/ENSG00000105696/ENSG00000163909/ENSG00000126778/ENSG00000091879/ENSG00000169174",24
"GO:0003002","GO:0003002","regionalization","28/416","450/20772",1.34483009134077e-07,6.32518419627274e-05,5.43751769095325e-05,"ENSG00000188064/ENSG00000182968/ENSG00000164651/ENSG00000170370/ENSG00000007372/ENSG00000198435/ENSG00000106571/ENSG00000167081/ENSG00000115507/ENSG00000066468/ENSG00000154342/ENSG00000075290/ENSG00000163132/ENSG00000134245/ENSG00000064309/ENSG00000074047/ENSG00000064218/ENSG00000162992/ENSG00000188290/ENSG00000164056/ENSG00000120149/ENSG00000106003/ENSG00000180875/ENSG00000162738/ENSG00000163909/ENSG00000138795/ENSG00000126778/ENSG00000005102",28
"GO:0021537","GO:0021537","telencephalon development","22/416","302/20772",2.15500919218793e-07,9.12215391053153e-05,7.84196502883546e-05,"ENSG00000170370/ENSG00000007372/ENSG00000106571/ENSG00000184486/ENSG00000154342/ENSG00000075213/ENSG00000064309/ENSG00000110880/ENSG00000138623/ENSG00000162992/ENSG00000137285/ENSG00000152977/ENSG00000184845/ENSG00000112333/ENSG00000117394/ENSG00000137267/ENSG00000138772/ENSG00000118193/ENSG00000184144/ENSG00000171450/ENSG00000138795/ENSG00000184254",22
