"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030900","GO:0030900","forebrain development","35/461","434/20772",5.31289369740404e-11,2.27923139618633e-07,1.99597027431948e-07,"ENSG00000018625/ENSG00000182968/ENSG00000188064/ENSG00000007372/ENSG00000170370/ENSG00000106571/ENSG00000134245/ENSG00000154342/ENSG00000184486/ENSG00000163132/ENSG00000115507/ENSG00000066468/ENSG00000064309/ENSG00000110880/ENSG00000173376/ENSG00000075213/ENSG00000152977/ENSG00000138772/ENSG00000074047/ENSG00000184845/ENSG00000137267/ENSG00000137285/ENSG00000138795/ENSG00000118193/ENSG00000162992/ENSG00000074181/ENSG00000117394/ENSG00000143869/ENSG00000184254/ENSG00000138623/ENSG00000112333/ENSG00000184144/ENSG00000164853/ENSG00000171450/ENSG00000180616",35
"GO:0007389","GO:0007389","pattern specification process","34/461","495/20772",6.51704248598238e-09,1.39790561324322e-05,1.22417498065637e-05,"ENSG00000182968/ENSG00000188064/ENSG00000007372/ENSG00000170370/ENSG00000164651/ENSG00000198435/ENSG00000106571/ENSG00000134245/ENSG00000154342/ENSG00000167081/ENSG00000163132/ENSG00000075290/ENSG00000115507/ENSG00000066468/ENSG00000064309/ENSG00000112175/ENSG00000152977/ENSG00000064218/ENSG00000180875/ENSG00000120149/ENSG00000074047/ENSG00000164056/ENSG00000188290/ENSG00000138795/ENSG00000162738/ENSG00000162992/ENSG00000187553/ENSG00000106003/ENSG00000178234/ENSG00000115596/ENSG00000126778/ENSG00000159263/ENSG00000164853/ENSG00000005102",34
"GO:0021761","GO:0021761","limbic system development","16/461","130/20772",3.19887857592148e-08,4.57439636356771e-05,4.00589390788202e-05,"ENSG00000018625/ENSG00000170370/ENSG00000106571/ENSG00000154342/ENSG00000184486/ENSG00000066468/ENSG00000173376/ENSG00000152977/ENSG00000138772/ENSG00000184845/ENSG00000138795/ENSG00000118193/ENSG00000162992/ENSG00000184254/ENSG00000112333/ENSG00000171450",16
"GO:0021537","GO:0021537","telencephalon development","24/461","302/20772",7.9729068158728e-08,8.55094256002358e-05,7.48823800680264e-05,"ENSG00000018625/ENSG00000007372/ENSG00000170370/ENSG00000106571/ENSG00000154342/ENSG00000184486/ENSG00000064309/ENSG00000110880/ENSG00000075213/ENSG00000152977/ENSG00000138772/ENSG00000184845/ENSG00000137267/ENSG00000137285/ENSG00000138795/ENSG00000118193/ENSG00000162992/ENSG00000117394/ENSG00000184254/ENSG00000138623/ENSG00000112333/ENSG00000184144/ENSG00000164853/ENSG00000171450",24
"GO:0007409","GO:0007409","axonogenesis","30/461","456/20772",1.33053125545456e-07,0.00010577671640004,9.26308675823194e-05,"ENSG00000172020/ENSG00000144857/ENSG00000007372/ENSG00000187094/ENSG00000106571/ENSG00000154342/ENSG00000184486/ENSG00000124171/ENSG00000078018/ENSG00000035403/ENSG00000066468/ENSG00000075213/ENSG00000108231/ENSG00000106278/ENSG00000118263/ENSG00000104290/ENSG00000147894/ENSG00000074047/ENSG00000137285/ENSG00000067141/ENSG00000154134/ENSG00000074181/ENSG00000143869/ENSG00000111962/ENSG00000138623/ENSG00000112333/ENSG00000184144/ENSG00000156299/ENSG00000168280/ENSG00000084234",30
"GO:0001764","GO:0001764","neuron migration","18/461","183/20772",1.47939463496559e-07,0.00010577671640004,9.26308675823194e-05,"ENSG00000125492/ENSG00000182968/ENSG00000007372/ENSG00000170370/ENSG00000187094/ENSG00000173376/ENSG00000075213/ENSG00000123307/ENSG00000104290/ENSG00000070808/ENSG00000184845/ENSG00000134369/ENSG00000137285/ENSG00000067141/ENSG00000261678/ENSG00000184144/ENSG00000215397/ENSG00000171450",18
"GO:0045165","GO:0045165","cell fate commitment","24/461","323/20772",2.77331955453662e-07,0.000169964869842316,0.000148841766769041,"ENSG00000101384/ENSG00000172020/ENSG00000182968/ENSG00000188064/ENSG00000007372/ENSG00000106571/ENSG00000134245/ENSG00000154342/ENSG00000184486/ENSG00000075290/ENSG00000180447/ENSG00000066468/ENSG00000064309/ENSG00000119547/ENSG00000123307/ENSG00000221818/ENSG00000064218/ENSG00000074047/ENSG00000162992/ENSG00000074181/ENSG00000143869/ENSG00000112333/ENSG00000115596/ENSG00000126778",24
"GO:0003002","GO:0003002","regionalization","29/461","450/20772",3.32374232320829e-07,0.000178235682082044,0.000156084688835926,"ENSG00000182968/ENSG00000188064/ENSG00000007372/ENSG00000170370/ENSG00000164651/ENSG00000198435/ENSG00000106571/ENSG00000134245/ENSG00000154342/ENSG00000167081/ENSG00000163132/ENSG00000075290/ENSG00000115507/ENSG00000066468/ENSG00000064309/ENSG00000064218/ENSG00000180875/ENSG00000120149/ENSG00000074047/ENSG00000164056/ENSG00000188290/ENSG00000138795/ENSG00000162738/ENSG00000162992/ENSG00000187553/ENSG00000106003/ENSG00000178234/ENSG00000126778/ENSG00000005102",29
"GO:0045664","GO:0045664","regulation of neuron differentiation","18/461","198/20772",4.81632992201216e-07,0.000229578392949246,0.000201046567153934,"ENSG00000101384/ENSG00000158555/ENSG00000007372/ENSG00000250366/ENSG00000106571/ENSG00000154342/ENSG00000114346/ENSG00000064309/ENSG00000113916/ENSG00000183036/ENSG00000162992/ENSG00000074181/ENSG00000143869/ENSG00000112333/ENSG00000184144/ENSG00000156299/ENSG00000126778/ENSG00000120833",18
"GO:0048880","GO:0048880","sensory system development","26/461","436/20772",5.5879148951837e-06,0.00197432384210425,0.00172895639614036,"ENSG00000178035/ENSG00000101384/ENSG00000182968/ENSG00000188064/ENSG00000118733/ENSG00000007372/ENSG00000106571/ENSG00000134245/ENSG00000008196/ENSG00000167081/ENSG00000064309/ENSG00000075213/ENSG00000138061/ENSG00000123307/ENSG00000137203/ENSG00000140873/ENSG00000164056/ENSG00000091664/ENSG00000070961/ENSG00000075711/ENSG00000162992/ENSG00000184254/ENSG00000112333/ENSG00000117139/ENSG00000115596/ENSG00000049449",26
"GO:0021543","GO:0021543","pallium development","17/461","213/20772",5.9298826410358e-06,0.00197432384210425,0.00172895639614036,"ENSG00000007372/ENSG00000170370/ENSG00000106571/ENSG00000154342/ENSG00000184486/ENSG00000064309/ENSG00000152977/ENSG00000138772/ENSG00000184845/ENSG00000137267/ENSG00000137285/ENSG00000138795/ENSG00000118193/ENSG00000162992/ENSG00000117394/ENSG00000112333/ENSG00000171450",17
"GO:0007411","GO:0007411","axon guidance","18/461","236/20772",5.98279952152802e-06,0.00197432384210425,0.00172895639614036,"ENSG00000172020/ENSG00000144857/ENSG00000007372/ENSG00000106571/ENSG00000154342/ENSG00000075213/ENSG00000108231/ENSG00000118263/ENSG00000104290/ENSG00000074047/ENSG00000137285/ENSG00000067141/ENSG00000154134/ENSG00000074181/ENSG00000143869/ENSG00000138623/ENSG00000184144/ENSG00000168280",18
"GO:0097485","GO:0097485","neuron projection guidance","18/461","236/20772",5.98279952152802e-06,0.00197432384210425,0.00172895639614036,"ENSG00000172020/ENSG00000144857/ENSG00000007372/ENSG00000106571/ENSG00000154342/ENSG00000075213/ENSG00000108231/ENSG00000118263/ENSG00000104290/ENSG00000074047/ENSG00000137285/ENSG00000067141/ENSG00000154134/ENSG00000074181/ENSG00000143869/ENSG00000138623/ENSG00000184144/ENSG00000168280",18
