"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010975","GO:0010975","regulation of neuron projection development","31/375","480/20772",1.0096103606104e-09,2.30319504081465e-06,1.92051279645375e-06,"ENSG00000171533/ENSG00000138760/ENSG00000157851/ENSG00000170558/ENSG00000163110/ENSG00000152377/ENSG00000026025/ENSG00000082701/ENSG00000107130/ENSG00000150764/ENSG00000185924/ENSG00000125266/ENSG00000203879/ENSG00000153266/ENSG00000187323/ENSG00000180370/ENSG00000153707/ENSG00000075223/ENSG00000006210/ENSG00000107485/ENSG00000103260/ENSG00000094631/ENSG00000162374/ENSG00000115694/ENSG00000196576/ENSG00000108947/ENSG00000135333/ENSG00000117385/ENSG00000138443/ENSG00000169760/ENSG00000091129",31
"GO:0034329","GO:0034329","cell junction assembly","31/375","483/20772",1.17330363770486e-09,2.30319504081465e-06,1.92051279645375e-06,"ENSG00000150471/ENSG00000129474/ENSG00000075618/ENSG00000137575/ENSG00000113361/ENSG00000170558/ENSG00000163110/ENSG00000151422/ENSG00000171791/ENSG00000166949/ENSG00000169057/ENSG00000125266/ENSG00000107186/ENSG00000180370/ENSG00000153707/ENSG00000155366/ENSG00000128594/ENSG00000158258/ENSG00000134318/ENSG00000150625/ENSG00000196576/ENSG00000137076/ENSG00000108947/ENSG00000108861/ENSG00000140557/ENSG00000135333/ENSG00000137801/ENSG00000146242/ENSG00000169760/ENSG00000164741/ENSG00000091129",31
"GO:0007409","GO:0007409","axonogenesis","29/375","456/20772",5.05368603644687e-09,6.6135904596968e-06,5.51472406082448e-06,"ENSG00000171533/ENSG00000173482/ENSG00000157851/ENSG00000105290/ENSG00000170558/ENSG00000004848/ENSG00000171791/ENSG00000082701/ENSG00000129116/ENSG00000150764/ENSG00000125266/ENSG00000203879/ENSG00000153266/ENSG00000187323/ENSG00000180370/ENSG00000138696/ENSG00000075223/ENSG00000107485/ENSG00000166313/ENSG00000103260/ENSG00000094631/ENSG00000166963/ENSG00000115694/ENSG00000182197/ENSG00000196576/ENSG00000108947/ENSG00000073921/ENSG00000135333/ENSG00000091129",29
"GO:0031589","GO:0031589","cell-substrate adhesion","25/375","401/20772",8.74461102427612e-08,8.58283572032702e-05,7.15677375934178e-05,"ENSG00000197702/ENSG00000129474/ENSG00000118523/ENSG00000142871/ENSG00000167601/ENSG00000151422/ENSG00000152377/ENSG00000171791/ENSG00000166949/ENSG00000127990/ENSG00000137103/ENSG00000082701/ENSG00000132669/ENSG00000111859/ENSG00000169231/ENSG00000006210/ENSG00000134318/ENSG00000137076/ENSG00000108861/ENSG00000160963/ENSG00000083457/ENSG00000074527/ENSG00000137801/ENSG00000164741/ENSG00000091986",25
"GO:0035329","GO:0035329","hippo signaling","9/375","46/20772",1.13082222857346e-07,8.87921613875878e-05,7.40390974918621e-05,"ENSG00000129474/ENSG00000114019/ENSG00000187079/ENSG00000150457/ENSG00000142279/ENSG00000007866/ENSG00000144560/ENSG00000114978/ENSG00000018408",9
"GO:0007416","GO:0007416","synapse assembly","17/375","207/20772",2.38677062444694e-07,0.000156174357859645,0.000130225555123333,"ENSG00000150471/ENSG00000137575/ENSG00000170558/ENSG00000163110/ENSG00000169057/ENSG00000125266/ENSG00000153707/ENSG00000128594/ENSG00000158258/ENSG00000150625/ENSG00000196576/ENSG00000108947/ENSG00000140557/ENSG00000135333/ENSG00000146242/ENSG00000169760/ENSG00000091129",17
"GO:0061036","GO:0061036","positive regulation of cartilage development","7/375","33/20772",1.68456486209895e-06,0.000944800235514355,0.000787819055808683,"ENSG00000110693/ENSG00000109906/ENSG00000142871/ENSG00000125378/ENSG00000166949/ENSG00000138696/ENSG00000134532",7
"GO:0050770","GO:0050770","regulation of axonogenesis","14/375","167/20772",2.17254290040861e-06,0.00106617542837552,0.000889027423719838,"ENSG00000171533/ENSG00000170558/ENSG00000082701/ENSG00000150764/ENSG00000203879/ENSG00000187323/ENSG00000180370/ENSG00000075223/ENSG00000103260/ENSG00000094631/ENSG00000115694/ENSG00000196576/ENSG00000108947/ENSG00000135333",14
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","14/375","177/20772",4.30604557162471e-06,0.00152247060997899,0.00126950789528237,"ENSG00000171533/ENSG00000101871/ENSG00000185340/ENSG00000082701/ENSG00000150764/ENSG00000169057/ENSG00000130779/ENSG00000107186/ENSG00000182628/ENSG00000094631/ENSG00000166963/ENSG00000109171/ENSG00000115561/ENSG00000152503",14
"GO:0030900","GO:0030900","forebrain development","23/375","434/20772",4.64156361700072e-06,0.00152247060997899,0.00126950789528237,"ENSG00000072415/ENSG00000148516/ENSG00000167552/ENSG00000105290/ENSG00000146648/ENSG00000111783/ENSG00000125378/ENSG00000170558/ENSG00000004848/ENSG00000167601/ENSG00000082701/ENSG00000150764/ENSG00000185924/ENSG00000153266/ENSG00000081479/ENSG00000096093/ENSG00000162374/ENSG00000185551/ENSG00000182197/ENSG00000166225/ENSG00000147526/ENSG00000164741/ENSG00000117707",23
"GO:0072178","GO:0072178","nephric duct morphogenesis","5/375","15/20772",4.83117576030769e-06,0.00152247060997899,0.00126950789528237,"ENSG00000125378/ENSG00000125266/ENSG00000107485/ENSG00000147257/ENSG00000135333",5
"GO:0016358","GO:0016358","dendrite development","17/375","259/20772",5.28505378587798e-06,0.00152247060997899,0.00126950789528237,"ENSG00000171533/ENSG00000157851/ENSG00000163110/ENSG00000082701/ENSG00000169057/ENSG00000153266/ENSG00000187323/ENSG00000180370/ENSG00000153707/ENSG00000094631/ENSG00000162374/ENSG00000166963/ENSG00000073921/ENSG00000135905/ENSG00000138443/ENSG00000146242/ENSG00000169760",17
"GO:0003279","GO:0003279","cardiac septum development","11/375","111/20772",5.40922091130235e-06,0.00152247060997899,0.00126950789528237,"ENSG00000197702/ENSG00000142871/ENSG00000125378/ENSG00000081479/ENSG00000166847/ENSG00000092148/ENSG00000069702/ENSG00000075223/ENSG00000107485/ENSG00000166225/ENSG00000117707",11
