gene,day02,day04,day06,day08,day10,day12
FOXA2,YES,YES,YES,YES,YES,YES
FGF19,YES,no,no,no,no,no
FREM1,YES,YES,YES,YES,YES,YES
HTR1D,YES,YES,YES,YES,YES,YES
CNTN2,YES,YES,YES,YES,YES,YES
PTCH1,YES,YES,YES,YES,YES,YES
C11orf96,YES,no,no,no,no,no
TFPI,no,YES,YES,YES,no,YES
NOS2,no,YES,YES,YES,YES,YES
PAX6,no,YES,YES,YES,YES,YES
DNAH5,no,YES,YES,no,no,no
SEZ6,no,YES,YES,no,no,no
TLE2,no,YES,YES,YES,YES,YES
FGF10,no,YES,YES,YES,no,YES
SEMA3A,no,YES,YES,YES,YES,no
ARHGAP15,no,YES,YES,YES,YES,YES
CAPN6,no,YES,YES,YES,YES,YES
DCX,no,YES,YES,no,no,no
EDN1,no,YES,no,no,no,no
CHRD,no,YES,YES,YES,no,no
CCDC80,no,YES,YES,YES,no,YES
ITPR3,no,YES,YES,YES,no,no
PNPLA3,no,YES,YES,YES,no,no
ELF4,no,YES,YES,YES,no,YES
SYT17,no,YES,no,no,no,no
TLE6,no,YES,YES,YES,YES,YES
MET,no,YES,no,no,no,no
GLI3,no,YES,YES,YES,YES,YES
LGI1,no,YES,YES,YES,YES,YES
GLI1,no,YES,YES,YES,YES,YES
WNT5B,no,YES,YES,no,no,no
FZD10,no,YES,YES,YES,YES,YES
NEDD9,no,YES,no,no,no,no
BMP5,no,YES,YES,YES,YES,YES
ST8SIA4,no,YES,YES,no,no,no
OTX1,no,YES,YES,YES,YES,YES
ID2,no,YES,YES,YES,no,no
QPCT,no,YES,YES,no,no,no
OLFM3,no,YES,YES,YES,YES,YES
SOHLH2,no,YES,YES,YES,YES,YES
TWIST1,no,YES,YES,no,no,YES
RUNX2,no,YES,YES,YES,YES,YES
WNT1,no,YES,no,YES,no,YES
NKX2-2,no,YES,YES,YES,YES,YES
AMOT,no,YES,YES,YES,no,no
FOXA1,no,YES,YES,YES,YES,YES
CDKN1C,no,YES,YES,no,no,no
ATP8B3,no,YES,no,no,no,no
CHI3L1,no,YES,YES,YES,YES,YES
GSC,no,YES,YES,YES,YES,YES
RAX,no,YES,YES,YES,YES,YES
SOX3,no,YES,YES,no,no,no
NPL,no,YES,YES,YES,YES,YES
PAX3,no,YES,YES,YES,YES,YES
NKX2-8,no,YES,YES,YES,YES,YES
NKX2-1,no,YES,YES,YES,YES,YES
ERMN,no,YES,YES,YES,YES,YES
SIX3,no,YES,YES,YES,YES,YES
CDH11,no,YES,YES,no,no,no
TPBG,no,YES,no,no,no,no
GPC3,no,YES,YES,no,no,no
STOM,no,YES,YES,YES,YES,YES
NKX6-2,no,YES,no,no,no,no
POU4F1,no,YES,YES,no,no,no
BMP3,no,YES,YES,YES,YES,YES
FEZF2,no,YES,no,no,no,no
RETREG1,no,YES,YES,no,no,no
DGKI,no,YES,YES,YES,YES,YES
NBL1,no,YES,no,no,no,no
TFF3,no,YES,YES,YES,YES,YES
VSNL1,no,YES,YES,YES,YES,YES
MSX1,no,YES,YES,YES,YES,YES
HHIP,no,YES,YES,YES,YES,YES
SHH,no,YES,YES,YES,YES,YES
C8orf34,no,YES,no,no,no,no
SCARA5,no,YES,no,no,no,YES
CXCL10,no,YES,YES,YES,YES,YES
IRX1,no,YES,YES,YES,no,no
HOPX,no,YES,YES,no,no,no
CNTNAP2,no,YES,no,no,no,no
SCUBE2,no,YES,YES,YES,YES,YES
FOXG1,no,YES,YES,no,no,no
OVOS2,no,YES,YES,YES,YES,YES
EPHB3,no,YES,YES,YES,no,no
SIX6,no,YES,YES,no,no,no
POU3F2,no,YES,YES,YES,YES,YES
ROBO2,no,YES,no,no,YES,YES
NR2F2,no,YES,YES,YES,no,YES
MPPED1,no,YES,YES,YES,YES,YES
FYB2,no,YES,no,no,no,no
WNT7B,no,YES,YES,YES,YES,YES
SHISA6,no,YES,no,no,no,no
MBP,no,YES,no,YES,no,no
GRM3,no,YES,no,no,no,no
SP5,no,YES,no,no,no,no
ITPRIPL2,no,YES,no,no,no,no
S1PR3,no,YES,YES,YES,no,no
EMX2OS,no,YES,YES,YES,YES,YES
MIR205HG,no,YES,no,no,no,no
EHBP1-AS1,no,YES,YES,YES,no,no
ZNF503-AS2,no,YES,no,no,no,no
WAKMAR2,no,YES,YES,no,no,no
LOC124901861,no,YES,no,no,no,no
CCDC169,no,YES,YES,YES,no,no
C8orf34-AS1,no,YES,no,no,no,no
RMST,no,YES,YES,no,no,no
LINC01833,no,YES,YES,YES,YES,YES
DDX18P2,no,YES,no,no,no,no
LINC00261,no,YES,YES,YES,YES,YES
FRRS1L,no,YES,YES,no,no,no
SPON1,no,YES,YES,YES,YES,YES
GPC3-AS1,no,YES,YES,no,no,no
LOC122319436,no,YES,YES,YES,YES,YES
SKAP2,no,no,YES,no,no,no
MEOX1,no,no,YES,no,YES,YES
SOX8,no,no,YES,YES,no,no
TFAP2B,no,no,YES,YES,YES,YES
ATP1A2,no,no,YES,YES,YES,YES
SNAI2,no,no,YES,YES,YES,no
PLEKHB1,no,no,YES,YES,YES,YES
DKK3,no,no,YES,no,no,no
PKP2,no,no,YES,no,no,no
GUCY1B1,no,no,YES,YES,YES,YES
CDON,no,no,YES,YES,no,no
EYA2,no,no,YES,YES,YES,YES
NTN1,no,no,YES,YES,YES,YES
MPPED2,no,no,YES,YES,YES,YES
NAV3,no,no,YES,YES,YES,YES
MYO3B,no,no,YES,YES,no,YES
WSCD2,no,no,YES,no,no,no
WNT8B,no,no,YES,YES,YES,YES
ITGA8,no,no,YES,YES,no,no
ADCY2,no,no,YES,YES,YES,YES
RBFOX1,no,no,YES,YES,YES,YES
COL4A4,no,no,YES,no,no,no
CD82,no,no,YES,YES,YES,YES
MECOM,no,no,YES,no,no,no
RFX2,no,no,YES,no,no,no
SLC4A11,no,no,YES,YES,no,no
KIZ,no,no,YES,YES,no,YES
SEMA6A,no,no,YES,YES,no,no
TRIM9,no,no,YES,YES,YES,YES
PAPLN,no,no,YES,no,no,no
FERMT1,no,no,YES,YES,YES,YES
JAG1,no,no,YES,YES,YES,YES
CALB1,no,no,YES,no,no,no
HOXA2,no,no,YES,YES,YES,YES
SFRP4,no,no,YES,YES,YES,no
CDH23,no,no,YES,no,no,no
RASD1,no,no,YES,YES,YES,no
PPARGC1A,no,no,YES,no,no,YES
SLC15A3,no,no,YES,no,no,no
TBC1D30,no,no,YES,YES,no,no
PTPN6,no,no,YES,YES,no,no
HES1,no,no,YES,YES,no,no
FRMD4B,no,no,YES,YES,no,no
EFEMP1,no,no,YES,YES,YES,YES
WNT6,no,no,YES,YES,no,YES
PLCL1,no,no,YES,YES,YES,YES
PRRX1,no,no,YES,no,YES,YES
OPRD1,no,no,YES,YES,YES,YES
RGS4,no,no,YES,no,no,YES
FILIP1,no,no,YES,YES,YES,YES
PCDH17,no,no,YES,YES,no,no
NR4A3,no,no,YES,YES,YES,YES
EPCAM,no,no,YES,YES,no,no
CLU,no,no,YES,YES,YES,YES
ECHDC2,no,no,YES,no,no,no
PDZRN3,no,no,YES,YES,YES,YES
ARL4A,no,no,YES,no,no,no
NEUROD4,no,no,YES,YES,YES,YES
EDN3,no,no,YES,YES,YES,YES
COL21A1,no,no,YES,YES,YES,YES
MYRF,no,no,YES,no,YES,YES
HS3ST3B1,no,no,YES,YES,no,no
BARHL1,no,no,YES,YES,YES,YES
LAMP5,no,no,YES,YES,YES,YES
ID1,no,no,YES,YES,YES,no
KIRREL2,no,no,YES,YES,no,no
DACH2,no,no,YES,no,no,no
PDE11A,no,no,YES,YES,YES,YES
RFTN1,no,no,YES,no,no,no
SERPINF1,no,no,YES,YES,YES,YES
DDC,no,no,YES,YES,YES,YES
SYT4,no,no,YES,no,no,no
RERG,no,no,YES,YES,YES,YES
BCO1,no,no,YES,YES,YES,YES
NIBAN1,no,no,YES,YES,YES,YES
DOCK10,no,no,YES,no,no,no
PCDH8,no,no,YES,YES,no,YES
SULF1,no,no,YES,no,no,no
SMAD6,no,no,YES,no,no,no
CYP1B1,no,no,YES,YES,YES,YES
RASGEF1B,no,no,YES,YES,no,no
FGF5,no,no,YES,no,no,no
FBN2,no,no,YES,no,no,no
SLC38A4,no,no,YES,YES,YES,YES
LPAR6,no,no,YES,no,no,no
TTC6,no,no,YES,YES,YES,YES
HAPLN3,no,no,YES,YES,no,no
IRF8,no,no,YES,YES,no,no
PLPP2,no,no,YES,YES,no,no
BARHL2,no,no,YES,YES,no,no
DUSP10,no,no,YES,no,no,no
GDF7,no,no,YES,YES,YES,YES
ZNF385B,no,no,YES,YES,YES,YES
TRPM8,no,no,YES,no,no,no
RBMS3,no,no,YES,no,no,no
BOC,no,no,YES,YES,YES,YES
SLIT2,no,no,YES,YES,YES,YES
DDIT4L,no,no,YES,no,no,no
PDGFC,no,no,YES,no,no,no
GFOD1,no,no,YES,no,no,no
SYTL5,no,no,YES,YES,YES,YES
LPAR4,no,no,YES,no,no,no
HTR2C,no,no,YES,YES,no,no
RGS20,no,no,YES,YES,no,no
ST8SIA6,no,no,YES,no,no,no
TCF7L2,no,no,YES,YES,YES,YES
NPAS3,no,no,YES,YES,YES,YES
GFRA1,no,no,YES,no,no,no
AFF2,no,no,YES,no,no,no
WIF1,no,no,YES,no,no,no
UNC5D,no,no,YES,YES,YES,YES
ZIC3,no,no,YES,YES,YES,YES
LRP8,no,no,YES,no,no,no
GRHL3,no,no,YES,YES,no,no
STC1,no,no,YES,no,no,no
TPPP3,no,no,YES,no,no,no
RSPH1,no,no,YES,YES,YES,YES
NPHS1,no,no,YES,no,no,no
WNT4,no,no,YES,no,no,no
NFIA,no,no,YES,YES,YES,YES
NTNG1,no,no,YES,YES,YES,YES
KLHDC8A,no,no,YES,YES,no,no
PKDCC,no,no,YES,YES,YES,YES
FRZB,no,no,YES,YES,YES,YES
FZD5,no,no,YES,YES,YES,YES
ADORA1,no,no,YES,no,no,YES
HESX1,no,no,YES,YES,no,no
HEYL,no,no,YES,YES,no,no
CLDN19,no,no,YES,YES,YES,no
PITX2,no,no,YES,YES,YES,YES
SP8,no,no,YES,YES,YES,YES
TMEM74,no,no,YES,YES,YES,no
ZMAT4,no,no,YES,no,no,no
RASEF,no,no,YES,YES,YES,YES
ABTB2,no,no,YES,no,no,no
CA4,no,no,YES,YES,YES,YES
COL4A3,no,no,YES,no,no,no
AFAP1L2,no,no,YES,YES,YES,YES
PCDH7,no,no,YES,no,no,no
TMEM154,no,no,YES,no,no,no
EMX2,no,no,YES,YES,YES,YES
SEMA3E,no,no,YES,YES,YES,YES
KRT4,no,no,YES,YES,YES,YES
TTLL6,no,no,YES,YES,YES,YES
CYTL1,no,no,YES,YES,no,no
PDGFD,no,no,YES,YES,YES,YES
FAM241B,no,no,YES,no,no,no
GAP43,no,no,YES,YES,YES,YES
SNTB1,no,no,YES,no,no,no
RAB37,no,no,YES,YES,YES,YES
HPSE2,no,no,YES,YES,no,no
ADAMTS20,no,no,YES,YES,YES,YES
NDNF,no,no,YES,YES,no,YES
NRIP3,no,no,YES,YES,YES,YES
