gene,day02,day04,day06,day08,day10,day12
FOXA2,YES,YES,YES,YES,YES,YES
FGF19,YES,YES,YES,YES,no,no
FREM1,YES,YES,YES,YES,YES,YES
HTR1D,YES,YES,YES,YES,YES,YES
PTCH1,YES,YES,YES,YES,YES,YES
C11orf96,YES,YES,YES,YES,YES,YES
DNAH5,no,YES,YES,YES,YES,YES
TLE2,no,YES,YES,YES,YES,YES
FGF10,no,YES,YES,YES,YES,YES
CAPN6,no,YES,YES,YES,YES,YES
DCX,YES,YES,YES,YES,YES,YES
EDN1,YES,YES,YES,YES,YES,YES
CHRD,YES,YES,YES,YES,YES,YES
ITPR3,YES,YES,YES,YES,YES,YES
PNPLA3,YES,YES,YES,YES,YES,YES
ELF4,no,YES,YES,YES,YES,YES
SYT17,YES,YES,YES,YES,YES,YES
TLE6,no,YES,YES,YES,YES,YES
MET,YES,YES,YES,YES,YES,YES
GLI1,YES,YES,YES,YES,YES,YES
ST8SIA4,no,YES,YES,YES,YES,YES
QPCT,YES,YES,YES,YES,YES,YES
SOHLH2,YES,YES,YES,YES,YES,YES
TWIST1,no,YES,YES,YES,YES,YES
RUNX2,no,YES,YES,YES,YES,YES
NKX2-2,no,YES,YES,YES,YES,YES
AMOT,YES,YES,YES,YES,YES,YES
FOXA1,no,YES,YES,YES,YES,YES
CDKN1C,YES,YES,YES,YES,YES,YES
ATP8B3,YES,YES,YES,YES,YES,YES
GSC,no,YES,YES,YES,YES,YES
RAX,no,YES,YES,YES,YES,YES
SOX3,YES,YES,YES,YES,YES,YES
NPL,no,YES,YES,YES,YES,YES
NKX2-8,no,YES,YES,YES,YES,YES
NKX2-1,no,YES,YES,YES,YES,YES
ERMN,no,YES,YES,YES,YES,YES
SIX3,YES,YES,YES,YES,YES,YES
GPC3,YES,YES,YES,YES,YES,YES
STOM,YES,YES,YES,YES,YES,YES
NKX6-2,no,YES,no,no,no,YES
BMP3,no,YES,YES,YES,YES,YES
FEZF2,YES,YES,YES,YES,YES,YES
RETREG1,YES,YES,YES,YES,YES,YES
DGKI,no,YES,YES,YES,YES,YES
TFF3,no,YES,YES,YES,YES,YES
HHIP,YES,YES,YES,YES,YES,YES
SHH,no,YES,YES,YES,YES,YES
SCARA5,no,YES,YES,YES,YES,YES
CXCL10,YES,YES,YES,YES,YES,YES
HOPX,no,YES,YES,YES,YES,YES
OVOS2,no,YES,YES,YES,YES,YES
EPHB3,YES,YES,YES,YES,YES,YES
SIX6,no,YES,YES,YES,YES,YES
ROBO2,YES,YES,YES,YES,YES,YES
MPPED1,no,YES,YES,YES,YES,YES
FYB2,YES,YES,YES,YES,YES,YES
MBP,YES,YES,YES,YES,YES,YES
ITPRIPL2,YES,YES,YES,YES,YES,YES
