,gene,day_04_02,day_06_04,day_08_06,day_10_08,day_12_10
1,TFPI,YES,no,no,no,no
2,ARX,YES,YES,YES,no,no
3,MEOX1,YES,YES,no,no,no
4,NOS2,YES,YES,no,no,no
5,PAX6,YES,YES,no,no,no
6,TFAP2B,YES,no,no,no,no
7,SNAI2,YES,YES,no,no,no
8,VIM,YES,no,no,no,no
9,TNC,YES,no,no,no,no
10,SCML1,YES,no,no,no,no
11,HHAT,YES,no,no,no,no
12,ATP9A,YES,no,no,no,no
13,SLC6A16,YES,no,no,no,no
14,MYLK,YES,no,no,no,no
15,NAV3,YES,no,no,no,no
16,ATP2B1,YES,no,no,no,no
17,SEMA3A,YES,no,no,no,no
18,ARHGAP15,YES,no,no,no,no
19,CAPN6,YES,no,no,no,no
20,LRP2,YES,no,no,no,no
21,BCORL1,YES,no,no,no,no
22,MECOM,YES,no,no,no,no
23,ARHGAP28,YES,no,no,no,no
24,ZFHX4,YES,no,no,no,no
25,CCDC80,YES,no,YES,no,no
26,MACROH2A2,YES,no,no,no,no
27,TTC28,YES,no,no,no,no
28,KCNK10,YES,no,no,no,no
29,CD99L2,YES,no,no,no,no
30,FGF9,YES,no,no,no,no
31,NCALD,YES,YES,no,no,no
32,APLP1,YES,no,no,no,no
33,PTN,YES,no,no,no,no
34,GLI3,YES,no,no,no,no
35,LHX2,YES,no,no,no,no
36,TLE4,YES,no,no,no,no
37,ELAVL2,YES,no,no,no,no
38,GLIS3,YES,no,no,no,no
39,FGF8,YES,no,no,no,no
40,DKK1,YES,no,no,no,no
41,SORCS1,YES,no,no,no,no
42,LGI1,YES,no,no,no,no
43,RAI1,YES,no,no,no,no
44,DCUN1D4,YES,no,no,no,no
45,MAPK10,YES,no,no,no,no
46,CPE,YES,no,no,no,no
47,ZBTB16,YES,YES,no,no,no
48,DTX4,YES,no,no,no,no
49,ARHGEF17,YES,no,no,no,no
50,WNT5B,YES,YES,no,no,no
51,BMP5,YES,no,no,no,no
52,SOBP,YES,no,no,no,no
53,C6orf118,YES,no,YES,no,no
54,AMOTL2,YES,YES,no,no,no
55,KAT2B,YES,no,no,no,no
56,OTX1,YES,no,no,no,no
57,ODC1,YES,no,no,no,no
58,EPHA4,YES,no,no,no,no
59,WLS,YES,no,no,no,no
60,ST6GALNAC5,YES,no,no,no,no
61,PLAGL1,YES,YES,no,no,no
62,OLFM3,YES,no,no,no,no
63,EGR1,YES,no,no,no,no
64,CNTFR,YES,no,no,no,no
65,WNT1,YES,no,no,no,no
66,EFNB2,YES,no,no,no,no
67,HS3ST3B1,YES,YES,no,no,no
68,LAMP5,YES,no,no,no,no
69,ZNF436,YES,no,no,no,no
70,LRRC4,YES,no,no,no,no
71,LRRC4B,YES,no,no,no,no
72,CHI3L1,YES,no,no,no,no
73,STOML3,YES,no,no,no,no
74,IRS4,YES,no,no,no,no
75,CAMK1,YES,no,no,no,no
76,TMEM106C,YES,no,no,no,no
77,RAX,YES,no,no,no,no
78,SOX5,YES,no,no,no,no
79,FHOD3,YES,no,no,no,no
80,APLNR,YES,no,no,no,no
81,CEMIP2,YES,no,no,no,no
82,EPHA7,YES,YES,no,no,no
83,BCO1,YES,YES,no,no,no
84,PAX3,YES,no,no,no,no
85,ODF2,YES,no,no,no,no
86,SULF1,YES,YES,no,no,no
87,NAB1,YES,no,no,no,no
88,SHF,YES,no,no,no,no
89,CCNG2,YES,no,no,no,no
90,LEF1,YES,YES,no,no,no
91,COL2A1,YES,YES,no,no,no
92,LRIG3,YES,no,no,no,no
93,DUSP6,YES,no,no,no,no
94,LPAR6,YES,no,no,no,no
95,MBNL2,YES,no,no,YES,no
96,KCNH5,YES,no,no,no,no
97,CDH11,YES,no,no,no,no
98,CBX8,YES,no,no,no,no
99,ARK2C,YES,no,no,no,no
100,EPHA2,YES,no,YES,YES,no
101,ILDR2,YES,YES,no,no,no
102,RGL1,YES,no,no,no,no
103,DYRK3,YES,no,no,no,no
104,FBLN7,YES,no,no,no,no
105,ZNF385B,YES,YES,no,no,no
106,IL17RD,YES,no,no,no,no
107,PHLDB2,YES,no,no,no,no
108,TAGLN3,YES,no,no,no,no
109,BOC,YES,no,no,no,no
110,SCD5,YES,YES,no,no,no
111,DDIT4L,YES,YES,no,no,no
112,LIX1,YES,no,no,no,no
113,TPBG,YES,no,no,no,no
114,LRP12,YES,no,no,no,no
115,ZEB1,YES,no,no,no,no
116,IMMP1L,YES,no,no,no,no
117,ZC3H12C,YES,no,no,no,no
118,PRSS23,YES,no,no,no,no
119,ME3,YES,no,no,no,no
120,POU4F1,YES,no,no,no,no
121,CLGN,YES,no,no,no,no
122,FEZF2,YES,YES,no,no,no
123,ABCA5,YES,no,no,no,no
124,FAM167A,YES,no,no,no,no
125,NRG1,YES,no,no,no,no
126,FZD1,YES,no,no,no,no
127,TSPAN18,YES,no,no,no,no
128,DPYSL5,YES,no,no,no,no
129,GRHL3,YES,no,no,no,no
130,TMSB15A,YES,no,no,no,no
131,NBL1,YES,no,no,no,no
132,SCUBE1,YES,no,no,no,no
133,BTG2,YES,no,no,no,no
134,GPSM1,YES,no,no,no,no
135,SHANK1,YES,no,no,no,no
136,ELAVL4,YES,YES,YES,no,no
137,KLHDC8A,YES,YES,no,no,no
138,SLC16A14,YES,no,no,no,no
139,BBS5,YES,no,no,no,no
140,MSX1,YES,YES,no,no,no
141,ANTXR2,YES,no,no,no,no
142,NUAK2,YES,no,no,no,no
143,ADAMTS9,YES,no,no,no,no
144,FABP7,YES,no,no,no,no
145,GALNT10,YES,no,no,no,no
146,SP8,YES,no,no,no,no
147,TMEM74,YES,no,no,no,no
148,FOXK1,YES,no,no,no,no
149,PCDH19,YES,YES,no,no,no
150,ZNF503,YES,no,no,no,no
151,STOX1,YES,YES,no,no,no
152,SALL2,YES,no,no,no,no
153,IFI27,YES,no,no,no,no
154,FBN1,YES,no,no,no,no
155,PRTG,YES,no,no,no,no
156,CENPV,YES,no,no,no,no
157,NNMT,YES,no,no,no,no
158,MAP1A,YES,no,no,no,no
159,CA4,YES,YES,no,no,no
160,ANGPTL4,YES,no,no,no,no
161,SCARA3,YES,no,no,no,no
162,GBX2,YES,no,no,no,no
163,ZNF608,YES,no,no,no,no
164,CHST14,YES,no,no,no,no
165,AFAP1L2,YES,no,no,no,no
