,gene,day_04_02,day_06_04,day_08_06,day_10_08,day_12_10,day_12_06,day_06_02
1,NDUFAF7,DOWN,no,no,no,no,no,DOWN
2,THSD7A,DOWN,no,no,no,no,UP,DOWN
3,PAX6,UP,no,no,no,no,no,UP
4,MYLIP,DOWN,no,no,no,no,UP,DOWN
5,E2F2,UP,no,no,no,no,no,no
6,MLXIPL,DOWN,DOWN,no,no,no,no,DOWN
7,CD9,DOWN,DOWN,no,no,no,no,DOWN
8,SYT7,DOWN,DOWN,no,no,no,no,DOWN
9,MAMLD1,DOWN,no,no,no,no,no,DOWN
10,CAPN1,DOWN,no,no,no,no,no,DOWN
11,CNTN1,DOWN,no,no,no,no,no,DOWN
12,ATP1A2,DOWN,DOWN,no,no,no,DOWN,DOWN
13,PLEKHB1,UP,no,no,no,no,no,UP
14,VIM,UP,no,no,no,no,no,UP
15,ANK1,DOWN,no,no,no,no,no,DOWN
16,CDH1,DOWN,DOWN,DOWN,no,no,DOWN,DOWN
17,DNAH5,UP,UP,no,no,no,no,UP
18,TNC,UP,no,DOWN,no,no,DOWN,UP
19,JADE2,DOWN,no,no,no,no,no,DOWN
20,ZIC2,DOWN,no,DOWN,no,no,DOWN,DOWN
21,GUCA1A,DOWN,no,no,no,no,no,DOWN
22,KITLG,DOWN,UP,no,no,no,UP,no
23,PLEKHA5,UP,no,no,no,no,no,UP
24,HHAT,UP,no,no,no,no,no,UP
25,MCOLN3,DOWN,DOWN,no,no,no,no,DOWN
26,LAMC2,DOWN,no,no,no,no,no,DOWN
27,WNT8A,DOWN,no,no,no,no,no,DOWN
28,CDH3,DOWN,no,no,no,no,no,DOWN
29,TFE3,DOWN,no,no,no,no,no,DOWN
30,RASGRP2,DOWN,no,no,no,no,no,DOWN
31,PYGM,DOWN,no,no,no,no,no,DOWN
32,GAL,DOWN,no,no,no,no,no,DOWN
33,FGF10,UP,UP,no,no,no,DOWN,UP
34,EPHA8,DOWN,no,no,no,no,no,DOWN
35,VASH1,UP,no,no,no,no,UP,UP
36,WSCD2,DOWN,DOWN,no,no,no,no,DOWN
37,PLXNA2,UP,no,no,no,no,no,UP
38,GPC4,DOWN,no,no,no,no,no,DOWN
39,MBNL3,DOWN,no,no,no,no,no,DOWN
40,NMRK2,DOWN,no,no,no,no,no,DOWN
41,CAPN6,UP,UP,no,no,no,DOWN,UP
42,DCX,UP,no,no,no,no,no,UP
43,ADCY2,DOWN,no,no,no,no,no,DOWN
44,EDN1,DOWN,no,no,no,DOWN,no,DOWN
45,ITM2A,DOWN,no,no,no,no,UP,DOWN
46,BRINP1,DOWN,no,no,no,no,no,DOWN
47,RUNX1T1,DOWN,no,no,no,UP,UP,DOWN
48,PGM1,DOWN,no,no,no,no,no,no
49,SMARCA2,DOWN,no,no,no,no,no,DOWN
50,KCNN2,DOWN,no,no,no,no,no,DOWN
51,LRP2,UP,UP,no,no,no,no,UP
52,GRHL2,DOWN,no,no,no,no,no,DOWN
53,COL16A1,DOWN,no,no,no,no,no,DOWN
54,MGST2,DOWN,no,no,no,no,no,DOWN
55,NOX4,UP,no,no,no,no,no,UP
56,MMP2,UP,no,no,no,no,no,UP
57,TFAP2C,DOWN,no,no,no,no,DOWN,DOWN
58,DNMT3B,DOWN,DOWN,no,no,no,DOWN,DOWN
59,SLC4A11,UP,no,no,no,no,no,UP
60,TBX5,UP,no,no,no,no,DOWN,no
61,P3H2,DOWN,no,no,no,no,no,DOWN
62,CHRD,UP,no,no,no,no,DOWN,UP
63,EFNB1,UP,no,no,no,no,no,UP
64,NRCAM,UP,no,no,no,no,no,UP
65,ZFHX4,UP,no,no,no,no,no,UP
66,DAZL,DOWN,DOWN,no,no,no,no,DOWN
67,EZR,DOWN,no,no,no,no,no,DOWN
68,MACROH2A2,UP,no,no,no,no,no,UP
69,CABP7,DOWN,no,no,no,no,no,DOWN
70,GALNT16,UP,no,no,no,no,no,UP
71,PAPLN,DOWN,no,no,no,no,DOWN,DOWN
72,DOK5,DOWN,no,no,no,no,no,DOWN
73,HRH3,DOWN,no,no,no,no,no,DOWN
74,BIRC7,DOWN,no,no,no,no,no,DOWN
75,CHRNA4,DOWN,no,no,no,no,no,DOWN
76,SYNDIG1,DOWN,no,no,no,no,UP,no
77,PIM2,DOWN,DOWN,no,no,no,no,DOWN
78,PCDH11X,DOWN,no,no,no,no,no,DOWN
79,FGF9,UP,no,no,no,no,DOWN,UP
80,FLT1,DOWN,no,no,no,no,no,DOWN
81,MMP15,DOWN,no,no,no,no,no,DOWN
82,SLC7A5,DOWN,no,UP,no,no,no,DOWN
83,METRN,UP,no,no,no,no,no,UP
84,CRYM,DOWN,no,no,no,no,no,DOWN
85,SYT17,UP,no,no,no,no,DOWN,UP
86,LACTB,DOWN,no,no,no,no,no,DOWN
87,SCG3,DOWN,DOWN,no,no,no,no,DOWN
88,RHOV,DOWN,no,no,no,no,no,DOWN
89,PLAT,DOWN,no,no,no,no,no,no
90,ESRP1,DOWN,DOWN,no,no,no,DOWN,DOWN
91,TRPS1,DOWN,no,no,no,no,UP,no
92,NCALD,UP,UP,no,no,no,no,UP
93,TLE6,UP,no,no,no,no,no,UP
94,DYRK1B,UP,no,no,no,no,no,UP
95,HPN,DOWN,no,no,no,no,no,DOWN
96,PTN,UP,no,no,no,no,no,UP
97,RNF32,UP,no,no,no,no,no,UP
98,COBL,DOWN,no,no,no,no,no,DOWN
99,PPP1R17,DOWN,no,no,no,no,no,DOWN
100,C1GALT1,DOWN,no,no,no,no,no,DOWN
101,RARRES2,DOWN,DOWN,no,no,no,no,DOWN
102,LHX2,UP,no,no,no,no,no,UP
103,TLE4,UP,no,no,no,no,no,UP
104,ELAVL2,UP,no,no,no,no,no,no
105,GLIS3,UP,no,no,no,no,no,UP
106,HPS1,DOWN,no,no,no,no,no,DOWN
107,CXCL12,DOWN,no,no,no,no,UP,DOWN
108,DKK1,UP,no,no,no,no,DOWN,UP
109,RAI1,UP,no,no,no,no,no,UP
110,FAM20A,DOWN,no,no,no,no,no,DOWN
111,MAPK10,UP,no,no,no,no,no,UP
112,GALNT7,DOWN,no,no,no,no,no,no
113,GLRB,UP,no,no,no,no,no,UP
114,CTSC,DOWN,no,no,no,no,no,DOWN
115,ZBTB16,UP,UP,no,no,no,no,UP
116,SC5D,DOWN,no,no,no,no,no,DOWN
117,ASIC1,UP,no,no,no,no,no,UP
118,SCNN1A,DOWN,DOWN,no,no,no,no,DOWN
119,PHC1,DOWN,no,no,no,no,no,DOWN
120,RFX4,UP,UP,no,no,no,UP,UP
121,RSPH4A,UP,no,no,no,no,no,UP
122,GCNT2,DOWN,no,no,no,no,DOWN,DOWN
123,SASH1,DOWN,no,no,no,no,no,DOWN
124,SOBP,UP,no,no,no,no,no,UP
125,C6orf118,UP,no,no,no,no,UP,UP
126,SMOC2,DOWN,no,no,no,no,no,DOWN
127,THBS4,UP,no,no,no,no,no,UP
128,POLR3G,DOWN,DOWN,no,no,no,no,DOWN
129,TARS1,DOWN,no,no,no,no,no,DOWN
130,WWC1,DOWN,no,no,no,no,no,DOWN
131,STC2,DOWN,no,no,no,no,no,DOWN
132,AMOTL2,UP,UP,no,no,no,no,UP
133,FAM162A,DOWN,no,no,no,no,no,DOWN
134,KAT2B,UP,no,no,no,no,no,UP
135,HES1,UP,no,no,no,no,no,UP
136,CFAP92,UP,no,no,no,no,no,UP
137,TNNC1,UP,no,no,no,no,no,UP
138,STEAP3,DOWN,no,no,no,no,no,DOWN
139,GALNT3,DOWN,no,no,no,no,no,DOWN
140,IGFBP2,DOWN,no,no,no,no,no,DOWN
141,EFHD1,UP,no,no,no,no,no,UP
142,ID2,DOWN,DOWN,no,no,no,no,DOWN
143,CEBPZ,DOWN,no,no,no,no,no,DOWN
144,QPCT,UP,no,no,no,no,DOWN,UP
145,SLC25A12,DOWN,no,no,no,no,no,no
146,PLCL1,UP,UP,no,no,no,no,UP
147,EPHA4,UP,no,no,no,no,no,UP
