"","genes","cluster","subcluster","cluster_LON","subclusterLON","cluster_WTC","subcluster_WTC"
"ENSG00000088305","DNMT3B","Early differentiation",1,"Early differentiation",1,"Early differentiation",1
"ENSG00000197702","PARVA","Anterior forebrain",1,"Anterior forebrain",1,"Anterior forebrain",1
"ENSG00000280780","JAKMIP2-AS1","Early differentiation",1,"Early differentiation",1,"Early differentiation",2
"ENSG00000265992","ESRG","Early differentiation",1,"Early differentiation",2,"Early differentiation",2
"ENSG00000205269","TMEM170B","Anterior forebrain",2,"Anterior forebrain",2,"Anterior forebrain",2
"ENSG00000165905","LARGE2","Early differentiation",1,"Early differentiation",3,"Early differentiation",1
"ENSG00000171533","MAP6","Anterior forebrain",2,"Anterior forebrain",3,"Anterior forebrain",2
"ENSG00000062725","APPBP2","Anterior forebrain",3,"Anterior forebrain",1,"Anterior forebrain",3
"ENSG00000139219","COL2A1","Anterior forebrain",1,"Anterior forebrain",1,"Anterior forebrain",1
"ENSG00000236330","RPL5P9","Early differentiation",1,"Early differentiation",3,"Early differentiation",2
"ENSG00000150471","ADGRL3","Anterior forebrain",1,"Anterior forebrain",1,"Anterior forebrain",2
"ENSG00000171456","ASXL1","Anterior forebrain",3,"Anterior forebrain",1,"Anterior forebrain",4
"ENSG00000155380","SLC16A1","Early differentiation",1,"Early differentiation",2,"Early differentiation",2
"ENSG00000147601","TERF1","Early differentiation",1,"Early differentiation",2,"Early differentiation",2
"ENSG00000173482","PTPRM","Anterior forebrain",2,"Anterior forebrain",1,"Anterior forebrain",3
"ENSG00000039523","RIPOR1","Anterior forebrain",2,"Anterior forebrain",1,"Anterior forebrain",3
"ENSG00000146966","DENND2A","Anterior forebrain",1,"Anterior forebrain",1,"Anterior forebrain",2
"ENSG00000129474","AJUBA","Anterior forebrain",2,"Anterior forebrain",1,"Anterior forebrain",4
"ENSG00000179059","ZFP42","Early differentiation",2,"Early differentiation",3,"Early differentiation",1
"ENSG00000130182","ZSCAN10","Early differentiation",1,"Early differentiation",1,"Early differentiation",2
"ENSG00000114019","AMOTL2","Anterior forebrain",2,"Anterior forebrain",1,"Anterior forebrain",4
"ENSG00000110237","ARHGEF17","Anterior forebrain",2,"Anterior forebrain",4,"Anterior forebrain",2
"ENSG00000138750","NUP54","Early differentiation",3,"Early differentiation",1,"Early differentiation",2
"ENSG00000188848","BEND4","Early differentiation",2,"Early differentiation",3,"Early differentiation",1
"ENSG00000072415","PALS1","Anterior forebrain",2,"Anterior forebrain",3,"Anterior forebrain",2
"ENSG00000153093","ACOXL","Early differentiation",1,"Early differentiation",3,"Early differentiation",2
"ENSG00000180891","CUEDC1","Anterior forebrain",3,"Anterior forebrain",4,"Anterior forebrain",2
"ENSG00000134323","MYCN","Early differentiation",2,"Early differentiation",3,"Early differentiation",1
"ENSG00000174099","MSRB3","Anterior forebrain",3,"Anterior forebrain",1,"Anterior forebrain",1
"ENSG00000157992","KRTCAP3","Early differentiation",3,"Early differentiation",1,"Early differentiation",2
"ENSG00000179833","SERTAD2","Anterior forebrain",2,"Anterior forebrain",4,"Anterior forebrain",2
"ENSG00000075035","WSCD2","Early differentiation",3,"Early differentiation",3,"Early differentiation",2
"ENSG00000158769","F11R","Early differentiation",1,"Early differentiation",1,"Early differentiation",1
"ENSG00000119522","DENND1A","Anterior forebrain",2,"Anterior forebrain",1,"Anterior forebrain",3
"ENSG00000149782","PLCB3","Early differentiation",2,"Early differentiation",3,"Early differentiation",2
"ENSG00000139793","MBNL2","Anterior forebrain",2,"Anterior forebrain",3,"Anterior forebrain",4
"ENSG00000180530","NRIP1","Anterior forebrain",1,"Anterior forebrain",1,"Anterior forebrain",3
"ENSG00000160991","ORAI2","Anterior forebrain",2,"Anterior forebrain",1,"Anterior forebrain",1
"ENSG00000022267","FHL1","Anterior forebrain",2,"Anterior forebrain",1,"Anterior forebrain",4
"ENSG00000184697","CLDN6","Early differentiation",1,"Early differentiation",2,"Early differentiation",2
"ENSG00000167600","CYP2S1","Early differentiation",1,"Early differentiation",2,"Early differentiation",2
"ENSG00000167658","EEF2","Early differentiation",2,"Early differentiation",3,"Early differentiation",2
"ENSG00000164265","SCGB3A2","Early differentiation",1,"Early differentiation",1,"Early differentiation",2
"ENSG00000132698","RAB25","Early differentiation",1,"Early differentiation",1,"Early differentiation",2
"ENSG00000240563","L1TD1","Early differentiation",1,"Early differentiation",1,"Early differentiation",2
"ENSG00000039068","CDH1","Early differentiation",1,"Early differentiation",1,"Early differentiation",2
"ENSG00000183742","MACC1","Early differentiation",4,"Early differentiation",3,"Early differentiation",2
"ENSG00000134207","SYT6","Early differentiation",1,"Early differentiation",2,"Early differentiation",2
"ENSG00000113356","POLR3G","Early differentiation",2,"Early differentiation",2,"Early differentiation",2
"ENSG00000156453","PCDH1","Early differentiation",1,"Early differentiation",3,"Early differentiation",1
"ENSG00000122642","FKBP9","Anterior forebrain",1,"Anterior forebrain",1,"Anterior forebrain",2
"ENSG00000101347","SAMHD1","Early differentiation",1,"Early differentiation",1,"Early differentiation",2
"ENSG00000188282","RUFY4","Early differentiation",3,"Early differentiation",1,"Early differentiation",2
"ENSG00000142408","CACNG8","Early differentiation",1,"Early differentiation",3,"Early differentiation",2
"ENSG00000148204","CRB2","Anterior forebrain",1,"Anterior forebrain",1,"Anterior forebrain",3
"ENSG00000133980","VRTN","Early differentiation",2,"Early differentiation",3,"Early differentiation",2
"ENSG00000110693","SOX6","Anterior forebrain",4,"Anterior forebrain",4,"Anterior forebrain",2
"ENSG00000148516","ZEB1","Anterior forebrain",3,"Anterior forebrain",1,"Anterior forebrain",4
"ENSG00000174720","LARP7","Early differentiation",1,"Early differentiation",2,"Early differentiation",2
"ENSG00000063180","CA11","Early differentiation",2,"Early differentiation",3,"Early differentiation",2
"ENSG00000080298","RFX3","Anterior forebrain",2,"Anterior forebrain",1,"Anterior forebrain",3
"ENSG00000177189","RPS6KA3","Anterior forebrain",2,"Anterior forebrain",4,"Anterior forebrain",3
"ENSG00000182463","TSHZ2","Anterior forebrain",2,"Anterior forebrain",1,"Anterior forebrain",3
"ENSG00000121570","DPPA4","Early differentiation",1,"Early differentiation",1,"Early differentiation",1
"ENSG00000274652",NA,"Early differentiation",1,"Early differentiation",2,"Early differentiation",2
"ENSG00000167552","TUBA1A","Anterior forebrain",1,"Anterior forebrain",1,"Anterior forebrain",1
"ENSG00000203875","SNHG5","Early differentiation",2,"Early differentiation",3,"Early differentiation",2
"ENSG00000134352","IL6ST","Anterior forebrain",4,"Anterior forebrain",1,"Anterior forebrain",2
"ENSG00000057935","MTA3","Early differentiation",3,"Early differentiation",1,"Early differentiation",2
"ENSG00000161249","DMKN","Early differentiation",3,"Early differentiation",1,"Early differentiation",2
"ENSG00000185905","C16orf54","Early differentiation",2,"Early differentiation",2,"Early differentiation",2
"ENSG00000281398",NA,"Early differentiation",3,"Early differentiation",3,"Early differentiation",1
"ENSG00000165156","ZHX1","Anterior forebrain",4,"Anterior forebrain",1,"Anterior forebrain",2
"ENSG00000112539","C6orf118","Anterior forebrain",3,"Anterior forebrain",1,"Anterior forebrain",3
"ENSG00000089006","SNX5","Early differentiation",2,"Early differentiation",3,"Early differentiation",1
"ENSG00000286190","LOC728392","Anterior forebrain",3,"Anterior forebrain",1,"Anterior forebrain",4
"ENSG00000160216","AGPAT3","Anterior forebrain",1,"Anterior forebrain",1,"Anterior forebrain",2
"ENSG00000257698","GIHCG","Anterior forebrain",1,"Anterior forebrain",1,"Anterior forebrain",2
"ENSG00000113657","DPYSL3","Early differentiation",3,"Early differentiation",1,"Early differentiation",1
"ENSG00000269404","SPIB","Early differentiation",1,"Early differentiation",3,"Early differentiation",2
"ENSG00000280142",NA,"Early differentiation",3,"Early differentiation",1,"Early differentiation",2
"ENSG00000054179","ENTPD2","Early differentiation",1,"Early differentiation",2,"Early differentiation",2
"ENSG00000086712","TXLNG","Early differentiation",1,"Early differentiation",1,"Early differentiation",2
"ENSG00000226792","C13orf42","Early differentiation",2,"Early differentiation",2,"Early differentiation",1
"ENSG00000118523","CCN2","Anterior forebrain",2,"Anterior forebrain",1,"Anterior forebrain",3
"ENSG00000173660","UQCRH","Early differentiation",2,"Early differentiation",1,"Early differentiation",1
"ENSG00000170561","IRX2","Early differentiation",2,"Early differentiation",2,"Early differentiation",1
"ENSG00000146904","EPHA1","Early differentiation",1,"Early differentiation",2,"Early differentiation",2
"ENSG00000104413","ESRP1","Early differentiation",1,"Early differentiation",1,"Early differentiation",2
"ENSG00000109906","ZBTB16","Anterior forebrain",1,"Anterior forebrain",1,"Anterior forebrain",4
"ENSG00000130707","ASS1","Early differentiation",2,"Early differentiation",3,"Early differentiation",1
"ENSG00000168672","LRATD2","Anterior forebrain",2,"Anterior forebrain",1,"Anterior forebrain",4
"ENSG00000088992","TESC","Early differentiation",4,"Early differentiation",1,"Early differentiation",2
"ENSG00000141431","ASXL3","Anterior forebrain",1,"Anterior forebrain",1,"Anterior forebrain",2
"ENSG00000060749","QSER1","Early differentiation",1,"Early differentiation",1,"Early differentiation",2
"ENSG00000156959","LHFPL4","Early differentiation",2,"Early differentiation",2,"Early differentiation",1
