"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","cluster_1","cluster_2","cluster_3"
"ENSG00000001617",13.2788204795956,-1.32659903753621,0.296270043439248,-4.47766848830342,7.54626645852558e-06,0.000191431365591736,"SEMA3F",1,1,1
"ENSG00000002587",5.70732609866628,1.38166291969119,0.384409951255282,3.59424337267908,0.00032533563004591,0.00464823295970411,"HS3ST1",2,2,2
"ENSG00000004838",2.86391422379376,1.48344144806848,0.505556179589394,2.93427616545666,0.00334326594838627,0.0288616484489664,"ZMYND10",2,3,3
"ENSG00000004848",97.9845328210993,1.53501033041701,0.233241901121334,6.58119455825599,4.66683417922631e-11,3.98712066224159e-09,"ARX",2,2,2
"ENSG00000005108",18.253991811527,1.04255446888101,0.348356018375498,2.99278443284201,0.00276444934555176,0.0250593761730637,"THSD7A",2,2,2
"ENSG00000007171",23.6995542678785,-2.27179858804417,0.503700627133529,-4.51021592125578,6.47616738309192e-06,0.000167113496056029,"NOS2",1,4,4
"ENSG00000007372",21.6818969090598,-2.10344182578491,0.426149530862276,-4.93592430227198,7.97720460154064e-07,2.65729548837987e-05,"PAX6",1,1,5
"ENSG00000009694",32.9160579653503,-1.00107377899363,0.183992481916064,-5.44084067223093,5.30297262302579e-08,2.47707409578108e-06,"TENM1",1,1,5
"ENSG00000010610",7.58603441483316,-1.65520767620388,0.425852879903657,-3.8868063463099,0.000101571719938722,0.00175926059881259,"CD4",1,1,1
"ENSG00000041515",4.67132280057818,1.50896270107346,0.429399227453463,3.51412532812953,0.000441204595807584,0.00596313326251742,"MYO16",2,3,3
"ENSG00000041982",162.990629391743,-1.87374474600262,0.264233444489195,-7.09124747484128,1.32908424789654e-12,1.49083470500449e-10,"TNC",1,1,1
"ENSG00000043355",303.011812514953,-2.02915629967254,0.22039732377238,-9.20681006892893,3.35960433598458e-20,1.6786822998803e-17,"ZIC2",1,1,5
"ENSG00000044524",16.5331547189429,1.38024375928557,0.254007886273773,5.43386183607672,5.51472873355916e-08,2.56871079343664e-06,"EPHA3",2,2,2
"ENSG00000049323",1051.57781406139,-1.25471847169582,0.14405652184582,-8.70990397115594,3.04132335546356e-18,9.4619586430639e-16,"LTBP1",1,1,5
"ENSG00000058404",7.50465222519098,1.04599486922165,0.329692235676996,3.1726402870052,0.00151059558661307,0.0155871155367102,"CAMK2B",2,3,3
"ENSG00000064270",51.7436344101726,1.1546962945758,0.151745707402313,7.6094165320567,2.75336057290815e-14,3.94784021623326e-12,"ATP2C2",2,2,2
"ENSG00000064309",17.704216915058,-1.39127029733574,0.250730720174959,-5.5488625261592,2.87534152297768e-08,1.41950617881374e-06,"CDON",1,1,5
"ENSG00000064655",22.3164160681864,1.27172821613104,0.404784113836075,3.14174438339261,0.00167944587399088,0.0169681537107376,"EYA2",2,3,3
"ENSG00000065320",68.6822339178987,1.4072274036855,0.406276949313803,3.46371460665512,0.000532771427575414,0.0069555566661053,"NTN1",2,3,3
"ENSG00000065717",15.0485600279127,1.3046947581861,0.228656738045407,5.70590995629009,1.15723166765404e-08,6.25625998949097e-07,"TLE2",2,2,2
"ENSG00000068078",206.755887031427,1.08380066210204,0.0902076105422674,12.0145146910217,2.98114664345856e-33,7.02230385771259e-30,"FGFR3",2,2,2
"ENSG00000068615",8.63592811615916,1.58434410646511,0.510513509715432,3.10343228203353,0.00191290006277035,0.0187637175104225,"REEP1",2,2,2
"ENSG00000072133",147.912852033964,1.0839950978212,0.113425035292948,9.55692978204961,1.21301813901926e-21,6.66715203142955e-19,"RPS6KA6",2,2,2
"ENSG00000074047",117.889512488091,-1.08623429169945,0.125090419765198,-8.68359298608461,3.83459171048313e-18,1.17089967989179e-15,"GLI2",1,1,5
"ENSG00000074416",13.7027860229123,1.3242847347767,0.230157073857177,5.75383025419622,8.72437608806187e-09,4.8600080174342e-07,"MGLL",2,3,3
"ENSG00000075223",23.8508657486177,1.43657708548014,0.361765577517721,3.97101652218354,7.15666152841161e-05,0.00129962766455924,"SEMA3C",2,2,2
"ENSG00000077274",373.147734553519,1.17385182829926,0.15364593300411,7.63997982470424,2.1725578104086e-14,3.22732484106553e-12,"CAPN6",2,2,2
"ENSG00000077279",79.3148792362857,1.22629319675954,0.294968099351437,4.15737566013362,3.21924387166397e-05,0.000657770907061552,"DCX",2,2,2
"ENSG00000079102",9.40820325677151,2.1294394950467,0.373172339733519,5.70631654148677,1.15447212870563e-08,6.25625998949097e-07,"RUNX1T1",2,2,2
"ENSG00000079112",5.30442134876766,-1.40300574085764,0.472183814925241,-2.97131264670683,0.0029652973827179,0.0263868259814546,"CDH17",1,1,1
"ENSG00000080166",5.44516086737303,-1.64682922552964,0.458466488454528,-3.5920383866682,0.000328101504417025,0.00467594270210226,"DCT",1,1,1
"ENSG00000082397",11.96514921914,1.13815643896856,0.242999107188076,4.68378856259606,2.81620514482668e-06,8.08996631237753e-05,"EPB41L3",2,3,3
"ENSG00000082497",29.3295393769239,-2.077284297439,0.243262878574801,-8.53925724142187,1.35087341939203e-17,3.71242530205919e-15,"SERTAD4",1,1,5
"ENSG00000085276",5.51370587862081,-1.98229759244397,0.517446155001045,-3.83092534998152,0.000127662236362453,0.00212843540483366,"MECOM",1,4,4
"ENSG00000087495",6.0749538767013,1.38248680864013,0.353162428239581,3.91459197834677,9.05572128417717e-05,0.00158850838568933,"PHACTR3",2,2,2
"ENSG00000096696",129.360105199194,-1.03358419297809,0.117097752798626,-8.82667829463434,1.07830390595105e-18,3.78301129898444e-16,"DSP",1,1,5
"ENSG00000099139",164.857233131135,-1.16053498645496,0.130276469342188,-8.9082471478918,5.18457200603177e-19,1.9429183592604e-16,"PCSK5",1,1,5
"ENSG00000100427",12.5591087086267,1.0921161949995,0.268302950932026,4.07045912542416,4.69205734736338e-05,0.000902769353566801,"MLC1",2,2,2
"ENSG00000100433",20.5816651622533,-1.21347241321401,0.238030232648042,-5.09797599957937,3.43304331807683e-07,1.26355918017341e-05,"KCNK10",1,1,5
"ENSG00000100505",44.3389942703035,1.32712894120973,0.255587689148553,5.19246034748713,2.07533080458752e-07,8.16709537872162e-06,"TRIM9",2,2,2
"ENSG00000100599",6.89335639818297,1.07286650770343,0.332739711360998,3.22434164324753,0.00126262667084956,0.0136163840259244,"RIN3",2,3,3
"ENSG00000100867",11.4387878801994,-1.13927486580593,0.316402172814442,-3.60071757937667,0.00031734013729331,0.00455406573005169,"DHRS2",1,1,1
"ENSG00000101463",16.6950802519876,1.30610118938257,0.222805944740831,5.86205718569059,4.57167513112274e-09,2.69222682989581e-07,"SYNDIG1",2,2,2
"ENSG00000101665",10.9539814502354,1.17720996622113,0.25669971617592,4.58594183023706,4.51944429500749e-06,0.00012176653101369,"SMAD7",2,2,2
"ENSG00000102034",7.03616503738364,1.14790942196685,0.332048528218273,3.45705318474494,0.000546117055379904,0.00708491276645101,"ELF4",2,2,6
"ENSG00000104689",6.46643856990042,-1.30476960834504,0.415925636146613,-3.13702617716285,0.00170670888465812,0.0171492521627835,"TNFRSF10A",1,1,1
"ENSG00000105251",3.00209006433667,1.71067600978946,0.50489619534223,3.3881736990114,0.00070359690957198,0.00870338292718108,"SHD",2,2,6
"ENSG00000105784",5.94540939629879,-1.15562044621105,0.419873293783465,-2.75230757307232,0.00591769126722386,0.0449870038290706,"RUNDC3B",1,1,1
"ENSG00000105825",161.799081747764,-1.3260103883844,0.131702687156978,-10.0682105810333,7.63545852505119e-24,5.47395980954648e-21,"TFPI2",1,1,5
"ENSG00000105976",19.0266013163424,1.18254694675731,0.27922077668734,4.23516817332499,2.28380720925068e-05,0.000494195499650058,"MET",2,2,2
"ENSG00000106078",26.2070360007801,1.24021409414177,0.200608537514453,6.18225978569044,6.31904227850916e-10,4.34144533876406e-08,"COBL",2,2,2
"ENSG00000106125",4.89924973275514,1.45145314372498,0.425309279823559,3.41270038670945,0.000643226176154299,0.0080655181890557,"MINDY4",2,2,2
"ENSG00000106571",248.851023011253,-1.35733530242589,0.12862648821005,-10.5525333180933,4.94456202933671e-26,4.79593431186665e-23,"GLI3",1,1,5
"ENSG00000106689",222.55396283164,-1.54919658160762,0.129852317908148,-11.9304499647319,8.21283570344744e-33,1.69276809892681e-29,"LHX2",1,1,5
"ENSG00000107242",16.2861893628631,-1.22776771032503,0.262499111014928,-4.67722616498769,2.90781493579632e-06,8.30969852276353e-05,"PIP5K1B",1,4,4
"ENSG00000107831",81.0754033092831,-1.50054791583358,0.233196445753698,-6.43469462402725,1.2372181669847e-10,9.71451921686228e-09,"FGF8",1,1,5
"ENSG00000108018",69.9212067137193,-1.22968134014652,0.154296569757278,-7.96959609718422,1.59193799710168e-15,3.01717995795514e-13,"SORCS1",1,1,5
"ENSG00000108231",7.43707960962955,-3.44642537859539,0.794363045102998,-4.33860235548662,1.43391699330766e-05,0.000331610901860448,"LGI1",1,4,4
"ENSG00000108950",6.51107858858049,1.45573803429823,0.349746415809952,4.16226719844147,3.15103326733251e-05,0.000649467344313072,"FAM20A",2,5,7
"ENSG00000109107",8.01243811017039,-1.10282778195979,0.376221974407039,-2.93132208371919,0.00337522639808479,0.0290773814409719,"ALDOC",1,1,1
"ENSG00000109255",36.4269779744956,-1.11032369549634,0.18004730570191,-6.16684426999766,6.96663066319348e-10,4.70790053300808e-08,"NMU",1,1,5
"ENSG00000109991",6.37886449537582,1.05808100549865,0.33661145563051,3.14333035254771,0.00167037208454581,0.0168870418774224,"P2RX3",2,2,2
"ENSG00000111087",13.3524788260866,3.61994801837489,0.398813765383643,9.07678804640216,1.11826089457469e-19,5.12194552517834e-17,"GLI1",2,2,2
"ENSG00000111186",191.537112448436,-1.63664865045404,0.113624781977026,-14.4039761571112,4.8850329665276e-47,4.02746542925368e-43,"WNT5B",1,1,5
