"","ENSEMBLE","gene","module","merged_module","cor_abs","cor"
"862","ENSG00000164690","SHH","blue","blue",1,1
"49","ENSG00000043355","ZIC2","blue","blue",0.827315284517877,-0.827315284517877
"848","ENSG00000164056","SPRY1","blue","blue",0.779702505063087,-0.779702505063087
"1106","ENSG00000185950","IRS2","blue","blue",0.776033231194988,-0.776033231194988
"1187","ENSG00000198732","SMOC1","blue","blue",0.724398421265092,-0.724398421265092
"1120","ENSG00000187122","SLIT1","blue","blue",0.720732362812193,0.720732362812193
"1371","ENSG00000262655","SPON1","blue","blue",0.6862151884736,0.6862151884736
"682","ENSG00000148053","NTRK2","blue","blue",0.67648009689057,0.67648009689057
"594","ENSG00000139800","ZIC5","blue","blue",0.653486521066101,-0.653486521066101
"589","ENSG00000139364","TMEM132B","blue","blue",0.652169512330916,-0.652169512330916
"91","ENSG00000072133","RPS6KA6","blue","blue",0.648181564441438,0.648181564441438
"240","ENSG00000106689","LHX2","blue","blue",0.646866189374333,-0.646866189374333
"1172","ENSG00000198121","LPAR1","blue","blue",0.636739558002886,-0.636739558002886
"508","ENSG00000134115","CNTN6","blue","blue",0.620569213455202,0.620569213455202
"1038","ENSG00000179431","FJX1","blue","blue",0.618482177696283,-0.618482177696283
"538","ENSG00000136352","NKX2-1","blue","blue",0.586649938657414,0.586649938657414
"418","ENSG00000124920","MYRF","blue","blue",0.584670877252594,0.584670877252594
"154","ENSG00000099139","PCSK5","blue","blue",0.582000411044313,-0.582000411044313
"1363","ENSG00000259974","LINC00261","blue","blue",0.573746038744798,0.573746038744798
"48","ENSG00000041982","TNC","blue","blue",0.571965383598493,-0.571965383598493
"266","ENSG00000109790","KLHL5","blue","blue",0.568369744219811,0.568369744219811
"828","ENSG00000162998","FRZB","blue","blue",0.556107652448465,0.556107652448465
"731","ENSG00000153094","BCL2L11","blue","blue",0.528825391896885,-0.528825391896885
"1071","ENSG00000183092","BEGAIN","blue","blue",0.528029401945661,-0.528029401945661
"386","ENSG00000121005","CRISPLD1","blue","blue",0.523197873573016,0.523197873573016
"1231","ENSG00000214548","MEG3","blue","blue",0.522399146312516,-0.522399146312516
"69","ENSG00000060718","COL11A1","blue","blue",0.5085539937859,-0.5085539937859
"701","ENSG00000150687","PRSS23","blue","blue",0.507503541654668,-0.507503541654668
"457","ENSG00000128567","PODXL","blue","blue",0.500627943783634,0.500627943783634
"649","ENSG00000144476","ACKR3","blue","blue",0.493720384520869,0.493720384520869
"927","ENSG00000169760","NLGN1","blue","blue",0.473481314031624,-0.473481314031624
"1186","ENSG00000198729","PPP1R14C","blue","blue",0.472916484906927,0.472916484906927
"1347","ENSG00000253563","NKX2-1-AS1","blue","blue",0.464963840930852,0.464963840930852
"1250","ENSG00000223561","LINC03007","blue","blue",0.464207766263892,0.464207766263892
"448","ENSG00000127920","GNG11","blue","blue",0.463246748231027,-0.463246748231027
"1349","ENSG00000254656","RTL1","blue","blue",0.457158173567558,-0.457158173567558
"281","ENSG00000111186","WNT5B","blue","blue",0.456646223108817,-0.456646223108817
"691","ENSG00000149090","PAMR1","blue","blue",0.453905228407132,-0.453905228407132
