"","Var1","Var2","value","abs_cor","link","knownV1","knownV2"
"1","ITGA3","SHH",-0.822014485159655,0.822014485159655,"neg","no","SHH"
"2","PAX6","SHH",-0.839696991058734,0.839696991058734,"neg","known","SHH"
"3","TENM1","SHH",-0.860933919921252,0.860933919921252,"neg","no","SHH"
"4","MVP","SHH",-0.809348514124347,0.809348514124347,"neg","no","SHH"
"5","GRAMD1B","SHH",-0.814370086249559,0.814370086249559,"neg","no","SHH"
"6","TMSB10","SHH",-0.849052334697047,0.849052334697047,"neg","no","SHH"
"7","VCL","SHH",-0.885569979095161,0.885569979095161,"neg","no","SHH"
"8","TNC","SHH",-0.953830938541807,0.953830938541807,"neg","no","SHH"
"9","ZIC2","SHH",-0.983912730019908,0.983912730019908,"neg","known","SHH"
"10","ADAMTS6","SHH",-0.806889185137036,0.806889185137036,"neg","no","SHH"
"11","LTBP1","SHH",-0.926600501121113,0.926600501121113,"neg","no","SHH"
"12","RCN1","SHH",-0.868597832759797,0.868597832759797,"neg","no","SHH"
"13","FOXN3","SHH",-0.841124737705156,0.841124737705156,"neg","no","SHH"
"14","YBX3","SHH",-0.822746620461492,0.822746620461492,"neg","no","SHH"
"15","COL11A1","SHH",-0.902224798638688,0.902224798638688,"neg","no","SHH"
"16","BCAT1","SHH",-0.895829687658526,0.895829687658526,"neg","no","SHH"
"17","CDON","SHH",-0.807107872433471,0.807107872433471,"neg","no","SHH"
"18","MYLK","SHH",-0.912837973723245,0.912837973723245,"neg","no","SHH"
"19","LAPTM4A","SHH",-0.823695880552441,0.823695880552441,"neg","no","SHH"
"20","GLI2","SHH",-0.91043784318427,0.91043784318427,"neg","known","SHH"
"21","LMAN1","SHH",-0.915380004883762,0.915380004883762,"neg","no","SHH"
"22","FDFT1","SHH",-0.829483327816256,0.829483327816256,"neg","no","SHH"
"23","SERTAD4","SHH",-0.873984011365767,0.873984011365767,"neg","no","SHH"
"24","ITGB5","SHH",-0.869403906527793,0.869403906527793,"neg","no","SHH"
"25","FTL","SHH",-0.870688153784441,0.870688153784441,"neg","no","SHH"
"26","EFNB1","SHH",-0.838268391505522,0.838268391505522,"neg","no","SHH"
"27","AARS1","SHH",-0.84160867543652,0.84160867543652,"neg","no","SHH"
"28","CD200","SHH",-0.829614746403946,0.829614746403946,"neg","no","SHH"
"29","ARCN1","SHH",-0.873773230257849,0.873773230257849,"neg","no","SHH"
"30","DSP","SHH",-0.922120974376739,0.922120974376739,"neg","no","SHH"
"31","PCSK5","SHH",-0.947133912876025,0.947133912876025,"neg","no","SHH"
"32","LGALS1","SHH",-0.859611334562451,0.859611334562451,"neg","no","SHH"
"33","XBP1","SHH",-0.85979658723432,0.85979658723432,"neg","no","SHH"
"34","PLCB4","SHH",-0.851939780163645,0.851939780163645,"neg","no","SHH"
"35","JAG1","SHH",-0.845024019002429,0.845024019002429,"neg","no","SHH"
"36","TNNT1","SHH",-0.857077908651392,0.857077908651392,"neg","no","SHH"
"37","TFPI2","SHH",-0.890719895528463,0.890719895528463,"neg","no","SHH"
"38","PTPRZ1","SHH",-0.901848157209919,0.901848157209919,"neg","no","SHH"
"39","C1GALT1","SHH",-0.836750362326421,0.836750362326421,"neg","no","SHH"
"40","GLCCI1","SHH",-0.8967149563963,0.8967149563963,"neg","no","SHH"
"41","GLI3","SHH",-0.911457289630674,0.911457289630674,"neg","known","SHH"
"42","LHX2","SHH",-0.923642152802394,0.923642152802394,"neg","no","SHH"
"43","TLE4","SHH",-0.90704172657098,0.90704172657098,"neg","no","SHH"
"44","PLEKHA1","SHH",-0.931895169570472,0.931895169570472,"neg","no","SHH"
"45","FBXW4","SHH",-0.886559731183169,0.886559731183169,"neg","no","SHH"
"46","FGF8","SHH",-0.955065190485808,0.955065190485808,"neg","no","SHH"
"47","NMU","SHH",-0.828913433740997,0.828913433740997,"neg","no","SHH"
"48","WNT5B","SHH",-0.920132927550306,0.920132927550306,"neg","no","SHH"
"49","GOLT1B","SHH",-0.830417626326529,0.830417626326529,"neg","no","SHH"
