"","Var1","Var2","value","abs_cor","link","knownV1","knownV2"
"1","ARX","SHH",0.941998202208801,0.941998202208801,"pos","no","SHH"
"2","PLEKHO1","SHH",0.81101757561523,0.81101757561523,"pos","no","SHH"
"3","RRAGD","SHH",0.847184364659746,0.847184364659746,"pos","no","SHH"
"4","USP2","SHH",0.858918975121835,0.858918975121835,"pos","no","SHH"
"5","MYO16","SHH",0.821387744914518,0.821387744914518,"pos","no","SHH"
"6","CTNNA1","SHH",0.804444687607868,0.804444687607868,"pos","no","SHH"
"7","GPM6B","SHH",0.814133949850799,0.814133949850799,"pos","no","SHH"
"8","PLEKHA5","SHH",0.803824635823336,0.803824635823336,"pos","no","SHH"
"9","ATP2C2","SHH",0.85117795407421,0.85117795407421,"pos","no","SHH"
"10","HIPK2","SHH",0.872690105509567,0.872690105509567,"pos","no","SHH"
"11","NTN1","SHH",0.839156005298438,0.839156005298438,"pos","no","SHH"
"12","FGFR2","SHH",0.828819413420863,0.828819413420863,"pos","no","SHH"
"13","FGFR3","SHH",0.878711697892101,0.878711697892101,"pos","no","SHH"
"14","REEP1","SHH",0.834959429030787,0.834959429030787,"pos","no","SHH"
"15","RORA","SHH",0.826894966063132,0.826894966063132,"pos","no","SHH"
"16","DGCR2","SHH",0.879768268953021,0.879768268953021,"pos","no","SHH"
"17","RPS6KA6","SHH",0.949168094489459,0.949168094489459,"pos","no","SHH"
"18","MGLL","SHH",0.820774045686368,0.820774045686368,"pos","no","SHH"
"19","CAPN6","SHH",0.82064895371832,0.82064895371832,"pos","no","SHH"
"20","DCX","SHH",0.855838270909907,0.855838270909907,"pos","no","SHH"
"21","NAALAD2","SHH",0.86422040185842,0.86422040185842,"pos","no","SHH"
"22","RUNX1T1","SHH",0.825078455278816,0.825078455278816,"pos","no","SHH"
"23","EPB41L2","SHH",0.891461986304068,0.891461986304068,"pos","no","SHH"
"24","EPB41L3","SHH",0.833781311754393,0.833781311754393,"pos","no","SHH"
"25","SEMA5B","SHH",0.801272449189072,0.801272449189072,"pos","no","SHH"
"26","ITGA6","SHH",0.813030086906352,0.813030086906352,"pos","no","SHH"
"27","AGO1","SHH",0.837617459817898,0.837617459817898,"pos","no","SHH"
"28","TRIM9","SHH",0.889872547727679,0.889872547727679,"pos","no","SHH"
"29","DAAM1","SHH",0.861143701106724,0.861143701106724,"pos","no","SHH"
"30","EIF5","SHH",0.897553078114449,0.897553078114449,"pos","no","SHH"
"31","BMP7","SHH",0.877951808942225,0.877951808942225,"pos","no","SHH"
"32","PGRMC1","SHH",0.816433171915969,0.816433171915969,"pos","no","SHH"
"33","BMF","SHH",0.868067348300206,0.868067348300206,"pos","no","SHH"
"34","SFRP1","SHH",0.832429640345908,0.832429640345908,"pos","no","SHH"
"35","CDK6","SHH",0.904741604068408,0.904741604068408,"pos","no","SHH"
"36","ITGB8","SHH",0.839047512467831,0.839047512467831,"pos","no","SHH"
"37","IQCE","SHH",0.857799553734101,0.857799553734101,"pos","no","SHH"
"38","ZMIZ1","SHH",0.847314774820481,0.847314774820481,"pos","no","SHH"
"39","KPNB1","SHH",0.830949267534527,0.830949267534527,"pos","no","SHH"
"40","KLHL5","SHH",0.93686009856603,0.93686009856603,"pos","no","SHH"
"41","CCDC34","SHH",0.830878275946762,0.830878275946762,"pos","no","SHH"
"42","RFX4","SHH",0.899550576292478,0.899550576292478,"pos","no","SHH"
"43","RSPH4A","SHH",0.811085659710496,0.811085659710496,"pos","no","SHH"
"44","QKI","SHH",0.93614153539825,0.93614153539825,"pos","no","SHH"
"45","RASGRF2","SHH",0.827780255986294,0.827780255986294,"pos","no","SHH"
"46","FGF12","SHH",0.840955778546685,0.840955778546685,"pos","no","SHH"
"47","FRMD4B","SHH",0.810918866713408,0.810918866713408,"pos","no","SHH"
"48","PLCL1","SHH",0.901682525743186,0.901682525743186,"pos","no","SHH"
"49","WLS","SHH",0.899281588290352,0.899281588290352,"pos","no","SHH"
"50","NID1","SHH",0.847987123069122,0.847987123069122,"pos","no","SHH"
"51","TTR","SHH",0.823192451535854,0.823192451535854,"pos","no","SHH"
"52","C1orf198","SHH",0.810822387648229,0.810822387648229,"pos","no","SHH"
"53","CCDC170","SHH",0.804190358193575,0.804190358193575,"pos","no","SHH"
"54","CRISPLD1","SHH",0.942942124228943,0.942942124228943,"pos","no","SHH"
"55","PDZRN3","SHH",0.909867083032512,0.909867083032512,"pos","no","SHH"
"56","CXCR4","SHH",0.801119036823038,0.801119036823038,"pos","no","SHH"
"57","ARL4A","SHH",0.87510515542649,0.87510515542649,"pos","no","SHH"
"58","NCOA5","SHH",0.806917955341286,0.806917955341286,"pos","no","SHH"
"59","MYRF","SHH",0.907700706233031,0.907700706233031,"pos","no","SHH"
"60","BMP4","SHH",0.816760905245948,0.816760905245948,"pos","no","SHH"
"61","FOXA2","SHH",0.878046889438207,0.878046889438207,"pos","known","SHH"
"62","NKX2-2","SHH",0.885275398524976,0.885275398524976,"pos","no","SHH"
"63","PODXL","SHH",0.893688269500331,0.893688269500331,"pos","no","SHH"
"64","CLN6","SHH",0.821071648147092,0.821071648147092,"pos","no","SHH"
"65","FOXA1","SHH",0.851961156532766,0.851961156532766,"pos","known","SHH"
"66","GADD45G","SHH",0.831562119968179,0.831562119968179,"pos","no","SHH"
"67","SERPINF1","SHH",0.827457445511585,0.827457445511585,"pos","no","SHH"
"68","DDC","SHH",0.931529288213013,0.931529288213013,"pos","no","SHH"
"69","NES","SHH",0.840195786410602,0.840195786410602,"pos","no","SHH"
"70","TEX15","SHH",0.815836851839089,0.815836851839089,"pos","no","SHH"
"71","CNTN6","SHH",0.956604603482873,0.956604603482873,"pos","no","SHH"
"72","SLC38A2","SHH",0.922196864843204,0.922196864843204,"pos","no","SHH"
"73","RERG","SHH",0.821838763662456,0.821838763662456,"pos","no","SHH"
"74","LRP4","SHH",0.842383161452334,0.842383161452334,"pos","no","SHH"
"75","APC","SHH",0.829294373761607,0.829294373761607,"pos","no","SHH"
"76","EPHA7","SHH",0.84178952855218,0.84178952855218,"pos","no","SHH"
"77","USP44","SHH",0.80808793830478,0.80808793830478,"pos","no","SHH"
"78","RNASEH2B","SHH",0.846956323451136,0.846956323451136,"pos","no","SHH"
"79","NKX2-1","SHH",0.957652790551588,0.957652790551588,"pos","known","SHH"
"80","PSMB7","SHH",0.851272869059703,0.851272869059703,"pos","no","SHH"
"81","MTTP","SHH",0.830460302334877,0.830460302334877,"pos","no","SHH"
"82","KIF21A","SHH",0.874090844422485,0.874090844422485,"pos","no","SHH"
"83","SLC38A4","SHH",0.804639197999584,0.804639197999584,"pos","no","SHH"
"84","TTC6","SHH",0.856112843090118,0.856112843090118,"pos","no","SHH"
"85","IGF1R","SHH",0.835744839088422,0.835744839088422,"pos","no","SHH"
"86","NKD1","SHH",0.895522732776503,0.895522732776503,"pos","no","SHH"
"87","MYOCD","SHH",0.804514028872337,0.804514028872337,"pos","no","SHH"
"88","SGSM2","SHH",0.921977282232927,0.921977282232927,"pos","no","SHH"
"89","NXPH2","SHH",0.818895706086781,0.818895706086781,"pos","no","SHH"
"90","ACKR3","SHH",0.933400157484996,0.933400157484996,"pos","no","SHH"
"91","ITGA9","SHH",0.869307371978152,0.869307371978152,"pos","no","SHH"
"92","PHLDB2","SHH",0.855810046635187,0.855810046635187,"pos","no","SHH"
"93","SLIT2","SHH",0.959417809082551,0.959417809082551,"pos","no","SHH"
"94","IQGAP2","SHH",0.809287109573829,0.809287109573829,"pos","no","SHH"
"95","SCUBE3","SHH",0.842688992473602,0.842688992473602,"pos","no","SHH"
"96","TMEM47","SHH",0.863778643739874,0.863778643739874,"pos","no","SHH"
"97","NTRK2","SHH",0.957692484624911,0.957692484624911,"pos","no","SHH"
"98","EIF4EBP2","SHH",0.850022357086273,0.850022357086273,"pos","no","SHH"
"99","FREM2","SHH",0.811662466866828,0.811662466866828,"pos","no","SHH"
"100","QDPR","SHH",0.812673280328736,0.812673280328736,"pos","no","SHH"
"101","ZNF827","SHH",0.819716197256418,0.819716197256418,"pos","no","SHH"
"102","EDNRA","SHH",0.849837183741988,0.849837183741988,"pos","no","SHH"
"103","GRIA4","SHH",0.804242130780436,0.804242130780436,"pos","no","SHH"
"104","SPEF2","SHH",0.844978173709597,0.844978173709597,"pos","no","SHH"
"105","HNRNPU","SHH",0.807689189155089,0.807689189155089,"pos","no","SHH"
"106","JAM2","SHH",0.855556794232533,0.855556794232533,"pos","no","SHH"
"107","AFF2","SHH",0.889503385972626,0.889503385972626,"pos","no","SHH"
"108","SSBP3","SHH",0.877142304308322,0.877142304308322,"pos","no","SHH"
"109","DPYSL5","SHH",0.808276899900892,0.808276899900892,"pos","no","SHH"
"110","COLEC12","SHH",0.868477882391437,0.868477882391437,"pos","no","SHH"
"111","AUTS2","SHH",0.932732485204683,0.932732485204683,"pos","no","SHH"
"112","TFF3","SHH",0.813738186815269,0.813738186815269,"pos","no","SHH"
"113","SRSF2","SHH",0.807295971271176,0.807295971271176,"pos","no","SHH"
"114","ELAVL4","SHH",0.815776675998616,0.815776675998616,"pos","no","SHH"
"115","CAMK2N1","SHH",0.897881148416139,0.897881148416139,"pos","no","SHH"
"116","NTNG1","SHH",0.805295516794325,0.805295516794325,"pos","no","SHH"
"117","EXTL2","SHH",0.832769482434085,0.832769482434085,"pos","no","SHH"
"118","FRZB","SHH",0.936680706969824,0.936680706969824,"pos","no","SHH"
"119","SERPINI1","SHH",0.800782416359045,0.800782416359045,"pos","no","SHH"
"120","PPM1L","SHH",0.888241039810964,0.888241039810964,"pos","no","SHH"
"121","CADPS","SHH",0.830244654992951,0.830244654992951,"pos","no","SHH"
"122","GRIK3","SHH",0.910247239394009,0.910247239394009,"pos","no","SHH"
"123","HHIP","SHH",0.846681809100857,0.846681809100857,"pos","no","SHH"
"124","FABP5","SHH",0.852168295696368,0.852168295696368,"pos","no","SHH"
"125","SHH","ARMC3",0.819734812148114,0.819734812148114,"pos","SHH","no"
"126","SHH","CYYR1",0.845306061184936,0.845306061184936,"pos","SHH","no"
"127","SHH","PRTG",0.861753634494363,0.861753634494363,"pos","SHH","no"
"128","SHH","PRRX2",0.862850040035439,0.862850040035439,"pos","SHH","no"
"129","SHH","IRS1",0.867100005356533,0.867100005356533,"pos","SHH","no"
"130","SHH","CXCL10",0.852886283695667,0.852886283695667,"pos","SHH","no"
"131","SHH","ZEB2",0.837947456937474,0.837947456937474,"pos","SHH","no"
"132","SHH","LDB2",0.885062165808397,0.885062165808397,"pos","SHH","no"
"133","SHH","CTNND2",0.855151963171392,0.855151963171392,"pos","SHH","no"
"134","SHH","RNF150",0.815504726331278,0.815504726331278,"pos","SHH","no"
"135","SHH","FAM161A",0.818776929938277,0.818776929938277,"pos","SHH","no"
"136","SHH","KRT4",0.856844560956776,0.856844560956776,"pos","SHH","no"
"137","SHH","PDGFD",0.853296033017839,0.853296033017839,"pos","SHH","no"
"138","SHH","LRRN3",0.872613377241245,0.872613377241245,"pos","SHH","no"
"139","SHH","IGDCC3",0.904394610422711,0.904394610422711,"pos","SHH","no"
"140","SHH","MARCKSL1",0.843340980445428,0.843340980445428,"pos","SHH","no"
"141","SHH","MLF1",0.858768254148101,0.858768254148101,"pos","SHH","no"
"142","SHH","TMTC2",0.842296273460536,0.842296273460536,"pos","SHH","no"
"143","SHH","HTR1D",0.84132015088882,0.84132015088882,"pos","SHH","no"
"144","SHH","ZNF594",0.847755807823722,0.847755807823722,"pos","SHH","no"
"145","SHH","RGMA",0.886030796457962,0.886030796457962,"pos","SHH","no"
"146","SHH","TSHZ2",0.826326984951479,0.826326984951479,"pos","SHH","no"
"147","SHH","MXRA7",0.818955882066376,0.818955882066376,"pos","SHH","no"
"148","SHH","ANXA2",0.850378902729065,0.850378902729065,"pos","SHH","no"
"149","SHH","SLC8A1",0.832484858588177,0.832484858588177,"pos","SHH","no"
"150","SHH","OPCML",0.813786025154914,0.813786025154914,"pos","SHH","no"
"151","SHH","CFAP91",0.823887315892611,0.823887315892611,"pos","SHH","no"
"152","SHH","NRBP2",0.857160744292679,0.857160744292679,"pos","SHH","no"
"153","SHH","PBX1",0.866060934684335,0.866060934684335,"pos","SHH","no"
"154","SHH","PTCH1",0.858277355933641,0.858277355933641,"pos","SHH","known"
"155","SHH","DLEU7",0.833932223285531,0.833932223285531,"pos","SHH","no"
"156","SHH","RXRA",0.822136875967582,0.822136875967582,"pos","SHH","no"
"157","SHH","CCDC30",0.80008885545061,0.80008885545061,"pos","SHH","no"
"158","SHH","SEPTIN10",0.880467967973972,0.880467967973972,"pos","SHH","no"
"159","SHH","MPPED1",0.837870625012933,0.837870625012933,"pos","SHH","no"
"160","SHH","PPARA",0.805093227193627,0.805093227193627,"pos","SHH","no"
"161","SHH","SLIT1",0.971570995836144,0.971570995836144,"pos","SHH","no"
"162","SHH","DCC",0.808910112410725,0.808910112410725,"pos","SHH","no"
"163","SHH","TET3",0.830453215865254,0.830453215865254,"pos","SHH","no"
"164","SHH","PNRC2",0.90126828437301,0.90126828437301,"pos","SHH","no"
"165","SHH","SPTSSB",0.815457893864663,0.815457893864663,"pos","SHH","no"
"166","SHH","SULF2",0.83496430393259,0.83496430393259,"pos","SHH","no"
"167","SHH","SOWAHC",0.861932088293334,0.861932088293334,"pos","SHH","no"
"168","SHH","CALM1",0.888602205587578,0.888602205587578,"pos","SHH","no"
"169","SHH","PPP1R14C",0.937524629344855,0.937524629344855,"pos","SHH","no"
"170","SHH","CIPC",0.807222806704666,0.807222806704666,"pos","SHH","no"
"171","SHH","BMPR2",0.860090597013474,0.860090597013474,"pos","SHH","no"
