gene1,gene2,score,SHH_cor
AARS1,XBP1,0.432,FALSE
AARS1,ME3,0.41,FALSE
AARS1,SLC3A2,0.533,FALSE
ACKR3,CXCL10,0.863,TRUE
ACTN3,VCL,0.536,FALSE
ACTN3,TPM1,0.681,FALSE
ACTN3,TNNT1,0.771,FALSE
ADAMTS9,FGFR2,0.512,FALSE
ADAMTS9,ROBO1,0.421,FALSE
ADAMTS9,TCF7L2,0.569,FALSE
ADD3,SOWAHC,0.406,FALSE
ADD3,MARCKSL1,0.463,FALSE
ADGRL1,GNG11,0.469,FALSE
ADGRL1,SLIT1,0.568,FALSE
ADGRL1,LRIG1,0.515,FALSE
ADGRL1,FN1,0.503,FALSE
ADGRL1,CNTN6,0.53,FALSE
ADGRL1,TPBG,0.534,FALSE
ADGRL1,SLIT2,0.551,FALSE
ADGRL1,LRRN3,0.553,FALSE
ADGRL1,TENM1,0.986,FALSE
AFF2,CUL4B,0.413,TRUE
AFF2,TENM1,0.538,TRUE
AGO1,DDB2,0.732,TRUE
AGO1,CDK6,0.693,TRUE
AGO1,SOX2,0.682,TRUE
AGO1,FOXO3,0.503,TRUE
AGO1,ARL4C,0.502,TRUE
AGO1,HNRNPU,0.577,TRUE
ANXA2,LGALS1,0.766,TRUE
ANXA2,LGALS3,0.832,TRUE
ANXA2,FGF2,0.539,TRUE
ANXA2,EGF,0.613,TRUE
ANXA2,FABP5,0.447,TRUE
ANXA2,SOX2,0.425,TRUE
ANXA2,CTNNB1,0.428,TRUE
ANXA2,MVP,0.431,TRUE
ANXA2,ARF1,0.506,TRUE
ANXA2,DSP,0.511,TRUE
ANXA2,SERPINH1,0.616,TRUE
ANXA2,FN1,0.723,TRUE
AP1S2,FTL,0.536,FALSE
AP1S2,ARF1,0.596,FALSE
APC,SFRP1,0.428,TRUE
APC,TLE4,0.523,TRUE
APC,REEP1,0.523,TRUE
APC,CDH11,0.572,TRUE
APC,WNT1,0.76,TRUE
APC,TCF7L2,0.814,TRUE
APC,CTNNBIP1,0.951,TRUE
APC,CTNNB1,0.999,TRUE
ARCN1,LMAN1,0.468,FALSE
ARCN1,KDELR2,0.711,FALSE
ARCN1,SURF4,0.659,FALSE
ARCN1,RAB1A,0.706,FALSE
ARCN1,ARF4,0.75,FALSE
ARCN1,ARF1,0.816,FALSE
ARCN1,COPB2,0.999,FALSE
ARF1,LMAN1,0.696,FALSE
ARF1,KDELR2,0.611,FALSE
ARF1,ARCN1,0.816,FALSE
ARF1,ARF4,0.856,FALSE
ARF1,COPB2,0.818,FALSE
ARF1,ANXA2,0.506,FALSE
ARF1,KIF21A,0.545,FALSE
ARF1,RRAGD,0.403,FALSE
ARF1,SURF4,0.643,FALSE
ARF1,CADPS,0.434,FALSE
ARF1,RAB1A,0.754,FALSE
ARF1,AP1S2,0.596,FALSE
ARF4,KDELR2,0.778,FALSE
ARF4,ARCN1,0.75,FALSE
ARF4,KIF21A,0.514,FALSE
ARF4,SERPINH1,0.617,FALSE
ARF4,SURF4,0.674,FALSE
ARF4,RAB1A,0.76,FALSE
ARF4,COPB2,0.807,FALSE
ARF4,ARF1,0.856,FALSE
ARL4C,AGO1,0.502,FALSE
ARX,RIPPLY3,0.423,TRUE
ARX,ZIC2,0.537,TRUE
ARX,DCX,0.562,TRUE
ASS1,GFPT1,0.4,FALSE
ASS1,RRAGD,0.404,FALSE
ASS1,SAT1,0.416,FALSE
ASS1,BCAT1,0.531,FALSE
ATL2,REEP1,0.95,FALSE
ATP2B1,CALM1,0.63,FALSE
ATP2B1,ATP2C2,0.634,FALSE
ATP2C2,COL4A2,0.412,TRUE
ATP2C2,ATP2B1,0.634,TRUE
ATP2C2,ROBO1,0.469,TRUE
AUTS2,GADD45G,0.401,TRUE
BCAT1,MSI2,0.628,FALSE
BCAT1,ASS1,0.531,FALSE
BCAT1,CTNNB1,0.405,FALSE
BCL2L11,XBP1,0.689,FALSE
BCL2L11,EGF,0.445,FALSE
BCL2L11,CDK6,0.447,FALSE
BCL2L11,EDNRA,0.609,FALSE
BCL2L11,FOXO3,0.984,FALSE
BCL2L11,BMF,0.901,FALSE
BCL2L11,QKI,0.541,FALSE
BCL2L11,GADD45A,0.58,FALSE
BCL2L11,CALM1,0.432,FALSE
BCL2L11,IGF1R,0.447,FALSE
BCL2L11,CTNNB1,0.525,FALSE
BCL2L11,CDKN1A,0.726,FALSE
BEGAIN,DLK1,0.607,FALSE
BEGAIN,DIO3,0.432,FALSE
BEGAIN,RTL1,0.602,FALSE
BMF,BCL2L11,0.901,TRUE
BMP4,SFRP1,0.512,NA
BMP4,GLI1,0.644,NA
BMP4,ID2,0.536,NA
BMP4,ZIC2,0.402,NA
BMP4,NKX2-2,0.405,NA
BMP4,VAX1,0.407,NA
BMP4,FOXA1,0.425,NA
BMP4,FRZB,0.443,NA
BMP4,FGFR3,0.449,NA
BMP4,COL1A2,0.45,NA
BMP4,DIO3,0.456,NA
BMP4,IGF1R,0.469,NA
BMP4,WNT5B,0.48,NA
BMP4,SIX3,0.483,NA
BMP4,FOXG1,0.494,NA
BMP4,LRP4,0.496,NA
BMP4,ZNF521,0.504,NA
BMP4,GJA1,0.505,NA
BMP4,FBN2,0.506,NA
BMP4,LHX2,0.507,NA
BMP4,NKX2-1,0.518,NA
BMP4,COL2A1,0.531,NA
BMP4,GLI2,0.548,NA
BMP4,GLI3,0.55,NA
BMP4,NTRK2,0.556,NA
BMP4,JAG1,0.571,NA
BMP4,SOX1,0.576,NA
BMP4,WNT1,0.595,NA
BMP4,OTX2,0.635,NA
BMP4,RGMA,0.666,NA
BMP4,NES,0.667,NA
BMP4,FOXA2,0.668,NA
BMP4,PAX6,0.672,NA
BMP4,EGF,0.689,NA
BMP4,FGFR2,0.693,NA
BMP4,PTCH1,0.698,NA
BMP4,FN1,0.715,NA
BMP4,SOX2,0.745,NA
BMP4,PITX2,0.756,NA
BMP4,CTNNB1,0.809,NA
BMP4,FGF8,0.87,NA
BMP4,FGF2,0.873,NA
BMP4,NBL1,0.92,NA
BMP4,SHH,0.922,NA
BMP4,BMP7,0.978,NA
BMP4,BMPR2,0.999,NA
BMP7,SFRP1,0.406,TRUE
BMP7,GLI1,0.487,TRUE
BMP7,ID2,0.466,TRUE
BMP7,BMP4,0.978,TRUE
BMP7,JAG1,0.42,TRUE
BMP7,FGF2,0.786,TRUE
BMP7,EGF,0.667,TRUE
BMP7,PRDM16,0.783,TRUE
BMP7,NBL1,0.916,TRUE
BMP7,WNT1,0.444,TRUE
BMP7,SHH,0.777,TRUE
BMP7,FGF8,0.635,TRUE
BMP7,SOX2,0.542,TRUE
BMP7,PTCH1,0.416,TRUE
BMP7,FN1,0.728,TRUE
BMP7,COL4A2,0.519,TRUE
BMP7,LHX2,0.437,TRUE
BMP7,BMPR2,0.999,TRUE
BMP7,COL2A1,0.514,TRUE
BMP7,WNT5B,0.402,TRUE
BMP7,GLI3,0.416,TRUE
BMP7,PITX2,0.44,TRUE
BMP7,GLI2,0.441,TRUE
BMP7,PAX6,0.441,TRUE
BMP7,FBN2,0.606,TRUE
BMP7,FGFR2,0.658,TRUE
BMP7,CTNNB1,0.723,TRUE
BMPR2,BMP4,0.999,TRUE
BMPR2,FGF2,0.434,TRUE
BMPR2,PAWR,0.43,TRUE
BMPR2,FN1,0.706,TRUE
BMPR2,NES,0.428,TRUE
BMPR2,CTNNB1,0.463,TRUE
BMPR2,BMP7,0.999,TRUE
C1GALT1,MAN2A1,0.516,FALSE
CADPS,IGDCC3,0.57,TRUE
CADPS,ARF1,0.434,TRUE
CALM1,VCL,0.558,TRUE
CALM1,RASGRF2,0.419,TRUE
CALM1,FRZB,0.495,TRUE
CALM1,ITGB5,0.508,TRUE
CALM1,TPM1,0.656,TRUE
CALM1,MYLK,0.992,TRUE
CALM1,QKI,0.411,TRUE
CALM1,GRIK3,0.566,TRUE
CALM1,LPAR1,0.51,TRUE
CALM1,COL2A1,0.44,TRUE
CALM1,BCL2L11,0.432,TRUE
CALM1,ITGA6,0.585,TRUE
CALM1,ATP2B1,0.63,TRUE
CALM1,GRIA1,0.542,TRUE
CAPN6,DCX,0.56,TRUE
CCNG1,DDB2,0.463,FALSE
CCNG1,CDK6,0.644,FALSE
CCNG1,PLK2,0.554,FALSE
CCNG1,ZMAT3,0.57,FALSE
CCNG1,IGF1R,0.445,FALSE
CCNG1,GADD45A,0.597,FALSE
CCNG1,CDKN1A,0.618,FALSE
CDH11,VCL,0.603,FALSE
CDH11,APC,0.572,FALSE
CDH11,COL11A1,0.455,FALSE
CDH11,CTNND2,0.459,FALSE
CDH11,GJA1,0.507,FALSE
CDH11,DSP,0.516,FALSE
CDH11,FN1,0.664,FALSE
CDH11,COL1A2,0.693,FALSE
CDH11,CTNNB1,0.993,FALSE
CDK6,JAG1,0.4,TRUE
CDK6,EGF,0.462,TRUE
CDK6,SHH,0.4,TRUE
CDK6,BCL2L11,0.447,TRUE
CDK6,SOX2,0.474,TRUE
CDK6,PLK2,0.491,TRUE
CDK6,GADD45A,0.612,TRUE
CDK6,CCNG1,0.644,TRUE
CDK6,AGO1,0.693,TRUE
CDK6,CTNNB1,0.752,TRUE
CDK6,FOXO3,0.802,TRUE
CDK6,CDKN1A,0.999,TRUE
CDKN1A,ID2,0.541,FALSE
CDKN1A,GADD45G,0.729,FALSE
CDKN1A,JAG1,0.454,FALSE
CDKN1A,DDB2,0.702,FALSE
CDKN1A,PSMB7,0.438,FALSE
CDKN1A,FGF2,0.446,FALSE
CDKN1A,EGF,0.57,FALSE
CDKN1A,CDK6,0.999,FALSE
CDKN1A,PLK2,0.4,FALSE
CDKN1A,GJA1,0.43,FALSE
CDKN1A,MSI2,0.514,FALSE
CDKN1A,SHH,0.443,FALSE
CDKN1A,ZMAT3,0.687,FALSE
CDKN1A,SOX2,0.52,FALSE
CDKN1A,FOXO3,0.995,FALSE
CDKN1A,CCNG1,0.618,FALSE
CDKN1A,FN1,0.462,FALSE
CDKN1A,RHOU,0.455,FALSE
CDKN1A,GADD45A,0.974,FALSE
CDKN1A,IGFBP3,0.489,FALSE
CDKN1A,BCL2L11,0.726,FALSE
CDKN1A,SEM1,0.4,FALSE
CDKN1A,IGF1R,0.51,FALSE
CDKN1A,CTNNB1,0.625,FALSE
CDON,GLI1,0.552,FALSE
CDON,SIX3,0.457,FALSE
CDON,HHIP,0.592,FALSE
CDON,SHH,0.999,FALSE
CDON,GAS1,0.995,FALSE
CDON,PTCH1,0.998,FALSE
CDON,FN1,0.551,FALSE
CDON,ZIC2,0.464,FALSE
CDON,GLI3,0.526,FALSE
CDON,GLI2,0.623,FALSE
CDON,CTNNB1,0.677,FALSE
CDON,TNNT1,0.772,FALSE
CLDN3,JAM2,0.445,FALSE
CLDN3,CTNNB1,0.543,FALSE
CLU,LGALS3,0.626,FALSE
CLU,SERPINF1,0.658,FALSE
CLU,EGF,0.407,FALSE
