gene1,gene2,combined_score,type,known,degree,betweenness
AARS1,XBP1,0.432,negative,unknown,8,372.464833571594
AARS1,ME3,0.41,negative,unknown,8,372.464833571594
AARS1,NMD3,0.512,negative,unknown,8,372.464833571594
AARS1,SLC3A2,0.533,negative,unknown,8,372.464833571594
ABCA1,APOA1,0.999,positive,unknown,26,1228.18760209473
ABCA1,CELSR2,0.546,positive,unknown,26,1228.18760209473
ABCA1,MERTK,0.47,positive,unknown,26,1228.18760209473
ABCA1,TRIB1,0.408,positive,unknown,26,1228.18760209473
ABCA1,HADHB,0.48,positive,unknown,26,1228.18760209473
ABCA1,TNRC6C,0.512,positive,unknown,26,1228.18760209473
ABCA1,INSIG1,0.696,positive,unknown,26,1228.18760209473
ABCA1,DHCR7,0.479,positive,unknown,26,1228.18760209473
ABCA1,DMD,0.567,positive,unknown,26,1228.18760209473
ABCA1,FDFT1,0.477,positive,unknown,26,1228.18760209473
ABCA1,TNRC6B,0.521,positive,unknown,26,1228.18760209473
ABCA1,MTTP,0.566,positive,unknown,26,1228.18760209473
ABCA1,RXRA,0.916,positive,unknown,26,1228.18760209473
ACKR3,CXCR4,0.996,positive,unknown,2,0
ACTN3,VCL,0.536,negative,unknown,10,14.2200548408734
ACTN3,CASQ2,0.412,negative,unknown,10,14.2200548408734
ACTN3,PDLIM3,0.446,negative,unknown,10,14.2200548408734
ACTN3,MYL11,0.784,negative,unknown,10,14.2200548408734
ACTN3,TPM1,0.681,negative,unknown,10,14.2200548408734
ACVR2B,SMAD7,0.829,positive,unknown,14,56.2601902179195
ACVR2B,LRIG1,0.598,positive,unknown,14,56.2601902179195
ACVR2B,GJA1,0.703,positive,unknown,14,56.2601902179195
ACVR2B,ZIC3,0.909,positive,unknown,14,56.2601902179195
ACVR2B,BMP1,0.439,positive,unknown,14,56.2601902179195
ACVR2B,BMPR2,0.951,positive,unknown,14,56.2601902179195
ACVR2B,TGFBR1,0.999,positive,unknown,14,56.2601902179195
ADD3,BAIAP2L1,0.432,negative,unknown,16,253.796690826111
ADD3,APOA1,0.443,negative,unknown,16,253.796690826111
ADD3,TMOD2,0.937,negative,unknown,16,253.796690826111
ADD3,STOM,0.561,negative,unknown,16,253.796690826111
ADD3,BASP1,0.41,negative,unknown,16,253.796690826111
ADD3,EFHD2,0.4,negative,unknown,16,253.796690826111
ADD3,SOWAHC,0.406,negative,unknown,16,253.796690826111
ADD3,MSN,0.501,negative,unknown,16,253.796690826111
ADRA2B,GNG11,0.541,negative,unknown,4,0
ADRA2B,RGS16,0.504,negative,unknown,4,0
AEN,PLK2,0.429,negative,unknown,2,0
AFF2,NLGN3,0.439,positive,unknown,4,42.5579181375414
AFF2,CUL4B,0.413,positive,unknown,4,42.5579181375414
AHCYL1,SOX2,0.51,negative,unknown,6,292.096236866393
AHCYL1,HADHB,0.411,negative,unknown,6,292.096236866393
AHCYL1,PRDX6,0.444,negative,unknown,6,292.096236866393
AK3,PDE4D,0.91,positive,unknown,2,0
ALDH7A1,HIBADH,0.927,positive,unknown,4,58.283257664303
ALDH7A1,PDE4D,0.91,positive,unknown,4,58.283257664303
ANGPTL2,MYLK,0.486,positive,unknown,4,26.6030161120455
ANGPTL2,CXCR4,0.561,positive,unknown,4,26.6030161120455
ANXA3,FRMD3,0.476,negative,unknown,4,367
ANXA3,ANXA5,0.485,negative,unknown,4,367
ANXA5,VCL,0.685,negative,unknown,40,2026.72488034401
ANXA5,LGALS1,0.689,negative,unknown,40,2026.72488034401
ANXA5,XBP1,0.539,negative,unknown,40,2026.72488034401
ANXA5,HSPB1,0.51,negative,unknown,40,2026.72488034401
ANXA5,LGALS3,0.477,negative,unknown,40,2026.72488034401
ANXA5,FGF2,0.607,negative,unknown,40,2026.72488034401
ANXA5,ANXA3,0.485,negative,unknown,40,2026.72488034401
ANXA5,EGF,0.659,negative,unknown,40,2026.72488034401
ANXA5,KIT,0.654,negative,unknown,40,2026.72488034401
ANXA5,ATP1A2,0.42,negative,unknown,40,2026.72488034401
ANXA5,NES,0.428,negative,unknown,40,2026.72488034401
ANXA5,GADD45A,0.439,negative,unknown,40,2026.72488034401
ANXA5,FOXO1,0.465,negative,unknown,40,2026.72488034401
ANXA5,NCAM1,0.479,negative,unknown,40,2026.72488034401
ANXA5,IGF1R,0.509,negative,unknown,40,2026.72488034401
ANXA5,FOXO3,0.523,negative,unknown,40,2026.72488034401
ANXA5,RUNX2,0.523,negative,unknown,40,2026.72488034401
ANXA5,CXCR4,0.541,negative,unknown,40,2026.72488034401
ANXA5,SOX2,0.635,negative,unknown,40,2026.72488034401
ANXA5,BCL2L11,0.712,negative,unknown,40,2026.72488034401
AP1S2,NCALD,0.548,negative,unknown,2,0
APC,SFRP1,0.428,positive,unknown,16,559.819167362974
APC,ZNF106,0.436,positive,unknown,16,559.819167362974
APC,UBC,0.516,positive,unknown,16,559.819167362974
APC,TLE2,0.526,positive,unknown,16,559.819167362974
APC,CDH6,0.552,positive,unknown,16,559.819167362974
APC,CDH7,0.555,positive,unknown,16,559.819167362974
APC,CDH11,0.572,positive,unknown,16,559.819167362974
APC,CTNNBIP1,0.951,positive,unknown,16,559.819167362974
APLP2,CNTN6,0.491,negative,unknown,4,20.4515185006564
APLP2,SPON1,0.721,negative,unknown,4,20.4515185006564
APOA1,SCG3,0.459,positive,unknown,18,953.462150337378
APOA1,TRIB1,0.404,positive,unknown,18,953.462150337378
APOA1,ADD3,0.443,positive,unknown,18,953.462150337378
APOA1,LGALS3,0.526,positive,unknown,18,953.462150337378
APOA1,RXRA,0.567,positive,unknown,18,953.462150337378
APOA1,NCAM1,0.612,positive,unknown,18,953.462150337378
APOA1,BMP1,0.797,positive,unknown,18,953.462150337378
APOA1,MTTP,0.899,positive,unknown,18,953.462150337378
APOA1,ABCA1,0.999,positive,unknown,18,953.462150337378
ARHGAP29,VAX1,0.505,negative,unknown,2,0
ARL4C,TNRC6C,0.529,negative,unknown,8,367
ARL4C,FRMD4A,0.437,negative,unknown,8,367
ARL4C,TNRC6B,0.509,negative,unknown,8,367
ARL4C,RXRA,0.516,negative,unknown,8,367
ASCL1,GLI1,0.537,positive,unknown,50,797.841268771586
ASCL1,ID2,0.666,positive,unknown,50,797.841268771586
ASCL1,VGF,0.56,positive,unknown,50,797.841268771586
ASCL1,NOTCH2,0.436,positive,unknown,50,797.841268771586
ASCL1,FGF2,0.51,positive,unknown,50,797.841268771586
ASCL1,EGF,0.441,positive,unknown,50,797.841268771586
ASCL1,GLI2,0.404,positive,unknown,50,797.841268771586
ASCL1,NTRK2,0.41,positive,unknown,50,797.841268771586
