"","x"
"1","ARX"
"2","ITGA3"
"3","TMEM98"
"4","PAX6"
"5","TENM1"
"6","MVP"
"7","GRAMD1B"
"8","SNAPC1"
"9","PLEKHO1"
"10","RRAGD"
"11","TMSB10"
"12","VCL"
"13","USP2"
"14","MYO16"
"15","TNC"
"16","ZIC2"
"17","CTNNA1"
"18","EPHA3"
"19","GPM6B"
"20","ADAMTS6"
"21","LTBP1"
"22","RCN1"
"23","HERPUD1"
"24","PLEKHA5"
"25","MSMO1"
"26","FOXN3"
"27","YBX3"
"28","COL11A1"
"29","BCAT1"
"30","ATP2C2"
"31","CDON"
"32","HIPK2"
"33","NTN1"
"34","MYLK"
"35","FGFR2"
"36","FGFR3"
"37","REEP1"
"38","LAPTM4A"
"39","RORA"
"40","DGCR2"
"41","ATP2B1"
"42","RPS6KA6"
"43","GLI2"
"44","MGLL"
"45","LMAN1"
"46","CAPN6"
"47","DCX"
"48","NAALAD2"
"49","RUNX1T1"
"50","FDFT1"
"51","EPB41L2"
"52","EPB41L3"
"53","SERTAD4"
"54","SEMA5B"
"55","ITGB5"
"56","FTL"
"57","GNPTG"
"58","EFNB1"
"59","AARS1"
"60","ITGA6"
"61","ZFHX4"
"62","CD200"
"63","AGO1"
"64","ARCN1"
"65","DSP"
"66","PCSK5"
"67","LGALS1"
"68","SEPTIN3"
"69","XBP1"
"70","TRIM9"
"71","DAAM1"
"72","EIF5"
"73","BMP7"
"74","PLCB4"
"75","JAG1"
"76","PGRMC1"
"77","SLC38A7"
"78","BMF"
"79","SFRP1"
"80","TLE6"
"81","TNNT1"
"82","CDK6"
"83","TFPI2"
"84","ITGB8"
"85","IQCE"
"86","PTPRZ1"
"87","C1GALT1"
"88","GLCCI1"
"89","GLI3"
"90","LHX2"
"91","TLE4"
"92","PLEKHA1"
"93","FBXW4"
"94","FGF8"
"95","SORCS1"
"96","ZMIZ1"
"97","KPNB1"
"98","NMU"
"99","KLHL5"
"100","CCDC34"
"101","GLI1"
"102","WNT5B"
"103","GOLT1B"
"104","ST8SIA1"
"105","RFX4"
"106","RSPH4A"
"107","ZNF451"
"108","PERP"
"109","ARFGEF3"
"110","QKI"
"111","MAN2A1"
"112","RASGRF2"
"113","CCNG1"
"114","ARRDC3"
"115","DPYSL3"
"116","FGF12"
"117","ECT2"
"118","FRMD4B"
"119","RTN4"
"120","ID2"
"121","QPCT"
"122","PLCL1"
"123","EPHA4"
"124","RHOU"
"125","C1orf21"
"126","GADD45A"
"127","WLS"
"128","NID1"
"129","SIPA1L2"
"130","KDM5B"
"131","PRDX6"
"132","TTR"
"133","C1orf54"
"134","PLAGL1"
"135","FOXO3"
"136","C1orf198"
"137","ATL2"
"138","LGALSL"
"139","CCDC170"
"140","CYSTM1"
"141","DNAJC15"
"142","SERP1"
"143","DUSP4"
"144","CLU"
"145","CRISPLD1"
"146","ECHDC2"
"147","PDZRN3"
"148","CXCR4"
"149","UBL3"
"150","COPA"
"151","ARL4A"
"152","PREX1"
"153","NCOA5"
"154","SRSF6"
"155","CDKN1A"
"156","MYRF"
"157","MT2A"
"158","BMP4"
"159","HS3ST3B1"
"160","FOXA2"
"161","NKX2-2"
"162","LAMP5"
"163","GNG11"
"164","SEM1"
"165","KRT17"
"166","VGF"
"167","PODXL"
"168","KLHDC10"
"169","FEZF1"
"170","TMOD2"
"171","MINDY2"
"172","CLN6"
"173","PALLD"
"174","FOXA1"
"175","SAT1"
"176","GADD45G"
"177","ASS1"
"178","LGALS3"
"179","SERPINF1"
"180","SEC61G"
"181","DDC"
"182","NES"
"183","IRS4"
"184","TMTC1"
"185","TEX15"
"186","SARAF"
"187","DPF2"
"188","VRTN"
"189","CNTN6"
"190","PTGFRN"
"191","SLC38A2"
"192","NAV1"
"193","RAX"
"194","SOX5"
"195","RERG"
"196","LRP4"
"197","DDB2"
"198","COL4A2"
"199","APC"
"200","RFK"
"201","EPHA7"
"202","LMO2"
"203","GLUL"
"204","LAMC1"
"205","USP44"
"206","RNASEH2B"
"207","SPRY2"
"208","KDELR2"
"209","NKX2-8"
"210","NKX2-1"
"211","PSMB7"
"212","RAB1A"
"213","COX17"
"214","RASGEF1B"
"215","FGF2"
"216","LARP1B"
"217","ANXA3"
"218","EGF"
"219","MTTP"
"220","FBN2"
"221","SHISAL1"
"222","KIF21A"
"223","PRICKLE1"
"224","SLC38A4"
"225","ASCL1"
"226","TMEM132B"
"227","ZIC5"
"228","TTC6"
"229","TCF12"
"230","TPM1"
"231","IGF1R"
"232","NKD1"
"233","CDH11"
"234","MYOCD"
"235","SGSM2"
"236","IFITM3"
"237","PRDM16"
"238","EPHA2"
"239","RGS16"
"240","ARF1"
"241","NXPH2"
"242","ZNF385B"
"243","FAM171B"
"244","METTL21A"
"245","ACKR3"
"246","ITGA9"
"247","PTPRG"
"248","IL17RD"
"249","LRIG1"
"250","PHLDB2"
"251","SLIT2"
"252","OCIAD2"
"253","MARCHF1"
"254","PLK2"
"255","SHISAL2B"
"256","IQGAP2"
"257","CXCL14"
"258","SCUBE3"
"259","TPBG"
"260","CREB5"
"261","IGFBP3"
"262","TMEM47"
"263","HTR2C"
"264","DOCK11"
"265","NTRK2"
"266","SURF4"
"267","NACC2"
"268","ADD3"
"269","VAX1"
"270","EIF4EBP2"
"271","TCF7L2"
"272","RGS10"
"273","PAMR1"
"274","SERPINH1"
"275","PRSS23"
"276","FREM2"
"277","SEC24D"
"278","UBC"
"279","MBIP"
"280","ME3"
"281","QDPR"
"282","ZNF827"
"283","EDNRA"
"284","GRIA4"
"285","SPEF2"
"286","GJA1"
"287","SREK1IP1"
"288","BCL2L11"
"289","HNRNPU"
"290","MSI2"
"291","PDLIM3"
"292","BTG3"
"293","JAM2"
"294","EPHB1"
"295","GRIA1"
"296","AFF2"
"297","TIAM1"
"298","RAB11FIP1"
"299","UNC5D"
"300","NRG1"
"301","SSBP3"
"302","DPYSL5"
"303","COLEC12"
"304","CUL4B"
"305","AUTS2"
"306","GDPD5"
"307","NBL1"
"308","TFF3"
"309","IER2"
"310","SRSF2"
"311","ZFPL1"
"312","ELAVL4"
"313","CAMK2N1"
"314","NTNG1"
"315","EXTL2"
"316","SLC66A3"
"317","FRZB"
"318","FZD5"
"319","SERPINI1"
"320","NUAK2"
"321","PPM1L"
"322","CADPS"
"323","GRIK3"
"324","SPRY1"
"325","HHIP"
"326","STARD4"
"327","PRRC1"
"328","ZNF12"
"329","SP8"
"330","FABP5"
"331","SHH"
"332","COL1A2"
"333","PDP1"
"334","ARMC3"
"335","OTX2"
"336","SMCO4"
"337","CYYR1"
"338","PRTG"
"339","PRRX2"
"340","ATCAY"
"341","TMEM68"
"342","SLC3A2"
"343","ARF4"
"344","IRS1"
"345","CXCL10"
"346","ZEB2"
"347","LDB2"
"348","NLGN1"
"349","ROBO1"
"350","CTNND2"
"351","RNF150"
"352","FAM161A"
"353","CRTAP"
"354","KRT4"
"355","PDGFD"
"356","HS6ST2"
"357","ENC1"
"358","VAT1L"
"359","ZMAT3"
"360","MIR4435-2HG"
"361","HPSE2"
"362","LRRN3"
"363","CHD2"
"364","IGDCC3"
"365","MARCKSL1"
"366","CSRP2"
"367","TMEM39A"
"368","NCKAP5"
"369","FZD8"
"370","PAWR"
"371","CASC2"
"372","MLF1"
"373","GALNT11"
"374","CTNNBIP1"
"375","PER1"
"376","TMTC2"
"377","FJX1"
"378","HTR1D"
"379","GAS1"
"380","ZNF594"
"381","AEN"
"382","SOX2"
"383","RGMA"
"384","UBE2E2"
"385","AP1S2"
"386","TSHZ2"
"387","MXRA7"
"388","ANXA2"
"389","SLC8A1"
"390","BEGAIN"
"391","RIPPLY3"
"392","OPCML"
"393","CFAP91"
"394","C1QTNF12"
"395","COPB2"
"396","NELL2"
"397","RPS27L"
"398","NRBP2"
"399","TCN2"
"400","DLK1"
"401","LSAMP"
"402","PBX1"
"403","POU3F1"
"404","PTCH1"
"405","IRS2"
"406","LEMD1"
"407","DLEU7"
"408","GABRA5"
"409","RXRA"
"410","CCDC30"
"411","SEPTIN10"
"412","MPPED1"
"413","PPARA"
"414","SLIT1"
"415","DCC"
