,Var1,Var2,value,abs_cor,link,knownV1,knownV2,degree
1,ZIC2,RPS6KA6,-0.955796401532676,0.955796401532676,neg,known,no,63
2,ZIC2,GLI2,0.917826498600923,0.917826498600923,pos,known,known,63
3,RPS6KA6,GLI2,-0.904396665008055,0.904396665008055,neg,no,known,66
4,ATP2B1,ZFHX4,0.918572724529409,0.918572724529409,pos,no,no,58
5,USP2,TRIM9,0.921737868464855,0.921737868464855,pos,no,no,64
6,GLI2,TRIM9,-0.917276407356717,0.917276407356717,neg,known,no,74
7,CAPN6,SFRP1,0.931406958435356,0.931406958435356,pos,no,no,55
8,PAX6,GLI3,0.901899472034991,0.901899472034991,pos,known,known,66
9,VCL,GLI3,0.910363526506021,0.910363526506021,pos,no,known,65
10,ZIC2,GLI3,0.93333187691959,0.93333187691959,pos,known,known,63
11,ATP2B1,GLI3,0.90890022181983,0.90890022181983,pos,no,known,58
12,RPS6KA6,GLI3,-0.911359511497536,0.911359511497536,neg,no,known,66
13,SFRP1,GLI3,-0.904376502450997,0.904376502450997,neg,no,known,60
14,ZIC2,QKI,-0.947762286694781,0.947762286694781,neg,known,no,63
15,GLI2,QKI,-0.904924189514979,0.904924189514979,neg,known,no,74
16,GLI3,EPHA4,0.905127900135098,0.905127900135098,pos,known,no,103
17,ZIC2,PRDX6,0.918634181256753,0.918634181256753,pos,known,no,63
18,RORA,PRDX6,-0.910299073176006,0.910299073176006,neg,no,no,59
19,SFRP1,PRDX6,-0.902879303270908,0.902879303270908,neg,no,no,60
20,GLI3,PRDX6,0.917207071396387,0.917207071396387,pos,known,no,103
21,QKI,PRDX6,-0.923260205711509,0.923260205711509,neg,no,no,67
22,VCL,PDZRN3,-0.903152322597427,0.903152322597427,neg,no,no,65
23,ZIC2,MYRF,-0.910290093333244,0.910290093333244,neg,known,no,63
24,RPS6KA6,MYRF,0.934389979877048,0.934389979877048,pos,no,no,66
25,GLI3,MYRF,-0.917614030099655,0.917614030099655,neg,known,no,103
26,PDZRN3,MYRF,0.907509124630437,0.907509124630437,pos,no,no,54
27,ZIC2,FOXA2,-0.915646275876287,0.915646275876287,neg,known,known,63
28,RORA,FOXA2,0.935419944647665,0.935419944647665,pos,no,known,59
29,ATP2B1,FOXA2,-0.946768294824254,0.946768294824254,neg,no,known,58
30,CAPN6,FOXA2,0.929356385078273,0.929356385078273,pos,no,known,55
31,ZFHX4,FOXA2,-0.92172644183225,0.92172644183225,neg,no,known,62
32,SFRP1,FOXA2,0.943164126882577,0.943164126882577,pos,no,known,60
33,GLI3,FOXA2,-0.93814278132846,0.93814278132846,neg,known,known,103
34,PRDX6,FOXA2,-0.954146612899532,0.954146612899532,neg,no,known,91
35,VCL,NKX2-2,-0.909733664046041,0.909733664046041,neg,no,no,65
36,ZIC2,NKX2-2,-0.92749389366591,0.92749389366591,neg,known,no,63
37,ATP2B1,NKX2-2,-0.921679364538459,0.921679364538459,neg,no,no,58
38,ZFHX4,NKX2-2,-0.904010089097388,0.904010089097388,neg,no,no,62
39,GLI3,NKX2-2,-0.952098552533666,0.952098552533666,neg,known,no,103
40,QKI,NKX2-2,0.908038854269836,0.908038854269836,pos,no,no,67
41,PRDX6,NKX2-2,-0.949235004928031,0.949235004928031,neg,no,no,91
42,FOXA2,NKX2-2,0.960005923204352,0.960005923204352,pos,known,no,113
43,ATP2B1,PALLD,0.9227512788008,0.9227512788008,pos,no,no,58
44,GLI3,PALLD,0.90562264234938,0.90562264234938,pos,known,no,103
45,PRDX6,PALLD,0.9011348222305,0.9011348222305,pos,no,no,91
