"","Var1","Var2","value","link","degree"
"1","ZIC2","PCSK5",0.964016411819751,"pos",11
"2","LTBP1","PTPRZ1",0.963245127055916,"pos",4
"3","LTBP1","LHX2",0.95787938262796,"pos",4
"4","COL11A1","LHX2",0.954758741724511,"pos",2
"5","PTPRZ1","LHX2",0.951368165494406,"pos",4
"6","GLI3","LHX2",0.952593068440395,"pos",3
"7","ZIC2","WNT5B",0.953157422150762,"pos",11
"8","ARX","RFX4",0.957935143944288,"pos",2
"9","LMAN1","DPYSL3",0.950263936397192,"pos",4
"10","FGFR3","FOXA2",0.951270733620312,"pos",2
"11","PLAGL1","FOXA2",0.953623198441496,"pos",2
"12","FOXA2","NKX2-2",0.960005923204352,"pos",5
"13","LHX2","GNG11",0.955019017871994,"pos",8
"14","ZIC2","FEZF1",0.957306074652921,"pos",11
"15","DSP","FEZF1",0.950971485329263,"pos",1
"16","LMAN1","SAT1",0.967312438883761,"pos",4
"17","ARCN1","SAT1",0.950646123153444,"pos",1
"18","DPYSL3","SAT1",0.958635899560768,"pos",2
"19","CDKN1A","SAT1",0.956354204310517,"pos",1
"20","GLI3","NAV1",0.955000945445472,"pos",3
"21","PRDX6","NAV1",0.951448121522256,"pos",2
"22","SAT1","DDB2",0.959486859110865,"pos",11
"23","PTPRZ1","SPRY2",0.950319207213304,"pos",4
"24","QKI","NKX2-1",0.956521956943306,"pos",1
"25","LHX2","TMEM132B",0.950000804090303,"pos",8
"26","ZIC2","ZIC5",0.97239367417885,"pos",11
"27","FOXA1","TTC6",0.967034858576562,"pos",2
"28","LMAN1","EPHA2",0.955784016036464,"pos",4
"29","COL11A1","ZNF385B",0.965865050834768,"pos",2
"30","BCAT1","ZNF385B",0.960965389257542,"pos",1
"31","LHX2","ZNF385B",0.963812018722959,"pos",8
"32","PLEKHA1","ZNF385B",0.951140102823746,"pos",1
"33","WLS","SLIT2",0.950202982884573,"pos",1
"34","FEZF1","TPBG",0.960247052378292,"pos",4
"35","SPRY2","IGFBP3",0.962048488501389,"pos",3
"36","IL17RD","IGFBP3",0.971002755465528,"pos",4
"37","DDC","NTRK2",0.954312542092974,"pos",1
"38","ZIC2","PRSS23",0.970552965543767,"pos",11
"39","WNT5B","PRSS23",0.958180924868712,"pos",2
"40","PRDX6","PRSS23",0.952095717850605,"pos",2
"41","FEZF1","PRSS23",0.97109810555072,"pos",4
"42","SAT1","SEC24D",0.962284476403188,"pos",11
"43","TPBG","GJA1",0.950724274792573,"pos",2
"44","SAT1","SREK1IP1",0.958867953964662,"pos",11
"45","PRDM16","MSI2",0.953625696488327,"pos",1
"46","GADD45A","BTG3",0.950873384068892,"pos",1
"47","NAV1","GRIA1",0.95126319427495,"pos",4
"48","LTBP1","FZD5",0.963131352022105,"pos",4
"49","IL17RD","FZD5",0.959390846659103,"pos",4
"50","IGFBP3","FZD5",0.961148637941165,"pos",3
"51","NKX2-1","GRIK3",0.957456399064927,"pos",5
"52","ZIC2","SPRY1",0.96179072341855,"pos",11
"53","TMEM132B","SPRY1",0.952069385720815,"pos",2
"54","CNTN6","SHH",0.956604603482873,"pos",1
"55","NKX2-1","SHH",0.957652790551588,"pos",5
"56","SLIT2","SHH",0.959417809082551,"pos",2
"57","NTRK2","SHH",0.957692484624911,"pos",4
"58","GLI3","OTX2",0.952352936263544,"pos",3
"59","NAV1","OTX2",0.965784345479008,"pos",4
"60","SFRP1","PRTG",0.950147526023375,"pos",1
"61","FZD5","FZD8",0.953459969146628,"pos",7
"62","FGF8","PAWR",0.959193627439695,"pos",2
"63","SAT1","PAWR",0.951139608871261,"pos",11
"64","ZIC2","FJX1",0.955702411249322,"pos",11
"65","COL1A2","FJX1",0.963490692135266,"pos",1
"66","FGFR3","RGMA",0.954067877402256,"pos",2
"67","TRIM9","ANXA2",0.957964570203595,"pos",1
"68","ZIC2","BEGAIN",0.961500977871118,"pos",11
"69","PRSS23","BEGAIN",0.950799496266017,"pos",6
"70","LTBP1","DLK1",0.959855231914038,"pos",4
"71","LMAN1","DLK1",0.956157476905018,"pos",4
"72","PTPRZ1","DLK1",0.961096220092433,"pos",4
"73","SAT1","DLK1",0.951711546158464,"pos",11
"74","EPHA2","DLK1",0.955494936564835,"pos",2
"75","IL17RD","DLK1",0.952191170921693,"pos",4
"76","FZD5","DLK1",0.976467305986015,"pos",7
"77","TCF7L2","POU3F1",0.972021834732584,"pos",1
"78","PLAGL1","PTCH1",0.951212931701428,"pos",2
"79","FOXA2","PTCH1",0.979577733603624,"pos",5
"80","NKX2-2","PTCH1",0.967999905428565,"pos",3
"81","TNC","IRS2",0.951466108141215,"pos",1
"82","ZIC2","IRS2",0.977150464966776,"pos",11
"83","FGF8","IRS2",0.966002988814688,"pos",2
"84","SAT1","IRS2",0.971937770385649,"pos",11
"85","ZIC5","IRS2",0.965470341228298,"pos",3
"86","PAWR","IRS2",0.955341122332624,"pos",3
"87","FJX1","IRS2",0.961514845232465,"pos",4
"88","DLK1","IRS2",0.951980417064486,"pos",10
"89","LSAMP","IRS2",0.953882023208864,"pos",1
"90","ARX","SLIT1",0.961873360898653,"pos",2
"91","CRISPLD1","SLIT1",0.953006847053178,"pos",1
"92","NTRK2","SLIT1",0.952580430183146,"pos",4
"93","SHH","SLIT1",0.971570995836144,"pos",6
"94","ANXA2","SULF2",0.956949492547577,"pos",2
"95","ZIC2","LPAR1",0.979325341527125,"pos",11
"96","ZIC5","LPAR1",0.956934407482984,"pos",3
"97","PRSS23","LPAR1",0.955017369280133,"pos",6
"98","FJX1","LPAR1",0.960579426812602,"pos",4
"99","IRS2","LPAR1",0.954112995859297,"pos",11
"100","FOXA1","CALM1",0.96112524668345,"pos",2
"101","TTC6","CALM1",0.966827056938881,"pos",2
"102","ZIC2","SMOC1",0.958674337031126,"pos",11
"103","GLI2","SMOC1",0.954944611617271,"pos",1
"104","SAT1","SMOC1",0.952787566446657,"pos",11
"105","SREK1IP1","SMOC1",0.956988541798628,"pos",2
"106","FZD5","SMOC1",0.954079655254751,"pos",7
"107","SPRY1","SMOC1",0.952425011229554,"pos",3
"108","DLK1","SMOC1",0.975295337317205,"pos",10
"109","IRS2","SMOC1",0.964832977157475,"pos",11
"110","SPRY2","ETV5",0.950607559785083,"pos",3
"111","IL17RD","ETV5",0.952623318330061,"pos",4
"112","FZD5","ETV5",0.979619553607224,"pos",7
"113","DLK1","ETV5",0.977227867365031,"pos",10
"114","SMOC1","ETV5",0.954498584384363,"pos",9
"115","NKX2-1","NKX2-1-AS1",0.956346511771958,"pos",5
"116","LHX2","RTL1",0.96126651009891,"pos",8
"117","GNG11","RTL1",0.963250335592525,"pos",2
"118","FOXA2","LINC00261",0.959236668881028,"pos",5
"119","NKX2-2","LINC00261",0.951231599506413,"pos",3
"120","NKX2-1","LINC00261",0.953582915278075,"pos",5
"121","RPS6KA6","SPON1",0.953824999361057,"pos",1
"122","NTRK2","SPON1",0.972121593811744,"pos",4
"123","SHH","SPON1",0.961454424403077,"pos",6
"124","NKX2-1-AS1","SPON1",0.951091768759288,"pos",2
"125","LINC00261","SPON1",0.957402945574225,"pos",4
