,gene1,gene2,combined_score,type,known,degree,betweenness,isSHH
1,AARS1,XBP1,0.432,negative,unknown,3,372.464833571594,no
2,AARS1,ME3,0.41,negative,unknown,3,372.464833571594,no
3,AARS1,SLC3A2,0.533,negative,unknown,3,372.464833571594,no
4,ACTN3,VCL,0.536,negative,unknown,4,14.2200548408734,no
5,ACTN3,PDLIM3,0.446,negative,unknown,4,14.2200548408734,no
6,ACTN3,MYL11,0.784,negative,unknown,4,14.2200548408734,no
7,ACTN3,TPM1,0.681,negative,unknown,4,14.2200548408734,no
8,ADD3,BAIAP2L1,0.432,negative,unknown,2,253.796690826111,no
9,ADD3,MSN,0.501,negative,unknown,2,253.796690826111,no
10,ADRA2B,GNG11,0.541,negative,unknown,2,0,no
11,ADRA2B,RGS16,0.504,negative,unknown,2,0,no
12,AEN,PLK2,0.429,negative,unknown,1,0,no
13,AHCYL1,SOX2,0.51,negative,unknown,2,292.096236866393,no
14,AHCYL1,PRDX6,0.444,negative,unknown,2,292.096236866393,no
15,ANXA3,ANXA5,0.485,negative,unknown,1,367,no
16,ANXA5,VCL,0.685,negative,unknown,13,2026.72488034401,no
17,ANXA5,LGALS1,0.689,negative,unknown,13,2026.72488034401,no
18,ANXA5,XBP1,0.539,negative,unknown,13,2026.72488034401,no
19,ANXA5,HSPB1,0.51,negative,unknown,13,2026.72488034401,no
20,ANXA5,LGALS3,0.477,negative,unknown,13,2026.72488034401,no
21,ANXA5,FGF2,0.607,negative,unknown,13,2026.72488034401,no
22,ANXA5,ANXA3,0.485,negative,unknown,13,2026.72488034401,no
23,ANXA5,EGF,0.659,negative,unknown,13,2026.72488034401,no
24,ANXA5,ATP1A2,0.42,negative,unknown,13,2026.72488034401,no
25,ANXA5,GADD45A,0.439,negative,unknown,13,2026.72488034401,no
26,ANXA5,FOXO3,0.523,negative,unknown,13,2026.72488034401,no
27,ANXA5,SOX2,0.635,negative,unknown,13,2026.72488034401,no
28,ANXA5,BCL2L11,0.712,negative,unknown,13,2026.72488034401,no
29,AP1S2,NCALD,0.548,negative,unknown,1,0,no
30,ARHGAP29,VAX1,0.505,negative,unknown,1,0,no
31,ARL4C,TNRC6C,0.529,negative,unknown,2,367,no
32,ARL4C,FRMD4A,0.437,negative,unknown,2,367,no
33,ATL2,RRBP1,0.456,negative,unknown,1,29.4102942319034,no
34,ATP1A2,GJA1,0.541,negative,unknown,4,933.513737509261,no
35,ATP1A2,ATP1B3,0.978,negative,unknown,4,933.513737509261,no
36,ATP1A2,ANXA5,0.42,negative,unknown,4,933.513737509261,no
37,ATP1A2,NLGN1,0.528,negative,unknown,4,933.513737509261,no
38,ATP1B3,ATP2B1,0.405,negative,unknown,3,568.130144168224,no
39,ATP1B3,SLC1A5,0.523,negative,unknown,3,568.130144168224,no
40,ATP1B3,ATP1A2,0.978,negative,unknown,3,568.130144168224,no
41,ATP2B1,ATP1B3,0.405,negative,unknown,1,183.113884091807,no
42,ATP5F1E,ATP6V1B1,0.54,negative,unknown,2,14.5726910582431,no
43,ATP5F1E,COX17,0.6,negative,unknown,2,14.5726910582431,no
44,ATP6V1B1,VAX2,0.478,negative,unknown,3,369.362616957516,no
45,ATP6V1B1,ATP5F1E,0.54,negative,unknown,3,369.362616957516,no
46,ATP6V1B1,CA2,0.841,negative,unknown,3,369.362616957516,no
47,B3GALT1,GCNT2,0.417,negative,unknown,1,0,no
48,BAIAP2L1,EGF,0.429,negative,unknown,2,381.99874662951,no
49,BAIAP2L1,ADD3,0.432,negative,unknown,2,381.99874662951,no
50,BCAT1,HIBADH,0.574,negative,unknown,1,165.189341565619,no
51,BCL2L11,XBP1,0.689,negative,unknown,5,406.667956377643,no
52,BCL2L11,EGF,0.445,negative,unknown,5,406.667956377643,no
53,BCL2L11,ANXA5,0.712,negative,unknown,5,406.667956377643,no
54,BCL2L11,FOXO3,0.984,negative,unknown,5,406.667956377643,no
55,BCL2L11,GADD45A,0.58,negative,unknown,5,406.667956377643,no
56,BEGAIN,SGCE,0.401,negative,unknown,3,16.8591170323929,no
57,BEGAIN,DIO3,0.432,negative,unknown,3,16.8591170323929,no
58,BEGAIN,RTL1,0.602,negative,unknown,3,16.8591170323929,no
59,BET1,GRIA1,0.499,negative,unknown,7,29.5322488807846,no
60,BET1,GORASP2,0.67,negative,unknown,7,29.5322488807846,no
61,BET1,GOLGA2,0.753,negative,unknown,7,29.5322488807846,no
62,BET1,SEC23A,0.816,negative,unknown,7,29.5322488807846,no
63,BET1,RAB1A,0.884,negative,unknown,7,29.5322488807846,no
64,BET1,USO1,0.982,negative,unknown,7,29.5322488807846,no
65,BET1,SCFD1,0.999,negative,unknown,7,29.5322488807846,no
66,BHLHE41,DBP,0.552,negative,unknown,2,228.206060749396,no
67,BHLHE41,FOXO3,0.407,negative,unknown,2,228.206060749396,no
68,BOC,GLI2,0.495,negative,known,5,0,no
69,BOC,GLI3,0.544,negative,known,5,0,no
70,BOC,CDON,0.942,negative,known,5,0,no
71,BOC,GAS1,0.982,negative,known,5,0,no
72,BOC,SHH,0.996,negative,known,5,0,no
73,BTG2,GDF15,0.442,negative,unknown,6,1546.39408590737,no
74,BTG2,EGF,0.431,negative,unknown,6,1546.39408590737,no
75,BTG2,PLK2,0.416,negative,unknown,6,1546.39408590737,no
76,BTG2,TRIB1,0.481,negative,unknown,6,1546.39408590737,no
77,BTG2,IER2,0.636,negative,unknown,6,1546.39408590737,no
78,BTG2,GADD45A,0.714,negative,unknown,6,1546.39408590737,no
79,CA2,ATP6V1B1,0.841,negative,unknown,2,16.3273354698277,no
80,CA2,CA4,0.557,negative,unknown,2,16.3273354698277,no
81,CA4,CA2,0.557,negative,unknown,2,131.28347985348,no
82,CA4,MERTK,0.48,negative,unknown,2,131.28347985348,no
83,CD2AP,PDLIM3,0.568,negative,unknown,3,781.671730174237,no
