,gene1,gene2,combined_score,type,known,degree,betweenness,isSHH
1,ABCA1,APOA1,0.999,positive,unknown,6,1228.18760209473,no
2,ABCA1,CELSR2,0.546,positive,unknown,6,1228.18760209473,no
3,ABCA1,HADHB,0.48,positive,unknown,6,1228.18760209473,no
4,ABCA1,TNRC6B,0.521,positive,unknown,6,1228.18760209473,no
5,ABCA1,MTTP,0.566,positive,unknown,6,1228.18760209473,no
6,ABCA1,RXRA,0.916,positive,unknown,6,1228.18760209473,no
7,ACKR3,CXCR4,0.996,positive,unknown,1,0,no
8,ACVR2B,SMAD7,0.829,positive,unknown,4,56.2601902179195,no
9,ACVR2B,BMP1,0.439,positive,unknown,4,56.2601902179195,no
10,ACVR2B,BMPR2,0.951,positive,unknown,4,56.2601902179195,no
11,ACVR2B,TGFBR1,0.999,positive,unknown,4,56.2601902179195,no
12,AFF2,NLGN3,0.439,positive,unknown,1,42.5579181375414,no
13,ANGPTL2,CXCR4,0.561,positive,unknown,1,26.6030161120455,no
14,APC,SFRP1,0.428,positive,unknown,4,559.819167362974,no
15,APC,TLE2,0.526,positive,unknown,4,559.819167362974,no
16,APC,CDH6,0.552,positive,unknown,4,559.819167362974,no
17,APC,CDH7,0.555,positive,unknown,4,559.819167362974,no
18,APOA1,SCG3,0.459,positive,unknown,6,953.462150337378,no
19,APOA1,RXRA,0.567,positive,unknown,6,953.462150337378,no
20,APOA1,NCAM1,0.612,positive,unknown,6,953.462150337378,no
21,APOA1,BMP1,0.797,positive,unknown,6,953.462150337378,no
22,APOA1,MTTP,0.899,positive,unknown,6,953.462150337378,no
23,APOA1,ABCA1,0.999,positive,unknown,6,953.462150337378,no
24,ASCL1,GLI1,0.537,positive,unknown,11,797.841268771586,no
25,ASCL1,NTRK2,0.41,positive,unknown,11,797.841268771586,no
26,ASCL1,LIN28A,0.47,positive,unknown,11,797.841268771586,no
27,ASCL1,HEY1,0.499,positive,unknown,11,797.841268771586,no
28,ASCL1,NCAM1,0.527,positive,unknown,11,797.841268771586,no
29,ASCL1,DCX,0.635,positive,unknown,11,797.841268771586,no
30,ASCL1,NKX2-1,0.654,positive,unknown,11,797.841268771586,no
31,ASCL1,SHH,0.658,positive,unknown,11,797.841268771586,no
32,ASCL1,FOXA2,0.738,positive,unknown,11,797.841268771586,no
33,ASCL1,NES,0.744,positive,unknown,11,797.841268771586,no
34,ASCL1,NKX2-2,0.872,positive,unknown,11,797.841268771586,no
35,ATP2B4,BMP1,0.487,positive,unknown,2,818.92546184933,no
36,ATP2B4,ATP2C2,0.633,positive,unknown,2,818.92546184933,no
37,ATP2C2,GNPTG,0.52,positive,unknown,2,139.770501163958,no
38,ATP2C2,ATP2B4,0.633,positive,unknown,2,139.770501163958,no
39,BASP1,SOWAHC,0.411,positive,unknown,2,56.7457272397573,no
40,BASP1,NCAM1,0.502,positive,unknown,2,56.7457272397573,no
41,BMP1,APOA1,0.797,positive,unknown,5,1018.31429187541,no
42,BMP1,LRP4,0.439,positive,unknown,5,1018.31429187541,no
43,BMP1,ACVR2B,0.439,positive,unknown,5,1018.31429187541,no
44,BMP1,ATP2B4,0.487,positive,unknown,5,1018.31429187541,no
45,BMP1,BMPR2,0.707,positive,unknown,5,1018.31429187541,no
46,BMPR2,SMAD7,0.884,positive,unknown,7,64.1299355848203,no
47,BMPR2,KIT,0.683,positive,unknown,7,64.1299355848203,no
48,BMPR2,BMP1,0.707,positive,unknown,7,64.1299355848203,no
49,BMPR2,ACVR2B,0.951,positive,unknown,7,64.1299355848203,no
50,BMPR2,NES,0.428,positive,unknown,7,64.1299355848203,no
51,BMPR2,RUNX2,0.474,positive,unknown,7,64.1299355848203,no
52,BMPR2,TGFBR1,0.722,positive,unknown,7,64.1299355848203,no
53,CAPN6,DCX,0.56,positive,unknown,1,0,no
54,CASQ2,MYOCD,0.444,positive,unknown,1,493.719471419511,no
55,CDH6,APC,0.552,positive,unknown,3,23.9866561036268,no
56,CDH6,RUNX2,0.511,positive,unknown,3,23.9866561036268,no
57,CDH6,CDH7,0.799,positive,unknown,3,23.9866561036268,no
58,CDH7,APC,0.555,positive,unknown,2,25.7530127368171,no
59,CDH7,CDH6,0.799,positive,unknown,2,25.7530127368171,no
60,CELSR2,ABCA1,0.546,positive,unknown,1,1473.58890712046,no
61,CNTN6,NTRK2,0.466,positive,unknown,1,321.91307033088,no
62,COL14A1,NID1,0.596,positive,unknown,1,735.308638447573,no
63,CXCR4,GLI1,0.409,positive,unknown,15,3142.64168866988,no
64,CXCR4,ACKR3,0.996,positive,unknown,15,3142.64168866988,no
65,CXCR4,KIT,0.833,positive,unknown,15,3142.64168866988,no
66,CXCR4,SHH,0.506,positive,unknown,15,3142.64168866988,no
67,CXCR4,S1PR1,0.719,positive,unknown,15,3142.64168866988,no
68,CXCR4,NES,0.593,positive,unknown,15,3142.64168866988,no
69,CXCR4,RUNX2,0.491,positive,unknown,15,3142.64168866988,no
70,CXCR4,ANGPTL2,0.561,positive,unknown,15,3142.64168866988,no
71,CXCR4,PODXL,0.433,positive,unknown,15,3142.64168866988,no
72,CXCR4,FOXO1,0.447,positive,unknown,15,3142.64168866988,no
73,CXCR4,PGF,0.434,positive,unknown,15,3142.64168866988,no
74,CXCR4,FOXA2,0.564,positive,unknown,15,3142.64168866988,no
75,CXCR4,TGFBR1,0.581,positive,unknown,15,3142.64168866988,no
76,CXCR4,NCAM1,0.602,positive,unknown,15,3142.64168866988,no
77,CXCR4,IGF1R,0.697,positive,unknown,15,3142.64168866988,no
78,CYYR1,SHISAL1,0.502,positive,unknown,1,0,no
79,DCAF7,SOWAHC,0.473,positive,unknown,1,136.51531673333,no
80,DCX,ASCL1,0.635,positive,unknown,6,416.853247634986,no
81,DCX,NTRK2,0.532,positive,unknown,6,416.853247634986,no
82,DCX,SHH,0.453,positive,unknown,6,416.853247634986,no
83,DCX,CAPN6,0.56,positive,unknown,6,416.853247634986,no
84,DCX,NES,0.876,positive,unknown,6,416.853247634986,no
85,DCX,NCAM1,0.675,positive,unknown,6,416.853247634986,no
86,DKK3,SFRP1,0.775,positive,unknown,4,6.92533432507689,no
87,DKK3,NKD1,0.469,positive,unknown,4,6.92533432507689,no
88,DKK3,FRZB,0.657,positive,unknown,4,6.92533432507689,no
89,DKK3,SHH,0.403,positive,unknown,4,6.92533432507689,no
90,DLEU7,RNASEH2B,0.46,positive,unknown,1,0,no
91,DOCK1,PREX1,0.551,positive,unknown,2,681.701055744085,no
92,DOCK1,SHB,0.522,positive,unknown,2,681.701055744085,no
93,DPYSL2,NTRK2,0.568,positive,unknown,3,82.1691927377972,no
94,DPYSL2,SHANK1,0.511,positive,unknown,3,82.1691927377972,no
95,DPYSL2,RTN4,0.416,positive,unknown,3,82.1691927377972,no
96,DYNLL2,ULK1,0.529,positive,unknown,1,274.938752024995,no
97,ECHDC2,HADHB,0.671,positive,unknown,1,397.74019418862,no
98,EFHD1,ERMN,0.488,positive,unknown,1,0,no
99,EIF5,NMD3,0.551,positive,unknown,1,780.164063579006,no
100,ELF4,NCAM1,0.444,positive,unknown,1,0,no
101,EMD,SSPN,0.472,positive,unknown,1,0,no
102,EPHA3,NCAM1,0.421,positive,unknown,2,204.99718612727,no
103,EPHA3,EPHB6,0.54,positive,unknown,2,204.99718612727,no
104,EPHB6,EPHA3,0.54,positive,unknown,1,0,no
