#node1	node2	combined_score
AARS1	XBP1	0.432
AARS1	ME3	0.410
AARS1	SLC3A2	0.533
ACKR3	CXCL10	0.863
ACTN3	VCL	0.536
ACTN3	TPM1	0.681
ACTN3	TNNT1	0.771
ADAMTS9	FGFR2	0.512
ADAMTS9	ROBO1	0.421
ADAMTS9	TCF7L2	0.569
ADD3	SOWAHC	0.406
ADD3	MARCKSL1	0.463
ADGRL1	GNG11	0.469
ADGRL1	SLIT1	0.568
ADGRL1	LRIG1	0.515
ADGRL1	FN1	0.503
ADGRL1	CNTN6	0.530
ADGRL1	TPBG	0.534
ADGRL1	SLIT2	0.551
ADGRL1	LRRN3	0.553
ADGRL1	TENM1	0.986
AFF2	CUL4B	0.413
AFF2	TENM1	0.538
AGO1	DDB2	0.732
AGO1	CDK6	0.693
AGO1	SOX2	0.682
AGO1	FOXO3	0.503
AGO1	ARL4C	0.502
AGO1	HNRNPU	0.577
ANXA2	LGALS1	0.766
ANXA2	LGALS3	0.832
ANXA2	FGF2	0.539
ANXA2	EGF	0.613
ANXA2	FABP5	0.447
ANXA2	SOX2	0.425
ANXA2	CTNNB1	0.428
ANXA2	MVP	0.431
ANXA2	ARF1	0.506
ANXA2	DSP	0.511
ANXA2	SERPINH1	0.616
ANXA2	FN1	0.723
AP1S2	FTL	0.536
AP1S2	ARF1	0.596
APC	SFRP1	0.428
APC	TLE4	0.523
APC	REEP1	0.523
APC	CDH11	0.572
APC	WNT1	0.760
APC	TCF7L2	0.814
APC	CTNNBIP1	0.951
APC	CTNNB1	0.999
ARCN1	LMAN1	0.468
ARCN1	KDELR2	0.711
ARCN1	SURF4	0.659
ARCN1	RAB1A	0.706
ARCN1	ARF4	0.750
ARCN1	ARF1	0.816
ARCN1	COPB2	0.999
ARF1	LMAN1	0.696
ARF1	KDELR2	0.611
ARF1	ARCN1	0.816
ARF1	ARF4	0.856
ARF1	COPB2	0.818
ARF1	ANXA2	0.506
ARF1	KIF21A	0.545
ARF1	RRAGD	0.403
ARF1	SURF4	0.643
ARF1	CADPS	0.434
ARF1	RAB1A	0.754
ARF1	AP1S2	0.596
ARF4	KDELR2	0.778
ARF4	ARCN1	0.750
ARF4	KIF21A	0.514
ARF4	SERPINH1	0.617
ARF4	SURF4	0.674
ARF4	RAB1A	0.760
ARF4	COPB2	0.807
ARF4	ARF1	0.856
ARL4C	AGO1	0.502
ARX	RIPPLY3	0.423
ARX	ZIC2	0.537
ARX	DCX	0.562
ASS1	GFPT1	0.400
ASS1	RRAGD	0.404
ASS1	SAT1	0.416
ASS1	BCAT1	0.531
ATL2	REEP1	0.950
ATP2B1	CALM1	0.630
ATP2B1	ATP2C2	0.634
ATP2C2	COL4A2	0.412
ATP2C2	ATP2B1	0.634
ATP2C2	ROBO1	0.469
AUTS2	GADD45G	0.401
BCAT1	MSI2	0.628
BCAT1	ASS1	0.531
BCAT1	CTNNB1	0.405
BCL2L11	XBP1	0.689
BCL2L11	EGF	0.445
BCL2L11	CDK6	0.447
BCL2L11	EDNRA	0.609
BCL2L11	FOXO3	0.984
BCL2L11	BMF	0.901
BCL2L11	QKI	0.541
BCL2L11	GADD45A	0.580
BCL2L11	CALM1	0.432
BCL2L11	IGF1R	0.447
BCL2L11	CTNNB1	0.525
BCL2L11	CDKN1A	0.726
BEGAIN	DLK1	0.607
BEGAIN	DIO3	0.432
BEGAIN	RTL1	0.602
BMF	BCL2L11	0.901
BMP4	SFRP1	0.512
BMP4	GLI1	0.644
BMP4	ID2	0.536
BMP4	ZIC2	0.402
BMP4	NKX2-2	0.405
BMP4	VAX1	0.407
BMP4	FOXA1	0.425
BMP4	FRZB	0.443
BMP4	FGFR3	0.449
BMP4	COL1A2	0.450
BMP4	DIO3	0.456
BMP4	IGF1R	0.469
BMP4	WNT5B	0.480
BMP4	SIX3	0.483
BMP4	FOXG1	0.494
BMP4	LRP4	0.496
BMP4	ZNF521	0.504
BMP4	GJA1	0.505
BMP4	FBN2	0.506
BMP4	LHX2	0.507
BMP4	NKX2-1	0.518
BMP4	COL2A1	0.531
BMP4	GLI2	0.548
BMP4	GLI3	0.550
BMP4	NTRK2	0.556
BMP4	JAG1	0.571
BMP4	SOX1	0.576
BMP4	WNT1	0.595
BMP4	OTX2	0.635
BMP4	RGMA	0.666
BMP4	NES	0.667
BMP4	FOXA2	0.668
BMP4	PAX6	0.672
BMP4	EGF	0.689
BMP4	FGFR2	0.693
BMP4	PTCH1	0.698
BMP4	FN1	0.715
BMP4	SOX2	0.745
BMP4	PITX2	0.756
BMP4	CTNNB1	0.809
BMP4	FGF8	0.870
BMP4	FGF2	0.873
BMP4	NBL1	0.920
BMP4	SHH	0.922
BMP4	BMP7	0.978
BMP4	BMPR2	0.999
BMP7	SFRP1	0.406
BMP7	GLI1	0.487
BMP7	ID2	0.466
BMP7	BMP4	0.978
BMP7	JAG1	0.420
BMP7	FGF2	0.786
BMP7	EGF	0.667
BMP7	PRDM16	0.783
BMP7	NBL1	0.916
BMP7	WNT1	0.444
BMP7	SHH	0.777
BMP7	FGF8	0.635
BMP7	SOX2	0.542
BMP7	PTCH1	0.416
BMP7	FN1	0.728
BMP7	COL4A2	0.519
BMP7	LHX2	0.437
BMP7	BMPR2	0.999
BMP7	COL2A1	0.514
BMP7	WNT5B	0.402
BMP7	GLI3	0.416
BMP7	PITX2	0.440
BMP7	GLI2	0.441
BMP7	PAX6	0.441
BMP7	FBN2	0.606
BMP7	FGFR2	0.658
BMP7	CTNNB1	0.723
BMPR2	BMP4	0.999
BMPR2	FGF2	0.434
BMPR2	PAWR	0.430
BMPR2	FN1	0.706
BMPR2	NES	0.428
BMPR2	CTNNB1	0.463
BMPR2	BMP7	0.999
C1GALT1	MAN2A1	0.516
CADPS	IGDCC3	0.570
CADPS	ARF1	0.434
CALM1	VCL	0.558
CALM1	RASGRF2	0.419
CALM1	FRZB	0.495
CALM1	ITGB5	0.508
CALM1	TPM1	0.656
CALM1	MYLK	0.992
CALM1	QKI	0.411
CALM1	GRIK3	0.566
CALM1	LPAR1	0.510
CALM1	COL2A1	0.440
