genes,cluster,symbol
ENSG00000000003,1,TSPAN6
ENSG00000006042,1,TMEM98
ENSG00000007968,1,E2F2
ENSG00000008226,1,DLEC1
ENSG00000009844,1,VTA1
ENSG00000011009,1,LYPLA2
ENSG00000026297,1,RNASET2
ENSG00000028528,1,SNX1
ENSG00000031823,1,RANBP3
ENSG00000044524,1,EPHA3
ENSG00000046653,1,GPM6B
ENSG00000050165,1,DKK3
ENSG00000058668,1,ATP2B4
ENSG00000059691,1,GATB
ENSG00000064270,1,ATP2C2
ENSG00000068078,1,FGFR3
ENSG00000069667,1,RORA
ENSG00000072133,1,RPS6KA6
ENSG00000075043,1,KCNQ2
ENSG00000075275,1,CELSR1
ENSG00000077274,1,CAPN6
ENSG00000077279,1,DCX
ENSG00000077616,1,NAALAD2
ENSG00000077942,1,FBLN1
ENSG00000079308,1,TNS1
ENSG00000080644,1,CHRNA3
ENSG00000087495,1,PHACTR3
ENSG00000088280,1,ASAP3
ENSG00000088727,1,KIF9
ENSG00000090581,1,GNPTG
ENSG00000090932,1,DLL3
ENSG00000092850,1,TEKT2
ENSG00000099338,1,CATSPERG
ENSG00000100105,1,PATZ1
ENSG00000100427,1,MLC1
ENSG00000100664,1,EIF5
ENSG00000100767,1,PAPLN
ENSG00000101220,1,ADISSP
ENSG00000101463,1,SYNDIG1
ENSG00000101665,1,SMAD7
ENSG00000101856,1,PGRMC1
ENSG00000101986,1,ABCD1
ENSG00000102119,1,EMD
ENSG00000103042,1,SLC38A7
ENSG00000103160,1,HSDL1
ENSG00000103449,1,SALL1
ENSG00000104112,1,SCG3
ENSG00000104332,1,SFRP1
ENSG00000105258,1,POLR2I
ENSG00000106123,1,EPHB6
ENSG00000106125,1,MINDY4
ENSG00000106236,1,NPTX2
ENSG00000107338,1,SHB
ENSG00000107949,1,BCCIP
ENSG00000108175,1,ZMIZ1
ENSG00000109762,1,SNX25
ENSG00000109790,1,KLHL5
ENSG00000111087,1,GLI1
ENSG00000111679,1,PTPN6
ENSG00000111728,1,ST8SIA1
ENSG00000112531,1,QKI
ENSG00000112539,1,C6orf118
ENSG00000112562,1,SMOC2
ENSG00000113319,1,RASGRF2
ENSG00000113327,1,GABRG2
ENSG00000113522,1,RAD50
ENSG00000113719,1,ERGIC1
ENSG00000114670,1,NEK11
ENSG00000114739,1,ACVR2B
ENSG00000115310,1,RTN4
ENSG00000115468,1,EFHD1
ENSG00000117425,1,PTCH2
ENSG00000118495,1,PLAGL1
ENSG00000118729,1,CASQ2
ENSG00000119630,1,PGF
ENSG00000120051,1,CFAP58
ENSG00000120669,1,SOHLH2
ENSG00000121005,1,CRISPLD1
ENSG00000121310,1,ECHDC2
ENSG00000121440,1,PDZRN3
ENSG00000121966,1,CXCR4
ENSG00000122042,1,UBL3
ENSG00000124126,1,PREX1
ENSG00000124193,1,SRSF6
ENSG00000124493,1,GRM4
ENSG00000124920,1,MYRF
ENSG00000125257,1,ABCC4
ENSG00000125798,1,FOXA2
ENSG00000125804,1,FAM182A
ENSG00000125820,1,NKX2-2
ENSG00000126088,1,UROD
ENSG00000126775,1,ATG14
ENSG00000126950,1,TMEM35A
ENSG00000127054,1,INTS11
ENSG00000127084,1,FGD3
ENSG00000127334,1,DYRK2
ENSG00000128567,1,PODXL
ENSG00000128872,1,TMOD2
ENSG00000129038,1,LOXL1
ENSG00000129167,1,TPH1
ENSG00000129675,1,ARHGEF6
ENSG00000129910,1,CDH15
ENSG00000130558,1,OLFM1
ENSG00000131019,1,ULBP3
ENSG00000131477,1,RAMP2
ENSG00000131773,1,KHDRBS3
ENSG00000131914,1,LIN28A
ENSG00000132016,1,BRME1
ENSG00000132321,1,IQCA1
ENSG00000132669,1,RIN2
ENSG00000132688,1,NES
ENSG00000133030,1,MPRIP
ENSG00000133863,1,TEX15
ENSG00000134115,1,CNTN6
ENSG00000134376,1,CRB1
ENSG00000134569,1,LRP4
ENSG00000134982,1,APC
ENSG00000135090,1,TAOK3
ENSG00000135637,1,CCDC142
ENSG00000135916,1,ITM2C
ENSG00000136014,1,USP44
ENSG00000136044,1,APPL2
ENSG00000136104,1,RNASEH2B
ENSG00000136197,1,C7orf25
ENSG00000136327,1,NKX2-8
ENSG00000136352,1,NKX2-1
ENSG00000136720,1,HS6ST1
ENSG00000138134,1,STAMBPL1
ENSG00000138385,1,SSB
ENSG00000138400,1,MDH1B
ENSG00000138606,1,SHF
ENSG00000138944,1,SHISAL1
ENSG00000139352,1,ASCL1
ENSG00000139910,1,NOVA1
ENSG00000140474,1,ULK3
ENSG00000140538,1,NTRK3
ENSG00000140807,1,NKD1
