"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000184163",19.5876219282614,1.63761077024119,0.287905724651564,5.68801044933407,1.28527959933508e-08,2.15616541255781e-07,"C1QTNF12"
"ENSG00000177133",4.94501657585792,1.11290941927426,0.209572114656479,5.31038884203889,1.09391588255312e-07,1.53465188583476e-06,"PRDM16-DT"
"ENSG00000142611",95.3820800745025,2.398276859738,0.244679071944922,9.80172452296152,1.10679645259375e-22,1.2627020908298e-20,"PRDM16"
"ENSG00000207056",5.65530827433591,1.03583909843873,0.278356831495894,3.72126343324184,0.000198228514031612,0.00118418123142989,"RNU1-8P"
"ENSG00000049249",1.11660921577027,-1.67914546387469,0.359027963482578,-4.67692111663656,2.91214215612232e-06,2.87178012623866e-05,"TNFRSF9"
"ENSG00000178585",74.0272797662579,1.18985306361736,0.1251016166147,9.51109262865874,1.8867030395795e-21,1.87264710193463e-19,"CTNNBIP1"
"ENSG00000120937",2.88107400541875,2.92134923722307,0.468067901733492,6.24129368068999,4.33966577516334e-10,9.59317430988502e-09,"NPPB"
"ENSG00000120949",10.7205174309625,-1.11745450156064,0.123581443358604,-9.04225158074946,1.53477376332182e-19,1.22356602312054e-17,"TNFRSF8"
"ENSG00000028137",1.59332416228191,-1.24005673128082,0.307744754658689,-4.02949753816644,5.58962011919589e-05,0.000395859967842161,"TNFRSF1B"
"ENSG00000234593",1.53493120328646,1.12395053455006,0.359612516386551,3.12544887437099,0.00177533927203606,0.00782987333685577,"KAZN-AS1"
"ENSG00000179023",2.36581092485793,1.5499849571055,0.323604632124344,4.78974898143587,1.66990078817383e-06,1.76044612565261e-05,"KLHDC7A"
"ENSG00000169991",28.4450766564839,1.11874362576585,0.183208719686108,6.10638853697903,1.01910748024789e-09,2.10294205721423e-08,"IFFO2"
"ENSG00000158055",5.46232153017024,1.743983733488,0.365037463229564,4.7775472633921,1.77446350341511e-06,1.85785205729396e-05,"GRHL3"
"ENSG00000185668",357.197476416636,1.806896949754,0.168424203454382,10.7282499349531,7.50031509800892e-27,1.18165678579822e-24,"POU3F1"
