"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000225972",1.80661932006982,2.17000473544493,0.554437961674072,3.9138819587548,9.08240480494522e-05,0.000329825079156346,"MTND1P23"
"ENSG00000176022",30.3651598543267,-1.99570699111955,0.158380822724667,-12.6006858455896,2.09316431420583e-36,8.63636985025549e-35,"B3GALT6"
"ENSG00000184163",28.0431425418216,2.09864280260258,0.215775071603171,9.72606699657208,2.33444941269163e-22,4.61449034305559e-21,"C1QTNF12"
"ENSG00000169972",9.54627058819666,-1.02653218338922,0.225414825258612,-4.55396925296066,5.2643053654219e-06,2.34717721221837e-05,"PUSL1"
"ENSG00000179403",29.2417044756702,-1.52466636551466,0.137164318923868,-11.1156194079957,1.05317215383247e-28,3.05573897148526e-27,"VWA1"
"ENSG00000182873",7.78821210629464,1.17171796129022,0.258258484613016,4.53699696660872,5.706092700607e-06,2.52662016368243e-05,"PRKCZ-AS1"
"ENSG00000142611",125.266734522664,2.46150008635193,0.101049619897731,24.3593205876789,4.6182382551442e-131,2.18222753360933e-128,"PRDM16"
"ENSG00000130762",17.7371941686603,1.05794125928951,0.170590070337435,6.20165791125387,5.58714205805264e-10,4.13431846696915e-09,"ARHGEF16"
"ENSG00000207056",6.97049465906872,1.6727827176273,0.314402628830722,5.32051123061042,1.03476060754936e-07,5.84900570134563e-07,"RNU1-8P"
"ENSG00000049249",0.962660502803761,-2.5284399171054,0.693313341813987,-3.64689349622204,0.000265429875124881,0.000886523275282461,"TNFRSF9"
"ENSG00000171621",4.64600166431708,-1.3025905323372,0.356823398098563,-3.65051882605913,0.000261711125022643,0.000875558848041814,"SPSB1"
"ENSG00000284693",0.683658843333441,-2.42931491641765,0.740525607147165,-3.28052790203495,0.00103613015678727,0.0030750768792583,"LINC02606"
"ENSG00000178585",81.8519923496863,2.18500655958826,0.116812359122375,18.705268654828,4.48467047432112e-78,6.3573407309555e-76,"CTNNBIP1"
"ENSG00000175279",10.1877653076177,-1.26035067110508,0.212604184373635,-5.9281555291034,3.06356269590088e-09,2.08646071595226e-08,"CENPS"
"ENSG00000116661",9.78908671804049,1.70550400795095,0.226740060529042,7.52184684070201,5.40078311289252e-14,6.00470261391961e-13,"FBXO2"
