"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000225972",1.70580335641514,2.08826611020077,0.615370032641888,3.39351284500399,0.000690023223629425,0.0021955284388209,"MTND1P23"
"ENSG00000198744",15.6804923340844,1.30244991636374,0.219738030979877,5.92728491538642,3.07984347395787e-09,2.31250449264828e-08,"MTCO3P12"
"ENSG00000188290",58.9108341078133,1.69998574288338,0.125873284837433,13.5055325288359,1.4506102230042e-41,1.04656604338726e-39,"HES4"
"ENSG00000176022",48.0445028131517,-1.63951712680488,0.131852608264744,-12.4344686721171,1.69866512951211e-35,9.18528869078142e-34,"B3GALT6"
"ENSG00000184163",13.2357665883479,2.60880489320826,0.218806568089178,11.9228820048263,8.99424301569514e-33,4.20968756241675e-31,"C1QTNF12"
"ENSG00000235098",19.2130359760286,-1.26147151843843,0.210543763519699,-5.99149315729034,2.07923075473573e-09,1.59560457570497e-08,"ANKRD65"
"ENSG00000179403",36.7486601931055,-1.12912161927505,0.160767042986033,-7.02334009696965,2.16626042639236e-12,2.36465556445304e-11,"VWA1"
"ENSG00000160072",20.4777307194442,1.0339235674741,0.159992183429433,6.46233800496969,1.03097490720489e-10,9.2745680115508e-10,"ATAD3B"
"ENSG00000142611",76.1775370130178,1.03515098738174,0.134245169472903,7.71089933027859,1.24934186197281e-14,1.67521548992233e-13,"PRDM16"
"ENSG00000158286",5.10885134190575,-1.7856372337215,0.380032699219569,-4.69864103112303,2.61898309844285e-06,1.32755350162448e-05,"RNF207"
"ENSG00000187017",1.67985475679863,1.49191369714101,0.501442352782312,2.97524468937049,0.00292754928771785,0.00804782042038521,"ESPN"
"ENSG00000207056",4.40028551156431,1.9165626180977,0.352670915089967,5.43442210880584,5.49743042581242e-08,3.50567181234728e-07,"RNU1-8P"
"ENSG00000228526",18.4309074260607,2.09522704499176,0.194044054810651,10.7976873964848,3.52982090909426e-27,1.21402592618675e-25,"MIR34AHG"
"ENSG00000234546",13.9680610441594,1.837685286274,0.232381314414306,7.90805960843152,2.61431636790738e-15,3.7190758653134e-14,"LNCTAM34A"
"ENSG00000178585",69.511087145175,1.04329579524015,0.15378078158678,6.78430545400371,1.16646301849845e-11,1.18164668719253e-10,"CTNNBIP1"
"ENSG00000116661",8.07674745667784,1.50289719387666,0.230261375030775,6.52691834953123,6.7136620436993e-11,6.18823145644276e-10,"FBXO2"
"ENSG00000083444",146.629123905634,1.72597948911908,0.0940493146229542,18.3518561090909,3.19025578899529e-75,7.91382826657643e-73,"PLOD1"
"ENSG00000162496",8.08345434598224,1.14789847637611,0.291480866461702,3.93816064261953,8.21086179472297e-05,0.000314625511327046,"DHRS3"
"ENSG00000142634",36.0390310192366,-1.48196780184866,0.153488492173602,-9.65523721591121,4.67077014500642e-22,1.09564342231268e-20,"EFHD2"
"ENSG00000178715",2.13868067715744,1.38179767671227,0.447143379785054,3.0902787320177,0.0019996873823888,0.0057197745897241,"RPS16P1"
"ENSG00000142627",200.3904642136,1.69060672940509,0.165021775833031,10.2447493421453,1.24948325947808e-24,3.59362250497719e-23,"EPHA2"
"ENSG00000238142",4.03511762107862,1.02870341989158,0.330390876925634,3.11359511335153,0.00184822927620493,0.00533422192936109,"LOC105376805"
"ENSG00000169991",21.7506728261762,1.18035802443837,0.164585742403654,7.17169061669681,7.40772011670361e-13,8.52209888208598e-12,"IFFO2"
"ENSG00000200403",5.01048072918665,-1.20429193739595,0.341208235025226,-3.52949259066657,0.000416357363012042,0.00138704244904717,"RNU6-1099P"
"ENSG00000162543",5.44938342909911,-1.44020359184462,0.431733754444527,-3.33586053214115,0.000850358125105758,0.00264462576284654,"UBXN10"
"ENSG00000158816",4.12052131087303,-1.97868036552205,0.66785301032915,-2.96274829179382,0.00304905789510384,0.00835056053981883,"VWA5B1"
"ENSG00000189410",6.91645261905034,1.54714136295928,0.281121716478679,5.50345730076895,3.72414758960356e-08,2.43832757887439e-07,"SH2D5"
"ENSG00000162551",22.9156861469977,1.45222801524506,0.153538137431794,9.45841886280651,3.12634659866546e-21,6.96322651520944e-20,"ALPL"
"ENSG00000249087",36.2050256803616,1.66317815373335,0.161801402380825,10.2791331178873,8.75111459758648e-25,2.55015960630108e-23,"ZNF436-AS1"
"ENSG00000007968",16.9218914204887,-2.06328474194004,0.227614042403811,-9.06483941038908,1.24787934771873e-19,2.483868170058e-18,"E2F2"
"ENSG00000142676",3512.22196235092,1.20957043541182,0.0469976380982859,25.736834537988,4.52618286435094e-146,1.28317284204349e-142,"RPL11"
"ENSG00000158055",4.59836111998237,4.07793272883421,0.480861552970761,8.4804715695001,2.24283036729473e-17,3.79445597945131e-16,"GRHL3"
"ENSG00000169442",0.456715781423881,3.05659824251738,1.01166089636435,3.02136640202464,0.00251636657476701,0.00703243130210552,"CD52"
"ENSG00000158246",15.272690132709,2.09288136595877,0.2223351772976,9.41318144702495,4.81342291583488e-21,1.06609796612437e-19,"TENT5B"
"ENSG00000142765",8.43543436098313,1.00631987143129,0.248711705570539,4.04612991223236,5.2071342513816e-05,0.000207835034631271,"SYTL1"
"ENSG00000181773",8.39845169295148,1.73980666305982,0.242360329547979,7.17859505433376,7.04314153585452e-13,8.12622928947866e-12,"GPR3"
"ENSG00000130766",93.3864790970084,1.05335546988307,0.0802040748098231,13.1334408180725,2.11809244146524e-39,1.37814900002877e-37,"SESN2"
"ENSG00000183615",8.02980402522273,1.860068395742,0.260819371339218,7.13163438049554,9.91840525138795e-13,1.12539023564205e-11,"FAM167B"
"ENSG00000160097",30.3586087342007,-1.60641083639795,0.149387699353334,-10.7533005953753,5.71782225167439e-27,1.93966124076031e-25,"FNDC5"
"ENSG00000116560",482.738283093893,-2.46190788989453,0.146775965471745,-16.7732358767448,3.83067392905267e-63,6.5534244932802e-61,"SFPQ"
"ENSG00000092853",113.996696231762,-1.35504407125992,0.120357419748285,-11.2585005070219,2.10306672546e-29,8.33041101132807e-28,"CLSPN"
"ENSG00000171812",1.97806757482401,-2.24645078992626,0.640411692115589,-3.50782288578328,0.000451789727173678,0.00149628957539413,"COL8A2"
"ENSG00000214193",3.46405851458109,1.24387780766604,0.350676444947232,3.54708115012748,0.000389524588342923,0.00130576274588941,"SH3D21"
"ENSG00000163873",3.894959319562,-3.7701162079899,0.629619000401114,-5.98793271103327,2.12524947515447e-09,1.62840061136835e-08,"GRIK3"
"ENSG00000116985",1.77953712143227,-2.08165401469863,0.679041767866618,-3.06557580579863,0.00217251297230168,0.00616083451490808,"BMP8B"
"ENSG00000164007",14.5245721662327,-1.02046802606076,0.235111749446973,-4.34035316593532,1.42253899444725e-05,6.29999695264578e-05,"CLDN19"
"ENSG00000274386",4.48544516324661,1.49890842542874,0.313209709271891,4.78563844305212,1.70444648907497e-06,8.8825474200874e-06,"TMEM269"
"ENSG00000117394",458.618333159282,2.21173822573452,0.210415810548765,10.5112739388086,7.66510427587747e-26,2.418346492127e-24,"SLC2A1"
"ENSG00000227533",19.5857952625561,1.81658986718719,0.215023467509384,8.44833305047464,2.95491420736272e-17,4.96110595982345e-16,"SLC2A1-DT"
"ENSG00000230615",3.23681037201576,1.28120763279074,0.407616261010852,3.14317105410235,0.00167128143531221,0.00487394733135579,"LOC107984948"
"ENSG00000234093",2.43340797240186,2.08162784718798,0.493609373953903,4.21715623128013,2.47402573010513e-05,0.000104908206440035,"RPS15AP11"
"ENSG00000173846",8.85308456829427,1.05732201257519,0.232704707222922,4.54362107751571,5.52960199457427e-06,2.6372254646077e-05,"PLK3"
"ENSG00000162415",15.0049877095461,-1.49747874403244,0.238700653752744,-6.27345891387287,3.53114139485454e-10,2.97686920054751e-09,"ZSWIM5"
"ENSG00000132780",427.130206233475,-1.06121374107165,0.0628063984664177,-16.8965864463487,4.76717399566703e-64,8.44683642357253e-62,"NASP"
"ENSG00000117461",94.4670272704871,-1.13022845581138,0.100240410092766,-11.2751778924829,1.74026506578316e-29,6.92095395400135e-28,"PIK3R3"
"ENSG00000117480",7.36596122989358,-1.27968442272935,0.306725074674089,-4.17208936729114,3.01819206673758e-05,0.000125858418920797,"FAAH"
"ENSG00000197587",2.31293403485842,2.97316000000805,0.917720114045475,3.23972413212328,0.00119645393474531,0.00360079289278445,"DMBX1"
"ENSG00000186564",1.79743089645575,-3.73703872730116,0.697289360266181,-5.35938010853141,8.35079900865011e-08,5.17880019770817e-07,"FOXD2"
"ENSG00000269113",27.9204251678189,-3.0904171361324,0.296812007268005,-10.4120354313764,2.18499184010786e-25,6.72266094061093e-24,"TRABD2B"
"ENSG00000142700",43.6320423461005,1.32018453538726,0.444827740229697,2.96785567983138,0.0029988509889895,0.00822559749502373,"DMRTA2"
"ENSG00000123080",13.0256455579958,-1.25681791657761,0.235628242082178,-5.33390185094739,9.61244938644315e-08,5.91500955268107e-07,"CDKN2C"
"ENSG00000085831",3.18654229496494,1.22230139507828,0.395941523346886,3.08707554778845,0.00202136217006229,0.00577261940781209,"TTC39A"
"ENSG00000228929",6.69021490237625,2.01784527061511,0.271143362745444,7.4419865940422,9.91822902922102e-14,1.23790726468485e-12,"RPS13P2"
"ENSG00000187889",4.74530374500179,1.05219350454255,0.29301724652033,3.5908927444977,0.000329547238849254,0.00111998796752878,"FYB2"
"ENSG00000177606",95.1481842387844,1.01890524244497,0.0857256478832562,11.8856522826465,1.40533673821797e-32,6.44085625171722e-31,"JUN"
"ENSG00000162599",34.4485076133442,-2.82224236133759,0.171157595572401,-16.4891447084143,4.39121402497482e-61,6.70335710197117e-59,"NFIA"
"ENSG00000240563",24.6158063705283,2.4670819544112,0.270295358745974,9.12735596296266,7.01926135485281e-20,1.4316263266912e-18,"L1TD1"
"ENSG00000132854",15.9856704903765,1.56465440714982,0.208911359029586,7.48956119197058,6.91042602904443e-14,8.73486653161699e-13,"KANK4"
"ENSG00000152760",8.78360234697723,-1.28746752280385,0.357999574973761,-3.59628226625189,0.000322797529674429,0.00109935077679579,"DYNLT5"
"ENSG00000152763",19.5230508093297,-1.68935101143458,0.225656380397396,-7.48638708313728,7.07953979082396e-14,8.93724345730926e-13,"DNAI4"
"ENSG00000116717",131.676938670176,2.59238117734105,0.119849246399009,21.6303502544384,9.30739072814998e-104,6.84093218519024e-101,"GADD45A"
"ENSG00000172380",82.571630500287,-1.22014393124115,0.099895204472859,-12.2142392888605,2.60930653415171e-34,1.32096143291431e-32,"GNG12"
"ENSG00000232284",4.20695654340362,-3.43919530748027,0.634637646445242,-5.41914796064183,5.98837427453472e-08,3.80042492734703e-07,"GNG12-AS1"
"ENSG00000162595",6.98794032784832,-3.599013615753,0.629342817146131,-5.71868545679663,1.07351306103253e-08,7.5518846849311e-08,"DIRAS3"
"ENSG00000116729",423.9236707776,-1.1669650493913,0.301305805661647,-3.87302543616352,0.000107492604051795,0.000401051086183091,"WLS"
"ENSG00000172260",44.060223983525,-2.35003702887323,0.179403028306752,-13.099204907818,3.32724895642353e-39,2.13686911133414e-37,"NEGR1"
"ENSG00000137968",24.8625403595307,-1.02391695077969,0.169857401180884,-6.02809735496482,1.65901111016939e-09,1.28624199122536e-08,"SLC44A5"
"ENSG00000117054",63.0492053313323,-1.05412908589684,0.120799235272892,-8.72628939674581,2.63164735888567e-18,4.74773107609873e-17,"ACADM"
"ENSG00000117069",28.1751048063044,1.17265756898656,0.137229816920412,8.54520974597416,1.28303036514479e-17,2.20638973971389e-16,"ST6GALNAC5"
"ENSG00000226084",2.18699547026862,1.60734228862251,0.448975016976371,3.58002612138016,0.000343559861981361,0.00116446549291547,"RPL17P6"
"ENSG00000154027",22.8564862168576,-1.01512168235336,0.169175143499265,-6.00041862744318,1.96809461102506e-09,1.51265830967437e-08,"AK5"
"ENSG00000137941",42.246150880914,-1.06672216711007,0.151305846483467,-7.0501054116678,1.78782301363919e-12,1.96561483133905e-11,"TTLL7"
"ENSG00000162669",11.2730478131563,-1.17221619449741,0.244368298851323,-4.79692415099472,1.61120576019651e-06,8.4276168453083e-06,"HFM1"
"ENSG00000237003",3.43802023025153,1.40908836896531,0.379368979313725,3.71429517382875,0.000203770837771498,0.000720055604625245,"RPL36AP11"
"ENSG00000198691",1.65815085666603,2.17710965710519,0.55904185628582,3.89435895116967,9.84587620303664e-05,0.000369989421036285,"ABCA4"
"ENSG00000137962",81.7591500955743,1.17844174531674,0.0984779449652606,11.966555006123,5.31916470455838e-33,2.54973003772853e-31,"ARHGAP29"
"ENSG00000137970",2.95597476661986,1.58879239917223,0.397351154209783,3.9984592528286,6.37561539998568e-05,0.000249850094021951,"RPL7P9"
"ENSG00000188641",1.54210885449113,-2.47501615066526,0.678132961677928,-3.64975055119168,0.0002624950945695,0.000907370693560655,"DPYD"
"ENSG00000099260",2.06650461505508,-2.55110244275928,0.658571603191342,-3.87369031764657,0.000107199618772406,0.00040003317685942,"PALMD"
"ENSG00000162692",27.8258877393422,-2.40743309605053,0.32351350789111,-7.44152264844793,9.95313146180062e-14,1.24070285087584e-12,"VCAM1"
"ENSG00000228399",0.996879681401184,2.6970265005828,0.728263242604235,3.70336760501375,0.000212756238304684,0.000749139025755226,"RPS20P6"
"ENSG00000118733",3.608086389002,-3.43910535122748,0.638087406911623,-5.38970886116203,7.05719183133115e-08,4.42356196755422e-07,"OLFM3"
"ENSG00000198890",55.5226992828872,-1.79559093337104,0.151990563180349,-11.8138316998038,3.31119739111653e-32,1.49342527787972e-30,"PRMT6"
"ENSG00000162631",91.3429967076965,-3.1866953548036,0.304342354782975,-10.4707586858097,1.17695891480991e-25,3.67822829360671e-24,"NTNG1"
"ENSG00000085491",115.85984839515,-1.24488274109727,0.0879506525630081,-14.1543320580303,1.75598247380768e-45,1.49559966492333e-43,"SLC25A24"
"ENSG00000116299",2.87083711532522,1.56132126358503,0.470598151505225,3.31773777391834,0.000907496382507358,0.00280649302023664,"ELAPOR1"
"ENSG00000156171",120.875062448927,1.11797633043281,0.0795330985928976,14.056743044243,7.00360257153608e-45,5.83976861479553e-43,"DRAM2"
"ENSG00000162777",1.62986125947791,2.29197344575024,0.624941022660803,3.6675035925658,0.000244930110347546,0.000852145518907267,"DENND2D"
"ENSG00000085465",7.53433416127528,1.49152574198136,0.245414799168187,6.07757049304592,1.22017046838868e-09,9.63944384760085e-09,"OVGP1"
"ENSG00000143110",2.05745162138697,2.38659307473281,0.522400390199481,4.56851319314956,4.91196155700193e-06,2.36769193827309e-05,"C1orf162"
