"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","EN","is_DE","is_highly_DE","FCsign"
"ENSG00000000003",287.644528348896,0.0643682589795762,0.114770106657657,0.560845161289059,0.574903096769032,0.763485378073273,"TSPAN6","ENSG00000000003",FALSE,FALSE,"pos"
"ENSG00000000419",97.1653197503433,0.00271319398231127,0.0834473048890019,0.0325138599253774,0.974062263251699,0.989510398828012,"DPM1","ENSG00000000419",FALSE,FALSE,"pos"
"ENSG00000000457",12.603132650933,0.139323733143733,0.194845983611848,0.715045445438999,0.474580962302924,0.686524840335202,"SCYL3","ENSG00000000457",FALSE,FALSE,"pos"
"ENSG00000000460",2.9489582351431,-0.193405012099281,0.349837472245809,-0.552842469555084,0.580371284444423,0.766640682438768,"FIRRM","ENSG00000000460",FALSE,FALSE,"neg"
"ENSG00000000971",1.28854306701168,0.631606860794062,0.666500492021695,0.947646503422991,0.343309443606007,0.573078654861428,"CFH","ENSG00000000971",FALSE,FALSE,"pos"
"ENSG00000001036",148.221520900699,0.147998880974489,0.108939949992735,1.35853634028985,0.174293559528505,0.384936608194027,"FUCA2","ENSG00000001036",FALSE,FALSE,"pos"
"ENSG00000001084",34.620277675743,0.335621697407355,0.113077418706888,2.96807002888288,0.00299676046932598,0.022249378570942,"GCLC","ENSG00000001084",FALSE,FALSE,"pos"
"ENSG00000001167",109.673628078596,0.284848546763156,0.08357808053366,3.40817287193425,0.000653994482037701,0.00692122954109808,"NFYA","ENSG00000001167",FALSE,FALSE,"pos"
"ENSG00000001460",16.6058054210211,0.18517859398868,0.161758128312376,1.14478694777597,0.252297423415581,0.481267288453404,"STPG1","ENSG00000001460",FALSE,FALSE,"pos"
"ENSG00000001461",29.2717757149852,0.132187094107622,0.121783870430716,1.08542365783016,0.277734058948423,0.509939481095782,"NIPAL3","ENSG00000001461",FALSE,FALSE,"pos"
"ENSG00000001497",76.1262419375371,-0.115518585647842,0.091058204622342,-1.26862358122421,0.204575349707698,0.423609330272798,"LAS1L","ENSG00000001497",FALSE,FALSE,"neg"
"ENSG00000001561",30.1878158519395,-0.0132120555231657,0.14370656707459,-0.0919377297232914,0.92674751440649,0.966240268821845,"ENPP4","ENSG00000001561",FALSE,FALSE,"neg"
"ENSG00000001617",13.6925546821781,1.453937383544,0.383507347540967,3.79115913389036,0.000149945837082045,0.00212964849028886,"SEMA3F","ENSG00000001617",TRUE,FALSE,"pos"
"ENSG00000001629",128.264957596914,0.193479709664395,0.0770702515878,2.51043308771321,0.0120583172228661,0.0636415519922227,"ANKIB1","ENSG00000001629",FALSE,FALSE,"pos"
"ENSG00000001630",366.539958122988,-0.193891150790612,0.0713773546314075,-2.71642388250259,0.00659913677628679,0.0406535723111454,"CYP51A1","ENSG00000001630",FALSE,FALSE,"neg"
"ENSG00000001631",16.794160496321,-0.277592366283107,0.15658162327553,-1.77282851254288,0.0762571272455235,0.227170511047772,"KRIT1","ENSG00000001631",FALSE,FALSE,"neg"
"ENSG00000002016",45.7904343933626,0.541554085745192,0.18693109092081,2.89707872070684,0.00376655230191852,0.0264257811758419,"RAD52","ENSG00000002016",FALSE,FALSE,"pos"
"ENSG00000002330",41.8369635034541,-0.203161329559063,0.132924169766213,-1.52840021432056,0.126413201655264,0.314280474986631,"BAD","ENSG00000002330",FALSE,FALSE,"neg"
"ENSG00000002549",62.5425524503296,-0.0389137694668568,0.179774665122159,-0.216458584085886,0.828630304977706,0.919954959312279,"LAP3","ENSG00000002549",FALSE,FALSE,"neg"
"ENSG00000002834",24.7702949204154,-0.0518469751149811,0.202866515041634,-0.255571872491331,0.798281439728556,0.903408794377969,"LASP1","ENSG00000002834",FALSE,FALSE,"neg"
"ENSG00000002919",19.9149423773961,0.0623065594709304,0.144348891966631,0.431638640394508,0.666004069978052,0.821462885975563,"SNX11","ENSG00000002919",FALSE,FALSE,"pos"
"ENSG00000002933",3.02770627033225,-1.74464283062043,0.367841460772237,-4.74292056952409,2.10658883913426e-06,6.22199712475313e-05,"TMEM176A","ENSG00000002933",TRUE,FALSE,"neg"
"ENSG00000003056",8.25480739913204,0.350443653923146,0.2316866478747,1.51257596040956,0.130387404332219,0.32059545748041,"M6PR","ENSG00000003056",FALSE,FALSE,"pos"
"ENSG00000003096",41.9600729276255,0.0446512868058277,0.104652778644779,0.426661263886615,0.669626068354001,0.823290332079866,"KLHL13","ENSG00000003096",FALSE,FALSE,"pos"
"ENSG00000003147",8.31301848851998,-0.174502933818195,0.217430573103194,-0.802568522575596,0.422224168114996,0.644553433065352,"ICA1","ENSG00000003147",FALSE,FALSE,"neg"
"ENSG00000003249",2.52960569362451,-0.0818236224241257,0.394890648250102,-0.207205774020516,0.835849158153437,0.924145918619108,"DBNDD1","ENSG00000003249",FALSE,FALSE,"neg"
"ENSG00000003393",128.950126066575,0.624907164778331,0.067364090025062,9.27656210520831,1.75035112652371e-20,8.6557515253759e-18,"ALS2","ENSG00000003393",FALSE,FALSE,"pos"
