"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","EN","is_DE","is_highly_DE","FCsign"
"ENSG00000000003",287.644528348896,0.0128524134737471,0.115873218548353,0.110917894874767,0.911681455104878,0.945615140210745,"TSPAN6","ENSG00000000003",FALSE,FALSE,"pos"
"ENSG00000000419",97.1653197503433,-0.0698044494760509,0.0884629447199376,-0.789081232792362,0.430064530020304,0.578473215976394,"DPM1","ENSG00000000419",FALSE,FALSE,"neg"
"ENSG00000000457",12.603132650933,-0.298645667118791,0.213493454826572,-1.39885162925201,0.161857480258944,0.284276572737426,"SCYL3","ENSG00000000457",FALSE,FALSE,"neg"
"ENSG00000000460",2.9489582351431,-1.16058507438536,0.46940413547413,-2.47246452827496,0.0134185029362585,0.0407792921796823,"FIRRM","ENSG00000000460",FALSE,FALSE,"neg"
"ENSG00000000971",1.28854306701168,-0.988038169730127,0.747170047181408,-1.32237390063662,0.186043675334399,0.314970079242815,"CFH","ENSG00000000971",FALSE,FALSE,"neg"
"ENSG00000001036",148.221520900699,-0.0355257526904089,0.111025052991437,-0.319979605802564,0.748983790650575,0.83744087099007,"FUCA2","ENSG00000001036",FALSE,FALSE,"neg"
"ENSG00000001084",34.620277675743,-0.0936537365163589,0.118598480305249,-0.789670628791472,0.429720148627217,0.578182548190838,"GCLC","ENSG00000001084",FALSE,FALSE,"neg"
"ENSG00000001167",109.673628078596,0.178990019879688,0.0847048255652387,2.11310298658052,0.0345919541219672,0.0857697212740125,"NFYA","ENSG00000001167",FALSE,FALSE,"pos"
"ENSG00000001460",16.6058054210211,-0.376076986200855,0.17947331100246,-2.09544797552489,0.0361311885565412,0.0887947844478973,"STPG1","ENSG00000001460",FALSE,FALSE,"neg"
"ENSG00000001461",29.2717757149852,0.133190365302787,0.127186994661262,1.04720113607145,0.295006821438871,0.441391275064178,"NIPAL3","ENSG00000001461",FALSE,FALSE,"pos"
"ENSG00000001497",76.1262419375371,0.105589707993529,0.0962176850976866,1.09740436891957,0.272464664430298,0.417726748174156,"LAS1L","ENSG00000001497",FALSE,FALSE,"pos"
