#node	identifier	node_degree
AARS1	9606.ENSP00000261772	4
ABCA1	9606.ENSP00000363868	13
ACKR3	9606.ENSP00000272928	1
ACTN3	9606.ENSP00000422007	5
ACVR2B	9606.ENSP00000340361	7
ADAM33	9606.ENSP00000348912	0
ADD3	9606.ENSP00000348381	8
ADRA2B	9606.ENSP00000480573	2
AEN	9606.ENSP00000331944	1
AFF2	9606.ENSP00000359489	2
AHCYL1	9606.ENSP00000358814	3
AK3	9606.ENSP00000371230	1
ALDH7A1	9606.ENSP00000387123	2
ANGPTL2	9606.ENSP00000362524	2
ANKRD65	9606.ENSP00000445688	0
ANTXR1	9606.ENSP00000301945	0
ANXA3	9606.ENSP00000264908	2
ANXA5	9606.ENSP00000296511	20
AP1S2	9606.ENSP00000500695	1
APC	9606.ENSP00000257430	8
APLP2	9606.ENSP00000497691	2
APOA1	9606.ENSP00000236850	9
ARHGAP29	9606.ENSP00000260526	1
ARL4C	9606.ENSP00000339754	4
ARMCX3	9606.ENSP00000340672	0
ASAP3	9606.ENSP00000338769	0
ASCL1	9606.ENSP00000266744	25
ASPH	9606.ENSP00000368767	2
ATCAY	9606.ENSP00000390941	0
ATL2	9606.ENSP00000368237	2
ATP1A2	9606.ENSP00000354490	9
ATP1B3	9606.ENSP00000286371	7
ATP2B1	9606.ENSP00000392043	3
ATP2B4	9606.ENSP00000350310	5
ATP2C2	9606.ENSP00000397925	3
ATP5F1E	9606.ENSP00000243997	2
ATP6V1B1	9606.ENSP00000234396	4
B3GALT1	9606.ENSP00000376456	1
B4GAT1	9606.ENSP00000309096	0
BAHCC1	9606.ENSP00000462154	0
BAIAP2L1	9606.ENSP00000005260	6
BASP1	9606.ENSP00000319281	4
BCAT1	9606.ENSP00000443459	2
BCL2L11	9606.ENSP00000376943	10
BEGAIN	9606.ENSP00000411124	3
BET1	9606.ENSP00000222547	7
BHLHE41	9606.ENSP00000242728	4
BMP1	9606.ENSP00000305714	9
BMPR2	9606.ENSP00000363708	9
BOC	9606.ENSP00000273395	7
BTG2	9606.ENSP00000290551	6
BTG3	9606.ENSP00000344609	0
C12orf57	9606.ENSP00000229281	1
C14orf132	9606.ENSP00000490925	0
C1orf21	9606.ENSP00000235307	0
C2orf72	9606.ENSP00000362743	0
C6orf118	9606.ENSP00000230301	0
CA2	9606.ENSP00000285379	2
CA4	9606.ENSP00000300900	2
CAPN6	9606.ENSP00000317214	1
CAPN7	9606.ENSP00000253693	0
CASQ2	9606.ENSP00000261448	8
CATSPERG	9606.ENSP00000386962	1
CCDC170	9606.ENSP00000239374	1
CCDC191	9606.ENSP00000295878	0
CCDC30	9606.ENSP00000339280	0
CCNYL1	9606.ENSP00000295414	0
CD2AP	9606.ENSP00000352264	8
CD82	9606.ENSP00000227155	0
CDH11	9606.ENSP00000268603	9
CDH6	9606.ENSP00000265071	4
CDH7	9606.ENSP00000381058	5
CDON	9606.ENSP00000376458	8
CDR2	9606.ENSP00000268383	0
CDV3	9606.ENSP00000264993	1
CELSR1	9606.ENSP00000262738	2
CELSR2	9606.ENSP00000271332	6
CEP57	9606.ENSP00000317902	2
CIPC	9606.ENSP00000355319	0
CLDN23	9606.ENSP00000428780	1
CLDN3	9606.ENSP00000378577	1
CNN3	9606.ENSP00000359225	1
CNTN6	9606.ENSP00000407822	3
COL11A1	9606.ENSP00000359114	13
COL14A1	9606.ENSP00000297848	9
COL25A1	9606.ENSP00000382083	5
COLGALT2	9606.ENSP00000354960	3
COX17	9606.ENSP00000261070	2
CPAMD8	9606.ENSP00000498697	1
CREB3L2	9606.ENSP00000329140	3
CREB5	9606.ENSP00000350359	2
CRISPLD1	9606.ENSP00000262207	0
CRTAP	9606.ENSP00000323696	6
CTDSP1	9606.ENSP00000273062	0
CTNNBIP1	9606.ENSP00000366474	2
CUL4B	9606.ENSP00000384109	5
CWC22	9606.ENSP00000387006	1
CXCL14	9606.ENSP00000337065	2
CXCR4	9606.ENSP00000386884	28
CYYR1	9606.ENSP00000299340	1
DBF4	9606.ENSP00000265728	4
DBP	9606.ENSP00000222122	2
DCAF7	9606.ENSP00000483236	3
DCT	9606.ENSP00000392762	1
DCX	9606.ENSP00000490614	12
DDIT4	9606.ENSP00000307305	5
DHCR7	9606.ENSP00000347717	7
DHRS2	9606.ENSP00000344674	4
DHRS3	9606.ENSP00000480439	1
DIO3	9606.ENSP00000427336	3
DIXDC1	9606.ENSP00000394352	1
DKK3	9606.ENSP00000433112	5
DLEC1	9606.ENSP00000308597	0
DLEU7	9606.ENSP00000427177	1
DMD	9606.ENSP00000354923	12
DNAJC15	9606.ENSP00000368523	0
DOCK1	9606.ENSP00000485033	7
DPF2	9606.ENSP00000252268	1
DPYSL2	9606.ENSP00000427985	3
DSP	9606.ENSP00000369129	11
DUSP4	9606.ENSP00000240100	1
DYNLL2	9606.ENSP00000477310	4
DZIP1L	9606.ENSP00000332148	0
ECHDC2	9606.ENSP00000360577	4
ECT2	9606.ENSP00000376457	6
EDA2R	9606.ENSP00000379365	1
EFHD1	9606.ENSP00000264059	1
EFHD2	9606.ENSP00000365147	3
EGF	9606.ENSP00000265171	52
EHD4	9606.ENSP00000220325	1
EIF1	9606.ENSP00000419449	4
EIF5	9606.ENSP00000216554	3
ELF4	9606.ENSP00000311280	1
ELK4	9606.ENSP00000350681	0
EMD	9606.ENSP00000358857	2
ENC1	9606.ENSP00000499185	0
ENTPD4	9606.ENSP00000351520	0
EPHA3	9606.ENSP00000337451	3
EPHA4	9606.ENSP00000281821	7
EPHB6	9606.ENSP00000481994	2
EPPK1	9606.ENSP00000484472	1
ERCC6L2	9606.ENSP00000499371	2
ERMN	9606.ENSP00000380453	3
EXOC7	9606.ENSP00000334100	3
EXTL2	9606.ENSP00000359131	2
FAM161A	9606.ENSP00000385158	0
FAM171B	9606.ENSP00000304108	0
FAM222A	9606.ENSP00000443292	0
FAM49A	9606.ENSP00000370724	0
FBN2	9606.ENSP00000424571	5
FDFT1	9606.ENSP00000491537	6
FERMT2	9606.ENSP00000342858	4
FEZF1	9606.ENSP00000411145	2
FGF12	9606.ENSP00000413496	6
FGF2	9606.ENSP00000264498	41
FGFR3	9606.ENSP00000339824	17
FJX1	9606.ENSP00000400223	1
FOXA2	9606.ENSP00000400341	22
FOXB1	9606.ENSP00000379369	2
FOXG1	9606.ENSP00000339004	21
FOXO1	9606.ENSP00000368880	21
FOXO3	9606.ENSP00000339527	24
FREM1	9606.ENSP00000412940	1
FRMD3	9606.ENSP00000303508	1
FRMD4A	9606.ENSP00000350032	1
FRZB	9606.ENSP00000295113	7
FXYD7	9606.ENSP00000270310	2
GABRA5	9606.ENSP00000382953	6
GADD45A	9606.ENSP00000360025	10
GALR1	9606.ENSP00000299727	0
GAS1	9606.ENSP00000298743	8
GAS2L3	9606.ENSP00000448955	1
GCNT2	9606.ENSP00000419411	1
GDF15	9606.ENSP00000252809	5
GJA1	9606.ENSP00000282561	17
GLI1	9606.ENSP00000228682	34
GLI2	9606.ENSP00000390436	31
GLI3	9606.ENSP00000379258	28
GMFB	9606.ENSP00000350757	0
GNG11	9606.ENSP00000248564	9
GNPTG	9606.ENSP00000204679	2
GOLGA2	9606.ENSP00000416097	13
GORASP2	9606.ENSP00000234160	8
GPM6B	9606.ENSP00000316861	0
GPR160	9606.ENSP00000348161	0
GRIA1	9606.ENSP00000428994	17
GRIA4	9606.ENSP00000282499	12
GRIK3	9606.ENSP00000362183	4
GXYLT1	9606.ENSP00000381666	1
HADHB	9606.ENSP00000325136	5
HERPUD1	9606.ENSP00000409555	4
HEY1	9606.ENSP00000338272	11
HIBADH	9606.ENSP00000265395	4
HJURP	9606.ENSP00000414109	2
HOMER1	9606.ENSP00000334382	10
HOPX	9606.ENSP00000450527	9
HPSE2	9606.ENSP00000359583	0
HS3ST3B1	9606.ENSP00000354213	2
HS6ST2	9606.ENSP00000429473	1
HSPB1	9606.ENSP00000248553	7
HTR1D	9606.ENSP00000363748	1
ID1	9606.ENSP00000365280	10
ID2	9606.ENSP00000234091	7
IDH1	9606.ENSP00000390265	13
IDI1	9606.ENSP00000370748	3
IER2	9606.ENSP00000465617	2
IFITM3	9606.ENSP00000382707	1
IGDCC3	9606.ENSP00000332773	0
IGF1R	9606.ENSP00000497069	21
