#node	identifier	node_degree
A1CF	9606.ENSP00000378868	2
AARS1	9606.ENSP00000261772	8
ABCA1	9606.ENSP00000363868	23
ABCC4	9606.ENSP00000494609	7
ABCD1	9606.ENSP00000218104	1
ABCG1	9606.ENSP00000354995	13
ABHD3	9606.ENSP00000289119	1
ACAD8	9606.ENSP00000281182	12
ACADS	9606.ENSP00000242592	16
ACKR3	9606.ENSP00000272928	3
ACOXL	9606.ENSP00000407761	5
ACSF2	9606.ENSP00000401831	6
ACSL4	9606.ENSP00000339787	14
ACSS2	9606.ENSP00000253382	25
ACTC1	9606.ENSP00000290378	22
ACTN3	9606.ENSP00000422007	12
ACVR2B	9606.ENSP00000340361	15
ADAM33	9606.ENSP00000348912	0
ADCYAP1R1	9606.ENSP00000483721	7
ADD3	9606.ENSP00000348381	16
ADGRD2	9606.ENSP00000335156	0
ADRA2B	9606.ENSP00000480573	7
AEN	9606.ENSP00000331944	2
AFF2	9606.ENSP00000359489	9
AGA	9606.ENSP00000264595	3
AHCYL1	9606.ENSP00000358814	8
AHSP	9606.ENSP00000307199	2
AIF1L	9606.ENSP00000361383	0
AK3	9606.ENSP00000371230	6
AK5	9606.ENSP00000346577	8
AKAP9	9606.ENSP00000348573	25
AKIP1	9606.ENSP00000310459	0
ALDH1B1	9606.ENSP00000366927	6
ALDH7A1	9606.ENSP00000387123	7
ALDOC	9606.ENSP00000378731	6
ALG14	9606.ENSP00000359224	2
ALPK3	9606.ENSP00000258888	2
AMPH	9606.ENSP00000348602	16
ANGPTL2	9606.ENSP00000362524	4
ANK1	9606.ENSP00000265709	36
ANK3	9606.ENSP00000280772	45
ANKRD11	9606.ENSP00000301030	5
ANKRD18B	9606.ENSP00000290943	0
ANKRD24	9606.ENSP00000471252	0
ANKRD34B	9606.ENSP00000339802	0
ANKRD65	9606.ENSP00000445688	0
ANTXR1	9606.ENSP00000301945	5
ANXA3	9606.ENSP00000264908	3
ANXA5	9606.ENSP00000296511	39
AP1S2	9606.ENSP00000500695	5
AP5S1	9606.ENSP00000481750	3
APC	9606.ENSP00000257430	17
APELA	9606.ENSP00000484618	0
APEX1	9606.ENSP00000216714	13
APLP2	9606.ENSP00000497691	6
APOA1	9606.ENSP00000236850	22
APOL6	9606.ENSP00000386280	3
APPL2	9606.ENSP00000446917	3
ARAP2	9606.ENSP00000302895	5
ARHGAP29	9606.ENSP00000260526	1
ARHGEF6	9606.ENSP00000250617	10
ARID4B	9606.ENSP00000264183	13
ARL11	9606.ENSP00000282026	1
ARL14EP	9606.ENSP00000282032	0
ARL4C	9606.ENSP00000339754	5
ARL4D	9606.ENSP00000322628	0
ARMC2	9606.ENSP00000376417	5
ARMCX1	9606.ENSP00000361917	2
ARMCX2	9606.ENSP00000349281	3
