"","ENSEMBLE","gene","module","merged_module","cor_abs","cor"
"1528","ENSG00000164690","SHH","blue","blue",1,1
"494","ENSG00000108231","LGI1","blue","blue",0.366430993738483,-0.366430993738483
"1767","ENSG00000173812","EIF1","blue","blue",0.298730314718963,-0.298730314718963
"1333","ENSG00000153266","FEZF2","blue","blue",0.293294279818561,-0.293294279818561
"824","ENSG00000128567","PODXL","blue","blue",0.266807533523979,0.266807533523979
"134","ENSG00000065320","NTN1","blue","blue",0.227222209057441,0.227222209057441
"120","ENSG00000058453","CROCC","blue","blue",0.226957738225562,-0.226957738225562
"1666","ENSG00000169245","CXCL10","blue","blue",0.217812431066472,0.217812431066472
"1895","ENSG00000182718","ANXA2","blue","blue",0.21740618904877,0.21740618904877
"2109","ENSG00000198668","CALM1","blue","blue",0.204664149980605,0.204664149980605
"1214","ENSG00000145721","LIX1","blue","blue",0.20206175966987,-0.20206175966987
"457","ENSG00000106278","PTPRZ1","blue","blue",0.19983047797326,-0.19983047797326
"820","ENSG00000128335","APOL2","blue","blue",0.193449021455893,0.193449021455893
"1519","ENSG00000164442","CITED2","turquoise","blue",0.175961557368722,0.175961557368722
"1667","ENSG00000169251","NMD3","blue","blue",0.16424669863698,0.16424669863698
"1392","ENSG00000158270","COLEC12","blue","blue",0.162687945814492,0.162687945814492
"509","ENSG00000109472","CPE","blue","blue",0.150088409102171,0.150088409102171
"1283","ENSG00000150687","PRSS23","turquoise","blue",0.149009015998209,0.149009015998209
"1233","ENSG00000147027","TMEM47","blue","blue",0.143973189052133,0.143973189052133
"513","ENSG00000109790","KLHL5","blue","blue",0.139327528488251,0.139327528488251
"1153","ENSG00000143321","HDGF","turquoise","blue",0.133846352747131,-0.133846352747131
"747","ENSG00000123384","LRP1","turquoise","blue",0.132569664644078,0.132569664644078
"580","ENSG00000113328","CCNG1","turquoise","blue",0.132193241190669,-0.132193241190669
"1403","ENSG00000159263","SIM2","blue","blue",0.128506042128479,-0.128506042128479
"546","ENSG00000111799","COL12A1","blue","blue",0.12819727495149,0.12819727495149
"286","ENSG00000092421","SEMA6A","blue","blue",0.119022562802246,0.119022562802246
"1684","ENSG00000170004","CHD3","blue","blue",0.117840280850059,0.117840280850059
"276","ENSG00000091129","NRCAM","turquoise","blue",0.116151000599216,0.116151000599216
"187","ENSG00000074695","LMAN1","blue","blue",0.115966386585575,-0.115966386585575
"1793","ENSG00000175216","CKAP5","blue","blue",0.115650942834335,-0.115650942834335
"304","ENSG00000096746","HNRNPH3","blue","blue",0.114117245150608,-0.114117245150608
"191","ENSG00000075275","CELSR1","blue","blue",0.109512705506652,0.109512705506652
"1835","ENSG00000177707","NECTIN3","blue","blue",0.108106300097851,0.108106300097851
"665","ENSG00000117519","CNN3","turquoise","blue",0.106164413624445,-0.106164413624445
"2009","ENSG00000188042","ARL4C","turquoise","blue",0.106097999648114,-0.106097999648114
"16","ENSG00000005469","CROT","blue","blue",0.105566688724384,-0.105566688724384
"2399","ENSG00000281406","BLACAT1","blue","blue",0.103650634668821,-0.103650634668821
"1254","ENSG00000148303","RPL7A","turquoise","blue",0.102827864420795,-0.102827864420795
"2292","ENSG00000242808","SOX2-OT","blue","blue",0.0976782271599358,0.0976782271599358
"2105","ENSG00000198435","NRARP","turquoise","blue",0.0975257713624518,-0.0975257713624518
"553","ENSG00000112249","ASCC3","blue","blue",0.0967930712980669,-0.0967930712980669
"589","ENSG00000113739","STC2","turquoise","blue",0.0956891993166675,-0.0956891993166675
"1189","ENSG00000144668","ITGA9","blue","blue",0.0953472529477597,0.0953472529477597
"263","ENSG00000089009","RPL6","blue","blue",0.0932949687449491,-0.0932949687449491
"85","ENSG00000046653","GPM6B","blue","blue",0.0901709625060568,0.0901709625060568
"710","ENSG00000120318","ARAP3","turquoise","blue",0.0894231583088046,-0.0894231583088046
"1517","ENSG00000164300","SERINC5","blue","blue",0.089343775165674,-0.089343775165674
"250","ENSG00000087077","TRIP6","blue","blue",0.087840016794788,-0.087840016794788
"2261","ENSG00000234546","LNCTAM34A","turquoise","blue",0.0875234789162627,-0.0875234789162627
"159","ENSG00000070087","PFN2","blue","blue",0.087411857887904,-0.087411857887904
"20","ENSG00000006042","TMEM98","blue","blue",0.0867942237677101,0.0867942237677101
"2387","ENSG00000272398","CD24","blue","blue",0.0865790130517171,0.0865790130517171
"1169","ENSG00000143933","CALM2","blue","blue",0.0858632986228343,-0.0858632986228343
"1382","ENSG00000157404","KIT","blue","blue",0.0858297530951318,-0.0858297530951318
"1075","ENSG00000138814","PPP3CA","turquoise","blue",0.0836429324606361,0.0836429324606361
"397","ENSG00000103460","TOX3","blue","blue",0.0831497949664706,-0.0831497949664706
"143","ENSG00000067064","IDI1","blue","blue",0.0822037947272351,-0.0822037947272351
"1337","ENSG00000153944","MSI2","blue","blue",0.07975793059103,-0.07975793059103
"2263","ENSG00000234741","GAS5","turquoise","blue",0.0795870945769773,-0.0795870945769773
"1506","ENSG00000164125","GASK1B","blue","blue",0.0794934261191292,0.0794934261191292
"2114","ENSG00000198756","COLGALT2","blue","blue",0.0793038104879878,-0.0793038104879878
"1672","ENSG00000169439","SDC2","blue","blue",0.0766736780199972,0.0766736780199972
"1383","ENSG00000157456","CCNB2","blue","blue",0.0750763403610913,-0.0750763403610913
"2239","ENSG00000230316","FEZF1-AS1","blue","blue",0.0739588819241519,-0.0739588819241519
"600","ENSG00000114251","WNT5A","turquoise","blue",0.0727564049040116,0.0727564049040116
"706","ENSG00000120149","MSX2","blue","blue",0.0722083771117498,-0.0722083771117498
"1788","ENSG00000175063","UBE2C","turquoise","blue",0.0720305058902575,-0.0720305058902575
"1524","ENSG00000164611","PTTG1","turquoise","blue",0.0719259987521761,-0.0719259987521761
"1489","ENSG00000163618","CADPS","turquoise","blue",0.0717254114244481,0.0717254114244481
"1982","ENSG00000186350","RXRA","blue","blue",0.0712646083762834,0.0712646083762834
"873","ENSG00000130821","SLC6A8","turquoise","blue",0.0705855503306421,-0.0705855503306421
"342","ENSG00000100767","PAPLN","blue","blue",0.0698655158736694,0.0698655158736694
"1954","ENSG00000185201","IFITM2","turquoise","blue",0.0694873863316876,-0.0694873863316876
"969","ENSG00000135069","PSAT1","blue","blue",0.068196136912542,-0.068196136912542
"649","ENSG00000116741","RGS2","turquoise","blue",0.0667667933677283,0.0667667933677283
"1142","ENSG00000142534","RPS11","turquoise","blue",0.0655843393418097,-0.0655843393418097
"1270","ENSG00000149273","RPS3","turquoise","blue",0.0652938890469894,-0.0652938890469894
"1196","ENSG00000144847","IGSF11","blue","blue",0.0637686201533038,0.0637686201533038
"238","ENSG00000084774","CAD","turquoise","blue",0.0633620359094273,-0.0633620359094273
"133","ENSG00000065308","TRAM2","turquoise","blue",0.0611740544198763,0.0611740544198763
"2059","ENSG00000196776","CD47","turquoise","blue",0.0609405985261656,0.0609405985261656
"2254","ENSG00000232956","SNHG15","turquoise","blue",0.0605171620815119,-0.0605171620815119
"2001","ENSG00000187605","TET3","turquoise","blue",0.0603034949415878,0.0603034949415878
"431","ENSG00000105281","SLC1A5","turquoise","blue",0.0586517583715008,-0.0586517583715008
"1112","ENSG00000140988","RPS2","turquoise","blue",0.0585202459110486,-0.0585202459110486
"1867","ENSG00000180447","GAS1","turquoise","blue",0.0582631791755182,-0.0582631791755182
"2374","ENSG00000269113","TRABD2B","turquoise","blue",0.0581470425715451,0.0581470425715451
"334","ENSG00000100505","TRIM9","blue","blue",0.0579404663156083,0.0579404663156083
"2091","ENSG00000198034","RPS4X","turquoise","blue",0.0578618993567987,-0.0578618993567987
"910","ENSG00000132561","MATN2","blue","blue",0.0576327129693241,0.0576327129693241
"787","ENSG00000125743","SNRPD2","blue","blue",0.0566795551208596,-0.0566795551208596
"324","ENSG00000100316","RPL3","turquoise","blue",0.056268910694808,-0.056268910694808
"623","ENSG00000115266","APC2","turquoise","blue",0.0561637581787727,0.0561637581787727
"49","ENSG00000013810","TACC3","blue","blue",0.0556726289939484,-0.0556726289939484
"1873","ENSG00000181163","NPM1","blue","blue",0.0546107855419799,-0.0546107855419799
"1193","ENSG00000144771","LRTM1","blue","blue",0.054504256318676,0.054504256318676
"251","ENSG00000087086","FTL","turquoise","blue",0.0542763261131876,-0.0542763261131876
"139","ENSG00000065911","MTHFD2","blue","blue",0.0537097004335921,-0.0537097004335921
"2134","ENSG00000204103","MAFB","turquoise","blue",0.0535868926727876,0.0535868926727876
"1960","ENSG00000185585","OLFML2A","blue","blue",0.0534682932187134,0.0534682932187134
"987","ENSG00000135838","NPL","turquoise","blue",0.0531762948282805,0.0531762948282805
"529","ENSG00000111057","KRT18","blue","blue",0.0529813619542336,-0.0529813619542336
"1373","ENSG00000156113","KCNMA1","turquoise","blue",0.0527846614094842,0.0527846614094842
"1190","ENSG00000144713","RPL32","turquoise","blue",0.0523042683265626,-0.0523042683265626
"1550","ENSG00000165323","FAT3","turquoise","blue",0.0519053074123728,0.0519053074123728
"547","ENSG00000111834","RSPH4A","turquoise","blue",0.05122178904889,0.05122178904889
"1725","ENSG00000171724","VAT1L","turquoise","blue",0.0511436879182182,-0.0511436879182182
"1317","ENSG00000152760","DYNLT5","blue","blue",0.0510785130017493,0.0510785130017493
"216","ENSG00000079459","FDFT1","turquoise","blue",0.0510171027413697,-0.0510171027413697
"1889","ENSG00000182481","KPNA2","blue","blue",0.0508372230175545,-0.0508372230175545
"1691","ENSG00000170345","FOS","turquoise","blue",0.0501302762108264,-0.0501302762108264
"1114","ENSG00000141052","MYOCD","blue","blue",0.0499441549810866,0.0499441549810866
"1318","ENSG00000152763","DNAI4","blue","blue",0.049557789772077,0.049557789772077
"1294","ENSG00000151023","ENKUR","blue","blue",0.0492967702544728,0.0492967702544728
"657","ENSG00000117298","ECE1","turquoise","blue",0.0491970324355962,0.0491970324355962
"888","ENSG00000131747","TOP2A","blue","blue",0.0488922568593312,-0.0488922568593312
"1798","ENSG00000175471","MCTP1","blue","blue",0.0475406009523003,0.0475406009523003
"816","ENSG00000128050","PAICS","blue","blue",0.0474459462889943,-0.0474459462889943
"2361","ENSG00000261115","TMEM178B","blue","blue",0.0469060797539251,0.0469060797539251
"678","ENSG00000118271","TTR","turquoise","blue",0.0454325879281542,0.0454325879281542
"1007","ENSG00000136279","DBNL","turquoise","blue",0.0451651186271154,0.0451651186271154
"1037","ENSG00000137801","THBS1","turquoise","blue",0.0444887287244511,0.0444887287244511
"1146","ENSG00000142945","KIF2C","turquoise","blue",0.0439564710056042,-0.0439564710056042
